idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
sur un coup de tête,0,maintenant je ne l'ai pas polie pendant ces dernières semaines pour qu'un autre homme la mette dans sa poche sur un coup de tête,now i have not beenpolishing her these last few weeks for another man to pop her in his pocket on a whim,now I haven't polished it in these last weeks so that another man puts it in his pocket on a whim,Good Translation,0.90276766,0.8483989,0.054368734
sur un coup de tête,1,ça se fait pas sur un coup de tête réfléchis un peu,people don't do things like that just stop and think,it's not done on a whim think a little bit,Good Translation,0.6898378,0.8499247,-0.16008687
sur un coup de tête,2,on dirait bien que vous n'êtes pas venu ici sur un coup de tête,i see that you didn't come see us out of some passing emotion,It seems you didn't come here on a whim.,Good Translation,0.711489,0.8768699,-0.1653809
sur un coup de tête,3,le mariage s'est un peu fait sur un coup de tête,the wedding was a little spur-of-the-moment,the marriage was somewhat impulsive,Good Translation,0.8658625,0.8604427,0.0054197907
sur un coup de tête,4,je suis venue sur un coup de tête,it was just a spur-of-the-moment thing,I came on a whim,Good Translation,0.6655555,0.82715815,-0.16160268
sur un coup de tête,5,c'était des triplés et sur un coup de tête on a décidé de les appeler,kyle i was having triplets and um on a whim actually we just decided to name them,it was triplets and on a whim we decided to call them,Good Translation,0.7428006,0.86731875,-0.124518156
sur un coup de tête,6,un jour il va partir sur un coup de tête et se retrouver face à quelque chose d'inattendu qu'il ne peut gérer,one day he's going to go off half-cocked and run into something unexpected he can't handle,One day he will leave on a whim and find himself faced with something unexpected that he cannot handle,Good Translation,0.8674352,0.9234432,-0.05600798
sur un coup de tête,7,tout allait bien et tu me largues d'un coup sur un coup de tête,everything was great and then you just dump me out of the blue,Everything was going well and you suddenly dumped me on a whim.,Good Translation,0.784013,0.8213178,-0.03730482
sur un coup de tête,8,répondez-moi juste une seule question c'est tout si le docteur ne nous avait pas rendu visite s'il n'avait jamais choisi cet endroit sur un coup de tête,answer me this -- just one question that's all -- if the doctor had never visited us if he'd never chosen this place on a whim would anyone here have died,just answer me one single question that's all if the doctor hadn't visited us he never would have chosen this place on a whim,Partial Translation,0.83831036,0.8911826,-0.05287224
sur un coup de tête,9,il aurait agi sur un coup de tête,you think he acted spontaneously,He would have acted on a whim.,Good Translation,0.74772555,0.83063364,-0.082908094
sur un coup de tête,10,allons en chercher sur un coup de tête,let's go scavenging for them right now on a whim,Let's go and get some on a whim.,Good Translation,0.7807559,0.7951877,-0.014431834
sur un coup de tête,11,ça m'a pris sur un coup de tête il y a 10 ans,it was a spur-of-the-moment thing,It hit me on a whim ten years ago,Good Translation,0.5902542,0.88792855,-0.29767436
sur un coup de tête,12,on ne rompt pas sur un coup de tête c'est progressif on reconsidère sa décision sans arrêt chaque jour qui passe,you have to re-decide over and over each day,"One does not break up on a whim; it's progressive, reconsidering one's decision continuously with each passing day.",Good Translation,0.6378788,0.8383882,-0.20050943
sur un coup de tête,13,- mais enfin laure on n'annule pas un mariage au dernier moment sur un coup de tête sans raison,laure how can you be so irrational,"but in the end, Laure, we don't cancel a marriage at the last minute on a whim without reason",Unnatural,0.55773467,0.90885144,-0.35111678
sur un coup de tête,14,-comme ça sur un coup de tête,- here's a little heads up,-like that on a whim,Good Translation,0.7064648,0.84509677,-0.13863194
sur un coup de tête,15,je veux dire tu ne peux pas juste inviter ton père comme ça parce qu'il est dans le coin sur un coup de tête irréfléchi,i mean you can't just invite your dad round because he's around the corner just on a blind whim,"I mean, you can't just invite your dad on a whim because he's around and in the mood.",Unnatural,0.8438103,0.83524334,0.008566976
sur un coup de tête,16,si quelqu'un disait sur un coup de tête d'aller en ville tu refuserais,if one of us suggested based on a hunch that we head toward that city you'd have no part of it,if someone were to say on a whim to go to town you would refuse,Good Translation,0.7120768,0.8804423,-0.16836554
sur un coup de tête,17,je le voulais hors de chez nous donc vous savez désolé pour l'enterrement illégal mais c'était sur un coup de tête,and i just wanted the dude off our property so you know sorry about the illegal burial but it was like very spur-of-the-moment,I wanted him out of our place so you know sorry about the illegal burial but it was on a whim,Good Translation,0.83307475,0.87851,-0.04543525
sur un coup de tête,18,sur un coup de tête j'ai vérifié les d'inscription de georgetown et je n'ai pas trouvé zach martin,on a whim i checked georgetown's enrollment records and i did not find zach martin,"On a whim, I checked Georgetown's registration and didn't find Zach Martin.",Good Translation,0.92500067,0.86535704,0.059643626
sur un coup de tête,19,euh ils se sont mariés au lycée sur un coup de tête,uhthey got married in college on a whim,uh they got married in high school on a whim,Good Translation,0.874269,0.8909699,-0.016700864
sur un coup de tête,20,on ne tue pas les gens comme ça sur un coup de tête,you can't kill people on a whim,One doesn't kill people like that on a whim.,Good Translation,0.8419739,0.86626637,-0.024292469
sur un coup de tête,21,elle a décidé de t'effacer sur un coup de tête,she decided to erase you almost as a lark,She decided to erase you on a whim.,Good Translation,0.8159689,0.9052042,-0.089235306
sur un coup de tête,22,il aurait donc quitté sa femme sur un coup de tête,really so he just up and left his wife on a whim,He would have left his wife on a whim.,Unnatural,0.8640395,0.8645283,-0.0004888177
sur un coup de tête,23,mais c'est un plat tu te maries sur un coup de tête,you get married on the spur of the moment,but it's a dish you're getting married on a whim,Good Translation,0.77495176,0.86513144,-0.09017968
sur un coup de tête,24,ne te décide pas sur un coup de tête,also i don't want you just to make up your mind right off the top of your head,don't decide on a whim,Good Translation,0.7003915,0.8689063,-0.16851485
sur un coup de tête,25,on peut partir à rome sur un coup de tête,we can fly off to rome on a moment's notice,we can go to Rome on a whim,Good Translation,0.8183102,0.85746413,-0.039153934
sur un coup de tête,26,j'ai agi sur un coup de tête ce que je ne devrais jamais faire,i acted on impulse which i should never do,"I acted on a whim, which I should never do.",Good Translation,0.8739925,0.85671794,0.017274559
sur un coup de tête,27,tu n'es pas du genre à partir sur un coup de tête,i mean it's not like you to do anything on the fly,you're not one to act on a whim,Good Translation,0.7663263,0.8001579,-0.033831596
sur un coup de tête,28,je pourrais vous éjecter d'ici sur un coup de tête,i can punt you outta here on a whim,I could kick you out of here on a whim.,Good Translation,0.8389286,0.8733175,-0.0343889
sur un coup de tête,29,mariée et divorcée sur un coup de tête la presse na jamais pu lapprocher,married on impulse and divorced in a rage and always unapproachable by the press,"married and divorced on a whim, the press could never get close to her",Good Translation,0.7644781,0.85919213,-0.094714046
sur un coup de tête,30,- j'ai fait ça sur un coup de tête,it was a spur-of-the-moment thing,I did that on a whim.,Good Translation,0.7181583,0.859305,-0.14114672
sur un coup de tête,31,mais je ne vais pas me laisser me faire blâmer d'être impulsive par une femme qui a démissionné sur un coup de tête,but i'm not gonna be blamed for being impulsive by a woman who quit her job on a whim,but I am not going to let a woman who quit on a whim blame me for being impulsive,Unnatural,0.8810712,0.8987,-0.017628789
sur un coup de tête,32,que veux-tu j'étais jeune et romantique et changer de plan sur un coup de tête avait quelque chose de séduisant,oh i don't know i was young and romantic and changing plans at the drop of a hat seemed exciting in its own way,what you want was that I was young and romantic and changing my plans on a whim had something appealing about it,Good Translation,0.79614043,0.90140545,-0.10526502
sur un coup de tête,33,- les gens qui partent sur un coup de tête ne peuvent plus revenir,anyone who dashes off like that at the drop of a hat won't be permitted to return,People who leave on a whim can never go back.,Good Translation,0.7033454,0.8646145,-0.16126907
sur un coup de tête,34,sur un coup de tête,on a whim though,on a whim,Good Translation,0.71894693,0.76904476,-0.050097823
sur un coup de tête,35,se sauver sur un coup de tête juste parce que les hommes sont saouls,running away on a whim just because the men are drunk,to run away on a whim just because the men are drunk,Good Translation,0.62730825,0.67764324,-0.05033499
sur un coup de tête,36,tu pars pas comme ça sur un coup de tête alors tu t'assieds,you can't leave on a whim,you don't leave like that on a whim so you sit down,Good Translation,0.67654914,0.85373926,-0.17719012
sur un coup de tête,37,c'était sur un coup de tête,it was a spur of the moment thing,it was on a whim,Good Translation,0.7819276,0.8274024,-0.045474827
sur un coup de tête,38,c'est trop sérieux pour agir sur un coup de tête,i mean you don't want to do something as serious as that just in a minute,it's too serious to act on a whim,Good Translation,0.72611684,0.8332813,-0.10716444
sur un coup de tête,39,pourquoi signer sur un coup de tête,being called is one thing rushing out and signing up is another,why sign on a whim,Good Translation,0.53227067,0.7967417,-0.26447105
sur un coup de tête,40,c'est pas un endroit pour un blanc avec un passeport américain et qui parle pas arabe d'y aller sur un coup de tête,it's no place for a white man with an american passport no command of arabic to just show up on a whim,it's not a place for a white person with an American passport and who doesn't speak Arabic to go on a whim,Good Translation,0.81063414,0.8887689,-0.078134775
sur un coup de tête,41,- elle s'est peut-être décidée sur un coup de tête,perhaps it was a spur of the moment decision,She may have decided on a whim.,Good Translation,0.7628526,0.89310193,-0.13024932
sur un coup de tête,42,ouais les gens font ça tous les jours allison mais pas sur un coup de tête,yeah people do it every day allison but nobody does it in a day,"Yeah, people do that every day Allison but not on a whim",Good Translation,0.86439,0.9426066,-0.07821661
sur un coup de tête,43,je n'aime pas agir sur un coup de tête,i can't just jump like this,I don't like acting on a whim.,Good Translation,0.6440617,0.8168999,-0.17283821
sur un coup de tête,44,donc généralement je conseillerai de ne pas effectuer de licenciement sur un coup de tête,so generally i would advise against summary dismissals,"therefore, generally I would advise against making layoffs on a whim",Good Translation,0.8090453,0.89316285,-0.08411753
sur un coup de tête,45,tout ce que le roi ou ses hommes de loi ont décidé sur un coup de tête,anything the king or his lawyers decide it to be on a whim,everything that the king or his law officers decided on a whim,Good Translation,0.8418515,0.9106692,-0.068817735
sur un coup de tête,46,en tant qu'ami je vous conseille de ne pas régler un problème sur un coup de tête qui a l'air satisfaisant,as a friend i'm telling you not to force an issue for the short-term emotional satisfaction it can have,"as a friend, I advise you not to settle an issue on a whim that seems satisfying",Good Translation,0.78128254,0.9026271,-0.12134457
sur un coup de tête,47,je crois sur un coup de tête,we just suddenly decided to go that's all,I believe on a whim,Good Translation,0.56410265,0.7764518,-0.21234918
sur un coup de tête,48,je l'ai engagé sur un coup de tête,i hired him immediately,I hired him on a whim.,Good Translation,0.74706733,0.78245604,-0.035388708
sur un coup de tête,49,je ne fais pas ça sur un coup de tête,this was not a spur of the moment decision,I don't do that on a whim.,Good Translation,0.68575245,0.85763705,-0.1718846
sur un coup de tête,50,ii n'agit pas sur un coup de tête,he does not make rash decisions,It does not act on a whim.,Unnatural,0.61549026,0.68354964,-0.068059385
sur un coup de tête,51,une telle décision ne doit pas être prise sur un coup de tête ou à la légère mais avec déférence humilité discernement et solennité,it is not to be entered into unadvisedly or lightly but reverently discreetly advisedly and solemnly,"Such a decision should not be made on a whim or lightly but with humility, discernment, and solemnity.",Good Translation,0.7169081,0.9248393,-0.20793122
sur un coup de tête,52,la décision n'a pas été prise sur un coup de tête,this was not a fast decision,the decision was not made on a whim,Good Translation,0.84331393,0.93292344,-0.089609504
sur un coup de tête,53,le président ne peut retirer des membres du cabinet sur un coup de tête,the president must not be allowed to remove cabinet officers on whatever whim,The president cannot remove cabinet members on a whim.,Good Translation,0.8531108,0.90832865,-0.055217862
sur un coup de tête,54,je suis parti soldat pour l'afrique sur un coup de tête et quand je suis revenu,i joined the army in africa on a whim and when i came back,I went to Africa as a soldier on a whim and when I came back,Good Translation,0.879823,0.8753697,0.0044533014
sur un coup de tête,55,parce que nous avons fait sur un coup de tête,because we did it on a whim,because we did it on a whim,Good Translation,0.87458885,0.87458885,0.0
sur un coup de tête,56,- vous ne pouvez pas vous marier sur un coup de tête,- you can not get married on a whim,- you can't get married on a whim,Good Translation,0.89065444,0.88809276,0.0025616884
sur un coup de tête,57,si se marier sur un coup de tête était une mauvaise idée,if getting married impulsively was a bad idea,if getting married on a whim was a bad idea,Good Translation,0.8639185,0.8727906,-0.008872092
sur un coup de tête,58,un jour quand j'avais 1 2 ans tu m'as appelée sur un coup de tête et nous n'avons jamais cessé de parler depuis,one day when i was 12 you called me out of the blue and we've been talking ever since,one day when I was 12 years old you called me on a whim and we've never stopped talking since,Good Translation,0.8294238,0.8569102,-0.027486444
sur un coup de tête,59,écoute je sais que c'est agaçant et même si on dirait que je fais ça sur un coup de tête ce qui est le cas il y a une raison à ma folie,look i know this is annoying and although it seems like i'm making this up on the fly which i am there's a method to my madness,listen I know it's annoying and even though it might seem like I'm doing this on a whim which is the case there's a reason behind my madness,Good Translation,0.769849,0.86007154,-0.09022254
sur un coup de tête,60,- je pars pas sur un coup de tête,i'm not leaving on a whim,- I'm not going on a whim,Good Translation,0.78884774,0.8493972,-0.060549438
sur un coup de tête,61,elle n'a pas juste attaqué tom sur un coup de tête parce qu'elle vous a entendu vous disputer vous et votre femme,she didn't just attack tom out of an impulse because she overheard you and your wife argue,She didn't just attack Tom on a whim because she heard you arguing with your wife.,Good Translation,0.89926946,0.9037279,-0.0044584274
sur un coup de tête,62,elle a agi sur un coup de tête sans réfléchir,she's not thinking this through,She acted on a whim without thinking.,Good Translation,0.7649081,0.9217707,-0.15686262
sur un coup de tête,63,sur un coup de tête tu m'offres un bracelet,on a whim you give me a bracelet,on a whim you offer me a bracelet,Good Translation,0.8957855,0.9020974,-0.0063118935
sur un coup de tête,64,le destiny n'a pas non plus été baptisé sur un coup de tête,neither was destiny named on a whim,destiny was also not baptized on a whim,Good Translation,0.7309365,0.8693648,-0.13842827
sur un coup de tête,65,j'ai acheté ce kit de réparation sur un coup de tête trois mois avant de voir le vélo,i bought this tube repair kit on impulse aboutthreemonthsbefore i saw this bike,I bought this repair kit on a whim three months before I saw the bike.,Good Translation,0.84257865,0.9332661,-0.090687454
sur un coup de tête,66,elle a reçu la première de ces cartes quelques jours plus tard depuis hambourg de la part de sa fille disant que sur un coup de tête ils ont soudainement décidé de faire le tour de l'europe,she got the first of these cards a couple of days later from hamburg from her daughter saying they suddenly decided to take off round europe on a whim,"She received the first of these cards a few days later from Hamburg, sent by her daughter, who said that on a whim they suddenly decided to go around Europe.",Good Translation,0.9506757,0.9426712,0.008004546
sur un coup de tête,67,j'ai acheté une ampoule de fête sur un coup de tête,i bought a party bulb off the impulse rack,I bought a party bulb on a whim.,Good Translation,0.80707514,0.8624622,-0.05538708
sur un coup de tête,68,je suppose que vous n'agissez pas sur un coup de tête ou un caprice alors je suis curieux qu'est-ce qui vous pousse comment peut-on aider,i'm assuming you're not acting out of whim or caprice so i'm curious what's driving ya how can we help,"I suppose you're not acting on a whim or a fancy, so I'm curious, what is driving you? How can we help?",Good Translation,0.83693945,0.8030777,0.033861756
sur un coup de tête,69,elle est partie sur un coup de tête,she left in a bit of a bad mood,She left on a whim.,Good Translation,0.76180947,0.87091994,-0.109110475
sur un coup de tête,70,exactement c'est donc notre dernière chance de faire quelque-chose sur un coup de tête avant de devenir d'ennuyeux parents,exactly so this is like our last chance to do something spur of the moment before we become boring old parents,exactly so this is therefore our last chance to do something on a whim before becoming boring parents,Good Translation,0.8924545,0.9133593,-0.02090478
sur un coup de tête,71,certains disent qu'on a agit sur un coup de tête,the people saying that we just went to vegas and did this on impulse,some say we acted on a whim,Good Translation,0.686223,0.8326907,-0.14646775
sur un coup de tête,72,tel que je le connais il a fait sur un coup de tête,as i know him he decided suddenly,"as I know him, he did it on a whim",Good Translation,0.80968857,0.8610789,-0.05139035
sur un coup de tête,73,- j'ai foncé sur un coup de tête,- i just got inspired and went with it,I rushed in on a whim,Good Translation,0.7425972,0.7509335,-0.008336306
sur un coup de tête,74,et quand elle t'a embrassé sur un coup de tête,- oh and her impulse to kiss you,and when she kissed you on a whim,Good Translation,0.73776126,0.8657682,-0.12800694
sur un coup de tête,75,et un jour je me suis retrouvée à un coin de rue et je me suis sentie complètement seule et j'ai pris une décision sur un coup de tête,and one day i found myself standing on a busy street corner and feeling completely alone and i just made a split-second choice,and one day I found myself on a street corner and I felt completely alone and I made a decision on a whim,Good Translation,0.86407995,0.9379179,-0.073837936
sur un coup de tête,76,je fais tout sur un coup de tête,i do everything out of impulse,I do everything on a whim.,Good Translation,0.8416679,0.83584356,0.0058243275
sur un coup de tête,77,est-ce que tu as déjà fait un truc idiot quelque chose sur un coup de tête,have you ever done one stupid passionate spontaneous thing in your whole life,is it that you have already done something silly on a whim,Good Translation,0.76918495,0.822232,-0.05304706
sur un coup de tête,78,vous ne pouvez pas passer à la télé avec ce gosse sur un coup de tête,you can't go on national tv and have a kid next to you on a whim,You can't go on TV with this kid on a whim.,Unnatural,0.769001,0.86688447,-0.09788346
sur un coup de tête,79,- engagée sur un coup de tête,- hired her on the spot,headedly committed,Literal Translation,0.7012278,0.68914276,0.012085021
sur un coup de tête,80,et si il s'était suicidé sur un coup de tête,maybe he suddenly just wanted to die,and if he had suicided on a whim,Good Translation,0.7743795,0.9164449,-0.1420654
