idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
chercher le petit bête,0,on cherche la petite bête,lookin' for some loopholes huh,one is being overly critical,Mistranslation,0.678915,0.5320748,0.14684021
chercher le petit bête,1,tu cherches la petite bête,will this is new to me you know it's really hard,you're sweating the small stuff,Literal Translation,0.44067845,0.6719866,-0.23130813
chercher le petit bête,2,ah veronica c'est ce qui s'appelle chercher la petite bête,ah veronica this is really grasping at straws,ah veronica this is what you call splitting hairs,Unnatural,0.6505356,0.6326852,0.017850399
chercher le petit bête,3,ils cherchent la petite bête pour que rien ne flanche,well i suppose they're all bending over backwards to get this thing right it's just got to be you know,They seek the little beast so that nothing gives way.,Mistranslation,0.59510654,0.8815469,-0.28644037
chercher le petit bête,4,pourquoi chercher la petite bête,why you always got to look a gift horse in the mouth,why look for trouble,Mistranslation,0.5053692,0.64980525,-0.14443606
chercher le petit bête,5,ne va pas chercher la petite bête,don't split hairs,doesn't make a mountain out of a molehill,Good Translation,0.60576904,0.51746976,0.088299274
chercher le petit bête,6,bien sur en cherchant la petite bête,of course if i wanted to be a,of course looking for the little beast,Literal Translation,0.50986993,0.9115759,-0.40170598
chercher le petit bête,7,je ne veux pas chercher la petite bête mais il n'y a pas de new glasgow en ecosse,i don't mean to be confrontational but there is no new glasgow in scotland,I don't want to look for the small flaw but there is no New Glasgow in Scotland,Partial Translation,0.83135414,0.7962314,0.035122752
chercher le petit bête,8,je suis le seul qui vais chercher la petite bête,am i gonna be the only one to address this big elephant in the room,I am the only one who is going to look for the little beast,Literal Translation,0.7019236,0.95192134,-0.24999774
chercher le petit bête,9,et maintenant vous venez chercher la petite bête,and now you're gonna bust balls,and now you're coming to look for the little beast,Unnatural,0.6408141,0.9254235,-0.28460938
chercher le petit bête,10,je ne veux pas chercher la petite bête mais il ressemble beaucoup à la fusée que tu lui as fait la semaine dernière,i don't mean to nitpick but it looks a lot like the rocket ship you made for him last week,I don't want to split hairs but it resembles a lot the rocket you made for him last week,Good Translation,0.76627314,0.7836384,-0.017365277
chercher le petit bête,11,vous cherchez la petite bête,you're overthinking it,you're splitting hairs,Good Translation,0.5782329,0.5712192,0.0070136786
chercher le petit bête,12,tu cherches la petite bête là où elle n'est pas,you're the one banging your head against an open door,you're looking for the little beast where it's not,Partial Translation,0.52934134,0.9265445,-0.39720315
chercher le petit bête,13,t'en as pas marre de tout le temps chercher la petite bête,does your ass hurt from straddling the fence like that all the time,Are you not tired of always looking for the small flaw?,Unnatural,0.48259246,0.7687199,-0.28612745
