idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire gaffe,0,fais gaffe lindsey surveille-les bien,watch them lindsey keep an eye on 'em,be careful Lindsey is watching them well,Good Translation,0.84167206,0.866104,-0.024431944
faire gaffe,1,fais gaffe oû tu mets les pieds j'ai tout astiqué,watch where you're walking i just mopped here,be careful where you put your feet I've already cleaned everything,Good Translation,0.6187937,0.73321515,-0.11442143
faire gaffe,2,fais gaffe l'oiseau,whoa bird watch out for the,be careful the bird,Good Translation,0.56251323,0.7312497,-0.16873646
faire gaffe,3,va faire ton boulot mec fais gaffe,go to work man,go do your job guy be careful,Good Translation,0.7585727,0.77287936,-0.0143066645
faire gaffe,4,hey fais gaffe,hello just watch it,hey be careful,Good Translation,0.6263318,0.7183534,-0.092021585
faire gaffe,5,mais fais gaffe la madrague c'est chaud,but mind yourself it's tough at the madrague,but be careful the cod is hot,Good Translation,0.7408879,0.7279732,0.012914658
faire gaffe,6,- fais gaffe à ses combines,beware of his tricks,be careful of his schemes,Good Translation,0.6432737,0.6448949,-0.0016211867
faire gaffe,7,fais gaffe petit,watch it kid,be careful little,Unnatural,0.62074316,0.72729343,-0.10655028
faire gaffe,8,- mais fais gaffe,but watch your step,- but be careful,Good Translation,0.6331412,0.716012,-0.08287078
faire gaffe,9,faites gaffe merde,fucking watch it,be careful shit,Good Translation,0.62811303,0.6841256,-0.05601257
faire gaffe,10,fais gaffe au bunker,- watch out for the bunker,be careful of the bunker,Good Translation,0.71342456,0.7759509,-0.062526345
faire gaffe,11,fais gaffe snake,snake this ain't gonna work man,be careful snake,Literal Translation,0.6685524,0.7370237,-0.06847131
faire gaffe,12,fais gaffe on a besoin de toi en très bonne forme demain tu te rappelles,you be careful we need you on top form tomorrow,be careful we need you in top form tomorrow you remember,Good Translation,0.82735497,0.84835124,-0.020996273
faire gaffe,13,fais gaffe à ce que tu dis,hold it man watch your mouth,be careful with what you say,Good Translation,0.63261986,0.7137201,-0.081100225
faire gaffe,14,fais gaffe tu peux tout perdre en une nuit,if you're not careful you could lose it all in one night- in one bad night,be careful you can lose everything in one night,Good Translation,0.8518957,0.87808275,-0.026187062
faire gaffe,15,faites gaffe capitaine,you better watch it captain,be careful captain,Good Translation,0.71722853,0.77951086,-0.062282324
faire gaffe,16,fais gaffe à tes fesses frank,watch your ass frank,be careful with your butt Frank,Good Translation,0.7846814,0.69635326,0.08832812
faire gaffe,17,fais gaffe quelqu'un pourrait te voir idiot,watch out someone will see you idiot,be careful someone could see you acting stupid,Good Translation,0.82544875,0.827355,-0.0019062757
faire gaffe,18,et fais gaffe à pas recevoir une médaille rouge,don't go getting one of them little red badges pinned on you,and make sure you don't receive a red medal,Good Translation,0.7388658,0.891847,-0.15298122
faire gaffe,19,fais gaffe avec ça,be careful with that thing,be careful with that,Partial Translation,0.73878086,0.75283575,-0.014054894
faire gaffe,20,jrai pas fait gaffe mais il a une queue superbe,oh i didn't notice but his cock was beautiful,I didn't pay attention but he has a magnificent tail,Mistranslation,0.630389,0.6918525,-0.061463535
faire gaffe,21,fais gaffe où je m'arrangerai pour que tu te noies,watch out i'll make sure you drown out there,be careful where I will arrange for you to drown,Good Translation,0.7121356,0.8070631,-0.09492749
faire gaffe,22,faut faire gaffe avec envoyer à tous,you gotta be careful with that,We need to be careful about sending to everyone.,Good Translation,0.5454354,0.79782784,-0.2523924
faire gaffe,23,je devrais t'être reconnaissante d'avoir baisé sans faire gaffe,i should be grateful to you because you had careless sex,I should be grateful to you for having had unprotected sex with me.,Good Translation,0.7777453,0.7871622,-0.009416878
faire gaffe,24,pas vrai fais gaffe,hey,not true be careful,Unnatural,0.516813,0.7445749,-0.22776192
faire gaffe,25,alors il a dit que je devais faire gaffe à ce que je disais contre ses parents,and he told me to watch what i said about his parents,then he said I had to be careful about what I said against his parents,Good Translation,0.7969154,0.8336878,-0.03677237
faire gaffe,26,fais gaffe avec elle,you just watch her,be careful with her,Good Translation,0.6826874,0.7631105,-0.08042312
faire gaffe,27,- faites gaffe,- watch your mouth,be careful,Good Translation,0.68176067,0.6925091,-0.010748446
faire gaffe,28,à toi enfoiré fais gaffe,- i'm talking to you motherfucker just watch where the fuck you're walking,"to you fucker, be careful",Good Translation,0.5480533,0.65624857,-0.108195245
faire gaffe,29,faites gaffe les gars,watch it boys,be careful guys,Good Translation,0.69167167,0.7737024,-0.08203071
faire gaffe,30,- faites gaffe cali,- careful cali,- be careful cali,Good Translation,0.75493455,0.78561735,-0.030682802
faire gaffe,31,tu ferais mieux de faire gaffe pigé,you better watch out got it,you had better be careful got it,Good Translation,0.644294,0.6702117,-0.02591765
faire gaffe,32,faites gaffe à ce que vous dites il rigole pas,be careful what you say to him tough very tough,"be careful with what you say, it's no joke",Good Translation,0.6431185,0.7270905,-0.08397198
faire gaffe,33,fais gaffe darla ne va faire de toi qu'une bouchée,careful darla would snap you in half,be careful with Darla; she will make short work of you.,Good Translation,0.69708973,0.7160646,-0.01897484
faire gaffe,34,aussi longtemps que tu seras là tu ferais mieux de faire gaffe à moi mec,as long as you here you best watch out for me man,"As long as you're here, you'd better watch out for me, man.",Good Translation,0.71648496,0.7022171,0.014267862
faire gaffe,35,faites gaffe 5 secondes plus que 4,five seconds four three,be careful 5 seconds longer than 4,Good Translation,0.732218,0.83484924,-0.10263121
faire gaffe,36,faites gaffe,watch it,be careful,Good Translation,0.64043385,0.7046008,-0.06416696
faire gaffe,37,- tous chez faucelli - aux baraques faites gaffe,back to the sheds and keep your eyes open,- all at faucelli - at the shacks be careful,Good Translation,0.42764813,0.72955287,-0.30190474
faire gaffe,38,- fait gaffe,watch yourself,be careful,Good Translation,0.5748756,0.6777993,-0.10292369
