idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
un bouchée de pain,0,ils l'achetèrent pour une bouchée de pain,they step in they buy it for a pittance,They bought it for a pittance.,Literal Translation,0.80063766,0.84125715,-0.040619493
un bouchée de pain,1,macgyver khan te vendrait pour une bouchée de pain tu le sais,macgyver khan would sell you down for a second cup of coffee you know,"MacGyver Khan would sell you for a bite of bread, you know.",Good Translation,0.8124578,0.8500939,-0.0376361
un bouchée de pain,2,rien une bouchée de pain,- oh nothing we practically stole it from them,a bite of bread,Good Translation,0.57845527,0.71088064,-0.13242537
un bouchée de pain,3,ça coûte une bouchée de pain,it's cheap as chips,it costs a bread bite,Good Translation,0.6344554,0.87459415,-0.24013877
un bouchée de pain,4,j'ai du vendre ma maison pour une bouchée de pain,had to sell my house at a loss,I had to sell my house for a pittance.,Good Translation,0.77409124,0.8459891,-0.071897864
un bouchée de pain,5,ces enfants chinois vendent leurs dents pour une bouchée de pain hein,these chinese kids are selling their teeth for peanuts see,"These Chinese children sell their teeth for a loaf of bread, huh?",Unnatural,0.89912176,0.9335686,-0.034446836
un bouchée de pain,6,je l'ai vendu pour une bouchée de pain,sold for cheap a long time ago,I sold it for a pittance.,Good Translation,0.71706563,0.8271712,-0.110105574
un bouchée de pain,7,il finira par vendre à n'importe qui pour une bouchée de pain le terrain seul,he is going to end up selling this place to somebody for cheap for the land alone,He will eventually sell the land for next to nothing to anyone,Good Translation,0.8753354,0.8387978,0.036537588
un bouchée de pain,8,les meubles sont de seconde main mais je les ai eus pour une bouchée de pain,the furniture is second hand but paid for nonetheless,the furniture is second-hand but I got it for a song,Unnatural,0.80975056,0.833761,-0.02401042
un bouchée de pain,9,et ça n'a rien à voir le fait que vous louiez une maison de kentwell à catalina island pour une bouchée de pain à l'année,is it also irrelevant that you leased a vacation home from kentwell on catalina island for a few hundred dollars a year,and that has nothing to do with the fact that you rented a Kentwell house on Catalina Island for a pittance annually,Good Translation,0.80254036,0.8540929,-0.051552534
