idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
chercher le petit bête,0,on cherche la petite bête,lookin' for some loopholes huh,we're looking for the little beast,Literal Translation,0.678915,0.8928462,-0.2139312
chercher le petit bête,1,tu cherches la petite bête,will this is new to me you know it's really hard,You're looking for a needle in a haystack.,Mistranslation,0.44067845,0.6236536,-0.18297514
chercher le petit bête,2,ah veronica c'est ce qui s'appelle chercher la petite bête,ah veronica this is really grasping at straws,ah Veronica that's what they call looking for trouble,Mistranslation,0.6505356,0.72478676,-0.074251175
chercher le petit bête,3,ils cherchent la petite bête pour que rien ne flanche,well i suppose they're all bending over backwards to get this thing right it's just got to be you know,They are searching for the small beast so that nothing goes soft.,Literal Translation,0.59510654,0.8842211,-0.28911453
chercher le petit bête,4,pourquoi chercher la petite bête,why you always got to look a gift horse in the mouth,Why look for the small beast,Literal Translation,0.5053692,0.867385,-0.36201584
chercher le petit bête,5,ne va pas chercher la petite bête,don't split hairs,don't go chasing after the little beast,Literal Translation,0.60576904,0.88752115,-0.2817521
chercher le petit bête,6,bien sur en cherchant la petite bête,of course if i wanted to be a,"Of course, when you're looking for the small beast",Mistranslation,0.50986993,0.8599453,-0.35007536
chercher le petit bête,7,je ne veux pas chercher la petite bête mais il n'y a pas de new glasgow en ecosse,i don't mean to be confrontational but there is no new glasgow in scotland,I don't want to look for the little beast but there is no New Glasgow in Scotland.,Partial Translation,0.83135414,0.8371344,-0.0057802796
chercher le petit bête,8,je suis le seul qui vais chercher la petite bête,am i gonna be the only one to address this big elephant in the room,I am the only one who is going to look for the little creature.,Literal Translation,0.7019236,0.9243764,-0.22245282
chercher le petit bête,9,et maintenant vous venez chercher la petite bête,and now you're gonna bust balls,And now you're going to go looking for that little creature.,Partial Translation,0.6408141,0.869462,-0.22864789
chercher le petit bête,10,je ne veux pas chercher la petite bête mais il ressemble beaucoup à la fusée que tu lui as fait la semaine dernière,i don't mean to nitpick but it looks a lot like the rocket ship you made for him last week,"I don't want to look for the little beast, but it looks a lot like the rocket you made for him last week.",Literal Translation,0.76627314,0.8670485,-0.10077536
chercher le petit bête,11,vous cherchez la petite bête,you're overthinking it,You're looking for a small animal.,Mistranslation,0.5782329,0.83473945,-0.25650656
chercher le petit bête,12,tu cherches la petite bête là où elle n'est pas,you're the one banging your head against an open door,You're looking for the little beast where it isn't.,Unnatural,0.52934134,0.92440647,-0.39506513
chercher le petit bête,13,t'en as pas marre de tout le temps chercher la petite bête,does your ass hurt from straddling the fence like that all the time,Are you not tired of always searching for it?,Mistranslation,0.48259246,0.76821584,-0.28562337
chercher le petit bête,14,si quelqu'un cherchait la petite bête il y aurait peut-être la lèvre,now i'm no expert when it comes to industrial relations but i can recognize an injustice,if someone was looking for the little beast there might be a lip,Mistranslation,0.43707564,0.8355269,-0.39845124
chercher le petit bête,15,là tu cherches la petite bête,now you're finding fault with everything,There you're looking for the small beast,Literal Translation,0.52550554,0.8749119,-0.34940636
chercher le petit bête,16,tu cherches la petite bête et je sais pourquoi,you're just trying to find faultand i know why,you're looking for the small beast and I know why,Literal Translation,0.766671,0.93153155,-0.16486055
chercher le petit bête,17,la dernière chose dont j'ai besoin c'est vous deux cherchant la petite bête dans une confession publique alors qu'un citoyen innocent a été assassiné,the last thing i need is the two of you poking holes in a solid public confession where an innocent citizen was murdered,"the last thing I need is for you two to be looking for the little beast in a public confession, when an innocent citizen has been murdered",Unnatural,0.8804402,0.9363472,-0.05590701
chercher le petit bête,18,- c'est vrai on cherche la petite bête,we are always looking for things that are wrong,It's true we're looking for the little beast.,Literal Translation,0.6131774,0.8921479,-0.27897048
chercher le petit bête,19,- quoi je vous montre un truc fabuleux et vous cherchez la petite bête,i show you something fantastic you find fault,- whatever I show you is something fabulous and then you look for the small print.,Unnatural,0.77381843,0.79961485,-0.025796413
chercher le petit bête,20,il faut admettre que c'est chercher la petite bête,got to admit thought it was a wild-goose chase,you have to admit that it's looking for a needle in a haystack,Good Translation,0.68401885,0.74096143,-0.056942582
chercher le petit bête,21,ils fouinent partout maintenantà essayer de chercher la petite bête à éradiquer,they're snooping around now trying to find ways to cut corners,they are rummaging everywhere now to try and search for the little beast to eradicate,Literal Translation,0.7688916,0.9386761,-0.16978455
chercher le petit bête,22,faut chercher la petite bête les cendres les souris,it's just that we've got to keep begging,We must look for the small beast in the ashes among the mice.,Mistranslation,0.49915105,0.7443006,-0.24514955
chercher le petit bête,23,on n'est pas du genre à se chercher la petite bête,we're not one of those couples that creates drama all the time,We're not that type to go looking for trouble.,Unnatural,0.64362884,0.79499125,-0.15136242
chercher le petit bête,24,- tu cherches la petite bête samantha,- you're splitting hairs samantha,- are you looking for little beast Samantha,Literal Translation,0.72379875,0.8769577,-0.15315896
chercher le petit bête,25,toujours à chercher la petite bête,always looking for faults,always on the lookout for the little beast,Literal Translation,0.70819795,0.84811485,-0.1399169
chercher le petit bête,26,sans chercher la petite bête je ne crois pas vraiment à l'espoir,god sometimes gives us glimpses of the path we are traveling i always thought i knew just where i was headed,without looking for the little beast I don't really believe in hope,Literal Translation,0.37226528,0.9388076,-0.5665423
chercher le petit bête,27,c'est mon travail de chercher la petite bête - dans la science,it's my job to poke the holes in the science,that's my job to look for the small beast - in science,Literal Translation,0.73586,0.93188167,-0.19602168
chercher le petit bête,28,- toujours à chercher la petite bête,so irritable,- always looking for the little beast,Literal Translation,0.4751263,0.893474,-0.4183477
chercher le petit bête,29,si bien sûr je cherchais la petite bête,of course i was just being nosey,"If so, I was looking for the little beast",Literal Translation,0.6007173,0.8898916,-0.28917432
chercher le petit bête,30,ta mère va chercher la petite bête et je vais m'assurer on va s'assurer que tout soit parfait,your mother will be looking for any flaw and i'm gonna make sure we're gonna make sure she doesn't find one,Your mother is going to go get that little beast and I will make sure we will make sure everything is perfect.,Literal Translation,0.78767323,0.9249621,-0.13728887
chercher le petit bête,31,trop occupés à fouiner partout toujours à chercher la petite bête hein,you're too busy sticking your noses into every corner poking about for things to complain about aren't you,"too busy digging everywhere always looking for that little creature, huh?",Literal Translation,0.65620935,0.8866898,-0.23048043
chercher le petit bête,32,arrête de me chercher la petite bête,don't poke holes in everything i'm trying to help out,stop looking for trouble with me,Literal Translation,0.6195246,0.79400706,-0.17448246
chercher le petit bête,33,arrête de chercher la petite bête,stop making something out of nothing,stop looking for the little beast,Literal Translation,0.59360355,0.8775128,-0.28390926
chercher le petit bête,34,là ça fait le mec qui cherche la petite bête,that will look like nit-picking,There's the guy who's looking for the little beast.,Literal Translation,0.5902579,0.9162556,-0.3259977
chercher le petit bête,35,j'ai appris il y à 5 ans que burtran était un acteur majeur dans cette mission tu cherches la petite bête donner,we knew five years ago that burtran was a major player in this mission,I learned about it five years ago that Burtran was a major actor in this mission you're looking for the little beast.,Partial Translation,0.8106612,0.9362782,-0.12561703
chercher le petit bête,36,c'est à ça que va ressembler notre vie-- tu vas passer d'un travail à un autre à toujours chercher la petite bête ce n'est pas une question de petite bête libby,is this our life now you going from one job to another always finding some reason why it's not good enough,"that's what our life is going to be like you're just going to go from one job to another and always be chasing the little thing it's not about the little thing, Libby",Good Translation,0.68259954,0.86386824,-0.18126869
