idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
"il faire un froid de canard,un froid de canard",0,il fait un froid de canard ici,it's freezing here,It's a cold duck here.,Literal Translation,0.8535204,0.78552216,0.06799823
"il faire un froid de canard,un froid de canard",1,sapristi il fait un froid de canard,oh jiminy it sure turned cold,My goodness it's freezing cold,Good Translation,0.65902406,0.7041272,-0.045103133
"il faire un froid de canard,un froid de canard",2,j'avais déjà gaspillé l'argent que j'avais reçu à ma sortie et avec ce vent il faisait un froid de canard,i'd already blown the money they gave me and the north wind was colder than hell,I had already squandered the money I received at my discharge and with this wind it was a duck's cold.,Good Translation,0.847968,0.87532085,-0.02735287
"il faire un froid de canard,un froid de canard",3,il fait un froid de canard,it's cold enough to freeze the ears off a monkey,It's freezing cold.,Literal Translation,0.70459,0.79595625,-0.09136623
"il faire un froid de canard,un froid de canard",4,il fait un froid de canard dans cette cabine,this phone booth is freezing,It's freezing in here.,Good Translation,0.66733444,0.7997463,-0.13241184
"il faire un froid de canard,un froid de canard",5,il fait un froid de canard dehors,it's cold as hell outside,it's as cold as a duck's bottom outside,Good Translation,0.81401145,0.7772156,0.036795855
"il faire un froid de canard,un froid de canard",6,il fait un froid de canard et,it's freezing and,It's a cold like duck and,Literal Translation,0.82011205,0.79027116,0.029840887
"il faire un froid de canard,un froid de canard",7,on était en chemise et en pantalon léger mais il faisait un froid de canard,we had to run round in shirts and thin trousers but it was actually bloody cold,We were in a shirt and light trousers but it was as cold as duck's guts.,Good Translation,0.7882153,0.79440826,-0.006192982
"il faire un froid de canard,un froid de canard",8,il fait un froid de canard ici,it's colder than a goblin's ass out here huh ha ha,It's freezing here.,Literal Translation,0.7710842,0.8354202,-0.064336
"il faire un froid de canard,un froid de canard",9,putain il fait un froid de canard,fucking cold as hell,It's freezing cold outside.,Partial Translation,0.74391884,0.7463037,-0.0023848414
"il faire un froid de canard,un froid de canard",10,il fait un froid de canard dans cette maison,it's really cold in here,It's freezing in this house.,Good Translation,0.8347602,0.8871599,-0.052399695
"il faire un froid de canard,un froid de canard",11,- en plus il fait un froid de canardbr,- and it's freezing cold,- besides it is freezing,Good Translation,0.7787875,0.7577653,0.0210222
"il faire un froid de canard,un froid de canard",12,il faisait un froid de canard à 11h le matin de noël,it was below freezing 1100 am on christmas morning,It was freezing at 11am on Christmas morning.,Good Translation,0.8388386,0.8577318,-0.018893242
"il faire un froid de canard,un froid de canard",13,il fait un froid de canard dehors,it' cold outside like winter,It's freezing outside.,Good Translation,0.8271867,0.81698483,0.010201871
"il faire un froid de canard,un froid de canard",14,et il fait un froid de canard et il n'y a que du poisson,it's so crikey cold and dark up there and there's only fish to eat,and it's duck cold and there's only fish,Partial Translation,0.7727013,0.8275237,-0.054822385
"il faire un froid de canard,un froid de canard",15,où il fait un froid de canard,where it's freezing cold,where it freezes like a duck's bottom,Good Translation,0.7642338,0.61882424,0.14540958
"il faire un froid de canard,un froid de canard",16,pilar il fait un froid de canard,hey pilar it's awfully cold here,It's a cold of ducks.,Literal Translation,0.85325307,0.6766057,0.17664737
"il faire un froid de canard,un froid de canard",17,il faisait un froid de canard,it was usually bitterly cold,It was a cold enough day to freeze the balls off a brass monkey.,Literal Translation,0.749584,0.7074254,0.042158604
"il faire un froid de canard,un froid de canard",18,il fait un froid de canard ici,it's getting cold in here,it is freezing here,Good Translation,0.87159586,0.8541949,0.01740098
"il faire un froid de canard,un froid de canard",19,il fait un froid de canard pas vrai,pretty chilly out here,It's really freezing isn't it.,Good Translation,0.7176658,0.7530749,-0.035409093
"il faire un froid de canard,un froid de canard",20,il fait un froid de canard et les bottes de mon oncle me tuent,do you know it's freezing outside and i'm wearing my uncle's boots so now i've a blister,It's freezing like a duck and my uncle's boots are killing me,Good Translation,0.7041399,0.83733,-0.1331901
"il faire un froid de canard,un froid de canard",21,il fait un froid de canard,it's colder than a well digger's ass man,it's cold as a duck,Literal Translation,0.7168703,0.7563195,-0.039449215
"il faire un froid de canard,un froid de canard",22,il fait un froid de canard dehors,there's a chill out there,It's freezing outside.,Good Translation,0.7540705,0.81698483,-0.06291431
"il faire un froid de canard,un froid de canard",23,il fait un froid de canard mais elle pourrait y survivre,cold as hell down there but she'd survive on the surface,It's a duck cold but she could survive it,Literal Translation,0.811298,0.8300564,-0.018758416
"il faire un froid de canard,un froid de canard",24,il fait un froid de canard là-bas,it's freezing up there,it's freezing there,Unnatural,0.83736336,0.84105533,-0.0036919713
"il faire un froid de canard,un froid de canard",25,- il fait un froid de canard,- it's freezing cold,"- it's freezing (literally ""it makes a duck cold"")",Good Translation,0.83143306,0.69806623,0.13336682
"il faire un froid de canard,un froid de canard",26,il fait un froid de canard aujourd'hui,it's so cold today,It's freezing today.,Good Translation,0.84265137,0.81588537,0.026766002
"il faire un froid de canard,un froid de canard",27,il fait un froid de canard chérie,it's freezing out there babe,It's freezing cold.,Good Translation,0.79795635,0.75920403,0.038752317
"il faire un froid de canard,un froid de canard",28,il fait un froid de canard dehors,it's freezing outside,It's as cold as a duck's backside outside.,Good Translation,0.8292028,0.77154136,0.057661414
