idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
boire comme un trou,0,elle a commencé à boire comme un trou,she started a drinking binge,She started drinking like a hole.,Good Translation,0.86831,0.9462364,-0.0779264
boire comme un trou,1,putain de salope arrête de boire comme un trou au déjeuner,you shouldn't have drank so much water at lunch,"Dirty bitch, stop drinking like a hole at lunchtime.",Literal Translation,0.5970742,0.7601616,-0.16308737
boire comme un trou,2,vous avez dû boire comme des trous,how much did you drink,You must have drunk like holes.,Good Translation,0.7429521,0.8805073,-0.13755518
boire comme un trou,3,ils boivent comme des trous,they're drinkin' like fishes,They drink like holes.,Good Translation,0.8641597,0.9290807,-0.06492102
boire comme un trou,4,jake je ne veux pas que tu boives comme un trou,i don't want you drinking a whole lot tonight jake,"Jake, I don't want you to drink like a hole.",Good Translation,0.78680307,0.90413535,-0.11733228
boire comme un trou,5,en ne faisant rien sauf boire comme un trou,quitting work devoting yourself to drinking,by doing nothing but drinking like a hole.,Literal Translation,0.6085567,0.93934536,-0.33078867
boire comme un trou,6,je hais le scotch et je ne suis pas du genre à boire comme un trou,i hate scotch and i'm not exactly in the habit of drinking myself into oblivion,I hate Scotch and I'm not the type to drink like a hole in the wall.,Good Translation,0.8924722,0.90210664,-0.009634435
boire comme un trou,7,si je pouvais je boirais comme un trou,i could i would drink lots,"If I could, I'd drink like a hole.",Good Translation,0.78781986,0.8874108,-0.09959096
boire comme un trou,8,je peux boire comme un trou,i can drink loads,I can drink like a hole.,Good Translation,0.78536,0.8992898,-0.11392981
boire comme un trou,9,j'ai prévu de boire comme un trou,i plan on drinking a lot,I'm going to drink like a hole.,Good Translation,0.8128485,0.87665087,-0.06380236
boire comme un trou,10,tu es sûrement conscient qu'une intervention habituellement ne consiste pas à boire comme des trous pas vrai,you do realize that interventions typically don't involve binge drinking,you must be aware that an intervention usually doesn't involve drinking like holes aren't you,Unnatural,0.8605572,0.8949297,-0.03437251
boire comme un trou,11,allons-nous continuer de boire comme des trous,are we gonna drink everything in the house,Let's continue drinking like holes.,Unnatural,0.70982176,0.8164996,-0.10667783
boire comme un trou,12,en gros tu vas boire comme un trou et coucher avec toutes les nationalités,- who don't speak english,roughly you are going to drink like a drain and sleep with all the nationalities,Unnatural,0.41514084,0.90764236,-0.49250153
boire comme un trou,13,c'est juste une excuse pour boire comme des trous tout le week-end,it's really just an excuse to drink like germans for a weekend,It's just an excuse to drink like a hole all weekend long.,Good Translation,0.8279916,0.9427131,-0.11472148
boire comme un trou,14,il a commencé à boire comme un trou,started drinking like a fish,he started drinking like a hole,Good Translation,0.85423535,0.9542874,-0.10005206
boire comme un trou,15,est-ce que ça l'autorise à passer sa vie à boire comme un trou et à taper sur les filles,does that entitle him to spend his life drinking barrels of whisky and punching girls on the nose,Is that why he gets to spend his life drinking like a hole and hitting on girls?,Unnatural,0.7407099,0.84171593,-0.10100603
boire comme un trou,16,tu sais qui est à une table en train de boire comme un trou non pas sting,you'll never guess who is sitting at the bar pounding down booze,You know who is at a table drinking like a hole not even Sting,Partial Translation,0.71995735,0.8839299,-0.16397256
