idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
le habit ne faire pas le moine,0,l'habit ne fait pas le moine,a wolf in sheep's clothing,Appearance does not make the monk,Unnatural,0.4989165,0.78688467,-0.28796816
le habit ne faire pas le moine,1,- eh oui l'habit ne fait pas le moine,yes clothes don't make the man,- ah yes the clothes do not make the monk,Unnatural,0.7787178,0.87553906,-0.09682125
le habit ne faire pas le moine,2,mais l'habit ne fait pas le moine,you sound convinced you'll see,but the cloak does not make the monk,Literal Translation,0.3838062,0.8668444,-0.48303822
le habit ne faire pas le moine,3,l'habit ne fait pas le moine je suppose,guess you can never judge a book by its cover,you can't judge a book by its cover I suppose,Good Translation,0.5382658,0.58304584,-0.044780016
le habit ne faire pas le moine,4,l'habit ne fait pas le moine mais quand sera-t-il là votre chef de bureau,now he can buy his darling another necklace,The habit doesn't make the monk but when will he be there your office chief?,Partial Translation,0.4075644,0.8767948,-0.4692304
le habit ne faire pas le moine,5,l'habit ne fait pas le moine monsieur,don't judge a book by its cover sir,Clothes do not make the monk sir.,Good Translation,0.5718671,0.81059253,-0.23872542
le habit ne faire pas le moine,6,m hobbs dit que l'habit ne fait pas le moine,mr hobbs says clothes don't make the man,Hobbes says that clothes do not make the monk.,Good Translation,0.8607284,0.8371911,0.023537278
le habit ne faire pas le moine,7,l'habit ne fait pas le moine pas vrai les gars,sure as shit can't tell a book by its cover huh boys,Clothes don't make the monk not true guys,Literal Translation,0.5857154,0.84561324,-0.25989783
le habit ne faire pas le moine,8,- l'habit ne fait pas le moine,- well you can't judge a book by its cover,- clothes do not make the monk,Good Translation,0.55535924,0.88114464,-0.3257854
le habit ne faire pas le moine,9,je sais lucy mais l'habit ne fait pas le moine,yeah i know lucy but you can't judge a book by its cover,I know Lucy but the habit does not make the monk.,Mistranslation,0.6655243,0.83686435,-0.17134005
le habit ne faire pas le moine,10,c'est l'illustration du dicton l'habit ne fait pas le moine,this is a classic example of not judging a book by its cover,That is an illustration of the saying 'dress does not make the monk.',Good Translation,0.59823763,0.8212915,-0.22305387
le habit ne faire pas le moine,11,tu sais l'habit ne fait pas le moine,well none of us are who we seem on paper,You can't judge a book by its cover.,Good Translation,0.5221618,0.49917024,0.022991538
le habit ne faire pas le moine,12,l'habit ne fait pas le moine,not everything's as it seems,Dress does not make a monk.,Good Translation,0.52067673,0.7929332,-0.2722565
le habit ne faire pas le moine,13,roberto est un expert de l'escalade qui considère que l'habit ne fait pas le moine,roberto is an expert rock climber who believes that you can't always judge a book by its cover,Roberto is a climbing expert who considers that clothes don't make the monk.,Good Translation,0.7606188,0.85637534,-0.09575653
le habit ne faire pas le moine,14,- l'habit ne fait pas le moine,- one man's ceiling is another man's floor,- clothes don't make the monk.,Unnatural,0.45872027,0.847196,-0.38847572
le habit ne faire pas le moine,15,l'habit ne fait pas le moine regardez ça,i'm happy to meet you banemon,"Clothes don't make the monk, look at that.",Mistranslation,0.46133226,0.80807227,-0.34674
le habit ne faire pas le moine,16,je sais on dit l'habit ne fait pas le moine,it's true men are not always what they seem,You can't judge a book by its cover.,Good Translation,0.5703454,0.5150813,0.055264115
le habit ne faire pas le moine,17,l'habit ne fait pas le moine dit-on mais nous jugeons souvent trop vite n'est-ce pas,you shouldn't judge a book by its cover but we still do that don't we,"Appearance doesn't make the monk one says, but we judge too quickly often, isn't that so?",Good Translation,0.61364675,0.85011077,-0.23646402
