idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tout cracher,0,tout craché oui,basically,"All said and done, yes.",Good Translation,0.47886425,0.64506966,-0.1662054
tout cracher,1,c'est elle tout craché,right there,It's her to a T,Good Translation,0.483051,0.58393145,-0.100880444
tout cracher,2,soyez diplomate du janeway tout craché,diplomacy janeway's answer to everything,Be Janeway's diplomatic self,Good Translation,0.7611623,0.754524,0.0066382885
tout cracher,3,c'est du oliver queen tout craché,hmm sounds like typical oliver queen thinking,That's Oliver Queen to the core,Good Translation,0.61938155,0.6640548,-0.044673264
tout cracher,4,c'est toi tout craché tess,this is so typical tess,You're a dead ringer for your dad!,Mistranslation,0.65606487,0.5092726,0.1467923
tout cracher,5,- je te tue son père tout craché,that's my boy,- I'll kill your father right now.,Literal Translation,0.46281236,0.76418734,-0.30137497
tout cracher,6,c'est elle tout craché,oh it's just like her,she's a total brat,Mistranslation,0.5902817,0.72959566,-0.13931394
tout cracher,7,- c'est moi tout craché,that's me all right,"- that's me to a T, I'm just like my father.",Partial Translation,0.6268877,0.53089714,0.09599054
tout cracher,8,j'ai lu une étude sur les diplômés en droit et c'était mon profil tout craché,well i saw this graph of recent graduates from my law school and statistically i was right where it said i should be,I read a study on law graduates and that was me in a nutshell.,Good Translation,0.68379474,0.7716806,-0.08788586
tout cracher,9,ça c'est toi tout craché,this is typical of you,That's you to a T.,Good Translation,0.5844728,0.55847454,0.025998235
tout cracher,10,ça c'est roy tout craché,that definitely sounds more up roy's alley,That's absolutely royal.,Literal Translation,0.54304993,0.55821776,-0.015167832
tout cracher,11,- ça c'est du axler tout craché,this is who he is,- That's pure Axelrod through and through.,Good Translation,0.4608992,0.62126935,-0.16037014
tout cracher,12,cri perçant c'est june tout craché,squeals that's the perfect june,"I'm not aware of a French song with these exact lyrics. However, ""Cri Perçant"" is the title track from a 1994 album by the French punk rock band Cri du peuple.",Hallucination,0.68363583,0.52540016,0.15823567
tout cracher,13,c'est victor tout craché,he looks just like victor,It's Victor in one piece.,Literal Translation,0.6521181,0.64554954,0.006568551
tout cracher,14,c'est son père tout craché,just like his father,It's his father to a T.,Good Translation,0.6725362,0.6512202,0.021315992
tout cracher,15,-c'est katrin tout craché,-that's katrin,-It's all Katrin.,Unnatural,0.7422701,0.7331722,0.009097934
tout cracher,16,la sainte vierge tout craché,she looks just like the virgin mary,The Virgin Mary full of grace.,Mistranslation,0.51988894,0.541325,-0.021436036
tout cracher,17,c'est ton portrait tout craché,he's just like you,That's your spitting image.,Good Translation,0.49216595,0.6344015,-0.14223555
tout cracher,18,c'est lui tout craché s'accusant d'avoir tué ton père au tournoi de la police il se morfond dans la solitude,a man like sanshiro must feel somehow responsible for his death,It's him in a nutshell admitting to killing your father at the police tournament he is consumed by solitude.,Partial Translation,0.56476396,0.8265197,-0.26175576
tout cracher,19,laura tout craché,sounds like laura,she blew everything to smithereens,Mistranslation,0.59530294,0.5271619,0.06814104
tout cracher,20,son grand-père tout craché,just like his grandpa,his grandfather in every way or his real grandfather,Good Translation,0.71038187,0.71342444,-0.0030425787
tout cracher,21,c'est cece tout craché,that is so cece,It's completely ruined.,Mistranslation,0.6001799,0.63403106,-0.033851147
tout cracher,22,c'est toi tout craché,this is so fucking typical of you,It's you to a tee.,Good Translation,0.5907267,0.5453737,0.045352995
tout cracher,23,- du hogan tout craché,- anyway out of nowhere nowhere came this brilliant idea,the whole nine yards,Mistranslation,0.48806536,0.52473295,-0.036667585
tout cracher,24,- c'est vous tout craché,- it is really you,You're one of us,Mistranslation,0.5835318,0.5066979,0.076833904
tout cracher,25,c'est du emily kmetko tout craché,it's emily kmetko all over again,It's Emily Kmetko to a T.,Good Translation,0.75900793,0.6728581,0.08614981
tout cracher,26,c'est jonathan tout craché,jonathan would do that,That's Jonathan through and through.,Good Translation,0.56257355,0.60525835,-0.042684793
tout cracher,27,vous allez rire ce type james sidas c'est vous tout craché,you're gonna laugh but i swear this guy james sidas looks exactly like you,"You'll laugh at this guy James Sidus, he's a dead ringer for you.",Good Translation,0.7631234,0.6741468,0.08897662
tout cracher,28,mon fils tout craché,sounds like my son,my son to his fingertips,Mistranslation,0.6429297,0.66869724,-0.025767565
tout cracher,29,toi t'es mon père tout craché,you- - you look just like my father,You're my father in every way,Good Translation,0.63583076,0.7487304,-0.11289966
tout cracher,30,- c'est son style tout craché,- goddamn right it's just her style,It's his style all right.,Mistranslation,0.6828617,0.6789942,0.003867507
tout cracher,31,c'est lui tout craché,that's how he likes to do it,That's him to a tee / That's the real thing / He's the genuine article / He's a typical example of the type.,Good Translation,0.5663404,0.43875003,0.12759036
tout cracher,32,- croyez-moi il a tout craché,believe me he gave up all he's got,- believe me he has blown it all,Good Translation,0.8048019,0.90595096,-0.10114908
tout cracher,33,oui c'était jack tout craché,yep that was you jack,"Yes, it was Jack to a tee.",Good Translation,0.66579294,0.6756809,-0.009887934
tout cracher,34,oui c'est du justin tout craché,yeah that sounds like justin,Yes it's all Justin,Literal Translation,0.70060307,0.7495754,-0.04897231
tout cracher,35,c'est bien ma fille sa mère tout craché,that's my daughter just like her mother,"That's my daughter, her mother in a nutshell.",Good Translation,0.7607529,0.74874234,0.012010574
tout cracher,36,elle a presque déjà tout craché aux infos sur l'invasion extra-terrestre,she almost went on the news and blew the whistle on the entire alien invasion,she's almost already spat out everything to the news about the extraterrestrial invasion,Good Translation,0.79855263,0.91885173,-0.1202991
