idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être le dindon de le farce,0,non mais on sera les dindons de la farce,no but we're farting on our own candle,"no, but we'll be the fools of the prank",Good Translation,0.5538603,0.69551736,-0.14165705
être le dindon de le farce,1,- c'est le dindon de la farce,- it's the classic barnacle,- it's the duck in the joke,Partial Translation,0.58563745,0.7134513,-0.12781388
être le dindon de le farce,2,tu n'as pas besoin de moi pour être le dindon de la farce,you don't need me to make a fool of you,you don't need me to be the scapegoat,Partial Translation,0.77014154,0.72422445,0.045917094
être le dindon de le farce,3,ruben est le dindon de la farce,the joke's on ruben,Ruben is the fall guy.,Good Translation,0.771766,0.66226256,0.10950345
être le dindon de le farce,4,- et j'ai été le dindon de la farce,- you played me for a sap,and I was the fall guy,Good Translation,0.5857285,0.66693026,-0.08120173
être le dindon de le farce,5,comment as-tu pu me laisser être le dindon de la farce comme ça,how could you have let me make a fool out of meself like that,how could you let me be the punchline of the joke like that,Unnatural,0.81208915,0.7835717,0.028517425
être le dindon de le farce,6,il a été le dindon de la farce,he was a big turkey up there,he was the laughing stock,Good Translation,0.58237946,0.6973113,-0.11493182
être le dindon de le farce,7,si tu n'étais pas blanc tu étais le dindon de la farce,the truth is if you weren't white you were the joke,"if you weren't white, you were the fool of the joke",Good Translation,0.7741213,0.81714,-0.0430187
être le dindon de le farce,8,- on est les dindons de la farce,- guess what the joke's on us,- we are the fools of the joke,Good Translation,0.6636855,0.7638229,-0.10013741
être le dindon de le farce,9,et je refuse d'être le dindon de la farce,and i don't know whether i'm gonna let him get the last laugh on me or not what,and I refuse to be the fool of the joke,Good Translation,0.56121385,0.81854665,-0.2573328
être le dindon de le farce,10,vous êtes le dindon de la farce,you're the punch line,you are the turkey in the joke,Unnatural,0.6579107,0.7028523,-0.044941604
être le dindon de le farce,11,en plus j'ai voulu me payer la tête de sa femme et c'est moi qui suis le dindon de la farce,one inculcates a humorous relationship with a brother's wife i was the one who ended up being the butt of the joke right,"In addition, I wanted to get my hands on his wife's head and it's me who ended up being the fool in this joke.",Mistranslation,0.656782,0.78838694,-0.13160497
être le dindon de le farce,12,on est les dindons de la farce ou quoi,you think we are dumb as turkeys,we are the chickens in the joke or what,Partial Translation,0.54042983,0.7010658,-0.16063595
être le dindon de le farce,13,je crois que nous sommes les dindons de la farce,i think we're being punked,I think we are the turkeys in the joke.,Good Translation,0.7232208,0.73802376,-0.014802933
être le dindon de le farce,14,bien sûr par moment j'étais le dindon de la farce mais rien de bien grave,yes i was the butt of the occasional practical joke but i mean ernothing sinister,of course at times I was the fall guy but nothing too serious,Good Translation,0.73050493,0.8115024,-0.08099747
être le dindon de le farce,15,mais je t'ai épousée je suis le dindon de la farce,i know but i'm married to you so the joke's on me,but I married you I'm the chicken in the pot,Literal Translation,0.6958908,0.70864105,-0.012750268
être le dindon de le farce,16,tu es le dindon de la farce,i'm not pregnant,you are the fool in the prank,Mistranslation,0.33578318,0.65591276,-0.32012957
être le dindon de le farce,17,c'était le dindon de la farce,he was the one deceived,it was the fall guy,Good Translation,0.5785111,0.57179856,0.006712556
être le dindon de le farce,18,ça ne me dérange pas d'être le dindon de la farce,i don't mind being the butt of your jokes,It doesn't bother me to be the butt of the joke,Good Translation,0.7018851,0.74294,-0.041054904
être le dindon de le farce,19,et je suis le dindon de la farce,and i am the fool,and I am the turkey in the joke,Unnatural,0.71127987,0.6892406,0.022039294
être le dindon de le farce,20,j'ignore qui est le dindon de la farce mais faut arrêter ça,i still can't figure out who the poor sucker is they're making the deal with but we gotta stop it,I ignore who is the fool of the joke but we need to stop this,Unnatural,0.70390064,0.759042,-0.05514139
être le dindon de le farce,21,j'ai l'impression d'être le dindon de la farce,it doesn't seem like reality to me,I feel like I'm the fool in the joke,Good Translation,0.63915515,0.78655165,-0.1473965
être le dindon de le farce,22,en définitive j'ai été le dindon de la farce,i turned out to be the prize sucker,"in the end, I was the fall guy",Good Translation,0.6392998,0.70862025,-0.06932044
