idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire un tabac,0,tu feras un tabac,that's a definite,you will make a hit,Good Translation,0.49153167,0.7289648,-0.23743314
faire un tabac,1,ça ferait un tabac,i'm sure it'd be really popular,it would make a big splash,Good Translation,0.64124954,0.649508,-0.008258462
faire un tabac,2,ça ferait un tabac,people would love it,it would make a huge difference,Mistranslation,0.64032555,0.6601409,-0.019815326
faire un tabac,3,- ce film va faire un tabac,- we've got a blockbuster,- this film is going to be a hit,Good Translation,0.6677115,0.8129549,-0.1452434
faire un tabac,4,deux de mes parfums ont fait un tabac cette année alors j'ai décidé de me faire remodeler pour la saison des amours,two of my scents became best sellers this year so i decided to do a little remodeling for the dating season,Two of my perfumes have been a hit this year so I decided to get remodeled for the love season,Good Translation,0.86975265,0.918975,-0.04922235
faire un tabac,5,il va faire un tabac,i'm telling you he's going to bowl people over,it's going to be a hit,Good Translation,0.59483457,0.5885818,0.0062527657
faire un tabac,6,on aurait fait un tabac avec un nom pareil,hey that would've sent albums flying out of the store,We would have made a fortune with a name like that,Unnatural,0.56186914,0.69140786,-0.12953871
faire un tabac,7,il avait fait un tabac avec von,he'd really made a big score with von,He made a huge success with von.,Good Translation,0.6872591,0.66154313,0.025715947
faire un tabac,8,comme commercial if ferait un tabac,he'd be a hit as a salesman,like a commercial would make it very popular,Literal Translation,0.5992806,0.6006423,-0.0013617277
faire un tabac,9,ça peut faire un tabac,sounds pretty good,it can create a stir,Good Translation,0.54190683,0.6029571,-0.061050296
faire un tabac,10,ta vidéo fait un tabac,your video got more hits than 2 girls 1 cup it's fucking viral,Your video is really popular,Good Translation,0.6544826,0.76662374,-0.11214113
faire un tabac,11,ça fait un tabac,that's what they call it it's a bestseller,it's a mess,Mistranslation,0.5669766,0.6710388,-0.1040622
faire un tabac,12,chef johnson n'hésitez pas à regarder la télé ce soir je suis certain que cette histoire va faire un tabac,well chief johnson you might wanna tune in tonight because i assure you every network is gonna run with this story,"chef johnson don't hesitate to watch TV tonight, I'm sure this story is going to be a hit",Good Translation,0.79197574,0.911038,-0.119062245
faire un tabac,13,c'est triste il allait faire un tabac,it's sad too 'cause i mean he was going to be huge,it's sad he was going to make a huge success,Good Translation,0.6898519,0.70750195,-0.017650068
faire un tabac,14,vous avez fait un tabac,you brought the house down,you made a big splash,Good Translation,0.61832285,0.6130747,0.0052481294
faire un tabac,15,le nom de cette magnifique femme est connie chance et elle est là aujourd'hui pour faire un tabac dans le monde de la musique,this beautiful woman's name is connie chance and she is here today to make it big in the music business,The name of this wonderful woman is Known Chance and she is here today to make a splash in the world of music.,Good Translation,0.91362625,0.8264102,0.08721608
faire un tabac,16,- ca ferait un tabac ici,- that could go over big here,- it would make a splash here,Good Translation,0.6615861,0.64932686,0.012259245
