idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se serrer le ceinture,0,j'ai juste pris l'habitude de me serrer la ceinture,i've just gotten used to packing light,I have just gotten used to tightening my belt,Good Translation,0.7280384,0.82818455,-0.100146174
se serrer le ceinture,1,on peut se serrer la ceinture,we can tighten it up,we can tighten our belt,Good Translation,0.76753414,0.7644049,0.0031292439
se serrer le ceinture,2,il faut se serrer la ceinture,we have to tighten our belts,it needs tightening the belt,Literal Translation,0.8257032,0.78995234,0.035750866
se serrer le ceinture,3,les temps sont durs on doit tous se serrer la ceinture,times are tough and we're all having to clamp down,times are hard we all have to tighten our belts,Good Translation,0.88132864,0.91664636,-0.03531772
se serrer le ceinture,4,avec la crise le directeur financier veut qu'on se serre la ceinture,our cfo feels we need to do some belt-tightening,with the crisis the CFO wants us to tighten our belts,Good Translation,0.6539418,0.8073788,-0.15343702
se serrer le ceinture,5,il va falloir se serrer la ceinture,we have to tighten our belts,We will have to tighten our belts.,Good Translation,0.70854074,0.70395505,0.0045856833
se serrer le ceinture,6,on se serre la ceinture,we're just on a budget,we tighten our belt,Good Translation,0.39419788,0.5894619,-0.19526404
se serrer le ceinture,7,- je dois déjà me serrer la ceinture,- i live on a shoestring as it is,I already have to tighten my belt,Good Translation,0.60182977,0.7835304,-0.18170065
se serrer le ceinture,8,même si son prix est avantageux on va devoir se serrer la ceinture,even with the buy we're getting we're gonna have to tighten our belts,"even though its price is advantageous, we will have to tighten our belt",Good Translation,0.7614944,0.8896861,-0.12819171
se serrer le ceinture,9,il faudrait se serrer la ceinture mais c'était notre avenir,we had to tighten our belts for the loan payments but it was our future,it would have been necessary to tighten our belt but it was our future,Good Translation,0.8214649,0.8808997,-0.05943483
se serrer le ceinture,10,je me serre la ceinture pour pouvoir te rembourser plus vite,and just so you know i'm making a lot of cutbacks so i can pay you back quicker,I tighten my belt to be able to repay you faster,Good Translation,0.77976596,0.8891722,-0.10940623
se serrer le ceinture,11,tous les américains doivent se serrer la ceinture,every american must tighten belt,all Americans must tighten their belts,Good Translation,0.86225986,0.9066997,-0.044439852
se serrer le ceinture,12,on doit tous se serrer la ceinture chéri,we've all been asked to tighten our belts,we all have to tighten our belts dear,Good Translation,0.8094751,0.86762524,-0.058150113
se serrer le ceinture,13,on doit depuis se serrer la ceinture car les transports sont horriblement chers,now we must pull in our horns a bit as the cost of transport here is terrific,we have to tighten our belts since transportation is horribly expensive,Good Translation,0.8256513,0.8986962,-0.073044896
se serrer le ceinture,14,on se serrait la ceinture,we were both struggling,we tightened our belts,Good Translation,0.47500354,0.6313931,-0.15638953
se serrer le ceinture,15,d'un côté on ne s'en sort pas très bien alors on va se serrer la ceinture toute cette semaine,the bad news is we're not doing very well so we really had to starve ourselves this whole week,"On's not doing so well on one side, so we're going to tighten our belts for the whole week.",Good Translation,0.738389,0.8565789,-0.11818987
se serrer le ceinture,16,- on se serrera la ceinture,- so we'll tighten our belts,- we will tighten our belt,Partial Translation,0.5432229,0.5460581,-0.0028352141
se serrer le ceinture,17,je sais qu'on se serre la ceinture,i know that money's really tight,I know we're tightening our belts.,Good Translation,0.6691497,0.7506809,-0.08153123
se serrer le ceinture,18,mais il va falloir qu'on se serre la ceinture,but we've gotta tighten belts,but we'll have to tighten our belts,Good Translation,0.8355917,0.8501115,-0.014519811
se serrer le ceinture,19,je n'ai plus d'argent de poche et je ne veux pas me serrer la ceinture,needless to say my allowance has been impacted i don't want to tighten my belt,I don't have any pocket money left and I don't want to tighten my belt.,Good Translation,0.74663305,0.85223067,-0.105597615
se serrer le ceinture,20,on se serrera la ceinture pendant quelques mois et nous reviendrions à la normale,we tighten up the belt for a few months we'll be back to normal,We will tighten our belts for a few months and things will go back to normal.,Good Translation,0.8278911,0.823915,0.0039761066
se serrer le ceinture,21,donc quand j'avais 7 ans j'ai décidé tu sais qu'il était temps de me serrer la ceinture,so when i was seven i decided you know it was time to tighten it up,"so when I was 7 years old, I decided you know it was time to tighten my belt",Good Translation,0.89378,0.90457547,-0.010795474
se serrer le ceinture,22,on n'a qu'à se serrer la ceinture,we'll have to tighten our belts,we have to tighten our belt,Good Translation,0.6794296,0.7098089,-0.030379295
se serrer le ceinture,23,si adam peut se serrer la ceinture moi aussi,if adam can tighten his belt i can tighten mine,"if Adam can tighten his belt, so can I",Good Translation,0.86101127,0.8373904,0.023620844
se serrer le ceinture,24,avec la crise tout le monde se serre la ceinture,yeah looks like everybody's tightening their belts in this economy,with the crisis everyone is tightening their belt,Good Translation,0.7815615,0.88241434,-0.10085285
se serrer le ceinture,25,je te l'ai dit on doit se serrer la ceinture,we don't want kids for a long time it's good to be young without kids we kill kids,I told you we need to tighten our belt.,Literal Translation,0.380404,0.8029141,-0.4225101
se serrer le ceinture,26,nous devons trouver un moyen de se serrer la ceinture par ici,we got to figure out a way to tighten our belts around here,We need to find a way to tighten our belt here.,Good Translation,0.884985,0.89077866,-0.005793631
se serrer le ceinture,27,on va devoir se serrer la ceinture,just for the moment,We're going to have to tighten our belt.,Good Translation,0.5453106,0.8437562,-0.29844558
se serrer le ceinture,28,je dois aussi me serrer la ceinture,i should be tightening my belt too,I also have to tighten my belt,Good Translation,0.81129783,0.8040069,0.0072909594
se serrer le ceinture,29,on a dû se serrer la ceinture,we just had to do a little belt-tightening,we had to tighten our belt,Good Translation,0.7609471,0.8371767,-0.07622957
se serrer le ceinture,30,on doit tous se serrer la ceinture n'est-ce pas les propriétaires et les locataires,i mean i think some belt-tightening is in order for everybody you know landlords and-and tenants alike,we all have to tighten our belts don't we owners and tenants,Good Translation,0.7842345,0.87940013,-0.09516561
se serrer le ceinture,31,j'ai fait la liste des postes où on va pouvoir se serrer la ceinture,so i've made a list of places where we can tighten our belts,I have made the list of positions where we will need to cut costs.,Good Translation,0.85076416,0.7212752,0.12948895
se serrer le ceinture,32,on va se serrer la ceinture ou on ne va jamais faire de bénéfice,we have tighten up around here or we will never turn a profit,We are going to have to tighten our belts or we will never make a profit.,Good Translation,0.7977411,0.84630954,-0.048568428
se serrer le ceinture,33,- il va peut-être falloir se serrer la ceinture,-might be time for a little belt-tightening,- it may be necessary to tighten the belt,Good Translation,0.82438785,0.8304461,-0.0060582757
se serrer le ceinture,34,certes on va se serrer la ceinture mais ça vaut le coup si on se sent enfin vivant non,i mean yes we'll have to cut back a little bit but isn't it worth it if you feel like you're living for the first time,"Surely we'll tighten our belts, but it's worth it if we finally feel alive, isn't it?",Good Translation,0.7649642,0.86305994,-0.098095715
se serrer le ceinture,35,va falloir se serrer la ceinture hein,at home you'll have to tighten your belts again huh,"we're going to have to tighten our belts, huh",Good Translation,0.7268579,0.757114,-0.030256093
se serrer le ceinture,36,on réduira les coûts on se serrera la ceinture,we'll tighten our belts it'll be okay,we will reduce costs by tightening our belts,Good Translation,0.6632719,0.7924373,-0.12916541
se serrer le ceinture,37,tout le monde se serre la ceinture,everybody tightens their belt,everyone is tightening their belt,Good Translation,0.862455,0.86091506,0.0015399456
se serrer le ceinture,38,on se serrera la ceinture,we'll pull in our belts and pull up our boots,we will tighten our belt,Good Translation,0.38723096,0.41001457,-0.022783607
se serrer le ceinture,39,on devra se serrer la ceinture pendant un an ou deux,we may have to live frugally for a year or two but why do you think he picked me,We will have to tighten our belts for one or two years.,Good Translation,0.5414009,0.8386636,-0.29726267
se serrer le ceinture,40,il faudra se serrer la ceinture un mois ou deux,we're just gonna have to suck it up for a couple months,We will have to tighten our belts for one or two months.,Good Translation,0.72026396,0.8631685,-0.14290452
