idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
rendre le âme,0,nous avons perdu beaucoup de temps à essayer de comprendre l'âme alors que la partie matérielle de notre être reste une terre inconnue,we wasted so much time trying to study the soul meanwhile the material element of our beings is still an unknown universe,We have lost a lot of time trying to understand the soul while the material part of our being remains an unknown territory.,Good Translation,0.86899734,0.898587,-0.029589653
rendre le âme,1,ceux qui rendent l'âme ne se rétablissent jamais,those who do die do never recover,those who render their soul never recover,Good Translation,0.7525471,0.86512494,-0.112577856
rendre le âme,2,oui il vient de rendre l'âme,yeah he just expired,yes he has just passed away,Good Translation,0.6669073,0.73783123,-0.070923924
rendre le âme,3,mais moi je suis sur le point de rendre l'âme,i'm the one in trouble,but I am about to render my soul,Literal Translation,0.6041719,0.8900787,-0.28590685
rendre le âme,4,disons qu'il serait en quarantaine jusqu'à ce qu'il rende l'âme,we would all take care of him until he breathes his last breath he would be quarantined,Let's say he would be in quarantine until he passes away.,Good Translation,0.75952876,0.833577,-0.07404822
rendre le âme,5,sa télévision a rendu l'âme,his television cable went kaput,his television gave up the ghost,Good Translation,0.6932147,0.8192811,-0.12606639
rendre le âme,6,mon boulot c'est de prendre les âmes,i take souls for a living,my job is to take souls,Good Translation,0.70001817,0.9127333,-0.21271515
rendre le âme,7,- il a rendu l'âme mais c'est mieux,- it died but it's in a better place now,- he gave up the ghost but it's better,Good Translation,0.7798713,0.9001651,-0.120293796
rendre le âme,8,notre moteur de distortion rend l'âme,our warp drive is failing,our distortion engine gives soul,Literal Translation,0.5583845,0.8965472,-0.33816272
rendre le âme,9,le bel ange transparent ne veut pas rendre l'âme,the beautiful transparent angel won't give its last,the beautiful transparent angel does not want to give up the soul,Good Translation,0.7724157,0.829978,-0.05756229
rendre le âme,10,on peut pas rester ici longtemps et la jeep a rendu l'âme,we can't stay here long and the jeep is dead,We can't stay here long and the jeep died.,Good Translation,0.9017552,0.90877926,-0.0070240498
rendre le âme,11,ca fait quoi de prendre l'âme de quelqu'un,what is it like to take someone's soul,What does it feel like to take someone's soul,Good Translation,0.8192947,0.7962535,0.023041189
rendre le âme,12,pos192230ce truc va bientôt rendre l'âme,damn thing's on its last legs,This thing is about to bite the dust,Good Translation,0.51233417,0.6249199,-0.11258572
rendre le âme,13,le chat a rendu l'âme dans cette pièce,the cat passed away in this room,the cat has rendered its soul in this room,Unnatural,0.75510406,0.8655795,-0.11047542
rendre le âme,14,celle-ci me plaît davantage que la précédente qui a rendu l'âme dieu merci,though i confess i like her better than my last wife who is dead as a doornail now thank god,This one pleases me more than the previous one which thankfully has passed away,Good Translation,0.72550654,0.82205045,-0.09654391
rendre le âme,15,la dernière fois que tu m'as vu j'avais 63 ans prêt à rendre l'âme en cardiologie,last time you saw me i was 63 stretched out on a cardiac ward,"The last time you saw me, I was 63 years old, ready to breathe my last in cardiology.",Good Translation,0.80831,0.89531344,-0.08700347
rendre le âme,16,c'était le signe que j'étais sur le point de rendre l'âme,as a sign i was about to expire,it was the sign that I was about to depart this life,Good Translation,0.76840097,0.83953106,-0.0711301
rendre le âme,17,et à la stupéfaction des infidèles il rendit l'âme,and to the amazement of the infidels he gave up his soul,"and to the amazement of the unbelievers, he breathed his last",Good Translation,0.8183896,0.69707215,0.121317446
rendre le âme,18,non mais cette laitue pourrait bien rendre l'âme d'ici là,no but that lettuce leaf's walked out of fridge on its own,but this lettuce might well die by then,Good Translation,0.57120883,0.7211889,-0.14998007
rendre le âme,19,mes miches ont-elles rendu l'âme pour monter au paradis,did my heinie die and go to heaven,Have my buns gone to heaven to rise up?,Good Translation,0.63180757,0.6456284,-0.013820827
rendre le âme,20,nous nous apprêtons à rendre l'âme de m jones de m shoans à dieu,what do you want with him sonny i just have a very important question i'd like to ask him,we are about to render the soul of M Jones of M Shoans to God,Mistranslation,0.45330065,0.9153702,-0.46206957
rendre le âme,21,il a gagné son procès elle a hurlé ces mots et puis elle a rendu l'âme,he'll win the case she cried out those words and then she was dead,He won his lawsuit she screamed those words and then she died,Good Translation,0.8275118,0.83226806,-0.004756272
rendre le âme,22,on peut prendre l'âme des arbres,can you take tree souls,one can take the soul of the trees,Good Translation,0.7909459,0.9121647,-0.1212188
rendre le âme,23,mon frigo a rendu l'âme juste après l'arrivée de la zone 51,my freezer died right after area 51 showed up,my fridge died just after the arrival of Area 51,Good Translation,0.88619184,0.90066445,-0.014472604
rendre le âme,24,mon téléphone va rendre l'âme,my phone is gonna die just listen,my phone is about to die,Good Translation,0.7449363,0.7905452,-0.045608938
rendre le âme,25,- sa batterie à rendue l'âme,- her battery gave out,- her battery gave up its soul,Unnatural,0.8294854,0.8666029,-0.03711748
rendre le âme,26,trente jours après sa mort nous demandons au seigneur de prendre l'âme de ce professeur bien-aimé,thirty days after his death we ask the lord to gather up the soul of this beloved teacher,"Thirty days after his death, we ask the Lord to take the soul of this beloved professor.",Good Translation,0.9301059,0.9458641,-0.015758157
rendre le âme,27,et si deux moteurs rendaient l'âme,suppose two of your motors became uninterested in further toil,and if two motors gave up the ghost,Good Translation,0.75273913,0.87716603,-0.1244269
rendre le âme,28,tu peux ouvrir ces fenêtres la clim a rendu l'âme,the ac died last week oh that's all right,you can open these windows the AC has died,Good Translation,0.48535427,0.75863236,-0.2732781
rendre le âme,29,mon taureau s'est égaré et a rendu l'âme dans cette crique,my old bull wandered off and died in this here creek,my bull got lost and died in this cove,Good Translation,0.7372172,0.7028794,0.03433776
rendre le âme,30,- il a rendu l'âme,- it just died,- he rendered his soul,Unnatural,0.60268265,0.8670768,-0.26439416
rendre le âme,31,je prie les âmes sensibles de bien vouloir fermer les yeux,i encourage you if you're faint of heart please cover your eyes for i cannot be responsible,I pray that sensitive souls will close their eyes.,Unnatural,0.7500081,0.91853666,-0.16852856
rendre le âme,32,c'est une question de temps avant que cet injecteur rende l'âme vous en avez encore 4,it's just a matter of time before this injector gives up the ghost,it is a matter of time before this injector fails you have 4 more left,Partial Translation,0.7698146,0.87031114,-0.10049653
rendre le âme,33,et bernard rendit l'âme,peever is an imposter,and Bernard rendered his soul,Unnatural,0.39627787,0.7756627,-0.37938485
rendre le âme,34,elle est sur le point de rendre l'âme,she's got minutes to live by the sound of it,she is about to die,Good Translation,0.7186579,0.8198321,-0.101174176
rendre le âme,35,c'est là qu'on a rendu l'âme ma moto et moi,that's where me and my bike died,it's there where we gave our souls to my motorcycle and me,Literal Translation,0.70677215,0.85678273,-0.15001059
rendre le âme,36,ils avaient rendu l'âme,they were gone,they had given up their souls,Good Translation,0.7173085,0.8540406,-0.1367321
rendre le âme,37,qu'un jour il y a longtemps un voyageur malade avait rendu l'âme près du pont,long ago a sick traveller died by the bridge,that long ago a sick traveler had breathed their last near the bridge,Good Translation,0.87304914,0.8722142,0.00083494186
rendre le âme,38,jusqu'au moment où j'ai compris que je devais rendre l'âme pour ainsi dire ou,i stayed in that grief until there was a point where i understood i had to give up the ghost so to speak or,"until the moment when I had to give up my spirit, so to speak, or",Good Translation,0.78269947,0.8650975,-0.08239806
rendre le âme,39,j'aurais rendu l'âme et aucun œil ne m'eût vu,wherefore then has thou brought me forth out of the womb,I would have given up the ghost and no eye would have seen me.,Good Translation,0.40972006,0.8701205,-0.46040046
rendre le âme,40,oh oui la machine a rendu l'âme,oh--oh yeah the washer backed up,oh yes the machine gave up its soul,Good Translation,0.67337793,0.8697611,-0.19638318
rendre le âme,41,je prends les âmes des gens avant qu'ils meurent,i take people's souls before they die,I take people's souls before they die,Good Translation,0.9428965,0.9347315,0.008165002
rendre le âme,42,ma radio a rendu l'âme,i can't get anybody on the damn radio,my radio gave up the ghost,Good Translation,0.6339395,0.7921935,-0.15825397
rendre le âme,43,les réserves d'énergie le réacteur va rendre l'âme,the power surges the reactor is in its final stage,the reactor's energy reserves will give up the ghost,Good Translation,0.63014275,0.80133784,-0.17119509
rendre le âme,44,il va rendre l'âme,he is at death's door mr lorrimer,he will render his soul,Good Translation,0.59695303,0.89080215,-0.2938491
rendre le âme,45,il prendrait l'âme de notre 1er enfant le jour de ses 21 ans,he would take the soul of our first born when he turned 21,It would take our first child's soul on their 21st birthday.,Good Translation,0.8812302,0.8440605,0.037169695
rendre le âme,46,la voiture avait rendu l'âme et moi aussi ce qui m'importait était de savoir que j'avais plus le temps d'accomplir ma destinée,the car had overheated and so had i the only thing that mattered to me was knowing there was no way i could get back in time to fulfill my destiny,"the car had given up its spirit and so had I, what mattered to me was that I no longer had the time to fulfill my destiny",Good Translation,0.73161507,0.83894205,-0.107326984
rendre le âme,47,sainte mère de dieu du ciel prend l'âme de dona elena pour qu'elle ne marche plus dans l'ombre du purgatoire,holy mother of god in heaven take dona elena's soul so she'll stop walking in the shadows of purgatory,Holy mother of God in heaven take Dona Elena's soul so that she walks no more in the shadow of purgatory,Good Translation,0.8492621,0.80842793,0.04083419
rendre le âme,48,ma voiture a rendu l'âme alors j'ai appelé un taxi pour rentrer chez moi,my car died so i called a cab to get home,my car died so I called a taxi to go home,Good Translation,0.8813429,0.93272364,-0.051380754
rendre le âme,49,de façon à ce qu'il sorte gagnant il doit prendre les âmes qui agissent de leur propre chef,in order for these things to win they have to take over a soul that acts with its own free will,in order for him to come out as a winner he must take those souls who act on their own accord,Good Translation,0.7778481,0.89642,-0.11857188
rendre le âme,50,notre voiture a rendu l'âme alors j'en ai volé une chez un concessionnaire,the car we had broke down so i just drove off the lot,Our car gave up the ghost so I stole one from a dealership.,Good Translation,0.68261176,0.8520679,-0.16945612
rendre le âme,51,je crois que cette fois il a rendu l'âme,but i think it's a goner,I believe this time he has passed away.,Good Translation,0.62607133,0.75218135,-0.12611002
rendre le âme,52,a la minute où jerry lewis rendra l'âme tous les journaux dans ce putain de pays vont rédiger des articles déclarant que l'homme était un génie,the minute jerry lewis dies every newspaper in this fuckin' country is gonna be writin' articles calling' the man a genius,"at the moment Jerry Lewis renders his soul, all the fuckin' newspapers in this country are going to write articles declaring he was a genius",Good Translation,0.9265496,0.85592073,0.07062888
rendre le âme,53,quand je me suis approché il a rendu l'âme,when i got close he died,"when I approached, it died",Unnatural,0.7864716,0.75428665,0.03218496
rendre le âme,54,si l'appareil rend l'âme après un mois on me trouve pas dans l'annuaire,and when the halux 500 breaks down after a month i'm not in the phone book,"if the device expires after a month, I won't be found in the directory",Good Translation,0.6893395,0.77852535,-0.089185834
rendre le âme,55,je vous tends la gauche la droite a rendu l'âme,i must give you my left hand the right one's no longer with us,"I'm sorry, but this French sentence appears to be incomplete or contains errors. A correct version might be ""je lui ai tendu la gauche et la droite, il a rendu l'âme,"" which translates to ""I offered him the left and right, he died."" Please provide the correct sentence for an accurate translation.",Literal Translation,0.6956224,0.7010417,-0.005419314
rendre le âme,56,et si on essaie de prendre l'âme d'une âme,what if you try to take a soul's soul,and if we try to take the soul of a soul,Good Translation,0.85941863,0.8968245,-0.03740585
rendre le âme,57,- il était ivre - au point de rendre l'âme,yes but the agreement with the abbey has a later date,- he was drunk - to the point of death,Mistranslation,0.37042803,0.8746581,-0.5042301
rendre le âme,58,si celui si rend l'âme les autres prennent le relais,if this one gets killed the other ones pick up the slack,"if one does so, the others take over",Partial Translation,0.68815935,0.80372036,-0.11556101
rendre le âme,59,à l'instant même il vient de rendre l'âme,just now he died in a sudden fit of illness,at this very moment he has expired,Good Translation,0.682091,0.67592406,0.006166935
rendre le âme,60,en pleine montagne elle rend l'âme,we're up on this mountain and my car goes dead,in the middle of the mountain she gives up her spirit,Good Translation,0.61988497,0.83278406,-0.21289909
rendre le âme,61,les navires qui ont créé l'empire et qui approvisionnent la nation vont rendre l'âme,the ships that were once the means of building up the empire and of which this country depends for supplies would cease to exist,the ships that created the empire and supply the nation will render their souls,Literal Translation,0.71621794,0.9408027,-0.22458476
rendre le âme,62,ok donc je vous retrouve ici mardi après que votre ami ait rendu l'âme pour le reste,okay so uh i will meet you here on tuesday after your friend passes for the rest,OK so I'll find you here on Tuesday after your friend has passed away for the rest of the week.,Good Translation,0.8630655,0.84696394,0.01610154
rendre le âme,63,il m'a dit avant de rendre l'âme,before he breathed his last breath he told me,He told me before he breathed his last.,Unnatural,0.80112815,0.8065876,-0.005459428
rendre le âme,64,écoute je dis pas ça pour te saper le moral mais la cafetière a rendu l'âme,listen i don't want to add to your misery here but the coffeemaker is broken so,"I'm just saying this to avoid hurting your feelings, but the coffee machine gave up.",Good Translation,0.70281744,0.7216138,-0.018796384
rendre le âme,65,tu n'utiliseras pas les familles de ceux dont tu as pris l'âme,you will not prey on the survivors of the souls you take,you will not use the families of those whose souls you took,Good Translation,0.7899473,0.93962395,-0.14967668
rendre le âme,66,ils ne se reposent pas tant qu'ils n'ont pas pris l'âme d'un autre,they don't rest until they take someone else's soul,They do not rest until they have taken another's soul,Good Translation,0.897818,0.92903686,-0.031218827
rendre le âme,67,le compresseur va rendre l'âme,the accelerator pump is all worn down,the compressor is giving up the ghost,Good Translation,0.5871089,0.7783212,-0.1912123
rendre le âme,68,le mécanisme va rendre l'âme,that old mechanism's on it's last legs,the mechanism will render the soul,Mistranslation,0.6180016,0.86637795,-0.24837637
rendre le âme,69,elle changea le jeune homme en cactus géant et elle prit l'âme de la jeune femme et la plaça dans la plante,she changed the young man into a giant cactus and she took the spirit of the young woman and put it into the plant,She transformed the young man into a giant cactus and took the soul of the young woman and placed it in the plant.,Good Translation,0.9434085,0.9384559,0.0049526095
rendre le âme,70,mon foie rend l'âme mais tout le monde s'en fout,oh sure my liver's shutting down but who cares,my liver gives up but nobody cares,Good Translation,0.65390277,0.7133898,-0.059487045
rendre le âme,71,j'ai bien peur que mme marchetti ne rende l'âme,yes i'm afraid mrs marchetti has taken a turn for the worse,I fear that Mrs. Marchetti has passed away,Good Translation,0.8126385,0.8041756,0.008462906
rendre le âme,72,jusqu'à ce qu'elle rende l'âme,until she passed,until her soul is rendered,Unnatural,0.7361032,0.867229,-0.13112581
rendre le âme,73,- on leur fait rendre l'âme,- they fix it so everybody gets paid,- they make them rend their soul,Mistranslation,0.61419743,0.873876,-0.25967854
rendre le âme,74,apparemment il a été attaqué par derrière mais son agresseur a continué de le frapper longtemps après qu'il ait rendu l'âme,apparently he'd been first struck down from behind but his assailant went on beating him long after he was dead,"Apparently, he was attacked from behind but his attacker continued to beat him long after he had died.",Good Translation,0.8842043,0.9146825,-0.03047818
rendre le âme,75,la sokovie avait déjà rendue l'âme avant que vous la détruisiez,sokovia was a failed state long before you blew it to hell,the Sokovia Accords had already expired before you destroyed them,Mistranslation,0.68259543,0.69561595,-0.013020515
rendre le âme,76,je suis prêt à rendre l'âme,i am now ready to meet my maker,I am ready to render my soul,Good Translation,0.71945274,0.8812352,-0.16178244
rendre le âme,77,alors tu as finalement rendu l'âme batman,i see you finally shuffled off this mortal coil batman,then you finally gave up Batman,Partial Translation,0.7349204,0.79079044,-0.055870056
rendre le âme,78,elle commençait à rendre l'âme de toutes les façons,that case was getting pretty banged up anyway,She began to affect everyone in every way.,Mistranslation,0.6275135,0.8167676,-0.18925405
rendre le âme,79,et comme vous le savez votre maman n'a rendu l'âme qu'à un âge très avancé,as you know your mother god rest her soul made it to 90,"and as you know, your mom passed away at a very advanced age",Good Translation,0.71720386,0.8506265,-0.13342267
rendre le âme,80,non elle a rendu l'âme,no no it finally broke down,She died.,Good Translation,0.5671102,0.61955047,-0.052440286
rendre le âme,81,- la chaudière vient de rendre l'âme,- the facility's furnace just went down,-the boiler has given up,Good Translation,0.7147672,0.7502805,-0.03551328
rendre le âme,82,vous ne pouvez pas me forcer à prendre l'âme de ma sœur,you can't make me take my sister's soul,You cannot force me to take my sister's soul,Good Translation,0.90668225,0.93754005,-0.030857801
rendre le âme,83,non on ne pourra me prendre ce micro qu'une fois que j'aurais rendu l'âme,no you can take this microphone from me when you pry it from my cold dead fingers,"No, they won't be able to take this microphone from me once I've rendered my soul.",Good Translation,0.67313516,0.7591359,-0.08600074
rendre le âme,84,tu crois qu'il essayait de prendre l'âme de délia,wait you don't think he was going to try to grab delia's soul,you think he was trying to take Delia's soul,Good Translation,0.7967893,0.91891885,-0.12212956
rendre le âme,85,l'un des associés de lewis m demaria a déjà rendu l'âme,one of lewis' partners in crime a certain mr demaria has already expired,one of Lewis M Demaria's partners has already passed away,Good Translation,0.7523032,0.8617374,-0.10943419
rendre le âme,86,plutôt rendre l'âme que la bourse,i'd rather part with my soul than a purse,rather render the soul than the purse,Good Translation,0.7070062,0.81923485,-0.11222863
rendre le âme,87,la capsule son pouvoir aurait dû rendre l'âme il y a un siècle,its power should have been exhausted a century ago,the capsule's power should have rendered the soul powerless a century ago,Mistranslation,0.70019495,0.86179274,-0.16159779
rendre le âme,88,je peux prendre l'âme de quelqu'un sur le point de mourir,i can take the souls of people about to die,I can take the soul of someone on the verge of dying,Good Translation,0.87714046,0.9266722,-0.049531758
rendre le âme,89,prends la fille prends l'âme,get the girl get the soul,take the girl take the soul,Good Translation,0.8067387,0.8725411,-0.065802455
rendre le âme,90,le camion va rendre l'âme,this truck is dying,the truck is giving up the ghost,Good Translation,0.72281086,0.79402316,-0.07121229
rendre le âme,91,hier soir elle a rendu l'âme,last night she died,last night she passed away,Good Translation,0.8547957,0.8607058,-0.0059100986
rendre le âme,92,- rends l'âme à son corps,- put it back in the body,- gives the soul to its body,Good Translation,0.75426996,0.84571135,-0.09144139
rendre le âme,93,fluffy a rendu l'âme il y a deux mois,fluffy passed away two months ago,Fluffy passed away two months ago,Good Translation,0.9337114,0.9302528,0.0034586191
rendre le âme,94,mais avant de rendre l'âme je ferai couler beaucoup de sang,but before i die i will have some blood,"but before I die, I will spill a lot of blood",Good Translation,0.8350153,0.89599895,-0.060983658
