idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir marre,0,j'en ai marre de jouer au chat et à la souris j'ai faith pour ça allons droit au but,'cause you know i'm here to take that call,"I'm tired of playing cat and mouse, I have faith for that, let's get to the point.",Unnatural,0.5337784,0.88111854,-0.3473401
en avoir marre,1,c'est une fille qui a le cafard elle en a marre de la guerre marre d'être seule à attendre que son homme revienne,it's about a very lonely girl who's sick and tired of war and being left alone,it's a girl who has the blues she's sick of the war tired of being alone waiting for her man to come back,Good Translation,0.73092324,0.80813444,-0.0772112
en avoir marre,2,j'en ai marre marre de napoléon quatorze,and i'm sick of it aeryn i'm sick of napoleon the fourteenth,I am so sick of Napoleon Fourteen,Good Translation,0.68249357,0.65285367,0.0296399
en avoir marre,3,j'en avais marre de tes âneries,lister i did that because i was sick of you annoying me,I was sick of your nonsense,Good Translation,0.68745446,0.7967479,-0.10929346
en avoir marre,4,j'en ai marre de cette équipe qui pue,i'll put up with a crew that just fucking sucks,I am tired of this stinking team,Good Translation,0.7218827,0.9221325,-0.20024979
en avoir marre,5,j'en ai marre d'être l'aîné,then i'm tired of being the oldest,I am fed up with being the eldest.,Good Translation,0.85674936,0.87031436,-0.013565004
en avoir marre,6,et j'en ai marre,not us,and I'm fed up,Good Translation,0.50706166,0.7119624,-0.20490074
en avoir marre,7,j'en ai marre que tu fasses des drames,i am so sick of you and your drama-queen games,I am tired of you making dramas,Good Translation,0.7232146,0.8667687,-0.14355409
en avoir marre,8,j'en ai marre d'avoir raison,god i hate being right,I'm fed up with being right,Good Translation,0.7224612,0.848391,-0.12592977
en avoir marre,9,j'voulais pas qu'on s'engueule j'en avais marre ma femme était enceinte de neuf mois,but i didn't want to fight with you i remember being so exhausted at this point my wife was like 9 months pregnant and we were like in the middle of moving right,I didn't want to argue; I was fed up; my wife was nine months pregnant.,Good Translation,0.7643415,0.8699579,-0.10561645
en avoir marre,10,elle en a marre de vos contes moraux,she's sick of your moral tales,She is sick of your moral tales,Good Translation,0.9214131,0.9291518,-0.00773865
en avoir marre,11,j'en ai marre d'être sous ce soleil à discutailler avec un aspirant dictateur,now look i'm tired of hanging around under this sun playing footsie with a half-pint would-be dictator,I'm fed up with being under this sun haggling with a would-be dictator,Good Translation,0.8070601,0.9294585,-0.12239838
en avoir marre,12,parce que mon genou va bien et que j'en ai marre d'en parler,because my knee is fine it's been fine and i'm sick of talking about it,because my knee is doing well and I'm tired of talking about it,Good Translation,0.8308979,0.8317228,-0.0008248687
en avoir marre,13,je sais pas toi mais moi j'en ai marre de fuir les créanciers,i don't know about you but i am getting sick and tired of-of running from creditors,"I don't know about you, but I'm fed up with avoiding creditors.",Good Translation,0.8826223,0.8772309,0.005391419
en avoir marre,14,j'en ai marre de vos jérémiades,stop moaning do as i did,I'm sick of your whining,Good Translation,0.53877693,0.7217557,-0.18297875
en avoir marre,15,ah y a des moments où j'en ai marre,go on i'll sit with him,ah there are times when I'm fed up,Literal Translation,0.501873,0.8710625,-0.3691895
en avoir marre,16,mais en ce moment j'en ai marre,but for some reason lately it's just really getting to me well yeah,but right now I'm fed up,Good Translation,0.6660036,0.8537903,-0.1877867
en avoir marre,17,j'en ai marre,that is so tired,I'm fed up,Good Translation,0.5247244,0.5637996,-0.039075196
en avoir marre,18,vous en aviez marre d'être extorquée,were you sick of paying his extortion money,you were tired of being blackmailed,Good Translation,0.84744686,0.80117977,0.046267092
en avoir marre,19,j'en ai marre de ce caillou,i've seen enough of this rock,I'm fed up with this pebble,Good Translation,0.7144363,0.7158693,-0.0014330149
en avoir marre,20,j'en ai marre d'être en si bonne santé,i'm sick of being so healthy,I am sick of being in such good health,Good Translation,0.90272766,0.9381824,-0.03545475
en avoir marre,21,on en a marre de t'obéir comme des écolières,we're tired of doing what you want us to do ordering us around,We're sick of obeying you like schoolgirls.,Good Translation,0.7522007,0.8793992,-0.12719846
en avoir marre,22,j'en ai marre qu'on me prenne pour un imbécile heureux,i'm smarter than paul i'm tired of being taken for a fucking douche,I am fed up with being taken for a happy idiot,Good Translation,0.71640635,0.8768018,-0.16039544
en avoir marre,23,ils en avaient marre de leur shérif,they get tired of you being the sheriff,They were tired of their sheriff,Unnatural,0.7931589,0.8946449,-0.10148603
en avoir marre,24,vous en avez marre de la bière à 32,had all the 32 beer you can take huh,You're fed up with beer at 32.,Good Translation,0.7452744,0.88085306,-0.13557863
en avoir marre,25,qu'est-ce qui se passera quand toi et cette renee commencerez à en avoir marre l'un de l'autre et que tu te retrouveras dans un trou paumé et que t'auras plus rien pour vivre,what happens when you and this renee get tired of each other and you find yourself in some godforsaken country with nothing to show for it - but a pension,What will happen when you and this Renee start getting tired of each other and you find yourself in a remote hole and have nothing left to live on,Good Translation,0.74339706,0.8288679,-0.085470855
en avoir marre,26,j'en ai marre d'être celle qui doit accrocher les clients,i'm tired of being the one who has to hand-hold the clients,I'm fed up with being the one who has to greet the customers.,Partial Translation,0.9036999,0.8582036,0.045496285
en avoir marre,27,elle va pas en avoir marre de ce vieux à venir sur elle,isn't she gonna get tired of that old guy coming at her,"She's not going to get tired of this old farting noise, I hope.",Mistranslation,0.89363533,0.75807655,0.13555878
en avoir marre,28,j'en ai marre d'être gentil julia,yeah maybe i'm tired of being nice julia,I'm sick of being nice to Julia,Good Translation,0.8847681,0.8929164,-0.008148253
en avoir marre,29,papa j'en ai marre de perdre face à ces nerds d'ingénieurs de lockheed martin,dad i'm sick of losing to those nerd engineers from lockheed martin,"Dad, I'm tired of losing to these Lockheed Martin engineers",Good Translation,0.91677415,0.89019585,0.026578307
en avoir marre,30,j'en ai marre que tu t'accordes tout le mérite,i'm sick of you taking all the credit all right bean,I'm sick of you taking all the credit.,Unnatural,0.7785123,0.81123734,-0.032725036
en avoir marre,31,j'en ai marre que tu préfères spider-man à ton meilleur ami,it pisses me off your loyalty to spider-man and not to your best friend,I'm tired of you preferring Spider-Man to your best friend,Good Translation,0.8579743,0.9034802,-0.04550588
en avoir marre,32,j'ai déjà perdu plus que ce que j'ai gagné et j'en ai marre de perdre mon temps ici,i've already lost more than i have made and i am tired of dicking around out here,I have already lost more than I have won and I am sick of wasting time here,Good Translation,0.89499104,0.9418336,-0.046842575
en avoir marre,33,j'en ai marre de tes petits jeux,okay bob you know i'm sick of playing games with you,I'm tired of your little games,Good Translation,0.7619109,0.90950656,-0.14759564
en avoir marre,34,j'en ai marre de cette famille qui présume que je vais tout foutre en l'air,i'm sick of this whole family assuming i'm gonna screw it up,I am sick of this family who assumes I'm going to ruin everything,Good Translation,0.88335776,0.91295063,-0.029592872
en avoir marre,35,j'en ai marre je ne joue plus,i'm fed up i'm through playing,I'm fed up I don't play anymore,Unnatural,0.7122216,0.74974483,-0.03752321
en avoir marre,36,y en a marre maintenant tu t'écrases,for god's sake man shut it,I'm fed up now you're crashing,Good Translation,0.52818847,0.7534535,-0.22526503
en avoir marre,37,j'en ai marre de chuck e cheese,oh god i'm so sick of chuck e cheese,I'm sick of Chuck E. Cheese.,Good Translation,0.7522025,0.6883083,0.06389421
en avoir marre,38,j'en ai marre d'être sur le côté,i think i'm done being on the side,I'm sick of being on the side-lines.,Good Translation,0.89548934,0.87196934,0.023519993
en avoir marre,39,- j'en ai marre,sit down - sick of this,I'm fed up,Good Translation,0.50835234,0.59661,-0.08825767
en avoir marre,40,je n'ai pas besoin d'un nouvel ange gardien car j'en ai marre de tout ça,yeah um listen i don't need another guardian angel 'cause i'm kind of over the whole thing,I don't need a new guardian angel because I'm sick of all that.,Good Translation,0.8237942,0.8936057,-0.06981152
en avoir marre,41,je j'en ai marre de vivre tia j'ai la même moto rachitique la même vie irritante et enfermée,i'm tired of life tia i have the same rickety motorbike the same irritating life,"I'm fed up with living, Tia. I have the same rusty motorcycle, the same annoying and confining life.",Good Translation,0.8668811,0.8284978,0.038383245
en avoir marre,42,- j'en ai marre d'être mannequin,- i've had it with modelling,- I'm sick of being a model,Good Translation,0.83921254,0.8975082,-0.058295667
en avoir marre,43,y'en a marre - tu tu m'as frappé,- that is enough,I'm fed up - you hit me,Good Translation,0.5418365,0.73274267,-0.19090617
en avoir marre,44,quoi il en avait marre d'être pris pour un con,what he got sick of being jerked around,What he was fed up with being taken for a fool,Good Translation,0.71771497,0.84997725,-0.13226229
en avoir marre,45,j'en ai marre de bosser pour rien,i'm tired of playing for the draw,I'm fed up with working for nothing,Good Translation,0.77289116,0.8477932,-0.07490206
en avoir marre,46,c'est la ènième prise j'en ai marre de cette manif,another shot of you and the chanting masses,it's the nth time for this protest I'm sick of this rally,Unnatural,0.55853033,0.834089,-0.27555865
en avoir marre,47,ma fiancée en a marre de cette histoire finissons-en rends-moi ma bague et je te rendrai la tienne,my lady's getting sick and tired of this whole thing so i thought it would be easier for the both of us if you just give me back my ring and i give you back yours,My fiancée is tired of this story; let's end it; return my ring and I'll return yours.,Good Translation,0.7202923,0.8523773,-0.13208497
en avoir marre,48,j'en ai marre de cette trappe,i'm done with the hatch,I'm sick of this trapdoor,Good Translation,0.71326303,0.8775558,-0.16429275
en avoir marre,49,tu en as marre non,sick and tired of it too aren't you,"you're sick of it, aren't you",Good Translation,0.4816556,0.516502,-0.034846425
en avoir marre,50,elle en a marre de toi ok,she hates your guts all right,She is fed up with you okay,Good Translation,0.70375407,0.8389305,-0.13517642
en avoir marre,51,j'en ai marre de prendre parti,i'm sick of taking sides,I'm tired of taking sides.,Good Translation,0.84030986,0.8443172,-0.0040073395
en avoir marre,52,turk - j'en ai marre des turk,turk i'm a little sick of the turks,turk - I'm sick of the Turk,Good Translation,0.76335263,0.8312844,-0.06793177
en avoir marre,53,j'en ai marre de te voir tout foutre en l'air,i'm sick ofwatchin' you fuck up,I'm sick of seeing you mess everything up,Good Translation,0.81964296,0.85809195,-0.03844899
en avoir marre,54,je suis sérieux si je suis fatigué c'est parce que j'en ai marre d'entendre dire que je suis fatigué et surtout toi willie ray,if i am tired it's because i'm tired of people telling me i'm tired especially you willie ray,"I am serious if I am tired it's because I'm fed up with hearing that I am tired and especially from you, Willie Ray",Good Translation,0.8539201,0.88684416,-0.032924056
en avoir marre,55,j'en avais marre de ce tu veux ou tu veux pas,man i'm tellin' ya i couldn't deal with one more week of that will they won't they crap,I was sick of it whether you like it or not,Good Translation,0.65094715,0.8193849,-0.16843772
en avoir marre,56,ce que j'en ai marre de sa gueule,oh god i am so sick of her face,I'm tired of his/her face.,Partial Translation,0.6393926,0.61019385,0.029198766
en avoir marre,57,j'en ai marre de faire du dog-sitting,i'm done dog-sitting,I'm tired of doing dog-sitting,Good Translation,0.8980541,0.95060754,-0.052553415
en avoir marre,58,a chaque fois que je vous vois on dirait que vous avez avalé votre langue ou que vous en avez marre de parler,looking at you i feel either you don't have a tongue or it has become silent after talking too much,"Every time I see you, it seems like you've swallowed your tongue or you're sick of talking.",Unnatural,0.740594,0.9000246,-0.15943056
en avoir marre,59,j'en ai marre de toujours faire attention à changer de taxis de téléphones de trains de toujours regarder derrière,i am so sick of always worry about switching cabs and phones and trains and always looking behind,"I'm fed up with always being careful to change taxis, phones, trains, and always looking behind.",Good Translation,0.8776939,0.89176375,-0.014069855
en avoir marre,60,je te représente et j'en ai marre de partir la queue basse,i represent you and i'm tired of putting my tail between my legs,I represent you and I'm fed up with going down low.,Good Translation,0.80199385,0.84735155,-0.045357704
en avoir marre,61,j'en ai marre de te suivre comme un petit chien perdu,i'm done following you around like a confused little puppy,I am sick of following you like a lost puppy,Good Translation,0.87738734,0.9246942,-0.047306836
en avoir marre,62,j'en ai marre de ça,i am through selling out,I am fed up with it,Good Translation,0.67737055,0.86833197,-0.19096142
en avoir marre,63,même quand j'en ai marre de l'entendre répéter la même chose encore et encore et que si je l'entends encore une fois je crèverais mon propre tympan,like even when i'm so sick of hearing him practice the same thing over and over again that i think if i hear it one more time i might puncture my own eardrum,"Even when I'm fed up with hearing the same thing repeated over and over again, and if I hear it one more time I'd burst my own eardrum",Good Translation,0.81276655,0.83200026,-0.019233704
en avoir marre,64,il en avait marre de ta mauvaise audition,he was tired of your poor hearing,He was sick of your bad hearing.,Good Translation,0.87116086,0.8402702,0.030890644
en avoir marre,65,elle en a marre que je sente l'iodoforme,she says i have to stop smelling of iodoform,She is fed up with me smelling of iodine.,Good Translation,0.8044964,0.8111264,-0.0066300035
en avoir marre,66,ouais je comprends vraiment pas wanee j'en ai marre de dessiner tout le temps la même image,yeah i don't get wanee at all i'm sick of drawing the same picture,yeah I really don't get wane and I'm sick of drawing the same image all the time,Unnatural,0.9020523,0.8981913,0.00386101
en avoir marre,67,tu en as marre de tout,oh good i'm glad you're just sick of everything,you're sick of everything,Partial Translation,0.6818781,0.8326628,-0.15078473
en avoir marre,68,vous avez dit que vous en aviez marre de,i remember you were complaining that you're sick of the,you said you were sick of,Partial Translation,0.72971356,0.7721554,-0.042441845
en avoir marre,69,je sais que tu en as marre d'entendre ça,hi,I know you're sick of hearing this.,Mistranslation,0.4683253,0.90875983,-0.44043455
en avoir marre,70,ça fait 30 ans on en a marre de se regarder,oh please 30 years we're sick of looking at each other,it's been 30 years we're sick of looking at each other,Unnatural,0.9207993,0.93989897,-0.019099653
en avoir marre,71,j'avais trop peur que tu en aies marre de moi et que tu me quittes,i was too nervous i thought you'd get sick of me and find a new woman,I was too afraid that you might get fed up with me and leave me,Good Translation,0.78547823,0.8835349,-0.098056674
en avoir marre,72,j'en ai marre de te courir après,i'm tired of running after you,I'm fed up with chasing you.,Good Translation,0.89581627,0.86684746,0.028968811
en avoir marre,73,j'en ai marre de newman,boy i have really had it with newman,I'm sick of Newman,Good Translation,0.7498855,0.7187638,0.031121671
en avoir marre,74,j'en ai marre et plus que marre,i've had it with you all,I am fed up and more than fed up,Good Translation,0.6005343,0.7336706,-0.13313627
en avoir marre,75,c'est le mariage sans mariage et quand l'un d'eux en a marre salut et au revoir,a marriage without a wedding when one has enough then what,it's a marriage without marriage and when one of them is tired goodbye and see you later,Good Translation,0.76552933,0.84337896,-0.07784963
en avoir marre,76,j'en ai marre de ces blagues,i'm fed up with this lark,I'm sick of these jokes,Good Translation,0.7844856,0.891706,-0.10722041
en avoir marre,77,il adore les sucettes et en a marre d'en tenir six à la fois,maybe he's really into lollipops and he's tired of housing six at a time,He loves lollipops and is fed up with holding six at once.,Good Translation,0.7849061,0.8212371,-0.036330998
en avoir marre,78,j'en ai marre que tu te morfondes,enough feeling sorry for yourself,I'm fed up that you wallow,Good Translation,0.5465228,0.64753485,-0.10101205
en avoir marre,79,eh ben si vous en avez marre comme vous dites vous n'avez qu'à foutre le camp,- the only thing you have to do then is piss off,"Well, if you're as fed up as you say, you just have to get out.",Good Translation,0.7017621,0.7575091,-0.055747032
en avoir marre,80,j'en ai marre de toi,- i was - i'm sick of you,I'm sick of you,Good Translation,0.7358451,0.8074839,-0.07163882
en avoir marre,81,j'en ai marre des intellos comme toi qui cassent des stars comme toi,i'm just sick of nerd-girls like you beating up on stars like me it's pathetic,I'm fed up with intellectuals like you who break stars like you,Literal Translation,0.7930653,0.8697449,-0.07667959
en avoir marre,82,ouaisje dois admettre que je commence à en avoir marre de toi espèce de petit branleur,yeah i must admit i'm getting a little bit fed up with you you little prick,yeah I have to admit that I'm starting to get tired of you little sleaze,Good Translation,0.853917,0.8802928,-0.02637577
en avoir marre,83,j'en ai marre de m'écraser,i can't i'm done putting myself out there,I'm fed up with crashing.,Literal Translation,0.7154603,0.8088361,-0.0933758
en avoir marre,84,- j'en ai marre d'écouter,- i'm through listening where is he,-I'm fed up with listening,Good Translation,0.716253,0.9296235,-0.2133705
en avoir marre,85,ce qui est plutôt bien parce que j'en ai marre de flirter,which is a really good thing because i am all flirted out,which is rather nice because I'm tired of flirting,Good Translation,0.7419347,0.9365671,-0.19463241
en avoir marre,86,tu en as marre de moi on dirait,sounds like you're sick of me,you're fed up with me it seems,Good Translation,0.55148673,0.5135288,0.037957907
en avoir marre,87,j'en avais marre de faire ses courses,i got tired of runnin' errands for him,I was tired of doing his grocery shopping.,Good Translation,0.77819383,0.78735095,-0.009157121
en avoir marre,88,- yen a marre dehors les dealers,-we don't want no more,-he's had enough of the dealers outside,Good Translation,0.52178866,0.7779521,-0.25616342
en avoir marre,89,j'en ai marre de tes combines,i'm tired of your games,I'm sick of your tricks,Good Translation,0.6843784,0.68793917,-0.0035607815
en avoir marre,90,j'en ai marre de picoler,i'm not sitting here jabbering with y'all,I'm fed up with drinking.,Good Translation,0.5702653,0.66350925,-0.09324396
en avoir marre,91,j'en ai marre qu'on prenne ça pour un raccourci,i'm fed up with people thinking this is a shortcut my husband god rest his soul fought for three years to get that built,I'm sick of this being taken as a shortcut.,Good Translation,0.6525045,0.8479843,-0.19547981
en avoir marre,92,- j'en ai marre des bovins,- we're sick of cows - no no what are you doing,- I'm fed up with cows,Good Translation,0.6712666,0.8257646,-0.15449798
en avoir marre,93,j'en ai marre de son sirop,é've had enough of this cough medicine routine,I am tired of his syrup,Partial Translation,0.6418477,0.83118534,-0.18933761
en avoir marre,94,les gorilles en ont marre de mes blagues,the gorillas are getting tired of my jokes,The gorillas are tired of my jokes.,Good Translation,0.9319851,0.9355172,-0.0035321116
en avoir marre,95,j'en ai marre de me disputer avec toi va-t'en,i will not argue with you understood,I'm fed up with arguing with you. Go away.,Good Translation,0.6559985,0.84793425,-0.19193572
en avoir marre,96,- c'est personnel ça ne te concerne pas et j'en ai marre de ce stupide jeu de thérapie,it's my business not yours and i'm done with this stupid therapy game,"- it's personal, this doesn't concern you, and I'm sick of this stupid therapy game",Good Translation,0.8329999,0.9485281,-0.115528226
en avoir marre,97,tu en auras marre avant d'avoir le temps de dire ouf,you'll be sick of it before you know it,You'll get tired of it before you have time to say oh well,Good Translation,0.7405143,0.8701992,-0.12968493
en avoir marre,98,j'en ai marre je suis sur le point de mourir d'ennui,that i am bored that i am like crazy-out-of-my-mind bored,"I am fed up, I am about to die of boredom",Good Translation,0.69980717,0.81733453,-0.117527366
en avoir marre,99,j'en ai marre de surveiller mes arrières,i'm tired of watching my back,I am fed up with keeping an eye on my back.,Good Translation,0.91598123,0.91193867,0.004042566
en avoir marre,100,ouais tu vois j'en ai marre de tous ces stéréotypes,yeah see i'm sick of all these stereotypical,"Yeah, you see, I'm tired of all these stereotypes.",Good Translation,0.8726778,0.8663849,0.0062928796
en avoir marre,101,elle en avait marre d'attendre,she was getting really pissed off waiting around,she was tired of waiting,Partial Translation,0.85709846,0.9383717,-0.08127326
en avoir marre,102,putain j'en ai rien à foutre j'en ai marre,fuck i don't want to know i've had enough,fuck I don't give a damn I'm fed up,Good Translation,0.7027432,0.78943133,-0.08668816
en avoir marre,103,c'est la faute à personne terminé tourne la page j'en ai marre,move on because frankly i'm sick of hearing about it,it's nobody's fault finished turn the page I'm sick of it,Good Translation,0.64912176,0.8582287,-0.20910692
en avoir marre,104,nous sommes en train d'en avoir marre l'un de l'autre,we're slowly getting sick of each other,We are sick of each other.,Good Translation,0.8545134,0.8760756,-0.021562219
en avoir marre,105,j'en ai marre qu'ils me mentent et je sais que ça marchera jamais,i'm sick of them lying to me and i know that it's never going to work,I'm sick of them lying to me and I know it will never work,Unnatural,0.87308574,0.85731375,0.015771985
en avoir marre,106,je suis crevé et j'en ai marre de tout ça,i'm just tired and just really tired of all of it,I am exhausted and I'm sick of all this.,Good Translation,0.77060115,0.80063593,-0.03003478
en avoir marre,107,- je suis crevée j'en ai marre,i'm tired and i'm bored what are you bored of,I am exhausted I'm sick of it,Good Translation,0.60326713,0.7147155,-0.11144835
