idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
raconter un salade,0,ces types nous racontent des salades,no i'm not buying it scully i think these guys are all talk,These guys are telling us a bunch of lies.,Good Translation,0.48370194,0.5736653,-0.08996338
raconter un salade,1,tu crois que je raconte des salades - c'est ça,are you calling me a liar,You think I'm telling tales? That's it.,Good Translation,0.589108,0.7221701,-0.13306212
raconter un salade,2,il nous a raconté des salades puis nous a drogués et enfermés dans un frigo,he tells us this crazy story then he drugs us and locks us in a freezer,he told us some jokes and then drugged and locked us in a fridge,Literal Translation,0.8422735,0.8770857,-0.034812212
raconter un salade,3,vous me racontez des salades,yeah i'm sure that's what's going on,You're spinning tales to me.,Good Translation,0.53699446,0.7584514,-0.22145694
raconter un salade,4,il m'a raconté des salades à propos de divergences artistiques,he gave me some bullshit about artistic differences,He told me some rubbish about artistic differences.,Good Translation,0.8115335,0.8427602,-0.031226695
raconter un salade,5,ça t'autorise pas à raconter des salades,if i lied,You're not authorized to make up stories,Good Translation,0.44339198,0.7701615,-0.32676953
raconter un salade,6,- tu m'as raconté des salades,-i'll show you what i do to liars,You were pulling my leg / You were giving me a load of old codswallop,Good Translation,0.52629626,0.60629374,-0.07999748
raconter un salade,7,ils racontent des salades au kremlin,- they're bullshitting the kremlin,They're telling tales of the Kremlin.,Unnatural,0.7127117,0.7708932,-0.058181524
raconter un salade,8,lave tes mains et arrête de raconter des salades,wash your hands and no more bullshit,wash your hands and stop telling tales,Unnatural,0.76858544,0.8595029,-0.09091747
raconter un salade,9,ma maman à moi elle me pinçait quand je racontais des salades,- my mom used to pinch me when i lied,My mom would pinch me when I was telling outlandish lies.,Good Translation,0.76606,0.7673223,-0.0012623072
raconter un salade,10,il lui a raconté des salades et elle croyait qu'ils allaient emménager ensemble,he kept making her promises she thought she'd move into the new house with him,he told her a lot of lies and she thought they were going to move in together,Good Translation,0.74158347,0.7454156,-0.0038321614
raconter un salade,11,ce type était fou il racontait des salades,the guy was crazy max he didn't know what he was talking about,This guy was crazy he was telling ridiculous stories,Good Translation,0.6835226,0.8246046,-0.14108199
raconter un salade,12,on t'a raconté des salades,you've been sold a bill of goods rebecca,You've been spinning a lot of nonsense.,Good Translation,0.56664836,0.56702906,-0.00038069487
raconter un salade,13,- si je racontais des salades tu aurais les poumons pleins de cyanure,because if i was lying your lungs would be full of cyanide gas,- if I told you outlandish lies your lungs would be full of cyanide,Good Translation,0.72161865,0.76234615,-0.040727496
raconter un salade,14,je ne suis pas là pour vous raconter des salades,i'm not here to bullshit you,I'm not here to spin you a line.,Good Translation,0.71601236,0.7496288,-0.033616424
raconter un salade,15,pourquoi tu te sens obligée de me raconter des salades,then why do you always have to lie to me,Why do you feel obligated to tell me those lies?,Unnatural,0.6698457,0.7527781,-0.08293241
raconter un salade,16,inutile de nous raconter des salades,why are we kidding ourselves here ry,a waste of time telling us tales,Good Translation,0.52417874,0.72722423,-0.20304549
raconter un salade,17,fiche-moi la paix et arrête de me raconter des salades sur munga,and stop saying all these lies about munga,Get off my back and stop spinning me yarns about Mungo.,Good Translation,0.74708486,0.694126,0.052958846
raconter un salade,18,- tu pourrais raconter des salades,how do i know you're not lyin',- you could spin a tale,Good Translation,0.43475252,0.75752115,-0.32276863
raconter un salade,19,pourquoi on me raconte des salades chaque fois que j'appelle votre état,why is it that every time i call your state i get the runaround,Why they always tell me a pack of lies whenever I call your state.,Good Translation,0.76792336,0.7777338,-0.009810448
raconter un salade,20,il racontait des salades,- he was just screwing around,he was spinning a yarn,Unnatural,0.5256752,0.51107633,0.014598846
raconter un salade,21,et en fin de compte il racontait des salades,and after everything he was just full of it,and in the end he was spinning yarns,Good Translation,0.5987836,0.7345108,-0.13572717
raconter un salade,22,j'ai tendance à me raconter des salades,i got a tendency to kid myself that everything's ok,I have a tendency to tell myself tall stories.,Good Translation,0.6607368,0.76415217,-0.10341537
raconter un salade,23,- ll raconte des salades,mm-hmm he's talking gibberish,- He's always telling lies.,Mistranslation,0.62904066,0.56169546,0.0673452
raconter un salade,24,il me raconte des salades sur l'estime qu'il a pour moi,he gives me this crap about how he likes me so much,he tells me ridiculous things about how he estimates me,Good Translation,0.73980653,0.81565213,-0.0758456
raconter un salade,25,arrête de te raconter des salades,get real he's teasing us,stop spinning tales,Good Translation,0.5505898,0.70968974,-0.15909994
raconter un salade,26,votre témoin raconte des salades,i'd say you and your witness are full of shit,Your witness is spouting rubbish.,Good Translation,0.66374564,0.72941494,-0.0656693
raconter un salade,27,j'aime pas raconter des salades alors je vais jouer cartes sur table,i don't like to play games so i'm just gonna lay my cards on the table,I don't like telling lies so I'll play cards on the table,Partial Translation,0.8442589,0.87101877,-0.026759863
raconter un salade,28,il raconte des salades,he's talking crap,he tells fibs or He's spinning a yarn,Good Translation,0.6620889,0.69858444,-0.036495566
raconter un salade,29,tu veux que je suive les ordres d'accord mais arrête de raconter des salades,you want me to follow orders fine but just stop spinning these fairy tales,Do you want me to follow orders as agreed but stop making up stories?,Good Translation,0.81292224,0.8160271,-0.0031048656
raconter un salade,30,arrête de me raconter des salades,but please stop lying to me,stop telling me lies,Good Translation,0.7003899,0.7221423,-0.021752357
raconter un salade,31,arrêtez de raconter des salades sur ma femme,i want you to stop telling stories about my wife,Stop telling lies about my wife,Good Translation,0.8781903,0.8373301,0.040860176
raconter un salade,32,ce mec racontait des salades sur ta femme,the guy was talking shit about your wife,That guy was talking a load of rubbish about your wife.,Good Translation,0.80833447,0.78177166,0.02656281
raconter un salade,33,toutes ces multinationales nous racontent des salades,you got those multinationals just pouring propaganda into your brain,all these multinational companies are telling us a lot of lies,Good Translation,0.7219398,0.7777789,-0.05583912
raconter un salade,34,- je ne vais pas raconter de salades,- look i'm not gonna bullshit you,- I'm not going to tell any lies.,Unnatural,0.65391815,0.70038843,-0.046470284
raconter un salade,35,ils n'arrêtent pas de raconter des salades à son sujet,they don't stop telling stories about this guy,They never stop telling tall stories about him.,Good Translation,0.7853137,0.8001373,-0.014823556
raconter un salade,36,j'ai trop fait confiance à mon type jusqu'à ce que je réalise qu'il me racontait des salades,i mean it got so i trusted my guy on the inside so much till i realized half of what he said was bullshit,I had trusted him too much until I realized he was spinning a web of lies.,Unnatural,0.742067,0.7226354,0.019431591
raconter un salade,37,felicia c'était de l'auto-défense et bethany raconte des salades,and bethany is full of crap i didn't rape her and she knows it,Felicia said it was self-defense and Bethany is spinning a tale.,Unnatural,0.5471935,0.81912774,-0.2719342
raconter un salade,38,vous racontez des salades aux gens,no matter what you're telling the american people,You're telling lies to people.,Mistranslation,0.5905835,0.72284704,-0.13226354
