idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tourner le page,0,c'est la faute à personne terminé tourne la page j'en ai marre,move on because frankly i'm sick of hearing about it,"No one is at fault, turn the page I'm fed up.",Good Translation,0.64912176,0.81885576,-0.169734
tourner le page,1,ma cliente est prête à tourner la page,my client is ready to put this behind her,my client is ready to turn the page,Good Translation,0.8545133,0.94081545,-0.08630216
tourner le page,2,non tournons la page,now it's just time to let go,Let's not turn the page on this yet.,Good Translation,0.49855435,0.7570291,-0.25847477
tourner le page,3,ils se féliciteront et tourneront la page,they'll pat themselves on the back and they'll forget about it,They will congratulate each other and turn the page.,Good Translation,0.7075001,0.9170532,-0.20955312
tourner le page,4,tu dois tourner la page comment ça,you have to let it go,You have to turn the page how,Unnatural,0.5545051,0.882575,-0.32806987
tourner le page,5,- tourne la page,- get over it,turn the page,Unnatural,0.60334694,0.8468439,-0.24349695
tourner le page,6,laisse une chance à terri de tourner la page,you have to let terri move on with her life,Give Terry a break and let him move on,Literal Translation,0.70115817,0.73471594,-0.033557773
tourner le page,7,- si on tournait la page,- let's turn the page,- if we turned the page,Good Translation,0.78918624,0.84986746,-0.060681224
tourner le page,8,mais si tu es vraiment désolée lui dire en face ça lui fera tourner la page,but if you really are sorry then telling her face-to-face it'll give her closure,but if you are really sorry then telling her directly will get it over with,Good Translation,0.87555295,0.8324299,0.043123066
tourner le page,9,tu as l'air d'avoir tourné la page,you seemed to have moved on okay,You look like you've moved on,Good Translation,0.74323773,0.798211,-0.054973245
tourner le page,10,le fait est que ça m'a fait du mal mais j'ai tourné la page,point is i grieved and i moved on,The fact is that it hurt me but I turned the page.,Good Translation,0.6738018,0.9459933,-0.27219152
tourner le page,11,tourner la page je suppose,closure i guess,turn over a new leaf I suppose,Good Translation,0.5846572,0.66803163,-0.08337444
tourner le page,12,il tourne la page et il ne noie pas son chagrin dans les jeux vidéo,this means he's moving on with his life and he's not wallowing in self-pity and playing video games,he turns the page and doesn't drown his sorrow in video games,Good Translation,0.7532345,0.9248633,-0.17162877
tourner le page,13,impossible de tourner la page,there is no moving on,Impossible to turn the page,Good Translation,0.6282184,0.92125523,-0.29303682
tourner le page,14,veuillez l'excuser sa femme l'a quitté on dirait qu'il a tourné la page,you'll have to forgive him his wife's just dumped him just like another one,Please excuse him his wife left him one would say he has turned the page.,Good Translation,0.71479,0.9338444,-0.2190544
tourner le page,15,quand mer a appelé elle a dit que tu tournais la page,when mer called she said you were moving on,when the sea called she said you were turning the page,Good Translation,0.78894717,0.86925703,-0.08030987
tourner le page,16,tournons la page et dansons,oh it's been an awfully long time,Let's turn the page and dance,Good Translation,0.47004277,0.9569603,-0.48691756
tourner le page,17,bon ok continuer de tourner les pages,all right keep flipping pages,good okay let's keep turning the pages,Good Translation,0.83263224,0.88398135,-0.051349103
tourner le page,18,j'ai pas tourné la page je t'en ai voulu,and i didn't move on dad i blamed you,I didn't turn the page I was mad at you,Good Translation,0.5675865,0.7997759,-0.23218942
tourner le page,19,pour tourner la page en douceur,so we can move on gracefully,to turn the page softly,Literal Translation,0.64519095,0.91768265,-0.2724917
tourner le page,20,- il tourne les pages à l'envers,it keeps turning the pages back,- he turns the pages upside down,Good Translation,0.803293,0.9386323,-0.13533932
tourner le page,21,ecoute je trouve qu'il faut que tu tournes la page,listen i think you need to move out,"Listen, I think you have to turn the page",Good Translation,0.7292513,0.90742505,-0.17817372
tourner le page,22,tu m'as dit de tourner la page,you told me to move on,You told me to turn the page,Good Translation,0.7410346,0.9275719,-0.18653727
tourner le page,23,tu refuses juste de tourner la page,you can't let go because you're not willing to,You just refuse to turn the page,Good Translation,0.6314696,0.9455856,-0.314116
tourner le page,24,retourne la page,oy turn it over,turn back the page,Good Translation,0.6548057,0.9032407,-0.24843496
tourner le page,25,jack tourne la page,- jack get over it you've been re-tasked,turn the page,Literal Translation,0.56899744,0.7431773,-0.17417985
tourner le page,26,il faut savoir tourner la page,you have to move on,You have to know how to turn the page,Good Translation,0.6509752,0.93590164,-0.2849264
tourner le page,27,faut tourner la page gamin,you need to let this go kid,we must move on from this childishness,Good Translation,0.59761703,0.5721245,0.025492549
tourner le page,28,vous savez peut-être que ça va leur permettre de tourner la page,you know maybe maybe it'll give them closure,You may know that it will allow them to turn the page.,Good Translation,0.81866395,0.950451,-0.13178706
tourner le page,29,- vous êtes prêts à tourner la page,- you guys ready for closure,- are you ready to turn over a new leaf,Good Translation,0.7484135,0.80419505,-0.055781543
