idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en faire tout un fromage,0,pourquoi t'en fais tout un fromage,why are you making such a big fuss over it,why make it into a cheeseburger,Mistranslation,0.62700313,0.6424491,-0.015445948
en faire tout un fromage,1,je sais pas pourquoi elle en fait tout un fromage,i don't know why she's making such a big deal out of a wedding,I don't know why she makes such a fuss about it,Good Translation,0.7261863,0.7642573,-0.038071036
en faire tout un fromage,2,tu n'as pas besoin d'en faire tout un fromage,- oh yeah look there's no need to get emotional about this,you don't need to make a mountain out of it,Good Translation,0.61148906,0.7461587,-0.13466966
en faire tout un fromage,3,pourquoi tu en fais tout un fromage,you can't come out to your dad i really want to know why it's such a big deal to you,why you make such a fuss,Unnatural,0.45822537,0.59918535,-0.14095998
en faire tout un fromage,4,tu en fais tout un fromage,dee you're blowing this completely out of proportion,you make a mountain out of a molehill,Good Translation,0.6171534,0.5513236,0.06582981
en faire tout un fromage,5,pourquoi est-ce qu'il faut en faire tout un fromage,why does it have to be such a big deal,why make it into a whole cheese,Unnatural,0.59591675,0.79354453,-0.19762778
en faire tout un fromage,6,ouais enfin on va pas en faire tout un fromage,yeah well let's not make a big deal out of it,"yes, well, we're not making a mountain out of it",Good Translation,0.65904003,0.68886685,-0.02982682
en faire tout un fromage,7,cette stupide bague dont ta famille en fait tout un fromage,oh that stupid ring that your family holds onto like a bunch of hobbits,this stupid ring of which your family makes a mountain out,Good Translation,0.7007697,0.73593354,-0.03516382
en faire tout un fromage,8,justin pourquoi t'en fait tout un fromage,justinwhy are you making such a big deal out of this,justin why do you make such a fuss about it,Good Translation,0.7486934,0.7608329,-0.012139499
en faire tout un fromage,9,il ne savait pas ce qui se tramait et pourquoi est-ce que tu en fais tout un fromage,he didn't know what was going onand why are you making such a big deal about it,He didn't know what was going on and why you're making such a fuss about it,Good Translation,0.76755905,0.7591792,0.008379877
