idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
jeter le argent par le fenêtre,0,faut pas jeter l'argent par les fenêtres,why sweat the small stuff,you shouldn't throw money out of the windows,Good Translation,0.42716593,0.94649804,-0.5193321
jeter le argent par le fenêtre,1,nous jetons l'argent par les fenêtres,we're throwing all our dough in,We throw money out of the windows,Good Translation,0.6586458,0.954894,-0.2962482
jeter le argent par le fenêtre,2,tu as toujours aimé jeter l'argent par les fenêtres,the policewoman was free,you have always loved throwing money out of the window,Mistranslation,0.40048888,0.96098644,-0.5604975
jeter le argent par le fenêtre,3,je comprends ils continuent de jeter l'argent par les fenêtres,i understand they're still scraping caviar off the walls,I understand they continue to throw money out of the windows,Good Translation,0.7205392,0.9588157,-0.23827648
jeter le argent par le fenêtre,4,ta mère jette l'argent par les fenêtres,your mother is squandering money,Your mother throws money out of the windows.,Good Translation,0.7962351,0.93226784,-0.13603276
jeter le argent par le fenêtre,5,nous sommes désolés de ne plus vouloir jeter l'argent par les fenêtres,and we are sorry that we don't feel like lighting money on fire,We are sorry to no longer want to throw money out of the windows.,Good Translation,0.7979857,0.952875,-0.15488935
jeter le argent par le fenêtre,6,ce serait jeter l'argent par les fenêtres,see that's just like throwing money in the trash,it would be throwing money out of the window,Good Translation,0.75659287,0.92777574,-0.17118287
jeter le argent par le fenêtre,7,ce serait comme jeter l'argent par les fenêtres,that would be like throwing money out the window,it would be like throwing money out of the windows,Good Translation,0.95152944,0.9619423,-0.010412872
jeter le argent par le fenêtre,8,les gens n'y prêtent pas attention et ça revient à jeter l'argent par les fenêtres,people don't and it's like throwing money out the window,people don't pay much attention to it and it's like throwing money out of the window,Good Translation,0.893018,0.8979373,-0.0049192905
jeter le argent par le fenêtre,9,on résout les problèmes en jetant l'argent par les fenêtres,that's the spirit solving problems by throwing money at them,We solve problems by throwing money out of the window,Good Translation,0.7747922,0.9214585,-0.14666629
jeter le argent par le fenêtre,10,il jette l'argent par les fenêtres,he's throwing money away in every direction,He throws money out of the windows.,Good Translation,0.82472646,0.9527499,-0.12802345
jeter le argent par le fenêtre,11,- c'est jeter l'argent par les fenêtres - s'il vous plaît paddy,- yeah but it's throwing money away,- it's throwing money out of the window - please paddy,Good Translation,0.68171656,0.9375408,-0.25582427
jeter le argent par le fenêtre,12,vous savez la richesse jeter l'argent par les fenêtres c'était le seul moyen pour lui de se sentir puissant,opulence throwing money around was the only way that he could feel powerful,you know the richness throwing money out the windows was his only way to feel powerful,Good Translation,0.79885256,0.92358565,-0.12473309
jeter le argent par le fenêtre,13,jeter l'argent par les fenêtres,without throwing money around,to throw money out of the window,Good Translation,0.6674059,0.92798054,-0.26057464
jeter le argent par le fenêtre,14,je me suis dit qu'il jetait l'argent par la fenêtre et il est parti,that was the last i saw of him,I thought he was throwing money out of the window and he left.,Partial Translation,0.62768376,0.9350023,-0.30731857
jeter le argent par le fenêtre,15,et tu dis que je jette l'argent par les fenêtres,and you tell me i'm extravagant,and you say that I throw money out of the windows,Good Translation,0.64992744,0.95651996,-0.30659252
jeter le argent par le fenêtre,16,tu as passé ta vie à flamber à jeter l'argent par les fenêtres,you spent your life squandering your money,you have been burning your money through the windows throughout your life,Good Translation,0.79987085,0.87220854,-0.07233769
jeter le argent par le fenêtre,17,chaque jour où on ne le vire pas on jette l'argent par les fenêtres,but this is a business and every day we don't fire him we're flushing money,"Each day we don't fire him, we throw money out the window.",Good Translation,0.7121496,0.8717488,-0.15959918
jeter le argent par le fenêtre,18,tu connais l'expression jeter l'argent par les fenêtres,are you familiar with the term throwing good money after bad,you know the expression throwing money out the window,Good Translation,0.6962723,0.92205304,-0.22578073
jeter le argent par le fenêtre,19,y a pas mieux que nous pour jeter l'argent par les fenêtres,we the most money-wasting motherfuckers on the face of the earth,There is nothing better than us to throw money out the window,Literal Translation,0.6883565,0.9286752,-0.24031866
jeter le argent par le fenêtre,20,tu vas pas jeter l'argent par la fenêtre,don't go wasting money,you're not going to throw money out the window,Good Translation,0.7652664,0.9506293,-0.18536288
jeter le argent par le fenêtre,21,- tu jettes l'argent par les fenêtres,you're throwing money away,- you're throwing money out the windows,Good Translation,0.81346095,0.9410658,-0.12760484
jeter le argent par le fenêtre,22,on ne peut plus jeter l'argent par la fenêtre,we just can't be throwing money around right now,one can no longer throw money out the window,Good Translation,0.74675435,0.93863636,-0.19188201
jeter le argent par le fenêtre,23,elle jetait l'argent par les fenêtres et moi je les regardais tomber,she threw money out the window and i watched it drop,She was throwing money out of the windows and I watched them fall.,Good Translation,0.93169624,0.94092476,-0.009228528
jeter le argent par le fenêtre,24,pourquoi tu veux jeter l'argent par les fenêtres,why throw your money away for nothing,why do you want to throw money out of the windows,Good Translation,0.7272674,0.9508587,-0.22359133
jeter le argent par le fenêtre,25,tu jettes l'argent par les fenêtres,throwing money down the drain,you throw money out of the windows,Good Translation,0.777037,0.9378989,-0.16086185
jeter le argent par le fenêtre,26,viande violence jeter l'argent par les fenêtres,meat violence throwing money down the toilet,meat violence throwing money out of windows,Good Translation,0.7791599,0.910144,-0.13098407
jeter le argent par le fenêtre,27,rien ne vaut le parfum pour jeter l'argent par les fenêtres,there's nothing like perfume for tossing money out the window,Nothing smells as good as money thrown out the window.,Mistranslation,0.92155945,0.8613356,0.060223877
jeter le argent par le fenêtre,28,ne pourriez-vous pas considérer cela messieurs comme jeter l'argent par les fenêtres,would you not consider that sir throwing good money after bad,"Could you not consider this, gentlemen, as throwing money out of the window",Good Translation,0.73580754,0.93012935,-0.19432181
jeter le argent par le fenêtre,29,c'est comme jeter l'argent par les fenêtres,that's almost as good as flipping a coin,it's like throwing money out of the window,Good Translation,0.65869266,0.94813406,-0.2894414
jeter le argent par le fenêtre,30,autant jeter l'argent par les fenêtres,why don't they just throw the money down the toilet,as throwing money out of the window,Good Translation,0.701746,0.896103,-0.19435704
jeter le argent par le fenêtre,31,ça lui apprendra à jeter l'argent par les fenêtres,i'm going to teach that boy a lesson yes that's what he deserves throwing nickels around like that,This will teach him to throw money out of the window,Good Translation,0.6601418,0.93831855,-0.27817672
