idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
pipi de chat,0,a des implications bien au-delà de la sécurité nationale a côté la guerre froide c'est du pipi de chat,has implications that go so far beyond national security the cold war seems like a case of the sniffles,has implications well beyond national security next to the cold war this is kitty litter,Literal Translation,0.7456556,0.8337306,-0.08807498
pipi de chat,1,là c'est tu pipi de chat,this is fuckin' nothin',there's your cat's pee,Literal Translation,0.5054894,0.7494917,-0.24400228
pipi de chat,2,on dirait du pipi de chat,it tastes like cat pee,it sounds like cat urine,Unnatural,0.6373625,0.6246222,0.012740254
pipi de chat,3,vous sentez le pipi de chat,you smell like cat piss,you smell cat urine,Good Translation,0.807147,0.804499,0.0026480556
pipi de chat,4,mais c'est du pipi de chat,no big deal,but it's cat urine,Literal Translation,0.47568807,0.82209027,-0.3464022
pipi de chat,5,et ça c'est du pipi de chat,this of course is chopped liver huh,and that's cat urine,Literal Translation,0.5705242,0.80267155,-0.23214734
pipi de chat,6,je me plains pas mais t'es plus celle qui a parfumé mes habits au pipi de chat,- i'm not complaining i think it's wonderful i really do but you are not the same girl who made all my clothes smell like cat pee,I don't complain but you're not the one who gave my clothes a whiff of cat urine anymore,Good Translation,0.7328925,0.7770121,-0.044119596
pipi de chat,7,25 c'est pas du pipi de chat,25 percent it is not a small amount,25 isn't cat urine,Literal Translation,0.6794281,0.8089317,-0.12950361
pipi de chat,8,du pipi de chat,ah cookies and milk,cat urine,Literal Translation,0.5129708,0.62913,-0.1161592
pipi de chat,9,c'était du pipi de chat,they were all a load of bullshit,it was cat urine,Literal Translation,0.5726142,0.8082751,-0.23566091
pipi de chat,10,ça sent le pipi de chat ici,look how it stinks in here,it smells like cat urine here,Good Translation,0.74756026,0.86627376,-0.1187135
pipi de chat,11,tu as entendu beaucoup de voix mais comparé à moi c'est du pipi de chat,you may have heard a lot of singers but you ain't heard nothing sung till you heard me sung it,"you have heard many voices but compared to me, it's cat pee.",Good Translation,0.62617594,0.88062,-0.25444406
pipi de chat,12,vos têtes sont remplies pipi de chat,your heads are filled with cat urine,your heads are filled with cat urine,Good Translation,0.85127103,0.85127103,0.0
pipi de chat,13,elle a 5 chats sa maison doit sentir le pipi de chat au lieu de la bière et de la fumée,she has five cats so her place probably smells like cat pee instead of beer and smoke,She has 5 cats her house must smell of cat urine instead of beer and smoke,Good Translation,0.8364637,0.8487095,-0.012245834
pipi de chat,14,dégueu du pipi de chat,it tastes like cat litter,disgusting cat urine,Good Translation,0.5645617,0.6448957,-0.08033395
pipi de chat,15,une affaire parce qu'il sent le pipi de chat,a bargain 'cause it smells like cat pee,a matter because it smells like cat urine,Good Translation,0.72324324,0.7938987,-0.070655465
pipi de chat,16,maintenant tous les vins que vous boirez auront le goût de pipi de chat,and now any other wine you ever drink will taste like cat piss,Now all the wines you will drink will taste like cat urine,Good Translation,0.8897939,0.89070606,-0.0009121895
pipi de chat,17,tous ces dons sentent le pipi de chat et la bière,all the hand-me-downs smell like cat pee and beer,all these gifts smell of cat urine and beer,Good Translation,0.76344675,0.7892796,-0.025832832
pipi de chat,18,ça veut dire pipi de chat,it means cat piss,it means cat pee,Good Translation,0.7603513,0.7513978,0.008953512
pipi de chat,19,ils n'ont pas senti qu'ils buvaient du pipi de chat,they didn't realize they were drinking cat pee,They didn't realize they were drinking cat pee.,Good Translation,0.8279027,0.8239345,0.003968179
pipi de chat,20,a notre retour un autre scandale aura fait passer ça pour du pipi de chat,by the time we get back something else will have exploded to make this whole thing look silly,"upon our return, another scandal will have made this seem like cat urine",Good Translation,0.705687,0.8583415,-0.15265453
pipi de chat,21,si on en met trop ça sent le pipi de chat,too much of this smells like cat piss,if we put too much it smells like cat urine,Good Translation,0.80620635,0.853221,-0.047014654
pipi de chat,22,- ça sent le pipi de chat,smells like cat pee,- it smells like cat urine,Good Translation,0.82630277,0.84057295,-0.014270186
pipi de chat,23,c'est quand même cher pour ce pipi de chat,it's still too high for that cheap liquor,it's still expensive for that cat pee,Good Translation,0.6169975,0.8086008,-0.1916033
pipi de chat,24,l'électricité à côté c'est du pipi de chat,makes electricity look like a pile of crap,The electricity next door is cat pee.,Good Translation,0.67617285,0.8482194,-0.17204654
pipi de chat,25,sa chambre sentait les fleurs mortes et le pipi de chat,her room smelled of dead flowers and cat piss,Her room smelled of dead flowers and cat urine.,Good Translation,0.8886998,0.85832226,0.030377567
