idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se faire larguer,0,un camion pour remonter le moral des filles qui viennent de se faire larguer,a truck that caters to girls who just got dumped,a truck to boost the morale of girls who have just been dumped,Good Translation,0.8134906,0.8881916,-0.07470095
se faire larguer,1,c'est ce que je fais quand je me fais larguer,that's what i do whenever a guy dumps me,that's what I do when I get dumped,Good Translation,0.73957455,0.7453843,-0.0058097243
se faire larguer,2,sûrement dû à la perspective de me faire larguer,yeah well it certainly puts getting dumped in perspective,surely due to the prospect of my being dumped,Good Translation,0.6488793,0.8710294,-0.22215009
se faire larguer,3,je me fais larguer,i think i'm getting dumped,I get dumped.,Good Translation,0.5596586,0.5508275,0.008831084
se faire larguer,4,je suis celle qui vient de se faire larguer,i'm the one that just got dumped,I am the one who just got dumped.,Good Translation,0.7365228,0.73140955,0.005113244
se faire larguer,5,ecoute je sais ce qu'on ressent quand on se fait larguer,i know what it feels like to have somebody break up with you and i just,listen I know what it's like when someone dumps you,Good Translation,0.6473752,0.6981313,-0.050756097
se faire larguer,6,quand je me fais larguer je finis souvent dans la baignoire à pleurer en écoutant du michael bublé,when i get dumped i usually end up sobbing in a bathtub listening to michael bublé,"when I get dumped, I often end up in the bathtub crying while listening to Michael Bublé",Good Translation,0.8219565,0.8210072,0.0009493232
se faire larguer,7,il venait juste de se faire larguer par sa fiancée,he'd just been dumped by his fiance right,He had just been dumped by his fiancee.,Good Translation,0.8100014,0.79611224,0.013889134
se faire larguer,8,bon je dois te demander et puisque je viens de me faire larguée il y a deux secondes je pense que je suis en droit d'avoir une réponse complète,all right so i've got to ask and since i got dumped 2 seconds ago i do feel like i'm entitled to a straight answer,"Well, I have to ask you and since I was dumped just two seconds ago, I think I'm entitled to a complete answer.",Good Translation,0.78201383,0.83415127,-0.052137434
se faire larguer,9,se faire virer ou se faire larguer,getting fired or dumped,to be fired or to be dumped,Good Translation,0.79100895,0.8044582,-0.013449252
se faire larguer,10,pourquoi c'est moi qui me fais larguer alors,then why am i the one that's getting dumped,why is it me who is being dumped,Good Translation,0.79370207,0.7861831,0.007518947
se faire larguer,11,c'est en fait beaucoup plus facile pour moi de me faire larguer,it's actually a lot easier for me to get dumped by guys,it's actually much easier for me to get dumped,Good Translation,0.8157922,0.86038184,-0.04458964
se faire larguer,12,vous savez ce que c'est de se faire larguer à son mariage,do you have any idea what it feels like to be stood up and humiliated at your own wedding,you know what it's like to be dumped on your wedding day,Good Translation,0.7295982,0.73628175,-0.0066835284
se faire larguer,13,tout le monde se fait larguer un jour,everyone gets dumped george,Everyone gets dumped someday,Unnatural,0.64969265,0.85193956,-0.2022469
se faire larguer,14,je sais que se faire larguer est dur,i know rejection is hard,I know that getting dumped is hard,Good Translation,0.73256284,0.7299292,0.0026336312
se faire larguer,15,- quand ton pote se fait larguer,when your best friend gets dumped--,- when your friend gets dumped,Good Translation,0.67187065,0.756915,-0.085044324
se faire larguer,16,bon j'ai 18 ans je viens tout juste de me faire larguer et j'ai besoin d'un verre,so i'm 18 and i just got dumped by my girlfriend and i need a drink,good I'm 18 years old I just got dumped and I need a drink,Good Translation,0.8154981,0.84179336,-0.026295245
se faire larguer,17,une maitresse jalouse se fait larguer et veut se venger,jealous lover gets dumped and seeks revenge,a jealous mistress is dumped and wants to seek revenge,Good Translation,0.72207916,0.79030144,-0.068222284
se faire larguer,18,elle se fait larguer par queue-de-cheval oû va-t-elle pour se sentir désirée,there hasn't been a kornbluth here since 1 957,She gets dumped in a place called queue-de-cheval where will she go to feel desired?,Mistranslation,0.21320763,0.8125609,-0.5993533
se faire larguer,19,je viens juste de me faire larguer,i just got dumped,I just got dumped.,Good Translation,0.7145713,0.68951607,0.02505523
se faire larguer,20,c'est pas la 1re fois ni la dernière que je me ferai larguer,it's not the first time i've been dumped,it's not the first time nor the last time I'll get dumped,Unnatural,0.7552593,0.82363236,-0.068373084
se faire larguer,21,et les poires se font larguer,and nerd girls get dumped,and the pears are dropped,Literal Translation,0.48733455,0.7235581,-0.23622358
se faire larguer,22,un gosse de riche qui n'a pas accepté de se faire larguer,a rich spoiled brat who couldn't handle being dumped,a rich kid who didn't accept getting dumped,Good Translation,0.6956911,0.80098987,-0.10529876
se faire larguer,23,en fait je viens de me faire larguer,actually i think i just got dumped,in fact I just got dumped,Unnatural,0.76136535,0.7766392,-0.015273869
se faire larguer,24,lolita je viens de me faire larguer,i just got dumped,lolita I just got dumped,Unnatural,0.52132815,0.7086494,-0.18732125
se faire larguer,25,ouais c'est comme juste avant de se faire larguer par une femme,yeah usually right before a woman dumps me,yeah it's like just before getting dumped by a woman,Good Translation,0.80404675,0.89776486,-0.09371811
se faire larguer,26,rodelle vient de se faire larguer,rodelle's girl just broke up with him,rodelle has just been released,Mistranslation,0.73365456,0.81341773,-0.079763174
se faire larguer,27,je comprends carrément le sens de se faire larguer comme une merde donc je vais vous souhaiter une très bonne soirée,i completely understand the meaning of the phrase kicked to the curb so i will bid you both a pleasant evening,"I completely understand the meaning of being dumped like shit, so I'll wish you a very good evening.",Good Translation,0.71394295,0.82358307,-0.10964012
se faire larguer,28,c'était pire que se faire larguer par deluca,it was worse than being dumped by deluca,it was worse than being dumped by deluca,Good Translation,0.9379209,0.9379209,0.0
se faire larguer,29,les bars gays sont toujours remplis de filles hétéros qui viennent de se faire larguer,yeah but gay bars are always full of straight girls fresh off breakups,gay bars are always filled with straight girls who have just been dumped,Good Translation,0.8456732,0.88259,-0.036916792
se faire larguer,30,elle va le prendre mal personne n'aime se faire larguer,she's gonna be upset-- nobody likes getting dumped,She will take it badly nobody likes to be dumped,Good Translation,0.7945307,0.8150396,-0.020508885
se faire larguer,31,qu'est-ce que c'est je pense que je vais me faire larguer,i think i was dumped,what is it I think I'm going to get dumped,Good Translation,0.6089285,0.68232906,-0.07340056
