idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
coup de foudre,0,je sais pas j'ai eu un coup de foudre,i don't know it was love at first sight,I know not I fell in love,Mistranslation,0.70451736,0.7192669,-0.014749527
coup de foudre,1,je n'ai pas eu de coup de foudre depuis sean cassidy,i haven't had a crush since sean cassidy no way,I haven't had a crush on anyone since Sean Cassidy.,Good Translation,0.84500366,0.81161654,0.033387125
coup de foudre,2,je savais que tu as eu un coup de foudre pour juan antonio,look i knew you had feelings for juan antonio the moment you saw him,I knew you had a crush on Juan Antonio.,Good Translation,0.8462621,0.8446416,0.0016204715
coup de foudre,3,- on entend le tonnerre quand il y a un coup de foudre dans le ciel,thunderclaps are made by lightning strikes and love at first sight,- you can hear thunder when there is lightning in the sky,Literal Translation,0.5470996,0.81197286,-0.26487327
coup de foudre,4,c'est la première fois que j'ai un coup de foudre,it's the first time i've experiennced love at first sight,It's the first time I've fallen in love,Good Translation,0.86382157,0.83226633,0.031555235
coup de foudre,5,et comme on dit j'avais un coup de foudre pour elle,and as they say i had a crush on her,and as we say I had a crush on her,Unnatural,0.89316833,0.8785776,0.01459074
coup de foudre,6,meg disait à markayla de ralentir mais markayla a eu un coup de foudre,meg kept telling markayla to slow down but markayla was head over heels,Meeg said to Markayla to slow down but Markayla was struck by lightning,Literal Translation,0.87433636,0.7505036,0.12383276
coup de foudre,7,mais c'est pas ce qui se passe quand il y a un coup de foudre,but doesn't that happen in a case of love at first sight,but that's not what happens when there is a thunderbolt,Literal Translation,0.7323183,0.7566452,-0.02432692
coup de foudre,8,- on a eu un coup de foudre,love at first sight,We had a thunderbolt.,Good Translation,0.6269704,0.7001943,-0.07322389
coup de foudre,9,avoir un coup de foudre c'est sentir le véritable amour,to experience love at first sight is to feel true love,to have a crush is to feel true love,Mistranslation,0.7814422,0.7891733,-0.00773108
coup de foudre,10,vous n'êtes pas la seule à avoir eu un coup de foudre,you know you weren't the only one that crashed,You're not the only one to have had a crush on someone.,Unnatural,0.70684695,0.8279333,-0.12108636
coup de foudre,11,j'ai eu un coup de foudre,i've fallen in love,I was struck by lightning.,Literal Translation,0.77250826,0.70885277,0.063655496
coup de foudre,12,j'ai eu un coup de foudre et j'ai tout oublié,i fell in love with someone and all my plans went out the window,I was struck by lightning and I forgot everything.,Good Translation,0.75569725,0.7927739,-0.037076652
coup de foudre,13,aussitôt qu'il arrive il faut qu'il ait un coup de foudre,it has to be love at first sight,"As soon as he arrives, it has to be a lightning bolt for him.",Unnatural,0.6888286,0.79418993,-0.10536134
coup de foudre,14,si tu es inquiète de voir neil tomber amoureux de quelqu'un de la façon dont je suis tombé amoureux de toi ça serait comme s'inquiéter d'avoir un coup de foudre,if you're worried about neil falling in love with someone the way i fell in love with you that's like worrying about being struck by lightning,"If you're worried about seeing Neil fall for someone the way I fell in love with you, it would be like worrying about getting struck by lightning.",Good Translation,0.8642585,0.8637998,0.00045871735
coup de foudre,15,on a eu un coup de foudre dans le tram,we met on a tram love at first sight,We had a lightning strike in the tram.,Literal Translation,0.85857254,0.79303575,0.0655368
coup de foudre,16,j'ai presque eu un coup de foudre comme pour une fille,it was like falling in love with a woman at first sight,I almost had a lightning strike like with a girl.,Literal Translation,0.7672693,0.8526218,-0.08535248
coup de foudre,17,une fois j'ai eu un coup de foudre d'ascenseur,one time i had an elevator crush,Once I had a crush on an elevator.,Literal Translation,0.8750441,0.887094,-0.012049913
coup de foudre,18,alors qu'il est clair que tu as un coup de foudre passager pour lui,tutoring you when it's quite clear that you've developed an infatuation for him who says,While it's clear that you have a fleeting crush on him.,Good Translation,0.7344302,0.84582776,-0.111397564
coup de foudre,19,moi aussi mais on n'a pas eu de coup de foudre,so do i but we didn't love each other at first either,me too but we didn't have a thunderbolt moment,Good Translation,0.7166859,0.82496417,-0.108278275
coup de foudre,20,il faut essayer de deviner quel garçon a un coup de foudre pour toi,you try to figure out which cute boy has a crush on you,you have to try to guess which boy has a crush on you,Unnatural,0.8443291,0.87144136,-0.027112246
coup de foudre,21,hé vous n'avez jamais eu de coup de foudre,hey have you ever experienced love at first sight,You've never been struck by lightning?,Literal Translation,0.62464833,0.6814873,-0.05683899
coup de foudre,22,il a eu un coup de foudre pour moi bien sûr,bit of a crush on me of course yeah,he fell for me head over heels of course,Good Translation,0.7695019,0.8174046,-0.047902703
coup de foudre,23,j'ai eu un coup de foudre alors j'ai tué le vieux couple qui habitait ici,i fell in love at first sight and then i killed the old couple who lived here,I fell in love with her then I killed the old couple who lived here,Partial Translation,0.8844895,0.8765662,0.007923305
coup de foudre,24,- en voyant la maison j'ai eu un coup de foudre,i immediately fell in love with this house,- I fell in love with the house when I saw it,Good Translation,0.82202125,0.86664665,-0.0446254
coup de foudre,25,elle a un coup de foudre,she falls in love with him right there and then,she has a crush on him,Literal Translation,0.78099376,0.85092676,-0.069933
coup de foudre,26,tu as eu un coup de foudre pour une fille de 8 ans,you had a crush on an eight-year-old,You had a crush on an 8-year-old girl.,Good Translation,0.843595,0.87615097,-0.032555938
coup de foudre,27,il y en a une qui a un coup de foudre amical,ugh someone has a friend crush,There is one who has an amicable lightning strike,Literal Translation,0.75133264,0.7086729,0.04265976
