idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le pêche,0,soudain t'as la pêche,now all of a sudden you're fired up,suddenly you have energy,Good Translation,0.7564404,0.72443223,0.03200817
avoir le pêche,1,les rockets ont la pêche,these rockets are movin' today,the rockets are feeling peachy,Unnatural,0.7862954,0.7498032,0.03649223
avoir le pêche,2,super d'entendre que t'as la pêche à nouveau,glad to hear you're in high spirits again,super to hear that you're feeling great again,Good Translation,0.8277924,0.8373918,-0.009599388
avoir le pêche,3,ils ont la pêche,old people still know how to boogie,They have the will/to be enthusiastic,Partial Translation,0.58727014,0.7149172,-0.12764704
avoir le pêche,4,on peut pas dire que j'avais la pêche,things weren't exactly happening for me,you can't say I was feeling great,Good Translation,0.63579327,0.70330274,-0.06750947
avoir le pêche,5,il semblait avoir la pêche,just like a shining apple,he seemed to be enjoying himself,Good Translation,0.5908786,0.8186082,-0.22772962
avoir le pêche,6,- j'ai la pêche,- i'm just peachy,- I have the catch,Literal Translation,0.6545193,0.870026,-0.21550667
avoir le pêche,7,- il a la pêche,it was peachy,"- he has the hookworm (Note: This idiom doesn't translate directly; ""he's in top form"" or ""he's feeling great"" would be more appropriate and understandable translations.)",Mistranslation,0.5785225,0.59120595,-0.012683451
avoir le pêche,8,pour un type de 50 ans il avait la pêche,for a 50-year-old he had a lot of energy,"for a 50-year-old, he had the attitude",Partial Translation,0.75244844,0.7702323,-0.01778388
avoir le pêche,9,sur la photo elle a la pêche,and she looks so alive in the photo,she's having a great time in the photo,Unnatural,0.7732744,0.8276547,-0.054380298
avoir le pêche,10,elle est cool elle a la pêche et vous aime beaucoup,she's fun and she likes you a lot,"She is cool, she is in great spirits, and she loves you very much.",Unnatural,0.85419995,0.8366049,0.017595053
avoir le pêche,11,car votre copine helen a la pêche,'cause your girl helen is doin' quite well,because your girlfriend Helen is in great form,Good Translation,0.72619766,0.73072577,-0.0045281053
avoir le pêche,12,elle a la pêche,is she a firecracker or what,she is fishing,Literal Translation,0.6355329,0.91385275,-0.27831984
avoir le pêche,13,eve ne serait pas bonne a la pêche,eve would not be good at fishing,eve would not be good at fishing,Good Translation,0.93782663,0.93782663,0.0
avoir le pêche,14,en fait j'ai la pêche,hell i'm great,in fact I'm feeling great,Good Translation,0.57076985,0.69187987,-0.12111002
avoir le pêche,15,- éric il a la pêche non,eric looks great these days,"Eric, he is on fire.",Good Translation,0.6024937,0.6005782,0.0019155145
avoir le pêche,16,t'as la pêche on dirait,good to see you looking so happy,you've got the hang of it/you look like you're having fun,Partial Translation,0.53273827,0.6353951,-0.10265684
avoir le pêche,17,comment ils font pour avoir la pêche le matin,i don't know how those two manage to be so perky in the morning,how they manage to be so chipper in the morning,Good Translation,0.63544095,0.6944283,-0.05898738
avoir le pêche,18,bon avant qu'on ne te batte je sais que tu avais la pêche,all right before they beat you i know you had it in you okay,good before we beat you up I know you had it going on,Good Translation,0.7778505,0.7982682,-0.02041769
avoir le pêche,19,- j'ai la pêche aujourd'hui,- i'm kind of on fire today,-I'm in great shape today,Good Translation,0.74930996,0.7380287,0.011281252
avoir le pêche,20,parfois je suis déprimée parfois j'ai la pêche,sometimes i'm down sometimes i'm up,sometimes I am depressed sometimes I feel great,Good Translation,0.7308497,0.76069355,-0.029843867
avoir le pêche,21,- je sais mais j'ai la pêche,but my arm's not even tired yet,"- I know, but I'm feeling great",Good Translation,0.5733109,0.7312689,-0.15795797
avoir le pêche,22,il a la pêche,he's peachy,he has the catch,Unnatural,0.7064174,0.8425164,-0.13609904
avoir le pêche,23,on a la pêche la chasse et de superbes couchers de soleil,we have fishing hunting and a charming view of the sunsets,"we have fishing, hunting, and magnificent sunsets",Partial Translation,0.8711629,0.87666386,-0.0055009723
avoir le pêche,24,et j'ai la pêche,and i feel great,and I am feeling great,Good Translation,0.6265298,0.62855,-0.0020201802
avoir le pêche,25,ils ne sont pas beaucoup mais ils ont la pêche,hey look small crowd but they're very very lively,"They may not be many, but they've got the energy.",Good Translation,0.73827505,0.82104194,-0.08276689
avoir le pêche,26,c'est mon argent il est à vous maintenant si on les met dans le coffre-fort et que lundi quand vous aurez la pêche,yeah well so what,it's my money it's yours now if we put them in the safe and on Monday when you're in a good mood,Unnatural,0.450435,0.8153728,-0.3649378
avoir le pêche,27,trouve un nom qui te plaît un nom qui ait la pêche,think about some name that makes you happy or something with a little pizzazz,find a name you like a name that has the vibe,Good Translation,0.7531673,0.8075133,-0.054346025
avoir le pêche,28,je sais pas elle a la pêche,everything's peachy,"I don't know, she has the game on.",Mistranslation,0.525828,0.7475183,-0.2216903
avoir le pêche,29,dis donc t'as la pêche,hey you look good man you look good,you've got the energy man,Good Translation,0.5871607,0.583362,0.0037987232
avoir le pêche,30,oui nous avions la pêche la force du désir,sure we were feeling great had the strength of desire,yes we had the gusto the power of desire,Good Translation,0.77445984,0.83417714,-0.059717298
avoir le pêche,31,- j'ai la pêche,- i feel great,- I'm feeling great,Good Translation,0.64305705,0.64033544,0.0027216077
avoir le pêche,32,j'ai la pêche mec,i'm not tired at all,I'm feeling pumped man,Good Translation,0.520164,0.63112843,-0.11096442
avoir le pêche,33,j'ai la pêche aujourd'hui ma chérie,i'm feeling very frisky today my love,"I'm feeling great today, my dear.",Good Translation,0.70117277,0.69096756,0.010205209
avoir le pêche,34,il a la pêche,he has a strong punch,"he has the hookworm (Note: This is not the correct translation. The idiom ""il a la pêche"" translates to ""he feels fishy"" or more naturally in English might be ""he's feeling lively"" or ""he's full of energy"".) 

Correct translation: he's feeling lively",Mistranslation,0.7067516,0.6843195,0.022432089
avoir le pêche,35,- oui il a la pêche,he's great,- yes he has the catchphrase,Literal Translation,0.69190216,0.7592956,-0.06739342
avoir le pêche,36,ouah marcy t'as la pêche,wow marcy you seem peppy,oh Marcy you're in great shape,Literal Translation,0.7258577,0.7362432,-0.010385513
