idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir rien à foutrer,0,putain j'en ai rien à foutre j'en ai marre,fuck i don't want to know i've had enough,fuck I don't give a damn I'm sick of it,Good Translation,0.7027432,0.8000182,-0.09727502
en avoir rien à foutrer,1,votre argent et vos amis puissants j'en ai rien à foutre gartley,hey all your powerful friends and all your money don't mean shit to me gartley,"your money and your powerful friends, I don't give a damn Gartley",Good Translation,0.83933395,0.89054096,-0.051207006
en avoir rien à foutrer,2,de toute façon j'en ai rien à foutre,i don't care what the hell you're doing,damn well doesn't matter to me,Good Translation,0.69063735,0.7230281,-0.032390773
en avoir rien à foutrer,3,j'en ai rien à foutre de tes petites histoires d'amour de merde,i don't care about your love stories,I couldn't care less about your damn love stories,Good Translation,0.8197572,0.7849345,0.034822702
en avoir rien à foutrer,4,je n'en ai rien à foutre de ce qu'il t'est arrivé,i don't give a flying shit what happened to you guy,I don't give a damn about what happened to you,Good Translation,0.798102,0.88091475,-0.08281273
en avoir rien à foutrer,5,il en a rien à foutre qu'elle ait disparu ou pas,fucker doesn't care that the poor girl is missing,He couldn't care less whether she disappeared or not,Good Translation,0.7908345,0.8417921,-0.05095762
en avoir rien à foutrer,6,tu sais j'en ai rien à foutre que tu sois malheureux,you know i don't give a shit how bad you feel,you know I don't give a damn that you're unhappy,Good Translation,0.7933533,0.84959555,-0.056242228
en avoir rien à foutrer,7,dans trois ans on n'en aura rien à foutre de lui,you think either one of us is gonna give a damn about finn in three years,in three years we'll have nothing to give a damn about him,Unnatural,0.7120782,0.92591715,-0.21383893
en avoir rien à foutrer,8,monsieur j'en ai rien à foutre de tout le monde,mr i don't give a fuck about anything or anyone,I don't give a damn about everyone,Partial Translation,0.8303144,0.79561025,0.03470415
en avoir rien à foutrer,9,les flics ils en ont rien à foutre,the cops couldn't give a shit,The cops don't give a damn,Good Translation,0.74072057,0.8454343,-0.10471374
en avoir rien à foutrer,10,tu n'en as rien à foutre,see you don't even give a shit,you don't give a damn about it,Good Translation,0.7464855,0.8059941,-0.05950862
en avoir rien à foutrer,11,vous pouvez avoir l'éternité devant vous ou mourir dans la seconde j'en ai rien à foutre,you can all live forever or you can die this second,you can have eternity in front of you or die in the next second; I don't give a damn,Good Translation,0.6946126,0.8858806,-0.19126797
en avoir rien à foutrer,12,t'en as rien à foutre,say what you want you don't fuckin' care,you couldn't care less,Good Translation,0.70495725,0.6086716,0.09628564
en avoir rien à foutrer,13,- j'en ai rien à foutre que tu sois désolé,i don't give a shit about sorry,I don't give a damn that you're sorry.,Good Translation,0.8587147,0.88728833,-0.028573632
en avoir rien à foutrer,14,je dois te le dire comment que j'en ai rien à foutre,which part of i don't give a shit do you not understand,I have to tell you how much I couldn't give a fuck,Good Translation,0.52511895,0.64682823,-0.12170929
en avoir rien à foutrer,15,j'en ai rien à foutre que vous me croyez ou pas,just fuck you i don't give a shit believe it or not,I don't give a damn whether you believe me or not,Unnatural,0.8126112,0.90529746,-0.092686236
en avoir rien à foutrer,16,j'en ai rien à foutre de gina,i don't give a damn about no gina,I don't give a damn about Gina,Unnatural,0.881668,0.88383996,-0.0021719933
en avoir rien à foutrer,17,tu n'en as rien à foutre de rien,'cause you don't give a rat's ass about anything,you give a damn shit about nothing,Literal Translation,0.7522935,0.82226026,-0.06996673
en avoir rien à foutrer,18,j'en ai rien à foutre,i'm not giving you shit,I couldn't care less,Good Translation,0.7040862,0.6379258,0.06616038
en avoir rien à foutrer,19,pour les montres j'en ai rien à foutre,and don't worry about the watch,"for watches, I don't give a damn",Good Translation,0.75691456,0.86953574,-0.11262119
en avoir rien à foutrer,20,j'en ai rien à foutre de la police,don't think i'm afraid just because you're an officer,I don't give a damn about the police,Good Translation,0.63762754,0.9269991,-0.28937155
en avoir rien à foutrer,21,j'en ai rien à foutre de sting,screw sting,I don't give a damn about sting,Good Translation,0.6223836,0.9316141,-0.3092305
en avoir rien à foutrer,22,on le vire j'en ai rien à foutre,we're getting rid of him shut up,I couldn't care less about firing him/her.,Good Translation,0.6707746,0.6513168,0.019457757
en avoir rien à foutrer,23,vous en avez rien à foutre je suis un homme ordinaire,are you all right man 2 like you give a shit whether i live or die,you couldn't care less I am an ordinary man,Good Translation,0.7020371,0.86610234,-0.16406524
en avoir rien à foutrer,24,ils n'en ont rien à foutre,they don't care look at them,They couldn't care less,Good Translation,0.7750169,0.66511244,0.10990447
en avoir rien à foutrer,25,commentje n'en ai rien à foutre,how i don't give a fuck,how the fuck do I give a damn,Mistranslation,0.79081345,0.6886837,0.10212976
en avoir rien à foutrer,26,sauf son respect j'en ai rien à foutre,and i'll say to that i don't really give a fuck,"except for his respect, I don't give a damn",Good Translation,0.6877856,0.86133647,-0.17355084
en avoir rien à foutrer,27,les lndiens nen ont rien à foutre de moi,you think those indians want me knowing their business,The Indians don't give a damn about me,Good Translation,0.46746343,0.77255213,-0.3050887
en avoir rien à foutrer,28,- non c'est pas vrai t'en as rien à foutre gherson,ah no you're a phony gherson,"- no, that's not true you don't give a damn gherson",Good Translation,0.7773113,0.8971199,-0.119808555
en avoir rien à foutrer,29,- j'en ai rien à foutre je préfère te donner ma démission,- i don't give a fuck i'd rather hand in my papers first,"- I couldn't care less, I'd prefer to give you my resignation.",Good Translation,0.710155,0.8590387,-0.1488837
