idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
passer le arme à gauche,0,j'attends qu'il passe l'arme à gauche,i'm waiting him out,I'm waiting for him to pass the baton to the left,Literal Translation,0.7342355,0.8826181,-0.1483826
passer le arme à gauche,1,de quoi il héritera quand ses parents passeront l'arme à gauche,what's he gonna inherit when his parents croak,of which he will inherit when his parents pass on to the great beyond,Good Translation,0.73576057,0.77381253,-0.038051963
passer le arme à gauche,2,ils attendent tous qu'il passe l'arme à gauche,of course they're all waiting for him to drop dead you know,They are all waiting for him to pass left arm.,Literal Translation,0.71127784,0.91094315,-0.19966531
passer le arme à gauche,3,l'antenne est dans quatre minutes qui conduira le navire quand j'aurai passé l'arme à gauche,who's going to run the whole show when my carburetor conks out,the antenna is in four minutes which will guide the ship when I have handed over the left arm,Literal Translation,0.5342196,0.91056776,-0.37634814
passer le arme à gauche,4,beaucoup de gens ont passé l'arme à gauche à l'époque-- mais pas tous,a lot of people got off the boat in those days but not everybody,a lot of people passed the gun to the left at the time – but not all,Literal Translation,0.70416605,0.91588634,-0.21172029
passer le arme à gauche,5,en louisiane quand quelqu'un passe l'arme à gauche il font un plat de gumbo si gros qu'ils en mangent toute l'année,you understand we're just holding you on the outstanding warrant you got from pennsylvania,in Louisiana when someone passes a gun to their left they make such a big plate of gumbo that they eat it all year,Literal Translation,0.38328403,0.9056126,-0.52232856
passer le arme à gauche,6,il y a cent cinquante mille façons de passer l'arme à gauche,there are a hundred and fifty thousand different ways we could kick the bucket,"There are 150,000 ways to pass the arm to the left.",Literal Translation,0.6632709,0.89737326,-0.23410237
passer le arme à gauche,7,il passe l'arme à gauche,he's goin' south,He passes the arm to the left.,Literal Translation,0.6841121,0.9005674,-0.21645534
passer le arme à gauche,8,mon père a passé l'arme à gauche et ma mère s'est remariée,my dad passed away and my mom got married again and as long as i could remember,My father passed away and my mother remarried.,Good Translation,0.7308862,0.8029163,-0.07203007
passer le arme à gauche,9,elle a passé l'arme à gauche,she passed away,She gave up the gun.,Mistranslation,0.64443254,0.7484492,-0.10401666
passer le arme à gauche,10,il a passé l'arme à gauche deux ans après buck,he passed away two years after buck,He passed over to the left hand two years after Buck.,Literal Translation,0.6981853,0.8881721,-0.18998677
passer le arme à gauche,11,un type normal aurait passé l'arme à gauche et serait mort,i mean any normal man would have just turned up his toes and died,A normal person would have handed over the gun and died,Literal Translation,0.76149386,0.8467685,-0.08527464
passer le arme à gauche,12,je veux que chacun d'entre nous puisse passer l'arme à gauche avec le sourire aux lèvres,may each of us live his life the way that when his final hour comes only he would smile,I want each of us to be able to pass the arms over with a smile on our lips.,Literal Translation,0.6360562,0.88343936,-0.24738318
passer le arme à gauche,13,si vous regardez ce film c'est que j'ai passé l'arme à gauche,if you are watching this then i have croaked,if you watch this movie it's because I shot myself in the head,Literal Translation,0.62957436,0.685591,-0.056016624
passer le arme à gauche,14,- je vais passer l'arme à gauche,i'm about to keel over,"I am passing the gun to the left (or ""surrendering"")",Literal Translation,0.6250747,0.7947834,-0.16970873
passer le arme à gauche,15,je croyais qu'il avait passé l'arme á gauche,but i thought he was long gone,I thought he had passed it to his left.,Literal Translation,0.66313493,0.8824866,-0.21935165
passer le arme à gauche,16,qui prendra soin d'elle quand tu auras passé l'arme à gauche,who's gonna take care of her when something happens to you,who will take care of her when you've hung up your gun to the left,Literal Translation,0.7432692,0.8811866,-0.1379174
passer le arme à gauche,17,il est sur le point de passer l'arme à gauche il a les yeux entrouverts et dit,he was dying and then he said,He's on the verge of surrendering he has his eyes half-closed and says,Literal Translation,0.6494174,0.8058865,-0.1564691
passer le arme à gauche,18,et puis ils vont bientôt passer l'arme à gauche non,and besides they'll probably be dead soon right,and then they will soon pass on the left arm no,Mistranslation,0.70909405,0.92158425,-0.2124902
passer le arme à gauche,19,si manuel passe l'arme à gauche elvis reprend le prochain avion,if manuel goes belly up elvis is on the next plane home,"If Manuel passes the gun to his left, Elvis will take the next plane.",Literal Translation,0.7502086,0.83940434,-0.08919573
passer le arme à gauche,20,décidé de passer l'arme à gauche,decided to check out early,decided to lay down arms,Mistranslation,0.5863488,0.74520093,-0.15885216
passer le arme à gauche,21,les affaires ne sont plus ce qu'elles étaient depuis que sophie deveraux a passé l'arme à gauche,business is not what is used to be since sophie deveraux kicked the bucket,business is no longer what it was since Sophie Deveraux went to the left,Literal Translation,0.79441464,0.8771575,-0.08274287
passer le arme à gauche,22,mon père vient de passer l'arme à gauche,my dad just passed on and,my father has just passed the arm to the left,Literal Translation,0.7587495,0.9408009,-0.18205142
passer le arme à gauche,23,vous avez enfin passé l'arme à gauche,are you finally dead old man,You finally laid down your arms.,Partial Translation,0.6020855,0.7659255,-0.16384006
passer le arme à gauche,24,parce que sa mère a passé l'arme à gauche et elle l'a complètement ignoré,because his mother croaked and she completely ignored him,because his mother had been left-handed and he completely ignored her,Mistranslation,0.7419615,0.88114214,-0.13918066
passer le arme à gauche,25,j'aurais passé l'arme à gauche pour elle,i would've gone the extra mile for her,I would have crossed over to the other side for her,Mistranslation,0.7353892,0.8279084,-0.09251922
