text,language,x,y
- And your grandfathers?,English,-1.8575633,-1.3918535
He sure had it coming.,English,0.20513347,-2.7044818
Bloody hell,English,0.061614584,-0.89072555
"Oh my God, who's winning so far?",English,1.3707558,-0.909574
- Holy moly.,English,0.7307832,-0.61903214
Holy cow!,English,0.25037047,-0.70378256
It's the salmon guy!,English,5.1731815,0.12409095
it's a fax from Forensics,English,2.2864127,-0.6500947
"- Attention! - Oh, boy.",English,0.633206,-0.27606374
"All right, all right, all right.",English,1.8736551,0.20937552
"And now, a young lady who goes to third base faster than Rickey Henderson my sister, Roberta Tubbs.",English,-3.0952952,-0.71782786
"Becca, there is no easy way to say this...",English,-2.0150485,-1.8550872
"Let's cut to the chase, shall we?",English,0.65428966,1.051023
"All right, so let's cut to The Chase.",English,0.63201594,1.2829791
"You don't mind if we, uh, jump right in?",English,1.9038882,-0.5966969
"Indeed,gentlemen,let me c to the chase.",English,0.59693795,1.4456009
"Well, I... I'll get right on that.",English,0.59884393,1.5798143
Straightforward question.,English,1.5049508,-0.18104985
"Therefore, I shall get straight to the point.",English,0.68634015,1.4925116
Focus. Keep it simple.,English,2.661844,-0.20381059
"Now, you all know me, so I'll just say this as simple as I can.",English,1.716768,0.9015349
"Should we get right to it, Captain?",English,1.4579493,-0.38407856
We're gonna keep this simple.,English,1.8023967,0.21312268
"Look, can we just cut to the chase here?",English,1.1970775,0.3752546
Let me cut to the chase. I hear you can't get a date for the winter formal.,English,0.41170338,1.0404937
"OK, let's get something straight.",English,1.4164712,-0.09472216
"This way, they can advance all the way home on just one move.",English,1.5257194,-0.20314388
"Well, might be a little harsh, but I think it makes a point.",English,0.75084215,-0.735592
"Well, let's get right to it then. Cyrus, meet Sanders Black.",English,1.416421,-0.11584188
Don't make any long explanations and just get to the point.,English,-1.5484116,-2.424959
"Well,if you drill it down,it means the company knew asbestos was causing cancer.",English,1.9386868,-1.7806828
"Get to the point, Mr. Morelli.",English,1.1226025,-0.81093484
Then I'm gonna have to sort of condense this maybe make it more of a bullet-point thing.,English,0.032718267,1.3222998
Why don 't we cut the crap and talk straight?,English,0.4156322,-1.3026217
"Let's cut through the facade, Agent Burke.",English,1.6990917,-0.5116233
"Way to get right to the point, Dad. (QUINN LAUGHING)",English,0.5696794,0.11979842
I just thought we might expedite.,English,1.527705,-0.66363764
"Since you're busy, I will just get to the point.",English,1.3571423,0.5659733
Pleasantries out of the way. Let's get down to the heart of the matter.,English,-0.070128955,-0.9406937
"That's my girl, straight and to the point.",English,-2.9650614,-0.5160938
"So, if you went straight to the point?",English,1.4421737,0.016045555
There's no plot in these things any more. Just straight in there.,English,-2.072759,-2.680999
"Louise is holding dinner for me, so let's have it.",English,0.9733218,2.5993066
"While I'd love to go on trading jabs with you, Spike, perhaps I'll come to the point.",English,0.19240138,0.74638563
You look like a man who likes to get right to the point...,English,-0.13178085,-0.11796277
The plant is wonderful. But can we get straight to business.,English,2.0607457,-1.4650656
"Well, lets get to it.",English,1.6186614,-0.1491943
"We can just get right to the point, Milo.",English,1.5792644,-0.09908164
"So anyway, let's get to the point of it and that, right?",English,1.6155102,-0.17497414
"So anyways, let's get down to the nitty-gritty.",English,1.2192374,-0.3997806
"- He gets right to the point. - Hi, honey.",English,0.3230356,-2.428658
-Can we get to the point here?,English,1.5334502,-0.20994228
"Let's cut to the chase, where's the dope?",English,0.64969474,-0.5252439
"People are starting to look, so let's just move it along, okay?",English,2.3994753,-0.4494765
Just cut to the chase.,English,0.5389106,1.3641962
Let's get on to the important stuff - the raffle!,English,1.4049815,-0.43009257
"Miss Walker, I know you're busy, so let's-- let's get, uh, right to the nitty-gritty",English,1.1357414,-0.2944526
"May I... as you say in America, cut right to the chase, professor?",English,1.1735116,0.31991336
"Okay, you already know me and I already know you so... why don't we not play any games and you can start by telling me why you're here.",English,-2.1006577,-2.0953183
"I'll be at your side despite your insults, a revolutionary aims straight to the goal, at all costs.",English,1.5171186,0.09657587
- Straight to the point.,English,1.5385247,-0.06290707
"Honey, sometimes it's not the most perfect timing To get straight to the point.",English,0.3720372,-0.48844236
"But why don't we just cut to the chase, then, and see if this doesn't have Connie's DNA on it?",English,-1.2773044,-1.9041876
"I'm gonna get right to the point, Jack.",English,0.7049707,1.5151011
"- Hey, let me cut to the chase.",English,0.41217893,1.4307221
Makes it easy to get to the point.,English,1.5542874,-0.23612967
"Skip the small talk, ask the questions that really matter to you, and your match may be here.",English,0.99231726,0.58456296
"ALL RIGHT, LET'S GET TO IT. WHEN AND WHERE ?",English,1.5919371,-0.16402678
"All bullshit aside, Sister, I want God to pick me.",English,0.5568084,1.1769915
"Toby, if you have something to say, please say it.",English,0.99694115,0.54638976
"Well, I'll get right to it.",English,0.71941715,1.5776007
"E, let's just cut to the chase.",English,0.58187354,1.2853653
"Let's cut to the chase, so we can all get out of here and go home. Okay.",English,1.0192167,-0.10724234
"But if you need something, you should let me know.",English,1.595472,0.9761353
"Um, I guess I should just, uh, jump right into this.",English,0.6838722,1.51523
Let me get this straight.,English,1.3607635,0.5147995
"Let's cut the bullshit, then, is this because she's black?",English,-3.2460356,-0.88497627
"She knows what she wants, and she asks for it.",English,-3.001824,-0.52919763
"- Tessa, let me just cut to the chase.",English,0.49929038,1.4434024
"Well, you walked right into that one.",English,1.4696418,0.26693243
"Well, let's hash it out.",English,1.3612907,-0.3993356
How about we get to the point of this exercise?,English,1.374288,-0.020511823
Larry? I want to get right to the point.,English,1.4374776,0.10775988
Let me cut to the chase.,English,0.39035493,1.4588567
"Since you know everything, let's get to the bottom line",English,1.4658651,0.23494469
"You're a very busy man, clearly, so we'll get right to the point.",English,1.4931668,0.36479992
You go right at a thing.,English,1.5050806,0.18307303
"Uh, getting right to the point, we have an eye on one of your students.",English,2.5278199,-0.053435672
Just call someone a hippie and get to the point.,English,0.44434825,-0.38890964
"And judging by your looks, I'm just gonna get right to it.",English,0.7515747,1.6033776
I thought you brought me here because we were gonna cut through the bullshit.,English,-0.6576815,0.7781298
"I know your time's precious, so I'll get to the point.",English,1.5186629,0.9320553
"I can't believe this, you go right for the jugular, don't you?",English,-0.212496,-0.075173035
"You get right to it, don't you?",English,0.061340228,-0.054766834
- You read a lot of his stuff?,English,0.29271045,-2.2811
"All right, mom, let's just cut to the chase, and then maybe we can salvage rebecca's birthday party, please?",English,1.3970023,-0.17811322
"Amber, I'm just going to go ahead and cut to chase here.",English,0.6237721,1.432143
May I suggest that we dispense with the amenities and go directly to your patio.,English,1.4544089,-0.48750398
"Obviously, we have a lot to discuss, so I think we should just jump in.",English,1.4196389,-0.3280054
"Get to the point, Spock, if there is one.",English,1.8135597,-0.36766267
-Yeah? -Let's broach the elephant in the room. -Right?,English,-1.4641808,-0.3444093
I thought you were getting to the point.,English,1.4971265,0.16694695
"Norma, maybe just cut to the point.",English,-3.2566347,-0.8016155
I didn't wanna bullshit him.,English,-2.4717143,-2.5251758
"So, what say we get to it?",English,1.6476034,-0.117315516
Just get them together and give it to them straight.,English,1.3602141,-1.1483755
Let that be. Talk about cash. Money.,English,3.2342403,1.9260994
"You jump right in, don't you?",English,-0.210611,-0.06445158
"- All of our music is really so symbolic rather than direct to the point, you know...",English,1.2482082,-1.0061364
"No, I want to get right to the point and get the hell out of here.",English,0.26518986,1.4255673
'Cause you know I'm here to take that call,English,1.4709065,1.1886991
Let's go make some omelets!,English,1.1161273,2.6782212
"But I'm going with Gina's ""suck an egg"" idea.",English,-3.0727227,-0.36781552
This year she can go... Blow a balloon.,English,-3.218123,-0.708916
I told him to go fly a kite.,English,-0.30051917,-2.5580385
"And as for Mrs. Marko, I should tell her to go fry an egg.",English,-2.87968,-0.25114948
We're going to call a spade a dirty spade.,English,12.810136,2.1764863
"L""ve always called a spade a spade!",English,12.816398,2.1805084
If it walks like a duck...,English,-2.997725,3.7895408
Let's call a spade a spade.,English,12.796407,2.1628404
"I just call it like I see it, babe.",English,-0.0032531214,-0.62273437
"PC crap, nothing can be called what it is.",English,-2.3901196,-2.9982185
"- Let's call a spade a shovel, mate.",English,12.804897,2.1714578
Why not call a spade a spade?,English,12.812299,2.177417
Let's call a spade a spade,English,12.810428,2.175618
"See if we can keep this thing going without calling it what it really is, huh?",English,0.8369911,-0.97432965
Let's call a spade a spade.,English,12.807228,2.1732564
A good nurse has to be straight to the point.,English,-1.4096315,-1.050417
But I can still call a spade a spade.,English,12.814602,2.1786897
"Janet, it is time to call a flake a flake and a spade a spade.",English,1.1285597,-0.6860115
I was simply calling a spade a spade.,English,12.813142,2.1772363
"Well, let's just call it what it is.",English,0.29799306,-0.9603396
"There I am prepared to call a spade a spade, as a warning to present and future generations.",English,12.808856,2.175031
"You know me, I call a spade a spade.",English,12.813482,2.1777632
"I find if you call a spade a spade, you'll generally get a favorable response.",English,12.810893,2.1760674
"Well, let's call a spade a spade, shall we?",English,12.808026,2.1741843
My method is based partly on calling a spade a spade.,English,12.814002,2.1785378
"Let's just call it what it is, right?",English,0.3242062,-0.93430877
But let's call it what it really is.,English,0.41978794,-0.9143317
"- What? Now, look, Louisa, let's call a spade a spade.",English,12.802997,2.1719146
Let's cut the bullshit and call this for what it is.,English,0.25043514,-1.0213296
I'm just not used to this... whatever it is.,English,-2.0185912,1.3220551
"Well now, let's be, let's call a spade a spade.",English,12.808076,2.1741655
"Look, Charlie, let's just call a spade a spade.",English,12.805809,2.1727235
