idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le tête,0,combien de temps vas-tu encore me faire la tête,all right how long are you gonna stay mad at me,how much longer are you going to keep giving me the cold shoulder,Good Translation,0.80437505,0.7496284,0.054746628
faire le tête,1,est-ce que tu me fais la tête,is this supposed to be the silent treatment,Are you being stubborn with me?,Mistranslation,0.41080192,0.665048,-0.2542461
faire le tête,2,vous faites la tête,i must watch the expressions on your faces,You're making a face.,Good Translation,0.6635752,0.7925749,-0.12899971
faire le tête,3,c'est une occasion unique pour quelqu'un comme moi d'aller de l'avant et toi tu fais la tête,for once a poor guy like me gets the chance to get ahead and all she can do is whine,It's a one-off chance for someone like me to get on with it and you're sulking.,Good Translation,0.67938435,0.78125036,-0.10186601
faire le tête,4,il me fait la tête depuis que j'ai abandonné,he's been giving me the stink eye since i pulled my name out of contention,It's been sulking with me since I left.,Good Translation,0.77212846,0.7628561,0.009272337
faire le tête,5,- décidément tu fais la tête,- you are really sulking,You're definitely making a face.,Unnatural,0.718099,0.80597365,-0.08787465
faire le tête,6,je suis supposé faire la tête d'affiche maintenant,i'm supposed to be some sort of poster boy now,I'm supposed to be the headliner now.,Good Translation,0.7832587,0.8459893,-0.06273061
faire le tête,7,tu me fais le tête toi,i got news from my brother,You're giving me the silent treatment.,Mistranslation,0.5292763,0.6521055,-0.1228292
faire le tête,8,tu fais la tête constipation,t-that's impossible,You're having a bad hair day.,Mistranslation,0.4462428,0.60815525,-0.16191244
faire le tête,9,et continue à me faire la tête d'accord,just be the way that you were,"and continues to act up, okay?",Partial Translation,0.4743833,0.7168494,-0.24246609
faire le tête,10,tu fais la tête à ton frère et tu nous fais la tête,you didn't give your brother face and you didn't give us face,You're making a face at your brother and you're giving us the silent treatment too.,Partial Translation,0.73852515,0.8130919,-0.07456672
faire le tête,11,vous faites la tête tous les deux,are you two not speaking to one another,You're both making faces at me.,Literal Translation,0.7083167,0.81557226,-0.10725558
faire le tête,12,je faisais la tête car t'étais distant,well i was only moody because you were so distant,I was sulking because you were being distant.,Good Translation,0.81483567,0.85486114,-0.040025473
faire le tête,13,- moi non plus depuis quand tu fais la tête,hey since when did you get morals,- me too ever since you've been in a bad mood,Mistranslation,0.6125198,0.7072621,-0.0947423
faire le tête,14,ma fille cessera-t-elle de faire la tête,will my daughter ever stop sulking,Will my daughter stop making a face?,Unnatural,0.74504113,0.83077276,-0.085731626
faire le tête,15,- alors pourquoi tu fais la tête,- then why am i sensing attitude,- so why are you pouting?,Good Translation,0.6928848,0.7430585,-0.0501737
faire le tête,16,tu fais la tête,why the long face,You're sulking.,Good Translation,0.54974926,0.66751426,-0.11776501
faire le tête,17,tu es ici car je ne supportais plus de te voir faire la tête,you're here because i couldn't bear to watch you pout any longer,You're here because I couldn't bear to see you make a face at me any longer.,Unnatural,0.85530186,0.88244176,-0.027139902
faire le tête,18,jewel pourquoi tu fais la tête,jewel why are you thinking,What's wrong with you?,Unnatural,0.8185077,0.5961414,0.22236627
