idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se jeter dans le gueule de le loup,0,va-t-on se jeter dans la gueule du loup,we'll be walking into a trap,Are we going to jump into the wolf's mouth,Good Translation,0.5922543,0.7791492,-0.1868949
se jeter dans le gueule de le loup,1,nous on se jette dans la gueule du loup pendant que vous restez là hors du danger,we're going down while you all stay up here out of danger,We're leaping right into the lion's jaws while you stay safely out of it.,Good Translation,0.7048537,0.7881205,-0.083266795
se jeter dans le gueule de le loup,2,il se jette dans la gueule du loup,coming like a lamb to the butcher,He throws himself into the lion's jaws.,Unnatural,0.5260165,0.81747407,-0.2914576
se jeter dans le gueule de le loup,3,c'est quoi cette brebis qui vient se jeter dans la gueule du loup,man who's this wonder-bread-lookin' motherfucker walkin' around,What is this ewe doing jumping into the wolf's jaws?,Unnatural,0.502069,0.6368559,-0.1347869
se jeter dans le gueule de le loup,4,et bien je devine que je viens de me jeter dans la gueule du loup hum,well i guess i just walked into the lion's mouth eh,and well I guess I just leaped into the lion's mouth human,Unnatural,0.7804085,0.790962,-0.010553479
se jeter dans le gueule de le loup,5,voler le livre de comptes du ministre dans sa demeure c'est comme se jeter dans la gueule du loup,stealing the minister's account book from his house is like jumping into the fire,Stealing the minister's accounting book at his residence is like throwing oneself into the lion's jaws.,Good Translation,0.8539895,0.8945626,-0.04057312
se jeter dans le gueule de le loup,6,verdice se jette dans la gueule du loup,verdice is walking right into an arrest,He threw himself on the wolf's throat.,Literal Translation,0.58402276,0.634061,-0.05003822
se jeter dans le gueule de le loup,7,donc elle est va se jeter dans la gueule du loup j'ai une voiture qui attend,so she's walking into a trap i have a car waiting,so she is going to go ahead and take a leap of faith I have a car waiting for her,Good Translation,0.77092874,0.76600546,0.004923284
se jeter dans le gueule de le loup,8,pourquoi se jeter dans la gueule du loup,why we got to walk into that lion's den,Why throw oneself into the lion's den.,Good Translation,0.5607012,0.7378296,-0.17712843
se jeter dans le gueule de le loup,9,c'était donc une bonne idée de me jeter dans la gueule du loup,i suppose you think it was good business letting me walk into that trap,It was therefore a good idea to throw myself at the lion's den.,Good Translation,0.68964005,0.83637273,-0.14673269
se jeter dans le gueule de le loup,10,je me jette dans la gueule du loup,i'm throwing myself into the lion's jaws,I'm throwing myself to the lion's jaws.,Unnatural,0.8199068,0.8044547,0.015452087
se jeter dans le gueule de le loup,11,autant se jeter dans la gueule du loup,it sort of turned out better to toss it to the wolves didn't it,to throw oneself to the wolves,Good Translation,0.5652484,0.7151295,-0.14988106
se jeter dans le gueule de le loup,12,j'ai été me jeter dans la gueule du loup,i threw myself into the lion's den,I've been throwing myself to the jaws of the wolf.,Good Translation,0.78335845,0.7984331,-0.01507467
se jeter dans le gueule de le loup,13,on va se jeter dans la gueule du loup,we're walking into a world of shit,we're going to throw ourselves at the wolf's throat,Good Translation,0.63989717,0.799363,-0.15946585
se jeter dans le gueule de le loup,14,y retourner c'est se jeter dans la gueule du loup,you'd better not go back,To go back is to jump down the wolf's throat.,Good Translation,0.65088916,0.8051419,-0.15425277
se jeter dans le gueule de le loup,15,ils se jettent dans la gueule du loup,marching into the jaws of death,They are leaping into the jaws of the wolf.,Good Translation,0.60038596,0.7638389,-0.16345292
se jeter dans le gueule de le loup,16,- mais ça va pas non t plaisantes tu veux pas que j'aille me jeter dans la gueule du loup aussi si tu veux,are you joking,But it's not nice at all you don't want me to go throw myself in the jaws of the wolf too if that's what you want.,Unnatural,0.5302894,0.791749,-0.2614596
se jeter dans le gueule de le loup,17,- ce serait se jeter dans la gueule du loup,- we'll be walking into the mouth of the lion,- it would be like throwing oneself to the wolf's jaws,Good Translation,0.71175045,0.8332885,-0.12153804
se jeter dans le gueule de le loup,18,et me jeter dans la gueule du loup,and jump from the frying pan into the fire,and throw me to the lion's jaws,Good Translation,0.59454346,0.806725,-0.21218157
se jeter dans le gueule de le loup,19,eh bien à mon sens c'est se jeter dans la gueule du loup,well in my opinion you're just committing suicide,Well to my mind it's like throwing oneself at the wolf's throat.,Good Translation,0.5531446,0.7947775,-0.24163294
se jeter dans le gueule de le loup,20,j'ai pitié de le voir se jeter dans la gueule du loup,i feel pity seeing him throw himself into the lion's jaw,I have pity for him throwing himself to the jaws of the wolf.,Good Translation,0.8361417,0.81485915,0.021282554
se jeter dans le gueule de le loup,21,j'étais peut-être d'accord mais reconnais que d'aller voler le livre de comptes du ministre c'est se jeter dans la gueule du loup,although i've agreed stealing the minister's account book from his house is like jumping into the fire,I might have agreed but I recognize that stealing the minister's book of accounts is to throw oneself into the lion's den.,Good Translation,0.7877567,0.86325663,-0.07549995
se jeter dans le gueule de le loup,22,on va se jeter dans la gueule du loup,we walk into their arms,We're going to jump right into the lion's mouth.,Good Translation,0.53423876,0.8053183,-0.27107954
se jeter dans le gueule de le loup,23,on se jette dans la gueule du loup alors,and we just stroll right into the lion's den then huh,we throw ourselves into the wolf's jaws instead,Good Translation,0.66033435,0.7524001,-0.09206575
se jeter dans le gueule de le loup,24,tu essayes juste de me jeter dans la gueule du loup pour éviter d'être toi-même dévorée,oh no you're just trying to throw me into the lion's den so she doesn't eat you alive,You're just trying to throw me to the wolves so you won't be eaten yourself.,Good Translation,0.8032311,0.82370126,-0.020470142
se jeter dans le gueule de le loup,25,on l'a laissé se jeter dans la gueule du loup,let him walk right into the trap,We left him to take his chances with a hungry wolf.,Good Translation,0.6537281,0.6930319,-0.03930378
se jeter dans le gueule de le loup,26,je voulais savoir ce que ça fait de se jeter dans la gueule du loup,wanted to know what it was like to walk into a propeller,I wanted to know what it feels like to jump straight into a lions' den.,Good Translation,0.62958133,0.73593384,-0.10635251
se jeter dans le gueule de le loup,27,on dirait qu'il a décidé de se jeter dans la gueule du loup,so now he decides to warn me about his attack,It looks as though he has decided to jump headfirst into the lion's den.,Good Translation,0.6143908,0.7607653,-0.14637452
se jeter dans le gueule de le loup,28,je me jette dans la gueule du loup fais un effort,i'm walking into a fucking hornet's nest all right now be my companion,I'm throwing myself to the wolf's den make an effort,Unnatural,0.6508752,0.8123885,-0.16151327
se jeter dans le gueule de le loup,29,c'est ce qui s'appelle se jeter dans la gueule du loup,i guess this is what they mean by moths flying to the flame,That's what they call throwing oneself to the wolves' jaws.,Good Translation,0.45997053,0.7332287,-0.27325815
se jeter dans le gueule de le loup,30,arthur se jette dans la gueule du loup,arthur could be walking into a trap,Arthur throws himself into the lion's mouth.,Good Translation,0.6934054,0.7969837,-0.10357833
