idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
prendre son courage à deux main,0,prendre son courage à deux mains pour dire à rogelio qu'elle avait fait vœu de chasteté était plus difficile que ce que xiomara pensait,working up the courage to tell rogelio about her vow of chastity was proving harder than xiomara had anticipated,Taking her courage in both hands to tell Rogelio that she had made a vow of chastity was more difficult than what Xiomara thought.,Good Translation,0.8903134,0.90958166,-0.019268274
prendre son courage à deux main,1,mike prit son courage à deux mains pour aller voir son frère,so mike sucked it up and went over to his brother's house,Mike took a deep breath in order to go see his brother.,Unnatural,0.7427057,0.79685986,-0.054154158
prendre son courage à deux main,2,prenant mon courage à deux mains j'ai appuyé sur l'obturateur,i steeled myself and pressed the shutter,taking my courage in both hands I pressed down on the shutter release,Good Translation,0.75943685,0.83457065,-0.0751338
prendre son courage à deux main,3,alors vas-y rachel tu prends ton courage à deux mains et tu te bats,but you have to keep going be brave and fight it,then go ahead Rachel you take your courage in both hands and you fight,Good Translation,0.66917586,0.91380733,-0.24463147
prendre son courage à deux main,4,quand on aura tout mis à plat dans cette maison je prendrai mon courage à deux mains,after we've settled things at this house i'll get my courage up again and ask you to sleep with me okay,when we have everything laid out in this house I will take my courage by the two hands,Literal Translation,0.7226589,0.90289927,-0.1802404
prendre son courage à deux main,5,finalement en terminale lucas a pris son courage à deux mains et a parlé à peyton pour la première fois juste ici près du lac,and finally in our junior year lucas gathered up his courage and talked to peyton for the first time right here at this lake,Finally in terminal Lucas took his courage to two hands and spoke to Peyton for the first time just here near the lake.,Literal Translation,0.86428225,0.9100725,-0.045790255
prendre son courage à deux main,6,si ça ne marche pas prends ton courage à deux mains et parle-lui,if it's not gonna work out you need to muster your courage and let him know,if it doesn't work out take your courage in both hands and talk to her,Unnatural,0.8221985,0.8997098,-0.07751131
prendre son courage à deux main,7,ma mère ne regardait pas j'ai pris mon courage à deux mains et me suis faufilé à l'intérieur,my mother wasn't watching so i plucked up my courage and snuck in,My mother wasn't looking; I took my courage to both hands and slipped inside.,Unnatural,0.8466832,0.87563884,-0.028955638
prendre son courage à deux main,8,mais j'ai dû prendre mon courage à deux mains pour montrer mon nez,but it's taken every ounce of courage to show my face here today,but I had to take a double dose of courage to show my face,Literal Translation,0.7489963,0.864504,-0.11550766
prendre son courage à deux main,9,prenons notre courage à deux mains,might as well get this over with,Let's take our courage in both hands,Unnatural,0.5361196,0.9680372,-0.4319176
prendre son courage à deux main,10,si tu n'aimes pas gus tu vas devoir prendre ton courage à deux mains et partir,if you don't love gus you're gonna have to man up and leave,"If you don't like it, you'll have to take your courage in both hands and leave.",Good Translation,0.88943243,0.865454,0.023978412
prendre son courage à deux main,11,je veux dire ils auraient pu me tuer et vous avez juste pris votre courage à deux mains,i mean they coulda killed me and you just took your life in your hands,I wanted to say they could have killed me and you just took your two-handed courage.,Unnatural,0.8238283,0.9344598,-0.110631526
prendre son courage à deux main,12,randy prit son courage à deux mains et alla chez la vieille sorcière,randy worked up his nerve to go knock on the crazy witch lady's door,Randy took his courage in both hands and went to see the old witch,Good Translation,0.7826526,0.9057302,-0.12307757
prendre son courage à deux main,13,que même dans ce moment quand je pensais que je perdrais tout j'ai pris mon courage à deux main pour de ne pas le tuer,the point is that even in that moment when i thought i'd lost everything i mustered up the courage not to kill him,that even at that moment when I thought I was going to lose everything I took hold of my courage with both hands not to kill him,Good Translation,0.8891703,0.94945467,-0.060284376
prendre son courage à deux main,14,j'ai pris mon courage à deux mains et décidé de réaliser mon rêve le plus cher,- yes i don't have just enough courage to straight up to do the one thing i always wanna do all my life,I took my courage in both hands and decided to fulfill my dearest dream,Good Translation,0.6089853,0.9434581,-0.33447278
prendre son courage à deux main,15,si vous êtes sûre de vouloir aller vers lui prenez votre courage à deux main,if your heart is sure of him muster your courage,if you're sure you want to go for him take your courage in both hands,Good Translation,0.81084174,0.9244672,-0.11362547
prendre son courage à deux main,16,et parfois tout ce que tu peux faire c'est prendre ton courage à deux mains et dire la vérité,and sometimes all you can do is grit your teeth and tell the truth,and sometimes all you can do is take your courage in both hands and tell the truth,Good Translation,0.8744613,0.9685633,-0.094102025
prendre son courage à deux main,17,je dois prendre mon courage à deux mains et l'inviter,i should march over there and ask her out,I have to take up my courage with both hands and invite him,Literal Translation,0.75268227,0.9595902,-0.20690793
prendre son courage à deux main,18,il a pris son courage à deux mains il est revenu et il a imploré mon pardon,he manned up he came back he asked for my forgiveness,He took his courage in both hands he came back and begged for my forgiveness.,Good Translation,0.8745119,0.9494358,-0.07492387
prendre son courage à deux main,19,j'ai pris mon courage à deux mains,it took every bit of courage i could raise,I took my courage in both hands,Literal Translation,0.77249897,0.94812274,-0.17562377
prendre son courage à deux main,20,puis j'ai pris mon courage à deux mains pensant que je devais continuer sans toi,then i mustered a lot of courage and stood up again thinking that i had to continue without you,then I took my courage in both hands thinking that I had to keep going without you,Good Translation,0.87345016,0.9541831,-0.08073294
prendre son courage à deux main,21,je prendrai mon courage à deux mains je te demanderai de coucher avec moi,i'll get my courage up again and ask you to sleep with me okay,I'll take my courage in both hands I will ask you to go to bed with me,Unnatural,0.8474168,0.94097346,-0.09355664
prendre son courage à deux main,22,en prenant ton courage à deux mains,took a bunch of courage,by taking your courage in both hands,Good Translation,0.7460104,0.9702057,-0.2241953
prendre son courage à deux main,23,je prends mon courage à deux mains,start getting a little brave,I take my courage by both hands.,Good Translation,0.69433296,0.9504384,-0.25610542
prendre son courage à deux main,24,donc j'ai pris mon courage à deux mains et j'ai avoué mon amour à tenzin,so i hung my chin out there and i confessed my love to tenzin,so I took my courage in both hands and confessed my love to Tenzin,Good Translation,0.8580557,0.9650373,-0.106981575
prendre son courage à deux main,25,ce matin je prends mon courage à deux mains et je lui demande de m'épouser,i get up the nerve to pop the question,This morning I take my courage in both hands and ask him to marry me,Good Translation,0.7067505,0.9462878,-0.2395373
prendre son courage à deux main,26,tu dois juste prendre ton courage à deux mains et détruire tous ces murs derrière lesquels tu te caches,you just have to be brave enough to knock down all those walls you're hiding behind,you just have to take your courage in both hands and destroy all these walls behind which you hide yourself,Good Translation,0.89431137,0.9611478,-0.06683642
prendre son courage à deux main,27,quand il est arrivé j'ai pris mon courage à deux mains pour aborder le sujet,when he did arrive i had the courage to get to the heart of the matter,When he arrived I took my courage in both hands to bring up the subject.,Good Translation,0.76791835,0.89584136,-0.12792301
prendre son courage à deux main,28,tu t'es moqué de savoir ce qu'on pense de toi tu as pris ton courage à deux mains,you didn't care what anybody might call you you still stuck your neck out anyway,You mocked us by knowing what we think of you; you took your courage in both hands.,Unnatural,0.5853941,0.84325504,-0.25786096
prendre son courage à deux main,29,je pense que c'est une de ces occasions où l'on doit prendre son courage à deux mains et s'y mettre,i think this is one of those occasions where one has to buck up and knuckle down,I think it's one of those situations where you have to take your courage in both hands and get on with it.,Good Translation,0.80214953,0.9212156,-0.11906606
prendre son courage à deux main,30,enfin elle prit son courage à deux mains,then she gathered all her courage,she finally took hold of her courage with both hands,Good Translation,0.8235019,0.9587712,-0.13526934
prendre son courage à deux main,31,on prendra notre courage à deux mains,we'll suck it up just this once,We'll take our courage in both hands,Unnatural,0.602121,0.959413,-0.357292
prendre son courage à deux main,32,je pris mon courage à deux mains et décidais de m'approcher,i gathered my courage and went down for a closer look,I took my courage in both hands and decided to approach.,Good Translation,0.84681624,0.9437754,-0.09695917
prendre son courage à deux main,33,prends ton courage à deux mains,muster up the courage,Take your courage in both hands,Good Translation,0.8317605,0.95680034,-0.12503982
prendre son courage à deux main,34,mais si je veux aller plus loin je dois prendre mon courage à deux mains et exiger son pardon,but in the future if i wish to continue going forward i need to muster up courage and ask for forgiveness,but if I want to go further I have to take my courage in both hands and ask for his forgiveness,Good Translation,0.8581773,0.9511379,-0.092960596
prendre son courage à deux main,35,alors elle a pris son courage à deux mains pour faire la fille mature de fac,so she dug down deep and did the only thing a mature college woman could do,Then she took her courage in both hands to become a mature girl at college,Partial Translation,0.7123127,0.9186232,-0.20631051
prendre son courage à deux main,36,j'ai pris mon courage à deux mains pour lui demander ce qu'elle avait de si important à faire le matin,i plucked up courage and asked her what important business she had so early every morning,I took my courage in both hands to ask her what she had that was so important to do in the morning.,Good Translation,0.87508833,0.9596134,-0.08452505
prendre son courage à deux main,37,j'ai pris mon courage à deux mains pour te parler,i summoned the courage to speak to you,I took a double handful of courage to talk to you.,Literal Translation,0.8737869,0.9141288,-0.040341854
prendre son courage à deux main,38,prendre son courage à deux mains et entrer,be brave and enter,take it with both hands and get in,Literal Translation,0.87992096,0.8792044,0.00071656704
prendre son courage à deux main,39,de toute façon j'ai pris mon courage à deux mains et je me suis mis à genoux,anyway i worked up my courage and got down on one knee,Anyway I took my courage in both hands and fell to my knees.,Unnatural,0.84035504,0.909637,-0.069281936
prendre son courage à deux main,40,au bout de 3 semaines prenant mon courage à deux mains j'allai tout confesser à simon c'était le lendemain de son retour,after three weeks i pulled myself together to confess to simon the day he returned,After three weeks taking my courage in both hands I went and confessed everything to Simon it was the day after his return,Good Translation,0.9098853,0.94149566,-0.03161037
prendre son courage à deux main,41,angie j'y pense depuis ce matin j'ai fini par prendre mon courage à deux mains,angie i've been thinking about this all day and i finally worked up the nerve,Angie has been on my mind since this morning I've finally mustered up the courage to take two handfuls of it,Unnatural,0.78740287,0.8550942,-0.067691326
prendre son courage à deux main,42,ou je pourrais prendre mon courage à deux mains et aller découvrir ce qu'il se passe comme un vrai reporter,or i could man up and get to the bottom of this like a real reporter --,or I could take my courage in both hands and go find out what's happening like a real reporter,Good Translation,0.8471627,0.9755838,-0.12842107
prendre son courage à deux main,43,j'ai pris mon courage à deux mains pour pouvoir passer à côté de lui,it took everything i had to muster the courage just to walk past him,I took my courage in both hands to be able to pass by beside him.,Good Translation,0.8348757,0.9594406,-0.124564886
