idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être bien dans son peau,0,si le principal effet secondaire c'est qu'on est bien dans sa peau,but aren't there side effects yes their main side effect is greatness,if the main side effect is that you feel good in your skin,Good Translation,0.68146074,0.9064243,-0.22496355
être bien dans son peau,1,j'étais bien dans ma peau,i felt good,I was feeling good in my skin.,Good Translation,0.8503318,0.9073781,-0.057046294
être bien dans son peau,2,je suis bien dans ma peau,actually i'm pretty confident about my body,I am comfortable in my own skin.,Good Translation,0.7577525,0.8391362,-0.081383705
être bien dans son peau,3,je sais tu as raison tant que je suis bien dans ma peau peu importe ce que pensent les gens,you're right as long as i'm confident with who i am it doesn't matter what other people think,I know you're right as long as I'm happy in my own skin it doesn't matter what people think.,Good Translation,0.8637115,0.9097022,-0.045990705
être bien dans son peau,4,les femmes supportent pas qu'un homme soit bien dans sa peau,women don't like a man feeling good about himself,Women can't stand it that a man feels good in his own skin.,Good Translation,0.8617634,0.92250836,-0.06074494
être bien dans son peau,5,pour les aider à être bien dans leur peau c'est flippant non,helped them feel good about themselves,to help them feel good in their skin that's crazy no way,Good Translation,0.72912157,0.8080362,-0.07891464
être bien dans son peau,6,le gagnant du concours devrait juste être une petite fille qui passe un magnifique moment sur scène qui est bien dans sa peau qui aime être sur scène et à confiance et c'est vraiment ca,the winner of the pageant should just be an all-around little girl who's having a great time on stage who's comfortable in herself loves being on stage and feels confident and that's really it,the winner of the competition should just be a little girl who has a wonderful time on stage who is comfortable in her own skin who loves being on stage and confident and that's really it.,Good Translation,0.9110422,0.9475295,-0.03648728
être bien dans son peau,7,- vous êtes bien dans votre peau,-yeah how do you feel about that,- you feel at ease in your own skin,Good Translation,0.6160432,0.8632236,-0.2471804
être bien dans son peau,8,en fait pour être heureux faut être bien dans sa peau,but the only people who are you know happy are the people who are comfortable,In fact to be happy you have to feel good in your own skin.,Good Translation,0.6384565,0.90342367,-0.26496714
être bien dans son peau,9,c'est dur d'être bien dans sa peau,you gotta work hard to be comfortable,It's hard to be comfortable in one's skin.,Good Translation,0.6993996,0.89118946,-0.19178987
être bien dans son peau,10,chacun fait un truc qui l'aide à être bien dans sa peau,everybody has their thing they do that makes them feel better about themselves,each person does something that helps them to be at ease with themselves,Good Translation,0.87586963,0.8924602,-0.016590595
être bien dans son peau,11,t'es inquiète mais je suis bien dans ma peau tu voudrais que ça dure,rochelle i know you're concerned right now but if you knew how i felt you'd want me to keep feeling this way,You're worried but I'm fine with myself you'd like it to last,Good Translation,0.69791627,0.88490653,-0.18699026
être bien dans son peau,12,il s'agit d'être bien dans sa peau,it's about being at ease in one's own skin,It's about being comfortable in your own skin.,Good Translation,0.83970356,0.8330941,0.00660944
être bien dans son peau,13,ça a été un très long processus pour moi et j'ai tellement travaillé sur moi-même pour être bien dans ma peau,this has been a really long process for me and i've worked too hard to get right with myself,it was a very long process for me and I have worked so much on myself to feel good in my skin.,Good Translation,0.8637325,0.9430691,-0.07933658
être bien dans son peau,14,on voudrait qu'il soit bien dans sa peau,we want him to be happy,We would like him to be at ease in his own skin.,Good Translation,0.78040326,0.8787918,-0.09838855
être bien dans son peau,15,je suis bien dans ma peau,i'm fine with who i am,I am comfortable in my own skin.,Good Translation,0.7761472,0.8391362,-0.062989
être bien dans son peau,16,c'est notre boulot faire en sorte que les gens soient bien dans leur peau,what else do we do here other than make people feel better about themselves,It's our job to make sure people feel comfortable in their own skin.,Good Translation,0.70450294,0.90565175,-0.20114881
être bien dans son peau,17,et je me contente d'être bien dans ma peau,i'm happy with who i am,and I'm content with being well in my skin,Unnatural,0.791167,0.941644,-0.15047699
être bien dans son peau,18,quand on est bien dans notre peau quand on est bien intérieurement c'est un bonheur,being comfortable with oneself is being happy,when we are well within ourselves when we are fine inwardly it's happiness,Good Translation,0.7569515,0.9042003,-0.1472488
être bien dans son peau,19,tu m'aides à me reconstruire à être bien dans ma peau,it's because like you're really good at like building me up and like makin' me feel good about myself,you help me to rebuild myself to feel good in my own skin,Good Translation,0.7060251,0.907967,-0.20194185
être bien dans son peau,20,unique est juste une attirante jeune femme qui en veut et qui est bien dans sa peau,unique adams is nothing more than an attractive buxom young woman who's got it going on in all the right places,She is just a young attractive woman who wants it and feels good in her skin.,Good Translation,0.822605,0.80085325,0.021751761
