idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
aller droit à le but,0,et maintenant une jeune femme qui va droit au but ma sœur roberta tubbs,and now a young lady who goes to third base faster than rickey henderson my sister roberta tubbs,and now a young woman who gets straight to the point my sister Roberta Tubbs,Good Translation,0.7977394,0.8728696,-0.075130224
aller droit à le but,1,rebecca je je vais aller droit au but,becca there is no easy way to say this,Rebecca I'm going straight to the point,Good Translation,0.59137046,0.78969145,-0.19832098
aller droit à le but,2,allons droit au but veux-tu,let's cut to the chase shall we,"Let's get to the point, shall we?",Good Translation,0.6722493,0.6977685,-0.025519192
aller droit à le but,3,allons droit au but,all right so let's cut to the chase,Let's go straight to the point.,Good Translation,0.78067726,0.8566562,-0.075978935
aller droit à le but,4,ça ne vous dérange pas si on va droit au but,you don't mind if we uh jump right in,Does that not bother you if we cut to the chase?,Good Translation,0.75141764,0.70050466,0.050912976
aller droit à le but,5,de fait messieurs je vais aller droit au but,indeedgentlemenlet me c to the chase,In fact gentlemen I will go straight to the point,Good Translation,0.70135593,0.8732312,-0.17187524
aller droit à le but,6,je vais aller droit au but,well i i'll get right on that,I'm going straight to the point.,Good Translation,0.7487355,0.823802,-0.07506651
aller droit à le but,7,c'est une question qui va droit au but,straightforward question,that's a straight-to-the-point question,Good Translation,0.70678705,0.8372899,-0.13050288
aller droit à le but,8,c'est pourquoi messieurs je vais aller droit au but,therefore i shall get straight to the point,That is why gentlemen I am going straight to the point.,Good Translation,0.80128527,0.8630537,-0.061768413
aller droit à le but,9,concentre-toi et va droit au but,focus keep it simple,Focus and get straight to the point.,Good Translation,0.7159596,0.8741013,-0.15814167
aller droit à le but,10,vous me connaissez alors je vais aller droit au but,now you all know me so i'll just say this as simple as i can,You know me then I'll get straight to the point,Good Translation,0.7031854,0.8753206,-0.17213523
aller droit à le but,11,vouiez-vous aller droit au but,should we get right to it captain,Would you please come straight to the point?,Good Translation,0.6770793,0.7159982,-0.038918853
aller droit à le but,12,nous allons aller droit au but,we're gonna keep this simple,We're going straight to the point.,Good Translation,0.7163364,0.84574914,-0.12941271
aller droit à le but,13,est-ce qu'on peut aller droit au but,look can we just cut to the chase here,Can we cut to the chase?,Good Translation,0.5956384,0.56875736,0.02688104
aller droit à le but,14,je vais aller droit au but tu es seul pour la soirée de noël non,let me cut to the chase i hear you can't get a date for the winter formal,I'm going straight for the target you're alone on Christmas Eve aren't you?,Good Translation,0.6102924,0.86146206,-0.25116968
aller droit à le but,15,très bien allons droit au but,ok let's get something straight,"Very well, let's go straight to the point.",Good Translation,0.726877,0.81727463,-0.090397656
aller droit à le but,16,de cette manière ils iront droit au but en un seul coup,this way they can advance all the way home on just one move,in that way they will go straight for the goal in one shot,Good Translation,0.8226762,0.94167477,-0.11899859
aller droit à le but,17,eh bien c'est brutal mais ça va droit au but,well might be a little harsh but i think it makes a point,Well that's brutal but it gets straight to the point.,Good Translation,0.693361,0.91370916,-0.22034818
aller droit à le but,18,bon allons droit au but alorscyrus je te présente sanders black,well let's get right to it then cyrus meet sanders black,Alright let's get to the point then Cyrus I present Sanders Black,Good Translation,0.8171241,0.82775974,-0.010635614
aller droit à le but,19,ne me sors pas une longue explication et va droit au but,don't make any long explanations and just get to the point,Don't give a long explanation and get to the point.,Good Translation,0.8683101,0.89299136,-0.02468127
aller droit à le but,20,eh bien allons droit au but ça signifie que l'entreprise savait que l'amiante provoquait le cancer,wellif you drill it downit means the company knew asbestos was causing cancer,well let's get to the point it means that the company knew that asbestos caused cancer.,Good Translation,0.77602714,0.8824208,-0.106393635
aller droit à le but,21,allez droit au but,get to the point mr morelli,Go for it directly,Literal Translation,0.65563685,0.77603114,-0.12039429
aller droit à le but,22,alors je vais résumer ça et aller droit au but,then i'm gonna have to sort of condense this maybe make it more of a bullet-point thing,so I'll summarize it and get straight to the point,Good Translation,0.727845,0.90360737,-0.17576236
aller droit à le but,23,si on allait droit au but,why don 't we cut the crap and talk straight,If we were to go straight for it,Partial Translation,0.46425462,0.69544244,-0.23118782
aller droit à le but,24,allons droit au but agent burke,let's cut through the facade agent burke,"Let's go straight to the point, Agent Burke.",Good Translation,0.8042895,0.8395928,-0.035303295
aller droit à le but,25,tu vas droit au but papa,way to get right to the point dad quinn laughing,"You're going straight for the goal, Dad!",Unnatural,0.6337249,0.813216,-0.17949104
aller droit à le but,26,je pensais juste qu'on pourrait aller droit au but,i just thought we might expedite,I just thought we could get straight to the point.,Good Translation,0.8261181,0.8735239,-0.04740578
aller droit à le but,27,je sais que vous êtes occupée aussi je vais aller droit au but,since you're busy i will just get to the point,I know you're busy too I'll get straight to the point.,Good Translation,0.7817826,0.85465896,-0.072876334
aller droit à le but,28,trêve de plaisanteries allons droit au but,pleasantries out of the way let's get down to the heart of the matter,Let's get down to business.,Good Translation,0.7664449,0.7138699,0.052574992
aller droit à le but,29,tu es bien ma fille tu vas droit au but,that's my girl straight and to the point,You're just fine my daughter you're going straight to your goal,Partial Translation,0.74700004,0.875018,-0.12801796
