idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
partir en fumée,0,tout le bureau part en fumée et cette chose reste intacte,the whole office goes up in smoke and that bloody thing survives,The entire office is reduced to smoke and ashes while this thing remains unscathed.,Good Translation,0.8575852,0.87413,-0.016544819
partir en fumée,1,mon carburant à moi est parti en fumée,my own fuel went up in smoke,my fuel is in smoke,Unnatural,0.908138,0.8746939,0.033444107
partir en fumée,2,sinon je jure que ce petit ewok va partir en fumée,swear to god this little ewok is going up in flames,otherwise I swear this little ewok will go up in smoke,Good Translation,0.8437645,0.92333466,-0.079570174
partir en fumée,3,ils n'ont pas pu partir en fumée,they can't just disappear like shadows,They couldn't turn to smoke.,Good Translation,0.66357315,0.84807754,-0.18450439
partir en fumée,4,tout cet argent parti en fumée,all that money up in flames,all this money gone in smoke,Good Translation,0.8782637,0.94909143,-0.07082772
partir en fumée,5,demain notre école partira en fumée le genre de truc qui affecte toute une génération,when our school blows up tomorrow it's gonna be the kind of thing to affect a whole generation,"Tomorrow our school will go up in smoke, the kind of thing that affects an entire generation",Good Translation,0.8733822,0.91175115,-0.03836894
partir en fumée,6,amenez-moi le commodore ou par dieu son trésor partira en fumée,get me the commodore or by god his treasure's up in smoke,bring me the commodore or by god his treasure will go up in smoke,Good Translation,0.886694,0.92854226,-0.041848242
partir en fumée,7,cet hôtel serait parti en fumée si nous n'y étions pas,that hotel would have gone up in flames if it weren't for us,This hotel would have been reduced to ashes if we hadn't been there.,Good Translation,0.8953844,0.90960705,-0.0142226815
partir en fumée,8,partis en fumée 4 millions de dollars partis en fumée,do you have something to try losada,4 million of dollars in smoke,Mistranslation,0.3287046,0.8270973,-0.4983927
partir en fumée,9,plus on s'approche de la vérité plus les preuves partent en fumée,the closer we get to the centre of this the more the evidence just seems to melt away,"The closer we get to the truth, the more evidence vanishes.",Good Translation,0.83660823,0.88757074,-0.050962508
partir en fumée,10,les voilà partis en fumée,up in smoke,here they go in smoke,Good Translation,0.7131201,0.8401156,-0.1269955
partir en fumée,11,il n'y a aucun plaisir à voir la fierté partir en fumée,i don't think so no pride in what goes up in smoke,There is no pleasure in watching pride turn to smoke.,Good Translation,0.7495975,0.8558975,-0.1063
partir en fumée,12,il part en fumée et je touche plus ma part,he goes up in smoke,it disappears in smoke and I no longer have my share,Good Translation,0.71301544,0.7988592,-0.08584374
partir en fumée,13,l'héritage de tes parents va partir en fumée,that money's going up in smoke,your parents' inheritance will go up in smoke,Good Translation,0.61645555,0.9080202,-0.29156464
partir en fumée,14,le toit de la pension où je logeais est parti en fumée,blew the whole roof off my boarding house,The roof of the pension where I was staying went up in smoke.,Good Translation,0.71989757,0.9297633,-0.20986575
partir en fumée,15,et tout notre travail partira en fumée,and everything we worked for goes up in smoke,and all our work will go up in smoke,Good Translation,0.8883946,0.95613873,-0.067744136
partir en fumée,16,puisque vos plans sont partis en fumée pourquoi ne pas me dire ce qu'il y a dans cette boite,he'll get a kick out of this knocks on bar all right,"since your plans have gone up in smoke, why don't you tell me what's in this box",Good Translation,0.39376026,0.8947943,-0.501034
partir en fumée,17,oui ce vieil hôtel va partir en fumée apparemment,yes the old hotel is going up in smoke apparently,"Yes, apparently that old hotel is going up in smoke.",Good Translation,0.9046266,0.9130732,-0.008446574
partir en fumée,18,il s'est tiré ou il est parti en fumée,either that or he went up in smoke with the house,He vanished or disappeared in smoke,Good Translation,0.8086782,0.82061654,-0.0119383335
partir en fumée,19,tout ça est parti en fumée et tes gages avec,now all that's gone and your wages with it,all of that was just smoke and your rewards with it,Good Translation,0.76142895,0.7272679,0.03416103
partir en fumée,20,et ils ont déclenché une bombe et l'église part en fumée,and they trigger the canisters and the whole place goes up,and they triggered a bomb and the church turns to smoke,Good Translation,0.6069016,0.9198272,-0.31292564
partir en fumée,21,des milliards de dollars partiront en fumée,there will be billions of dollars in real-estate losses,billions of dollars will be lost in smoke,Good Translation,0.77325064,0.9070608,-0.13381016
partir en fumée,22,merci baldrick sept ans de ma vie partis en fumée,thank you baldrick - seven years of my life up in smoke,"thank you, Baldrick; seven years of my life gone in smoke",Good Translation,0.8296542,0.82557416,0.004080057
partir en fumée,23,- au moment où la vôtre part en fumée,you guys crashed and burned under a beautiful full moon,at the moment where yours disappears in smoke,Good Translation,0.602759,0.8353976,-0.2326386
partir en fumée,24,m menachem je rêve que votre expérimentation sioniste parte en fumée,mr menachem i really want all your zionist experiment turn to dust in the wind,I am dreaming that your Zionist experiment will vanish in smoke,Good Translation,0.7537722,0.8643206,-0.11054838
partir en fumée,25,des miracles sans moi leur patrimoine serait parti en fumée au contraire il est sain et sauf,but for me every cent would be gone,miracles without me their heritage would have vanished instead it is safe and sound,Partial Translation,0.593042,0.8378962,-0.24485421
partir en fumée,26,des années de recherche parties en fumée,years of research gone,years of research gone up in smoke,Good Translation,0.85626954,0.9110186,-0.05474907
partir en fumée,27,deux ans et demi de travail souterrain partis en fumée quand vous avez intercepté l'enfant m sullivent,two and a half years of undercover work were almost wasted when you intercepted that child mr sullivan,two and a half years of underground work went up in smoke when you intercepted child m sullivent,Good Translation,0.7592684,0.8983054,-0.13903701
partir en fumée,28,tout partait en fumée je devais dire quelque chose,buddy voice-over it was all going up in smoke,Everything was in smoke; I had to say something.,Literal Translation,0.70859635,0.92105854,-0.21246219
partir en fumée,29,je suis à l'écoute du son de ma carrière qui part en fumée,i'm listening to the sound of my career going up in smokes,I am listening to the sound of my career dissipating like smoke.,Good Translation,0.9254742,0.9186063,0.006867945
