idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se vendre comme un petit pain,0,ça se vend comme des petits pains sur internet,they're going crazy on the internet,it sells like hotcakes on the Internet,Good Translation,0.6784426,0.8434122,-0.16496962
se vendre comme un petit pain,1,ces brioches loyauté se vendent comme des petits pains,those sweet buns marked loyalty are selling like hot cakes,these loyalty buns are sold as small breads,Literal Translation,0.73034763,0.817492,-0.087144375
se vendre comme un petit pain,2,le livre se vend comme des petits pains,the book is selling like hotcakes,The book is selling like hotcakes.,Good Translation,0.8360605,0.8333789,0.002681613
se vendre comme un petit pain,3,- il se vend comme des petits pains,- it's selling like hotcakes,- it sells like hotcakes,Good Translation,0.80605966,0.82530516,-0.019245505
se vendre comme un petit pain,4,ça se vendait comme des petits pains,used to sell these things like hotcakes,it was selling like hotcakes,Good Translation,0.74615186,0.8562328,-0.11008096
se vendre comme un petit pain,5,l'aventure le sexe mets ça dans ton livre il se vendra comme des petits pains,adventure sex you put that in your book it'll sell like hot cakes,The adventure puts sex in your book it will sell like small breads,Literal Translation,0.8668469,0.879298,-0.012451053
se vendre comme un petit pain,6,- et ça se vend comme des petits pains,- and it is selling like hotcakes,-and it sells like hotcakes,Good Translation,0.8214631,0.83088374,-0.009420633
se vendre comme un petit pain,7,ils se vendent comme des petits pains,our calendars are selling like hotcakes,They are being sold like small loaves of bread,Good Translation,0.66476166,0.88929904,-0.22453737
se vendre comme un petit pain,8,maintenant mes camarades ils disent qu'ils ont réussi à le faire publier secrètement au chili et il se vend comme des petits pains,now my comrades tell me they have managed to get it published secretly in chile and it's selling like hot cakes,now my mates they say that they have managed to publish it secretly in Chile and it sells like hotcakes,Good Translation,0.8869715,0.86476237,0.022209108
se vendre comme un petit pain,9,ça doit se vendre comme des petits pains,they must be really popular,it must sell like hotcakes,Good Translation,0.66689986,0.8333799,-0.16648006
se vendre comme un petit pain,10,ça se vendra comme des petits pains,i'm trying to tell you it'll sell like hotcakes,It'll sell like hotcakes.,Good Translation,0.78271896,0.81810886,-0.0353899
se vendre comme un petit pain,11,ses disques vont se vendre comme des petits pains,sales of her records will go through the roof,His records are going to sell like hotcakes.,Good Translation,0.7566207,0.8460758,-0.08945507
se vendre comme un petit pain,12,ils se vendaient comme des petits pains,every week like it was nothing,They were selling themselves as little breads.,Literal Translation,0.5145116,0.87778866,-0.36327708
se vendre comme un petit pain,13,ca se vend comme des petits pains,i know,It sells like hotcakes.,Literal Translation,0.4476754,0.7602156,-0.31254017
se vendre comme un petit pain,14,regardez mon site internet mes photos d'elle se vendent comme des petits pains,check out my web sitemy prints of her are selling like hotcakes,"look at my website, her pictures are selling like hotcakes",Good Translation,0.85818064,0.8760103,-0.017829657
se vendre comme un petit pain,15,ils se vendent comme des petits pains chauds,they sell like hot cakes,They're selling like warm bread rolls.,Good Translation,0.8814056,0.8455664,0.0358392
se vendre comme un petit pain,16,mes fringues se vendaient comme des petits pains,my clothes were flying off the rack,my clothes were selling like hotcakes,Good Translation,0.67070365,0.827597,-0.15689337
se vendre comme un petit pain,17,avec nous vos couvertures se vendront comme des petits pains,i think we can get a campaign that will sell your blankets like hotcakes,With us your blankets will sell like small breads.,Good Translation,0.71807885,0.8614809,-0.14340204
