idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
le goutte de eau qui faire déborder le vase,0,ce fut la goutte d'eau qui fit déborder le vase,and that pushed me over the edge,That was the straw that broke the camel's back.,Good Translation,0.560868,0.5358945,0.024973512
le goutte de eau qui faire déborder le vase,1,et bien c'est la goutte d'eau qui fait déborder le vase,well that is the last straw,And well that's the drop of water which makes the vessel overflow,Literal Translation,0.5431534,0.77242154,-0.22926813
le goutte de eau qui faire déborder le vase,2,c'était la goutte d'eau qui fait déborder le vase n'est-ce pas,this was the straw that broke the camel's back wasn't it,"That was the final straw that broke the camel's back, wasn't it?",Good Translation,0.5735158,0.5355395,0.037976265
le goutte de eau qui faire déborder le vase,3,j'appelle ça la goutte d'eau qui fait déborder le vase,i'd call that breaking the camel's back,I call it the drop of water that makes the vase overflow.,Good Translation,0.585158,0.90562373,-0.32046574
le goutte de eau qui faire déborder le vase,4,pour la fox c'était la goutte d'eau qui faisait déborder le vase,for fox this was the final straw,for the fox it was the drop of water that made the vessel overflow,Good Translation,0.635762,0.81448555,-0.17872357
le goutte de eau qui faire déborder le vase,5,l'agence estimait que cette erreur était la goutte d'eau qui faisait déborder le vase,the agency agreed that that mistake was endemic of too many others made by you,the agency estimated that this error was the straw that broke the camel's back,Good Translation,0.6375615,0.7033919,-0.06583041
le goutte de eau qui faire déborder le vase,6,c'est la goutte d'eau qui fait déborder le vase pour eric,- you've stepped on eric's toes one too many times,That's the straw that breaks the camel's back for Eric.,Mistranslation,0.6055248,0.5953926,0.010132194
le goutte de eau qui faire déborder le vase,7,la goutte d'eau qui fera déborder le vase c'est d'entendre parler de jonah,the one thing that will push me over the edge right now is if you mention jonah's name,the drop of water that will cause the vessel to overflow is to hear people talk about Jonah.,Good Translation,0.7249727,0.8205292,-0.0955565
le goutte de eau qui faire déborder le vase,8,ça a été la goutte d'eau qui fait déborder le vase,and that was the last domino,That was the last straw.,Good Translation,0.4591714,0.58975613,-0.13058472
le goutte de eau qui faire déborder le vase,9,c'est la goutte d'eau qui fait déborder le vase,that's the last straw i'm going over there,that's the drop of water that makes the vessel overflow,Good Translation,0.5349811,0.7429371,-0.20795602
le goutte de eau qui faire déborder le vase,10,tu sais la goutte d'eau qui fait déborder le vase,did you ever hear about the straw that broke the camel's back,You know what they say - a drop of water can make a vessel overflow.,Good Translation,0.4912197,0.7019197,-0.21069998
le goutte de eau qui faire déborder le vase,11,et pour ma femme ce fût la goutte d'eau qui fit déborder le vase,and for my wife it was the straw that broke the camel's back,and for my wife this was the drop that made the vase overflow,Unnatural,0.71562636,0.9018612,-0.18623483
le goutte de eau qui faire déborder le vase,12,ca c'est la goutte d'eau qui fait déborder le vase,ok that's the straw that broke the camel's back,This is the drop of water that makes the vessel overflow.,Good Translation,0.49914938,0.722711,-0.22356164
le goutte de eau qui faire déborder le vase,13,c'est la goutte d'eau qui fait déborder le vase,that's the last goddamn straw,It's the straw that breaks the camel's back.,Mistranslation,0.5001966,0.51699877,-0.016802192
le goutte de eau qui faire déborder le vase,14,serai la goutte d'eau qui fait déborder le vase,would be the final straw,I will be the drop of water that makes the vase overflow.,Good Translation,0.6282641,0.87650675,-0.24824262
le goutte de eau qui faire déborder le vase,15,c'est la goutte d'eau qui fait déborder le vase,my cup overfloweth,It's the drop of water that makes the vase overflow.,Good Translation,0.6540742,0.8709271,-0.2168529
