idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
prendre son jambe à son cou,0,prenez vos jambes à votre cou,by all means run,Take your legs home,Literal Translation,0.48459926,0.65613353,-0.17153427
prendre son jambe à son cou,1,- prends tes jambes à ton cou,now run away,Take a running jump,Good Translation,0.52087796,0.6250917,-0.104213715
prendre son jambe à son cou,2,prends tes jambes à ton cou et oublie-la,run for your life and forget her,Take your legs to your neck and forget it,Good Translation,0.7231545,0.82169724,-0.09854275
prendre son jambe à son cou,3,je vais prendre mes jambes à mon cou ok,i just got an errand to run yeah,I'm going to eat my legs okay,Literal Translation,0.6312274,0.72650766,-0.09528029
prendre son jambe à son cou,4,ou alors elle a pris ses jambes à son cou comme une bonne américaine qu'on voit dans un film,or maybe she feels it in her feet like a native american in a movie,or she ran away like the good American you see in movies,Good Translation,0.8058631,0.80989635,-0.0040332675
prendre son jambe à son cou,5,on prend nos jambes à notre cou,then we run like a couple of bats out of hell,We're taking our legs to our necks.,Literal Translation,0.5373074,0.7860035,-0.24869609
prendre son jambe à son cou,6,eugene mulchandani prit ses jambes à son cou,eugene mulchandani fled in a flurry of saliva and fear,Eugène Mulchandani took his legs off.,Mistranslation,0.67310643,0.79551196,-0.12240553
prendre son jambe à son cou,7,- prenons nos jambes à notre cou,- i don't know - let's just make a run for it,- let's put our feet in the air,Literal Translation,0.60889244,0.80093336,-0.19204092
prendre son jambe à son cou,8,il a dû prendre ses jambes à son cou,that must have had him running scared,He had to cut and run.,Good Translation,0.6605574,0.70230836,-0.041750968
prendre son jambe à son cou,9,je ne te jugerais pas si tu voulais prendre tes jambes à ton cou,i wouldn't judge you at all if you want to get on a plane and just get the fuck out of here,I wouldn't judge you if you wanted to hang yourself.,Mistranslation,0.62820256,0.68180776,-0.0536052
prendre son jambe à son cou,10,tout ce qu'elle a fait c'est regarder l'agent et il a prit ses jambes à son cou,all she'd done was look at that producer and he'd turn tail and run,Everything she's done is stare at the agent and he took her legs off.,Mistranslation,0.6914189,0.8420875,-0.15066862
prendre son jambe à son cou,11,et vous avez pris vos jambes à votre cou,and you ran away as fast as you could,and you took to your heels,Good Translation,0.59660995,0.83731216,-0.24070221
prendre son jambe à son cou,12,tu restes là pendant que je prends mes jambes à mon cou,you'll stay right there while i run for my life,You stay there while I take my legs to my neck.,Literal Translation,0.7124081,0.8281584,-0.11575025
prendre son jambe à son cou,13,j'avais pris mes jambes à mon cou,i was scared i ran off,I had hung my legs over one side of the bed.,Hallucination,0.62672985,0.6650157,-0.03828585
prendre son jambe à son cou,14,si je n'avais pas une tête de cafard je prendrais mes jambes à mon cou,if i didn't have a cockroach head myself i'd be freaking out right now,if I didn't have a beetle's head I would hang myself by my own feet,Mistranslation,0.66765666,0.6737554,-0.0060987473
prendre son jambe à son cou,15,un type intelligent aurait pris ses jambes à son cou,a smart guy would run as far and as fast as he could,A smart person would have taken his legs to their throat.,Mistranslation,0.6696523,0.825103,-0.1554507
prendre son jambe à son cou,16,il a peut-etre pris ses jambes a son cou,maybe he got scared,He may have taken his legs in his neck.,Literal Translation,0.771674,0.86601377,-0.09433979
prendre son jambe à son cou,17,sinon il tue la femme et prend ses jambes à son cou,if not he'll kill the woman and take off it's unfair,Otherwise he kills the woman and takes her legs to his neck.,Literal Translation,0.75233877,0.88353634,-0.13119757
prendre son jambe à son cou,18,et puis prends tes jambes à ton cou,- yeah,and then take your legs to your throat,Literal Translation,0.4014147,0.7705108,-0.3690961
prendre son jambe à son cou,19,je ne t'ai pas appris à prendre tes jambes à ton cou,- didn't i teach ya to always make a run for it,I never taught you to take your feet in your hands.,Mistranslation,0.6282455,0.8112874,-0.18304193
prendre son jambe à son cou,20,a chaque fois que j'essaye de devenir sérieux avec toi tu tu prends tes jambes à ton cou,anytime i try to get serious with you y you pull away from me,Every time I try to be serious with you you take your legs and run away,Good Translation,0.77668095,0.8102439,-0.03356296
prendre son jambe à son cou,21,t'es pas du genre à prendre tes jambes à ton cou theo ne court pas,a beacon standing on a hill for the whole world to see,"You're not the type to hang yourself, Theo doesn't run",Mistranslation,0.2944557,0.77584237,-0.48138666
prendre son jambe à son cou,22,et prenez vos jambes à votre cou,run as quickly as you can,and take your legs away with yourself,Literal Translation,0.53057396,0.7512009,-0.22062695
prendre son jambe à son cou,23,oh c'est pour ça qu'il a pris ses jambes à son cou,oh is that why he ran out of here like a scalded dog,"Oh, that's why he ran off.",Unnatural,0.55698586,0.65706563,-0.100079775
