idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le gras matinée,0,écoute fais la grasse matinée,well you better sleep late this morning,"Listen, take it easy.",Partial Translation,0.6101532,0.58847004,0.021683156
faire le gras matinée,1,eh bien si c'est uniquement celà tu peus faire la grasse matinée demain,well if that's all it is you can sleep late tomorrow,Well if that's all you're going to do then you can take it easy tomorrow morning.,Unnatural,0.7909027,0.79402435,-0.003121674
faire le gras matinée,2,j'ai commencé à faire la grasse matinée les dimanches matins,i started sleeping in on sunday mornings,I started going on a lazy Sunday morning.,Unnatural,0.81232,0.8017757,0.0105443
faire le gras matinée,3,elle va à la bibliothèque et lui fait la grasse matinée,she goes to the library and he sleeps late,She goes to the library and gives him a lazy morning.,Good Translation,0.7543268,0.8018086,-0.047481775
faire le gras matinée,4,on pourrait faire la grasse matinée bercés par les vagues sur le yacht où je loge,we can sleep as late as we want nothing to bother us just the waves lapping against theyacht where i live,We could have a lazy morning rocked by the waves on the yacht where I live.,Good Translation,0.7236733,0.8944793,-0.17080599
faire le gras matinée,5,j'aime faire la grasse matinée jusqu'à 6 heures,i got a habit of sleeping late often right up to 6,I love to sleep in until 6 in the morning.,Good Translation,0.72427213,0.8488618,-0.12458968
faire le gras matinée,6,je me suis dit que j'allais faire la grasse matinée demain,yeah actually i thought i'd sleep in tomorrow,I told myself I was going to sleep in tomorrow morning.,Good Translation,0.76993805,0.80515504,-0.035216987
faire le gras matinée,7,demain je vais faire la grasse matinée,i'm gonna sleep in late tomorrow,Tomorrow I will sleep in late,Unnatural,0.7703563,0.78220296,-0.011846662
faire le gras matinée,8,en plus j'ai envie de faire la grasse matinée avec toi,besides i want to sleep in with you in the morning,I also want to sleep in with you.,Unnatural,0.8337443,0.7653332,0.06841111
faire le gras matinée,9,on peut enfin faire la grasse matinée,we can sleep as late as we want to,We can finally have a lie-in.,Good Translation,0.6141845,0.7089874,-0.094802916
