idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
rouler sur le or,0,ils ont l'air de rouler sur l'or,they must be doing very well,They look like they are rolling in money.,Good Translation,0.71507615,0.8241446,-0.10906845
rouler sur le or,1,le public voit en moi une femme ambitieuse résolue prédestinée à rouler sur l'or,when the public look at me they see an ambitious confident woman destined to rule over millions,the public sees in me a ambitious and determined woman destined to roll in wealth,Good Translation,0.8146975,0.89519894,-0.08050144
rouler sur le or,2,il roule sur l'or,very rich,he rolls in wealth,Good Translation,0.5220237,0.75484866,-0.23282498
rouler sur le or,3,je devrais rouler sur l'or,i should've been in the money years ago,I should be rolling in gold,Good Translation,0.6112758,0.78956795,-0.17829216
rouler sur le or,4,mais si tu montre ceci aux mec italien nous roulerons sur l'or mon ami,but if you show this to the italian tabloids we will be rolling in cash my friend,but if you show this to that Italian guy we'll roll in gold my friend,Unnatural,0.8462047,0.9122784,-0.066073716
rouler sur le or,5,alors colonel il paraît que vous roulez sur l'or,colonel you look fine i hear you're rolling in wealth,then Colonel it seems you're rolling in money,Good Translation,0.7858257,0.8626958,-0.076870084
rouler sur le or,6,charlie je n'ai pas besoin de rouler sur l'or,charlie i don't need to be rolling in dough,"Charlie, I don't need to roll in gold.",Good Translation,0.81197435,0.83874685,-0.0267725
rouler sur le or,7,tu roules sur l'or mais tu ne partages pas avec ceux qui font le sale boulot,you're making tons of money but you're incapable of sharing it with people you can rely on,you roll in gold but you don't share with those who do the dirty work,Good Translation,0.66936785,0.9025073,-0.23313946
rouler sur le or,8,ils roulent sur l'or,they're so rich,They roll on gold,Good Translation,0.67703843,0.86258316,-0.18554473
rouler sur le or,9,vous roulerez sur l'or,you'll be rolling in dough to tell it like it is,you will roll in wealth,Good Translation,0.5983344,0.75085783,-0.15252346
rouler sur le or,10,- je croyais qu'il roulait sur l'or - absolument,i was under the impression he was thriving,-I thought he was rolling in money - absolutely,Good Translation,0.7108195,0.85153204,-0.14071256
rouler sur le or,11,c'est comme si on roulait sur l'or,it's like we're practically roling it,it's like rolling on gold,Good Translation,0.7438724,0.87574327,-0.13187087
rouler sur le or,12,les avocats roulent sur l'or,- barristers make money,lawyers roll in gold,Good Translation,0.6679859,0.86791795,-0.19993204
rouler sur le or,13,restez avec moi et vous roulerez sur l'or,you stick with me and i'll put diamonds in your teeth,stay with me and you will roll in wealth,Good Translation,0.732885,0.8410304,-0.108145416
rouler sur le or,14,- los angeles californie il avait l'air de rouler sur l'or,everything glittered and was golden,"-Los Angeles, California, it looked like they were rolling on gold.",Good Translation,0.63084817,0.8439084,-0.21306026
rouler sur le or,15,avec la mère de dave et andy on roulait sur l'or,with dave and andy's mother we always had money,"with Dave and Andy's mother, we were rolling in money",Good Translation,0.74172163,0.77610517,-0.034383535
rouler sur le or,16,- tu roules sur l'or,- you're flush,you're rolling in money,Good Translation,0.6381221,0.7521212,-0.11399913
rouler sur le or,17,nous sommes extrêmement embarrassés par la présence d'un homme qui roule sur l'or sans ressources financières apparentes,we are greatly mystified by the presence of a gentleman down here rolling in wealth without any viable means of support,We are extremely embarrassed by the presence of a man rolling in gold with no apparent financial resources.,Good Translation,0.84238124,0.9184195,-0.07603824
