idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être en train de,0,nous sommes en train d'en avoir marre l'un de l'autre,we're slowly getting sick of each other,We're sick of each other.,Unnatural,0.8545134,0.87998366,-0.025470257
être en train de,1,fais gaffe je suis en train de suturer,hello i'm suturing here,be careful I am stitching,Good Translation,0.80045116,0.77754974,0.022901416
être en train de,2,elle doit être en train de faire la grasse matinée dans la chambre de jake,uh gee i guess she's probably still asleep in jake's room,She must be sleeping in in Jake's room.,Good Translation,0.82112014,0.84459776,-0.023477614
être en train de,3,c'était en train de partir en fumée,mcgee it was running on fumes,it was going up in smoke,Good Translation,0.71350086,0.88657755,-0.17307669
être en train de,4,tu crois qu'elliot est en train de pleurer comme une madeleine,do you think elliot's somewhere right now crying her eyes out,you think Elliot is crying like a baby,Partial Translation,0.80431396,0.832357,-0.028043032
être en train de,5,la dernière fois que je vous ai vu vous étiez en train de pleurer comme une madeleine,have you come to talk about marriage,"The last time I saw you, you were crying like a madeleine.",Literal Translation,0.49942997,0.9405769,-0.44114694
être en train de,6,tu es en train de te prendre la tête,you're psyching yourself out,you are stressing yourself out,Good Translation,0.78884876,0.773095,0.015753746
être en train de,7,sarah est en train de te prendre la tête,oh sarah's got you all up in a tizzy,Sarah is driving you crazy,Good Translation,0.7523532,0.8339867,-0.08163351
être en train de,8,le polonais est en train de péter un câble,the pole's going crazy,The Polish person is losing it.,Good Translation,0.6246208,0.74545586,-0.120835066
être en train de,9,randy est en train de péter un câble là-bas dedans,randy's losing his brain in there,Randy is losing it over there,Good Translation,0.7412679,0.76549864,-0.024230719
être en train de,10,c'est pas sa mère qui est en train de péter un câble,it's not his mother who's gone around the bend,it's not his mother who is losing it,Good Translation,0.7640643,0.7494519,0.014612436
être en train de,11,- ethan je suis en train de péter un câble à cause,ethan i'm freaking out,"Ethan, I'm losing it because",Good Translation,0.7053815,0.7315004,-0.026118875
être en train de,12,imagine combien de gens sont en train de s'envoyer en l'air mec,imagine how many people out there right now are fucking man,imagine how many people are currently having sex man,Good Translation,0.788075,0.7579971,0.030077875
être en train de,13,tu es en train de tourner la page,you really are turning over a new leaf,you are turning the page,Partial Translation,0.678471,0.8914509,-0.21297985
être en train de,14,je crois qu'il est en train de tourner la page,you know i think he's turning over a new leaf,I believe he is turning the page.,Good Translation,0.78675216,0.9207869,-0.13403475
être en train de,15,vous croyez qu'il est en train de tourner la page,think he's up there turning' over a new leaf,you believe he is turning the page,Good Translation,0.73093593,0.93422663,-0.2032907
être en train de,16,je sais que tu as besoin d'espace mais tu ne peux pas en avoir car alex est en train de tourner la page,i know you want space but you can't have space because alex might be moving on,I know you need space but you can't have it because Alex is turning the page.,Good Translation,0.87108237,0.9168638,-0.045781434
être en train de,17,je suis en train de tourner la page,i'm turning over a new leaf,I am turning the page,Partial Translation,0.7470676,0.9006332,-0.15356565
être en train de,18,je suis en train de tourner la page vraiment je travaille dur pour tourner la page,i'm getting over this i am i'm working really hard to get over this,I am turning the page really I am working hard to turn the page,Good Translation,0.7710388,0.94855815,-0.17751938
être en train de,19,votre relation est en train de tourner au vinaigre,has your relationship reached its inevitable ugly end,your relationship is turning sour,Good Translation,0.67898643,0.79135466,-0.112368226
être en train de,20,tu devrais être en train de t'occuper de ben i'invalide ii va très bien tout ie monde peut avoir besoin d'un coup de main,that's how it sounded,"you should be taking care of Ben, he's an invalid and he's going very well everyone might need a hand",Mistranslation,0.44402677,0.87609476,-0.432068
être en train de,21,elle prend un bain ou quoi si t'es en train de te baptiser c'est pas comme ça que ça marche,it doesn't count if you try to baptize yourself,"She's taking a bath or what? If you're baptizing someone, it's not done that way.",Partial Translation,0.6739329,0.8897486,-0.21581566
être en train de,22,on est en train de chercher une solution mais si ça marche pas tu sais ce que tu dois faire,we're trying to solve it but you know what to do if it doesn't work out right,"We are looking for a solution but if it doesn't work, you know what you have to do",Good Translation,0.8903128,0.9433497,-0.05303693
être en train de,23,quoi que tu sois en train de faire ça marche,whatever you're doing in there it's working,whatever you are doing it works,Partial Translation,0.7305827,0.7553923,-0.024809599
être en train de,24,tu es en train de dire que ta sœur est canon,what a freak you're going to hell man,you are saying that your sister is hot,Literal Translation,0.47688597,0.7818236,-0.3049376
être en train de,25,tu es crevé tu es en train de guérir,uh likeyou're tired,you are tired you are in the process of healing,Good Translation,0.5929426,0.7658391,-0.1728965
être en train de,26,et ma musique de surveillance est en train de passer,i got my stakeout mix going,and my surveillance music is passing through,Literal Translation,0.5781112,0.9559895,-0.3778783
être en train de,27,il est en train de le faire il défonce la porte,he's doing it he's breaking down the door,"He is doing it, he is breaking down the door",Unnatural,0.8875861,0.8913698,-0.0037837029
être en train de,28,et j'étais en train de me branler c'est ça que tu veux ah,i was under your window and i was jerking off,"and I was jerking off, that's what you want ah",Good Translation,0.6423864,0.857919,-0.2155326
être en train de,29,dis l'athlète tu sais ce qu'il en coûte de plaisanter avec son père qui est en train d'organiser tout seul un bonheur familial,hey athlete how dare you mock your father who's trying to promote the family's happiness all on his own,The athlete knows what it costs to joke around with his father who is organizing a family happiness all by himself.,Unnatural,0.7996058,0.87908864,-0.07948285
être en train de,30,terri était en train de lui couper les cheveux quand le dernier s'est produit,- terri was cutting her hair when the last one hit,Terri was cutting his hair when the last one occurred.,Mistranslation,0.88199395,0.8785582,0.003435731
être en train de,31,t'es en train de péter les plombs,man you're really losing it you know that,you're losing it,Unnatural,0.6216227,0.66903555,-0.047412872
être en train de,32,il doit être en train de roupiller par là,he's probably asleep behind it,he must be napping over there,Good Translation,0.73788846,0.8176647,-0.07977623
être en train de,33,c'est plus lourd que je pensais et je suis sûre que c'est en train de me tasser les vertèbres mais,it's a lot heavier than i expected and i'm pretty sure it's compacting my spinal column but,it's heavier than I thought and I'm sure it's compressing my vertebrae but,Good Translation,0.8180717,0.88302565,-0.06495392
être en train de,34,alors me revoila il fallait que j'en parle le vent est en train de se barer sérieusement,so here i am again i just had to do an update now the wind is seriously going away,"then here I am again, I had to talk about it, the wind is seriously dying down",Good Translation,0.7572484,0.85427105,-0.09702265
être en train de,35,si l'on essaie de partir à la nage avec un pneu ou dans la roue d'un avion on est en train de quitter illégalement le pays et l'on a pour 4 5 ou 6 ans de prison,if you try to swim to freedom or stow away on a plane you're leaving the country illegally and you get 4 or 5 or 6 years in jail,"If we try to swim off with a tire or in the wheel of an airplane, we are illegally leaving the country and facing 4 to 5 or 6 years in prison.",Good Translation,0.84249264,0.8592736,-0.016780972
être en train de,36,cette femme est en train d'user mes nerfs,- that woman is working my last nerve,this woman is driving me crazy,Good Translation,0.8482443,0.8281721,0.020072222
être en train de,37,j'ai bien peur qu'americains et français soient en train de retourner leur veste et s'affranchissent des promesses faites jusqu'alors,i'm afraid to say the americans and the french are about to go into reverse gear and just about every promise they ever made too,I fear that Americans and French are in the process of turning their backs and freeing themselves from the promises made so far.,Good Translation,0.8554609,0.89565986,-0.04019898
être en train de,38,le central est en train de parler de trois hommes,right now dispatch is squawking about three men,The central is talking about three men.,Partial Translation,0.7895948,0.9649564,-0.17536157
être en train de,39,on était en train de dîner et tu es apparu à la télé avec cette stupide,we were having dinner and you came on tv and that stupid,we were having dinner and you appeared on TV with that stupid,Good Translation,0.90079975,0.92964506,-0.02884531
être en train de,40,tu sauras vieille branche que ce sont les derniers moments de ta vie que tu es en train de vivre,just to be clear old-timer these are the last few moments of your life you're experiencing right now,you will realize old branch that these are the last moments of your life you are living,Unnatural,0.7723638,0.9024387,-0.13007492
être en train de,41,je suis en train de télécharger le portable,downloading the burner now,I am downloading the phone.,Good Translation,0.67396903,0.8670635,-0.19309449
être en train de,42,ouais je suis en train de pour filmer et marcher en même temps dans une zone dangereuse,yeah i'm trying to to film and walk at the same time in a treacherous area,"Yeah, I'm trying to film and walk at the same time in a dangerous area.",Good Translation,0.8895049,0.9495095,-0.060004592
être en train de,43,t'es en train de couler un bronze ou quoi,i'm back yo what are you dropping a deuce,you're casting bronze or what,Literal Translation,0.5282192,0.86264336,-0.33442414
être en train de,44,varrick je sais ce que vous êtes en train de faire et je ne pense pas que votre propagande va me faire changer d'avis à propos de partir en guerre contre la tribu de l'eau du nord,varrick i know what you're doing and i doubt your propaganda is going to change my mind about going to war with the northern water tribe,varrick i know what you're doing and i don't think your propaganda is going to change my mind about going to war against the tribe of the northern water,Partial Translation,0.93817914,0.9526751,-0.014495969
être en train de,45,saskia est en train de se remettre d'une blessure et pour les mois prochains a accepté de vous enseigner le répertoire de la classe,saskia's recovering from an injury but over the next few months has agreed to take you for repertoire class,Saskia is recovering from an injury and for the upcoming months has agreed to teach you the class repertoire.,Good Translation,0.90456414,0.95037496,-0.04581082
