idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir raître le bol,0,maintenant j'en ai ras le bol tu as le jugement de la maison,listen young man until further notice you're grounded,now I've had enough you have the house rules,Partial Translation,0.49803013,0.8451663,-0.3471362
en avoir raître le bol,1,j'en ai ras le bol de toi t'entends gamin,i'm sick of your shit you punk,"I'm fed up with you, do you hear me, kid",Unnatural,0.7038986,0.7643684,-0.060469806
en avoir raître le bol,2,pour guérir mieux plus vite j'en ai ras le bol d'être ici quand mes amis sont là-bas je ne peux le dire à personne,so i can get better fast because i'm sick and tired of being here while my friends die over there and i can't tell anyone that because they won't get it,"to heal better and faster, I'm fed up with being here; when my friends are there, I can't say anything to anyone",Partial Translation,0.8249495,0.8753301,-0.050380588
en avoir raître le bol,3,la plupart des gens en ont ras le bol des crimes dans les rues,most people are sick and tired of crime in the streets,most people are fed up with crime on the streets,Good Translation,0.94357216,0.9402269,0.003345251
en avoir raître le bol,4,c'est pas vrai j'en ai ras le bol,oh my god i've fucking had it,it's not true I've had enough,Partial Translation,0.6753026,0.8474969,-0.1721943
en avoir raître le bol,5,en fait j'en ai ras le bol de m'asseoir sur un fauteuil jour après jour pour écouter les problèmes des gens,the truth is i'm just fucking sick of sitting in a chair day after day after day listening to people's problems,"in fact, I'm sick of sitting on a sofa day after day to listen to people's problems",Unnatural,0.8730899,0.89590853,-0.022818625
en avoir raître le bol,6,j'en ai raz le bol alors à moins que tu ne saches comment la joindre et lui dire de nous contacter,- i'm fed up with this so unless you can tell mayka to contact us,"I have had it with this, so unless you know how to get in touch with her and tell her to contact us,",Good Translation,0.7641261,0.8520205,-0.08789438
en avoir raître le bol,7,on dirait qu'elle en a ras le bol,seems she's had her fill,It seems she has had enough.,Good Translation,0.8120384,0.85643256,-0.044394135
en avoir raître le bol,8,ozzie j'en ai ras le bol de tes trucs magiques et de toutes ces histoires,ozzie i'm so sick of your magic and your stupid fantasies it's too late now,"Ozzie, I'm sick of your magical tricks and all these stories.",Unnatural,0.83077496,0.9315271,-0.100752115
en avoir raître le bol,9,je vous le dis je commence à en avoir ras le bol de l'afrique,i tell you i'm getting heartily sick of africa,"I'm telling you, I'm starting to get really fed up with Africa.",Good Translation,0.8580969,0.90248275,-0.04438585
en avoir raître le bol,10,j'en ai ras le bol de t'entendre dire ce n'est pas prudent,kif i don't need your that-may-not-be-wise attitude,I'm fed up with you saying it's not prudent.,Good Translation,0.584814,0.89006424,-0.30525023
en avoir raître le bol,11,mais moi j'en ai ras le bol qu'ils nous ignorent,but i am tired of them not listening,but I'm fed up with them ignoring us,Good Translation,0.7774682,0.9147179,-0.13724971
en avoir raître le bol,12,j'en avais ras le bol,i got fed up and didn't care,I had enough of it,Good Translation,0.7499366,0.85683894,-0.10690236
