idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
quand le poule avoir un dent,0,tu feras ça pour moi quand les poules auront des dents,the day you do this for me pigs will fly,you'll do this for me when hens lay teeth,Good Translation,0.7156267,0.78988576,-0.07425904
quand le poule avoir un dent,1,mais elle sera ravie de vous rappeler quand les poules auront des dents,but she'll be happy to return your call when hell freezes over,but she will be delighted to remind you when chickens have teeth,Good Translation,0.6639588,0.87526155,-0.21130276
quand le poule avoir un dent,2,quand les poules auront des dents,it ain't over till the fat lady sings i got it in two letters,when the chickens come home to roost,Literal Translation,0.3957002,0.55090237,-0.15520218
quand le poule avoir un dent,3,je la connais depuis sa naissance vous y arriverez quand les poules auront des dents,i have known her since she was born i admit i am quite interested but when it comes to getting him here i would say you have no more chance than a cat in hell without claws,I've known her since her birth you'll get there when hens have teeth,Good Translation,0.6714638,0.8467198,-0.17525601
quand le poule avoir un dent,4,la plupart sont tout à fait légaux mais de temps en temps une annonce comporte l'expression quand les poules auront des dents,most of the buying and selling on there perfectly legitimate but every once in a while there's an ad which features the phrase once in a blue moon,"most are perfectly legal but from time to time an ad contains the expression ""when pigs fly""",Literal Translation,0.62209845,0.773657,-0.15155858
quand le poule avoir un dent,5,comme on dit quand les poules auront des dents,well as they say hell will freeze first,when pigs fly,Good Translation,0.5230969,0.5351239,-0.012026966
quand le poule avoir un dent,6,quand les poules auront des dents,you might as well look for hen's teeth,when hens have teeth,Good Translation,0.5222125,0.6863823,-0.16416979
quand le poule avoir un dent,7,quand les poules auront des dents,when the cows come home,when chickens have teeth,Good Translation,0.56195647,0.7479919,-0.18603545
quand le poule avoir un dent,8,je te laisserai partir aussi loin sans moi quand les poules auront des dents,it will be a cold day in hell before i let you go that far without me,I will let you leave as far without me when chickens have teeth,Good Translation,0.69128454,0.8138808,-0.122596264
quand le poule avoir un dent,9,- quand les poules auront des dents,-when fish ride bicycles,- when hens have teeth,Good Translation,0.517416,0.7327128,-0.2152968
quand le poule avoir un dent,10,- je peux te faire visiter - quand les poules auront des dents,-l'd be glad to give you a tour sometime,- I can show you around - when hens have teeth,Good Translation,0.6687348,0.76799786,-0.09926307
quand le poule avoir un dent,11,je te lâcherai quand les poules auront des dents,i'm not putting you down until the cows come home,I'll let you go when hens have teeth,Good Translation,0.65028846,0.75666875,-0.106380284
quand le poule avoir un dent,12,- je quitterai ma ferme quand les poules auront des dents,- ain't leaving my house for nothing not in a hundred years,I will leave my farm when chickens have teeth.,Good Translation,0.5111198,0.8619627,-0.3508429
quand le poule avoir un dent,13,walker vous reparlera quand les poules auront des dents,but walker is never talking to you again in a billion years,walker will get back to you when hens have teeth,Good Translation,0.6054778,0.7779865,-0.17250872
quand le poule avoir un dent,14,elle m'a dit dis-lui quand les poules auront des dents,she said pigs would fly first,she told me to tell him when chickens have teeth,Good Translation,0.66726893,0.84630334,-0.17903441
quand le poule avoir un dent,15,dis à ce fou tu seras mon amant quand les poules auront des dents,tell that fool pigs will fly first,tell that fool he'll be my lover when chickens have teeth,Good Translation,0.6374239,0.82317936,-0.18575549
quand le poule avoir un dent,16,ouais quand les poules auront des dents,yeah well money talks and bullshit walks you know what i mean,yes when hens have teeth,Literal Translation,0.47361755,0.7002567,-0.22663915
quand le poule avoir un dent,17,quand les poules auront des dents,not in a month of sundays,when hens have teeth,Good Translation,0.3725677,0.6863823,-0.31381458
quand le poule avoir un dent,18,quand les poules auront des dents ou quand un avocat de génie la foutra dehors,yeah when hell freezes over or some genius upstairs finds a way so we can legally blast her out of here,when hens have teeth or when a genius lawyer will throw her out,Good Translation,0.55957854,0.7433677,-0.18378913
quand le poule avoir un dent,19,on pourra parler de normalité quand les poules auront des dents,we can talk about normality till the cows come home,When pigs fly will we talk about normality?,Good Translation,0.7450887,0.70044357,0.04464513
quand le poule avoir un dent,20,ça pourrait être demain ou quand les poules auront des dents,could be tomorrow could be when pigs fly,it could be tomorrow or when pigs fly,Good Translation,0.7513935,0.79186016,-0.040466666
quand le poule avoir un dent,21,quand les poules auront des dents le vent tournera au texas,when pigs go around with sticks in their mouths there'll be a blue norther in texas,"when chickens have teeth, the wind will blow in Texas",Good Translation,0.6204027,0.7879903,-0.16758758
quand le poule avoir un dent,22,ouais quand les poules auront des dents,yeah about the time you get your third set of teeth,yeah when hens have teeth,Good Translation,0.63526386,0.72331196,-0.0880481
quand le poule avoir un dent,23,tu conduiras encore quand les poules auront des dents,when hell freezes over you can drive again,you will still be driving when the chickens have teeth,Good Translation,0.58342385,0.8259715,-0.24254763
quand le poule avoir un dent,24,oh quand les poules auront des dents,oh yeah that'll be the day,oh when chickens will have teeth,Literal Translation,0.53464854,0.84801567,-0.31336713
quand le poule avoir un dent,25,- tu l'auras quand les poules auront des dents,- yeah you'll get it,- you'll have it when hens have teeth,Good Translation,0.6309029,0.79170996,-0.16080707
quand le poule avoir un dent,26,j'aurais dit quand les poules auront des dents tickets s'il vous plaît,i'd have said when hell freezes over,I would have said when hens have teeth please pass the tickets,Good Translation,0.58880615,0.7745187,-0.18571258
