idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
poser un lapin,0,je ne t'ai pas posé un lapin et je ne t'ai absolument pas larguée,whoa whoa whoa whoa whoa i didn't stand you up and i definitely didn't break up with you,I haven't played a trick on you and I certainly didn't dump you.,Unnatural,0.6443442,0.77953637,-0.13519216
poser un lapin,1,le type de patrick m'a posé un lapin,well patrick's guy stood me up,Patrick's type has pulled a fast one on me.,Literal Translation,0.7675179,0.68388546,0.08363247
poser un lapin,2,jamais fille aussi belle ne m'avait posé un lapin,i don't recall getting stood up by a more attractive woman - mr deitrich,never a girl so beautiful had ever played me false,Good Translation,0.60900956,0.76423144,-0.15522188
poser un lapin,3,elle ne va plus jamais me reparler si je lui pose un lapin,she's never gonna talk to me again after standing her up,She won't ever talk to me again if I pull a fast one on her.,Unnatural,0.7692083,0.7521208,0.01708752
poser un lapin,4,et pour la troisième fois d'affilée tu m'as posé un lapin,and that's the third time in a row you stood me up,and for the third time in a row you've pulled a fast one on me,Mistranslation,0.8166904,0.7779304,0.038760006
poser un lapin,5,je savais que t'allais me poser un lapin,'cause i knew you'd fuck me you prick,I knew you were going to rabbit me,Literal Translation,0.6226332,0.7417823,-0.11914909
poser un lapin,6,elle t'a posé un lapin non,looks like you got stood up huh,She played a rabbit on you.,Literal Translation,0.57711256,0.71722007,-0.14010751
poser un lapin,7,mon rencard m'a posé un lapin,my appointment didn't show up,My blind date set me up with a rabbit.,Mistranslation,0.51558304,0.64137274,-0.1257897
poser un lapin,8,tu m'as posé un lapin à notre premier rendez-vous et tu es partie en suisse,you stood me up on our first date and you flew to switzerland,You had me on a wild goose chase at our first date and you left for Switzerland.,Unnatural,0.80140793,0.82594883,-0.024540901
poser un lapin,9,celui qui te pose un lapin doit être fou,anyone who'd stand you up must be crazy,He who puts you off must be mad.,Good Translation,0.7641691,0.7388663,0.025302768
poser un lapin,10,ok si elle veut nous poser un lapin elle devrait y mettre plus d'effort,okay if she's going to blow us off she'd better put a little more effort into it than that,if she wants to surprise us with a rabbit she should put more effort in it,Literal Translation,0.80571085,0.82418144,-0.018470585
poser un lapin,11,il peut me poser un lapin à moi mais pas à toi,he can stand me up but he can't stand you up,"he can ask me to do a favor, but not you",Mistranslation,0.73256016,0.79775643,-0.065196276
poser un lapin,12,- j'aurais pu si on ne m'avait pas posé de lapin,- if someone hadn't bailed on me,I would have if they hadn't asked me such a question.,Mistranslation,0.72437,0.71591115,0.008458853
poser un lapin,13,tu m'as posé un lapin à notre premier rendez-vous web,i can't believe you're gonna stand me up on our first web chat date,You stood me up at our first online date,Good Translation,0.7308309,0.80054903,-0.06971812
poser un lapin,14,comment as-tu pu me poser un lapin,oh woodrow how could you stand me up,How could you do that to me,Unnatural,0.62863237,0.60272574,0.025906622
poser un lapin,15,on vous a posé un lapin,hmm you were stood up,You've been put in your place.,Mistranslation,0.70346576,0.74728453,-0.04381877
poser un lapin,16,elle t'a posé un lapin,she stood you up man,she gave you a hard time,Mistranslation,0.71556085,0.7075771,0.007983744
poser un lapin,17,- on vous a posé un lapin hier soir,- you were stood up here last night,- We put one over you last night,Literal Translation,0.7708607,0.81567603,-0.04481536
poser un lapin,18,j'ai regardé une chaise vide pendant deux heures avant d'admettre que tu m'avais posé un lapin,i stared at an empty chair for two hours until i finally accepted that you had stood me up,I stared at an empty chair for two hours before admitting you'd pulled my leg.,Mistranslation,0.8024193,0.8158102,-0.013390899
poser un lapin,19,je l'ai invitée à dîner après qu'on m'a posé un lapin,i invited her to dinner after somebody stood me up,I invited her to dinner after they pulled a rabbit out of their hat on me.,Mistranslation,0.8072474,0.76963603,0.037611365
poser un lapin,20,elle lui pose un lapin,she stands him up then,she puts a rabbit in his face,Literal Translation,0.739962,0.7224444,0.017517567
poser un lapin,21,cette fois elle m'a posé un lapin,she's always late but this time she just never showed up,This time she pulled a rabbit out of her hat.,Mistranslation,0.53976595,0.7098458,-0.17007983
poser un lapin,22,on t'a posé un lapin,you've been stood up,You had us jump to conclusions.,Mistranslation,0.7056506,0.6105357,0.09511495
poser un lapin,23,on lui a posé un lapin devant l'autel pour son mariage devant tout le monde,she was stood up at the altar on her wedding day in front of everybody she knows,They placed a rabbit in front of the altar for their wedding in front of everyone.,Mistranslation,0.7446076,0.8151665,-0.070558846
poser un lapin,24,- pourquoi tu me poses un lapin,well why did you stand me up,- why are you giving me a hare (rabbit),Literal Translation,0.6917319,0.7863314,-0.094599485
poser un lapin,25,la petite chipie m'a posé un lapin,the little brat blew me off,The little monkey put a rabbit on me,Literal Translation,0.5580524,0.6864159,-0.12836349
poser un lapin,26,je croyais que tu m'avais posé un lapin,i was beginning to think you were gonna stand me up,I thought you were putting one over on me,Mistranslation,0.71592575,0.8045227,-0.08859694
poser un lapin,27,il m'a posé un lapin,he stood me up,He played a joke on me.,Mistranslation,0.7268287,0.71378326,0.01304543
poser un lapin,28,pourquoi est-ce que tu poses un lapin à ton petit copain pour traîner avec un autre gars,now why are you blowing off your boyfriend to hang out with some random guy,Why are you giving your boyfriend a rabbit to hang out with some other guy?,Literal Translation,0.6167911,0.7372217,-0.12043059
poser un lapin,29,il t'a posé un lapin,he stood you up,He pulled a fast one on you.,Mistranslation,0.7229506,0.6493603,0.07359028
poser un lapin,30,tu vas pas coucher avec moi après m'avoir posé un lapin,we can't sleep together on the first date especially one you ditched,You're not going to sleep with me after you've played a trick on me.,Mistranslation,0.6048832,0.7553352,-0.15045202
poser un lapin,31,elle lui a posé un lapin,so she stood him up so what,"she put one over on him (literally ""she posed a rabbit"" to him)",Literal Translation,0.71672,0.7566885,-0.03996849
poser un lapin,32,salut j'ai cru que vous m'aviez posé un lapin,hi i thought you'd stood me up,hello I thought you'd pulled a fast one on me,Unnatural,0.752028,0.71922183,0.032806158
poser un lapin,33,il nous a peut-être posé un lapin,we just might have gotten blown off,He may have pulled our leg.,Mistranslation,0.64123833,0.7651844,-0.12394607
poser un lapin,34,tu sais je juge mes rendez-vous sur le fait qu'on me pose un lapin donc tu commences très bien,you know i actually judge my dates on whether or not they stand me up so you are off to a great start,"You know I judge my dates by whether or not they stand me up, so you're doing a great job so far.",Good Translation,0.74248934,0.7044968,0.037992537
poser un lapin,35,bien généralement quand un gars pose un lapin à une fille il ne se présente pas chez elle une semaine plus tard,well usually when a guy stands a girl up he doesn't show up at her house a week later,Generally speaking when a bloke rabbits on to a girl he doesn't turn up at her place the following week.,Unnatural,0.8331057,0.7642854,0.0688203
poser un lapin,36,c'est pourquoi j'ai posé un lapin à mon rendez-vous à l'aveugle ce soir,that's why i blew off my blind date tonight,That's why I blind-dated a rabbit at my date tonight.,Literal Translation,0.7303106,0.7643311,-0.034020483
poser un lapin,37,- tu me poses un lapin,are you standing me up,- you're pulling my leg,Mistranslation,0.6290171,0.6940312,-0.065014064
poser un lapin,38,pourquoi tu m'as posé un lapin j'attends depuis 30 minutes,why did you blow me off,Why did you put me on hold for 30 minutes?,Mistranslation,0.5664216,0.7733692,-0.20694757
poser un lapin,39,j'ai cru que vous alliez me poser un lapin,you know for a minute i thought you were going to stand me up there,I thought you were going to pull a fast one on me.,Mistranslation,0.74349093,0.7227824,0.020708561
poser un lapin,40,on l'a eu parce que raymond t'a posé un lapin,did we only get it because raymond didn't show up,They got caught because Raymond pulled a fast one on them.,Mistranslation,0.6159729,0.61662257,-0.0006496906
poser un lapin,41,je lui pose un lapin à chaque fois et il en redemande,i've stood this guy up so many times before and he just keeps comin' back for more,I keep giving him a rabbit every time and he asks for it again.,Literal Translation,0.72863406,0.83974063,-0.111106575
poser un lapin,42,- non on m'a posé un lapin,- no i've been stood up,- no they pulled a rabbit on me,Literal Translation,0.7224222,0.7799226,-0.057500422
