idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
pleuvoir un corde,0,j'en suis sûre il commence à pleuvoir des cordes jack,it's starting to rain pretty hard jack,I'm sure it's starting to rain strings of Jacks,Literal Translation,0.85934126,0.89352775,-0.034186482
pleuvoir un corde,1,cours il pleut des cordes,run it's pouring rain,It's raining cables right now.,Good Translation,0.71558213,0.7314577,-0.015875578
pleuvoir un corde,2,il pleut des cordes et toi tu veux tirer un coup,it's raining like this and you want to fuck,"It's raining cats and dogs, and you want to take a swing?",Literal Translation,0.739267,0.6838929,0.055374086
pleuvoir un corde,3,ce jour-là il pleuvait des cordes,- you ok norman - it was coming down in buckets,That day it was raining strings.,Literal Translation,0.61339134,0.872018,-0.25862664
pleuvoir un corde,4,il pleuvra des cordes,raining cats and dogs,It will rain guitar strings.,Literal Translation,0.53213346,0.639887,-0.107753515
pleuvoir un corde,5,elle a fait une tentative à buckingham palace mais bien sûr il pleuvait des cordes,she tried it at buckingham palace once luckily it rained that day,She attempted to jump from Buckingham Palace but of course it was raining strings,Literal Translation,0.83868885,0.8929098,-0.054220974
pleuvoir un corde,6,mais papa il pleut des cordes dehors,but daddyit's raining cats and dogs out there,but dad it's raining outside,Literal Translation,0.77583134,0.8553121,-0.07948077
pleuvoir un corde,7,c'était à brighton il pleuvait des cordes,rained like a right bastard,It was in Brighton it was raining strings.,Literal Translation,0.6828522,0.8658447,-0.18299252
pleuvoir un corde,8,- oui il pleuvait des cordes,-yeah a lot of rain that night,- yes it was raining strings,Literal Translation,0.75299305,0.87177676,-0.11878371
pleuvoir un corde,9,- il pleut des cordes - je sais merci,- raining like hell out there,- it's raining ropes - I know thanks,Good Translation,0.70646954,0.8499539,-0.14348435
pleuvoir un corde,10,même s'il pleut des cordes les gosses sortent pendant la récré,i wanna get those kids outside during recess,even if it's raining cats and dogs kids go out during recess,Good Translation,0.71418905,0.7685343,-0.05434525
pleuvoir un corde,11,ce jour il pleuvait des cordes,it rained hard that day,It was raining strings that day.,Good Translation,0.8172493,0.8658843,-0.048635006
pleuvoir un corde,12,oui il pleuvait des cordes,yes it rained cats and dogs as you say,Yes it was raining strings.,Good Translation,0.7163718,0.87249386,-0.15612209
pleuvoir un corde,13,- il pleut des cordes dehors,it's really coming down out there,It's raining ropes outside.,Good Translation,0.68391514,0.8414571,-0.15754199
pleuvoir un corde,14,il pleut des cordes c'est pourquoi je le suggère,it's raining cats and dogs that is why i suggested it,It's raining cats and dogs that's why I suggest it.,Good Translation,0.7969241,0.79343545,0.0034886599
pleuvoir un corde,15,j'ai décidé d'aller courir et j'ai atterri ici bon sang il pleut des cordes,and the roar you hear is for nathan scott stepping back on the court,I've decided to go for a run and good grief it's raining ropes.,Mistranslation,0.48254701,0.7936886,-0.31114158
pleuvoir un corde,16,sacré bon dieu il pleut des cordes,boy it sure is rainin' cats and dogs,Good God it's raining strings.,Good Translation,0.66377276,0.8151773,-0.15140456
pleuvoir un corde,17,- il pleut des cordes,- cats and dogs out there,- it's raining cats and dogs,Good Translation,0.618458,0.7458858,-0.12742782
pleuvoir un corde,18,- il pleut des cordes c'est ça,really raining huh,"- It's raining ropes, that's what it is.",Literal Translation,0.74929774,0.8430959,-0.09379816
pleuvoir un corde,19,je voulais voir ce qui se passait il pleuvait des cordes,i wanted to see what was happening,I wanted to see what was going on it was raining ropes.,Literal Translation,0.82849795,0.8804029,-0.051904976
pleuvoir un corde,20,la dernière fois que j'ai regardé il pleuvait des cordes,oh last time i looked it was pouring rain,the last time I looked it was raining strings,Good Translation,0.8249811,0.87454987,-0.049568772
pleuvoir un corde,21,il pleut des cordes ici pas la plomberie,well it's flooding here and not the plumbing,"It's raining cats and dogs here, not plumbing.",Good Translation,0.7751287,0.72414273,0.050985992
pleuvoir un corde,22,il va pleuvoir des cordes,it will rain cats and dogs,It's going to rain cats and dogs.,Literal Translation,0.72386324,0.72325844,0.00060480833
pleuvoir un corde,23,putain il pleut des cordes,god it's pouring,It's pissing down ropes.,Good Translation,0.70742035,0.72673744,-0.01931709
pleuvoir un corde,24,il s'est mis à pleuvoir des cordes et judith jones a annulé,it began pouring down rain and judith jones canceled,It started to rain strings and Judith Jones cancelled.,Good Translation,0.88929594,0.8672829,0.022013009
pleuvoir un corde,25,en effet ce n'en est pas un il pleut des cordes,no as a matter of fact it's not cats and dogs,In fact it's not raining strings.,Literal Translation,0.57461035,0.7682577,-0.19364733
pleuvoir un corde,26,- venez il pleut des cordes,come in it's raining hard,It's raining cats and dogs.,Good Translation,0.7429701,0.6399627,0.103007436
