idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
rouler sur le or,0,ils ont l'air de rouler sur l'or,they must be doing very well,They appear to be rolling around in gold.,Good Translation,0.71507615,0.88245666,-0.16738051
rouler sur le or,1,le public voit en moi une femme ambitieuse résolue prédestinée à rouler sur l'or,when the public look at me they see an ambitious confident woman destined to rule over millions,the public sees me as a determined ambitious woman destined to roll in gold,Good Translation,0.8146975,0.91867995,-0.10398245
rouler sur le or,2,il roule sur l'or,very rich,he rolls on gold,Good Translation,0.5220237,0.83288336,-0.31085968
rouler sur le or,3,je devrais rouler sur l'or,i should've been in the money years ago,I should be rolling in gold.,Good Translation,0.6112758,0.7878598,-0.176584
rouler sur le or,4,mais si tu montre ceci aux mec italien nous roulerons sur l'or mon ami,but if you show this to the italian tabloids we will be rolling in cash my friend,but if you show this to the Italian guys we'll roll in gold my friend,Unnatural,0.8462047,0.90437406,-0.058169365
rouler sur le or,5,alors colonel il paraît que vous roulez sur l'or,colonel you look fine i hear you're rolling in wealth,then colonel it seems to me you're rolling on gold,Good Translation,0.7858257,0.91120726,-0.12538153
rouler sur le or,6,charlie je n'ai pas besoin de rouler sur l'or,charlie i don't need to be rolling in dough,Charlie I don't need to roll in gold.,Good Translation,0.81197435,0.845237,-0.03326267
rouler sur le or,7,tu roules sur l'or mais tu ne partages pas avec ceux qui font le sale boulot,you're making tons of money but you're incapable of sharing it with people you can rely on,You're rolling in gold but you don't share it with those who do the dirty work.,Good Translation,0.66936785,0.8783923,-0.20902443
rouler sur le or,8,ils roulent sur l'or,they're so rich,They roll on gold,Good Translation,0.67703843,0.86258316,-0.18554473
rouler sur le or,9,vous roulerez sur l'or,you'll be rolling in dough to tell it like it is,You will roll on gold.,Good Translation,0.5983344,0.8379258,-0.23959142
rouler sur le or,10,- je croyais qu'il roulait sur l'or - absolument,i was under the impression he was thriving,- I thought he was rolling over gold - absolutely,Good Translation,0.7108195,0.87478936,-0.16396987
rouler sur le or,11,c'est comme si on roulait sur l'or,it's like we're practically roling it,It's like driving over gold.,Good Translation,0.7438724,0.90352213,-0.15964973
rouler sur le or,12,les avocats roulent sur l'or,- barristers make money,Lawyers roll on gold.,Good Translation,0.6679859,0.874792,-0.20680606
rouler sur le or,13,restez avec moi et vous roulerez sur l'or,you stick with me and i'll put diamonds in your teeth,Stay with me and you'll roll in gold.,Good Translation,0.732885,0.88186365,-0.14897865
rouler sur le or,14,- los angeles californie il avait l'air de rouler sur l'or,everything glittered and was golden,"- Los Angeles, California it looked like he was rolling in gold",Good Translation,0.63084817,0.8539276,-0.22307944
rouler sur le or,15,avec la mère de dave et andy on roulait sur l'or,with dave and andy's mother we always had money,With Dave's mom and Andy we would roll around in gold.,Good Translation,0.74172163,0.82620513,-0.084483504
rouler sur le or,16,- tu roules sur l'or,- you're flush,- you're rolling with gold,Unnatural,0.6381221,0.8356601,-0.19753802
rouler sur le or,17,nous sommes extrêmement embarrassés par la présence d'un homme qui roule sur l'or sans ressources financières apparentes,we are greatly mystified by the presence of a gentleman down here rolling in wealth without any viable means of support,We are extremely embarrassed by the presence of a man who travels on gold without apparent financial resources.,Literal Translation,0.84238124,0.9272036,-0.08482236
rouler sur le or,18,t'as pas l'air de rouler sur l'or,you seem to be in bad shape,You don't look like you're rolling in gold.,Unnatural,0.6783092,0.81685996,-0.13855076
rouler sur le or,19,khaled roule sur l'or,khaled is minting money,Khalid rolls on gold.,Good Translation,0.7326907,0.7761722,-0.04348153
rouler sur le or,20,je roule sur l'or ils rament,that's why we drive benz they take bus,I roll on gold they ramble,Unnatural,0.54311585,0.81340754,-0.2702917
rouler sur le or,21,non vous roulez sur l'or,wait a sec you spend that in toilet paper at your mansions,You don't have to be rolling in gold.,Mistranslation,0.45881817,0.71900505,-0.26018688
rouler sur le or,22,quand je pense que je devrais rouler sur l'or,i ought to be picking gold from the street,When I think I should roll in gold,Good Translation,0.6919688,0.81625295,-0.12428415
rouler sur le or,23,comme si on roulait sur l'or,haven't we had enough of two-bit prizes,As if we're driving over gold,Good Translation,0.45490852,0.8867794,-0.4318709
rouler sur le or,24,elle doit rouler sur l'or,you have no right to do that to me oh never never,She must roll on gold.,Literal Translation,0.40872407,0.8657734,-0.4570493
rouler sur le or,25,il est joli comme un cœur et il roule sur l'or,pretty as a picture and rolling in money,He is lovely as a heart and he rolls over gold.,Literal Translation,0.69793916,0.8713208,-0.17338163
rouler sur le or,26,seigneur nous roulons sur l'or,oh lord how the money rolls in,"We're rolling in gold, sir.",Good Translation,0.6727935,0.8028612,-0.1300677
rouler sur le or,27,c'est un vieux torpilleur qui roule sur l'or ils sont 6,an old torpedo boat with a nice wingspan,It's an old torpedo boat that rolls in gold they are six,Literal Translation,0.65898305,0.84530044,-0.18631738
rouler sur le or,28,ça fait 20 ans que tu rêves de lui tu crois que je roule sur l'or,it's been 20 years you rely on what he says to you in sleep and you've never won,that's been 20 years you've dreamed of him do you think I'm rolling in gold?,Good Translation,0.6894592,0.88208,-0.19262081
rouler sur le or,29,on roulera sur l'or,we'll be rollin' in dough,We will roll in gold.,Good Translation,0.6535013,0.76929796,-0.115796685
rouler sur le or,30,votre ami reese roule sur l'or à présent,your friend reese he's in the big time now,Your friend Reese is rolling in gold at present.,Good Translation,0.77409184,0.86889184,-0.094799995
rouler sur le or,31,ce n'est pas difficile il roule sur l'or,he must have tons of money,"It's not difficult, it rolls on gold.",Unnatural,0.62092924,0.8670578,-0.24612856
rouler sur le or,32,tu roules sur l'or je suis super gêné super gêné,i'm fucking embarrassed,You are rolling on gold I'm so embarrassed so embarrassed,Good Translation,0.5535748,0.7556889,-0.2021141
rouler sur le or,33,vous savez chez moi dans mon pays quand on parle de l'amérique tout le monde dit qu'on roulera sur l'or qu'on aura tous une grosse voiture une maison avec piscine,you know in my country in my place when you heard about america everybody say there's so much money there and you're gonna have a big car big house and a swimming pool,you know at home in my country when we talk about America everyone says that we will be rolling in gold that we'll all have a big car a house with a pool.,Good Translation,0.85965854,0.91820025,-0.058541715
rouler sur le or,34,tu roules sur l'or,you're rolling in money,You're rolling in gold.,Unnatural,0.7434016,0.78627306,-0.042871475
rouler sur le or,35,il a pas l'air de rouler sur l'or,doesn't sound much like a money man,He doesn't look like he's rolling in gold.,Good Translation,0.7084651,0.82296324,-0.11449814
rouler sur le or,36,elle roulerait sur l'or non,- why she'd just rake in the money wouldn't she,she would roll on gold non,Good Translation,0.65535665,0.834835,-0.17947835
rouler sur le or,37,les banquiers roulent sur l'or,once a man gets his name on a banking house he rolls in money,Bankers are rolling in gold.,Literal Translation,0.6209357,0.86858356,-0.24764788
rouler sur le or,38,ils doivent rouler sur l'or au couvent hein,man they must got it going on down at the convent huh,"They must be rolling with gold at the convent, eh?",Good Translation,0.68464386,0.7464061,-0.061762214
