idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
un froid de canard,0,il fait un froid de canard ici,it's freezing here,It's freezing here,Good Translation,0.8535204,0.85434496,-0.00082457066
un froid de canard,1,sapristi il fait un froid de canard,oh jiminy it sure turned cold,oh dear it's freezing cold,Good Translation,0.65902406,0.70238215,-0.043358088
un froid de canard,2,j'avais déjà gaspillé l'argent que j'avais reçu à ma sortie et avec ce vent il faisait un froid de canard,i'd already blown the money they gave me and the north wind was colder than hell,"I had already wasted the money I received at my graduation, and with this wind, it was like duck frostbite.",Literal Translation,0.847968,0.7970573,0.05091071
un froid de canard,3,il fait un froid de canard,it's cold enough to freeze the ears off a monkey,it's freezing,Literal Translation,0.70458996,0.805864,-0.10127401
un froid de canard,4,il fait un froid de canard dans cette cabine,this phone booth is freezing,it's freezing in here,Good Translation,0.66733444,0.7968199,-0.12948549
un froid de canard,5,il fait un froid de canard dehors,it's cold as hell outside,It's freezing outside,Good Translation,0.81401145,0.8265395,-0.012528062
un froid de canard,6,il fait un froid de canard et,it's freezing and,it's freezing cold and,Good Translation,0.8201121,0.82648355,-0.0063714385
un froid de canard,7,on était en chemise et en pantalon léger mais il faisait un froid de canard,we had to run round in shirts and thin trousers but it was actually bloody cold,we were in shirts and light pants but it was freezing cold,Good Translation,0.7882153,0.84955645,-0.061341166
un froid de canard,8,il fait un froid de canard ici,it's colder than a goblin's ass out here huh ha ha,It's freezing here,Literal Translation,0.7710842,0.8543451,-0.083260894
un froid de canard,9,putain il fait un froid de canard,fucking cold as hell,damn it's freezing cold,Good Translation,0.74391884,0.8115854,-0.06766659
un froid de canard,10,il fait un froid de canard dans cette maison,it's really cold in here,it's freezing in this house,Good Translation,0.8347602,0.89552623,-0.06076604
un froid de canard,11,- en plus il fait un froid de canardbr,- and it's freezing cold,- and it's freezing cold,Good Translation,0.7787875,0.7787875,0.0
un froid de canard,12,il faisait un froid de canard à 11h le matin de noël,it was below freezing 1100 am on christmas morning,It was freezing at 11 am on Christmas morning.,Good Translation,0.8388386,0.85924923,-0.020410657
un froid de canard,13,il fait un froid de canard dehors,it' cold outside like winter,It's freezing outside,Good Translation,0.8271867,0.8265395,0.00064718723
un froid de canard,14,et il fait un froid de canard et il n'y a que du poisson,it's so crikey cold and dark up there and there's only fish to eat,and it's freezing and there's only fish,Good Translation,0.7727013,0.86386967,-0.091168344
un froid de canard,15,où il fait un froid de canard,where it's freezing cold,where it's freezing cold,Good Translation,0.7642338,0.7642338,0.0
un froid de canard,16,pilar il fait un froid de canard,hey pilar it's awfully cold here,pilar it's freezing cold,Good Translation,0.85325307,0.87883675,-0.025583684
un froid de canard,17,il faisait un froid de canard,it was usually bitterly cold,it was freezing cold,Good Translation,0.749584,0.841002,-0.09141797
un froid de canard,18,il fait un froid de canard ici,it's getting cold in here,It's freezing here,Good Translation,0.87159586,0.8543451,0.017250776
un froid de canard,19,il fait un froid de canard pas vrai,pretty chilly out here,"It's freezing, isn't it",Good Translation,0.7176658,0.7111746,0.0064911842
un froid de canard,20,il fait un froid de canard et les bottes de mon oncle me tuent,do you know it's freezing outside and i'm wearing my uncle's boots so now i've a blister,It's freezing and my uncle's boots kill,Partial Translation,0.7041399,0.8597516,-0.1556117
un froid de canard,21,il fait un froid de canard,it's colder than a well digger's ass man,it's freezing cold,Good Translation,0.7168704,0.81427884,-0.097408414
un froid de canard,22,il fait un froid de canard dehors,there's a chill out there,it's freezing outside,Good Translation,0.7540705,0.8292028,-0.07513225
un froid de canard,23,il fait un froid de canard mais elle pourrait y survivre,cold as hell down there but she'd survive on the surface,it's as cold as hell but she could survive it,Good Translation,0.811298,0.8433663,-0.032068312
un froid de canard,24,il fait un froid de canard là-bas,it's freezing up there,it's freezing there,Unnatural,0.83736336,0.84105533,-0.0036919713
un froid de canard,25,- il fait un froid de canard,- it's freezing cold,- it's freezing,Good Translation,0.831433,0.81982505,0.011607945
un froid de canard,26,il fait un froid de canard aujourd'hui,it's so cold today,it's freezing today,Good Translation,0.84265137,0.83093387,0.011717498
un froid de canard,27,il fait un froid de canard chérie,it's freezing out there babe,"it's a cold one, darling",Good Translation,0.79795635,0.81127137,-0.013315022
un froid de canard,28,il fait un froid de canard dehors,it's freezing outside,It's freezing outside,Good Translation,0.8292028,0.8265395,0.0026632547
un froid de canard,29,il y faisait un froid de canard,freezing in there,It was freezing cold.,Good Translation,0.7448344,0.81639993,-0.07156551
un froid de canard,30,- il y fait un froid de canard,- yeah but it's freezing in there dad,- it's freezing cold,Good Translation,0.72412103,0.8196902,-0.09556919
un froid de canard,31,il doit faire un froid de canard à joliet,i wonder how cold it is in joliet,it has to be freezing in Joliet,Good Translation,0.80975777,0.8180878,-0.008330047
un froid de canard,32,un froid de canard,freezing cold,a duck cold,Literal Translation,0.7343252,0.7240964,0.010228753
un froid de canard,33,il a fait un froid de canard,you wouldn't believe how we froze,it was freezing cold,Good Translation,0.6075114,0.8053678,-0.19785643
un froid de canard,34,si tu veux aller au cinéma tu dois faire la queue dans un froid de canard,if you wanna see a movie you have to stand in line,"if you want to go to the cinema, you have to stand in line in a duck cold weather",Unnatural,0.71279496,0.8135588,-0.10076386
un froid de canard,35,il doit faire un froid de canard en ce moment,must be cold as hell this time of year,it must be freezing outside right now,Good Translation,0.8231358,0.84277904,-0.019643247
