idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
tomber dans le panneau,0,non je ne vais pas tomber dans le panneau pour ça encore,no i'm not falling for that again,"No, I'm not falling for that again.",Good Translation,0.81234795,0.7879942,0.024353743
tomber dans le panneau,1,penses-tu vraiment que je vais tomber dans le panneau,you really think you can goad me into doing a trick like that,do you really think i'm going to fall for it,Good Translation,0.633489,0.76164794,-0.12815893
tomber dans le panneau,2,tout le monde tombe dans le panneau,it's not a very well-known feature so it fools most people,everyone falls for it,Good Translation,0.43719375,0.6978871,-0.26069337
tomber dans le panneau,3,n'importe qui serait assez stupide pour tomber dans le panneau,like anyone would be dumb enough to fall for that,anyone would be smart enough to avoid falling for it,Mistranslation,0.78335917,0.72067404,0.06268513
tomber dans le panneau,4,je ne vais pas tomber dans le panneau des tentatives de wade pour me faire rater mon vol,earl i'm not gonna fall for wade's attempt to get me to miss my flight back home,I am not falling for Wade's attempts to make me miss my flight.,Good Translation,0.82306755,0.87772644,-0.05465889
tomber dans le panneau,5,mais si tu mets en lumière deux points opposés de leur personnalité tout le monde tombe dans le panneau,but if you point out two opposite extremes they all believe it,"but if you highlight two opposite aspects of their personality, everyone falls for it",Good Translation,0.7847835,0.8746666,-0.08988309
tomber dans le panneau,6,comment peux-tu encore tomber dans le panneau,i can't believe you still fall for that,how can you still fall for it,Unnatural,0.5847897,0.63864,-0.053850293
tomber dans le panneau,7,je ne vais pas encore tomber dans le panneau,i'm not falling for this again,I am not going to fall for it yet.,Unnatural,0.7006852,0.73300993,-0.03232473
tomber dans le panneau,8,j'arrive pas à croire que tu sois tombé dans le panneau,i can't believe that you were buying this,I can't believe you fell for it,Good Translation,0.6626712,0.7336221,-0.070950866
tomber dans le panneau,9,c'est bon elle est tombée dans le panneau,okay you guys she fell for it,it's good she fell for it,Good Translation,0.6944761,0.73141325,-0.036937118
tomber dans le panneau,10,je n'arrive pas à croire que tu sois tombée dans le panneau,i can't believe you fell for that,I can't believe you fell for it,Unnatural,0.73235226,0.74596095,-0.013608694
tomber dans le panneau,11,je tomberais dans le panneau,okay,I would fall for it,Good Translation,0.46878308,0.68115944,-0.21237636
tomber dans le panneau,12,vous espérez que je vais tomber dans le panneau,you actually expect me to fall for that trick,you hope that I will fall for it,Good Translation,0.7556241,0.77778137,-0.022157252
tomber dans le panneau,13,non je te connais depuis trop longtemps pour tomber dans le panneau,no i've known you too long for that one,I don't fall for that; I've known you too long.,Good Translation,0.79496676,0.7956899,-0.00072312355
tomber dans le panneau,14,je n'arrive pas à croire qu'ils soient tombés dans le panneau,i can't believe they fell for it,I can't believe they fell for it,Good Translation,0.73689085,0.7389064,-0.002015531
tomber dans le panneau,15,je ne sais pas comment j'ai pu tomber dans le panneau,i mean i just can't believe that i fell for it,I don't know how I fell for it,Good Translation,0.64467305,0.7334762,-0.08880317
tomber dans le panneau,16,quoi tu penses vraiment que je vais tomber dans le panneau,what do you think i'm gonna fall for that shit,what do you really think I'm going to fall for,Partial Translation,0.7028855,0.7591163,-0.056230783
tomber dans le panneau,17,ce fils de pute est tombé dans le panneau,stupid son of a bitch fell for it,that bastard fell for it,Partial Translation,0.69288725,0.63096064,0.061926603
tomber dans le panneau,18,je peux pas croire que tu sois tombé dans le panneau,i can't fuckin' believe you fell for that,I can't believe you fell for it,Good Translation,0.70565116,0.7340094,-0.028358221
tomber dans le panneau,19,je suis bien tombe dans le panneau,well it certainly fooled me,I fell for it,Good Translation,0.5768161,0.63780284,-0.060986757
tomber dans le panneau,20,eh bien vous n'êtes pas la seule à être tombé dans le panneau,well you're not the only one who jumped on that train,well you aren't the only one to have fallen for it,Good Translation,0.75734186,0.7919613,-0.03461945
tomber dans le panneau,21,j'y crois pas t'es tombé dans le panneau,i can't believe you fell for it,"I don't believe you, you fell for it",Good Translation,0.6610653,0.67912596,-0.018060684
tomber dans le panneau,22,tu vas pas tomber dans le panneau,come on you're not starting to buy what he's selling too,you're not going to fall for it,Good Translation,0.52150166,0.7593852,-0.23788357
tomber dans le panneau,23,on essayait de comprendre qui pourrait tomber dans le panneau,we were trying to understand the person who would be attracted to that,We were trying to figure out who could fall for the scam,Good Translation,0.6863976,0.77021825,-0.08382064
tomber dans le panneau,24,elle est tombée dans le panneau,she fell for it,She fell for it,Good Translation,0.68384886,0.65686405,0.02698481
tomber dans le panneau,25,je ne tomberai dans le panneau qu'une fois tu pensais que je me ferais encore avoir,i don't fall for the same trick twice,I won't fall for your trick again; I thought you'd fool me once.,Good Translation,0.6462966,0.69434273,-0.048046112
tomber dans le panneau,26,j'ai failli tomber dans le panneau,oh my god i fell for it,I almost fell for the scam,Good Translation,0.58803844,0.74306834,-0.1550299
tomber dans le panneau,27,tu crois que je vais tomber dans le panneau,do you actually expect me to fall for that,you think I'm going to fall for that,Good Translation,0.71451956,0.7442609,-0.029741347
tomber dans le panneau,28,je suis tombé dans le panneau,i fell for it,I fell for it,Good Translation,0.6442516,0.63359046,0.010661125
tomber dans le panneau,29,parce que seule une innocente jeune mariée tomberait dans le panneau,only an innocent young bride like her would fall for a dirty trick like this,because only an innocent young bride would fall for that,Unnatural,0.75068974,0.8271017,-0.07641196
