idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
revenir à son mouton,0,revenons à nos moutons parlons un peu de vos parents adoptifs,let's get back to our topic let's talk about your foster parents,Let's get back to the subject at hand and talk a bit about your adopted parents.,Good Translation,0.8298789,0.8816497,-0.051770747
revenir à son mouton,1,bien si l'on pouvais revenir à nos moutons,right if we could just bring all this to order,Well if we could go back to our sheep,Literal Translation,0.6229439,0.88318,-0.26023614
revenir à son mouton,2,allez messieurs revenons à nos moutons,let's stay in the game,"Let's get back to the matter at hand, gentlemen.",Good Translation,0.612489,0.7772299,-0.16474092
revenir à son mouton,3,bon revenons à nos moutons,- all right back to business - ho ho ho,Let's get back to the point,Good Translation,0.5766077,0.7254795,-0.14887178
revenir à son mouton,4,revenons à nos moutons j'ai vu ton comptable ce matin,not to digress i saw your business manager this morning,Let's get back on track I saw your accountant this morning,Good Translation,0.73517424,0.859797,-0.12462276
revenir à son mouton,5,bon revenons à nos moutons,and now for some more talking,Let's get back to the point/ Let's not forget what we were discussing.,Partial Translation,0.6094079,0.62522626,-0.015818357
revenir à son mouton,6,- excusez-moi revenons à nos moutons,-excuse me court ofjustice,-back to our sheep-,Literal Translation,0.6217972,0.7663015,-0.14450431
revenir à son mouton,7,revenons à nos moutons,let me get down to brass tacks,Let's get back to the sheep.,Literal Translation,0.64056647,0.7549245,-0.11435801
revenir à son mouton,8,très bien revenons à nos moutons,all right let's get down to business,Let's get back to our sheep.,Literal Translation,0.675012,0.7997555,-0.12474352
revenir à son mouton,9,revenons à nos moutons,and back to business,Let's get back to our sheep.,Unnatural,0.607861,0.78243715,-0.17457616
revenir à son mouton,10,revenons à nos moutons le téléphone est réparé et sous contrôle,the telephone is fixed and i put a tap on it,"Let's get back to the main issue, the phone is fixed and under control.",Good Translation,0.6865072,0.8370395,-0.15053225
revenir à son mouton,11,maintenant revenons à nos moutons,let's get back to what we was doing,Let's get back to our sheep now,Literal Translation,0.7489088,0.8111273,-0.062218487
revenir à son mouton,12,on en revient à nos moutons,what about this game,We're getting back to our sheep.,Literal Translation,0.49580377,0.73484373,-0.23903996
revenir à son mouton,13,pour en revenir à nos moutons,word from above,Back to the matter at hand.,Good Translation,0.52828515,0.64139533,-0.113110185
revenir à son mouton,14,tina pour en revenir à nos moutons merci vous nous avez fait une belle proposition nous y réfléchissons,- so tina back to what we were talking about thank you beautiful proposal you submitted and we're considering it,"Let's get back to our sheep, thank you very much, you've made a good proposal, we're thinking about it.",Literal Translation,0.8237093,0.8054275,0.018281817
revenir à son mouton,15,- revenons à nos moutons - oui,going back to our topic,- back to our sheep - yes,Literal Translation,0.6863264,0.8619741,-0.17564774
revenir à son mouton,16,revenons à nos moutons ton exil,well let's get back to exiling you away forever,Let's get back to our sheep your exile,Literal Translation,0.6804503,0.82665575,-0.14620543
revenir à son mouton,17,pour en revenir à nos moutons on est 50 kms derrière les lignes ennemies,now as of this moment as far as we're concerned we are fifty k behind enemy lines,"To get back to our sheep, we are 50 km behind enemy lines.",Literal Translation,0.7835459,0.8955015,-0.11195558
revenir à son mouton,18,- bon revenons à nos moutons,okay all right back to business now,- let's get back to our sheep,Literal Translation,0.6312651,0.83310485,-0.20183975
revenir à son mouton,19,mon dieu mais revenons à nos moutons voulez-vous vous détourner sur luton s'il vous plait,anyway bearing all that in mind will you fly this plane to luton please,My god but let's get back to our sheep would you like to turn off the lights please,Mistranslation,0.6401956,0.6818298,-0.041634202
revenir à son mouton,20,peut-on revenir à nos moutons,now may we get back to you,can we get back to the sheep,Literal Translation,0.6469877,0.7437502,-0.09676254
revenir à son mouton,21,pour en revenir à nos moutons la veep estime qu'on a besoin d'une frappe militaire rapide,ben's breakdown aside the vp feels we need a quick military strike here,"To get back to our sheep, the Vice President believes that we need a rapid military strike.",Literal Translation,0.7161813,0.77715683,-0.06097555
revenir à son mouton,22,alors revenons à nos moutons,so we get right back on the horse,let's get back to the matter at hand,Good Translation,0.73425066,0.7515337,-0.017283022
revenir à son mouton,23,bref revenons à nos moutons,anyway back to business,"back to our sheep, or more literally back to the main point at hand.",Literal Translation,0.6056583,0.71563965,-0.10998136
revenir à son mouton,24,enfin bref revenons à nos moutons,anyway long story short,let's get back to the point anyway let's get back to our sheep,Literal Translation,0.62021184,0.78893256,-0.16872072
revenir à son mouton,25,mais revenons à nos moutons,but back to the topic at hand,But let's get back to our sheep,Literal Translation,0.72302926,0.82998705,-0.10695779
revenir à son mouton,26,revenons à nos moutons si vous le voulez bien,can we please get back to this mr fitzpatrick if you don't mind,Let's get back to our sheep if you would like.,Literal Translation,0.6978079,0.8859513,-0.18814337
revenir à son mouton,27,désolé si nous revenions à nos moutons,sorry can we concentrate on the matter at hand,Sorry if we've strayed back to our sheep,Literal Translation,0.6429801,0.8083266,-0.1653465
revenir à son mouton,28,revenons à nos moutons qu'est-ce que vous voulez savoir,so esmarelda what is it you want to know,Let's get back to our sheep; what is it you want to know?,Unnatural,0.4935875,0.8230692,-0.32948172
revenir à son mouton,29,- revenons à nos moutons,- stick to the conversation,Let's get back to the point at hand.,Good Translation,0.59311306,0.7054868,-0.11237371
revenir à son mouton,30,revenons à nos moutons de quoi as-tu parlé avec judith,but go ahead alan what did you have to talk to judith about,let's get back to the subject at hand what were you talking about with Judith,Good Translation,0.7104725,0.82799304,-0.11752051
revenir à son mouton,31,revenons à nos moutons d'accord,so let's get back to it okay,"Let's get back to our sheep, shall we",Literal Translation,0.7394768,0.76111853,-0.021641731
revenir à son mouton,32,on revient à nos moutons,can we get back to this,We're getting back to our sheep.,Literal Translation,0.6947912,0.74498886,-0.05019766
revenir à son mouton,33,revenons à nos moutons,as per our discussion,Let's get back to the subject at hand.,Good Translation,0.5948628,0.7142562,-0.11939341
revenir à son mouton,34,pouvons-nous revenir à nos moutons s'il vous plaît et mettre nos petites rivalités de côté,can we get back to the material please and put aside our petty rivalries,Can we please go back to our sheep and put our little petty squabbles aside?,Unnatural,0.8139791,0.84438694,-0.030407846
revenir à son mouton,35,on peut revenir à nos moutons,can we get back to this now,We can get back to our sheep.,Literal Translation,0.72175777,0.7860168,-0.06425905
revenir à son mouton,36,si on revenait à nos moutons,- there's no confusion we're gonna get back on track here,if we were to get back to our sheep,Literal Translation,0.48451775,0.7793292,-0.29481143
revenir à son mouton,37,mais maintenant revenons à nos moutons,but now it's down to business,but now let's get back to our sheep,Literal Translation,0.6351729,0.85715675,-0.22198385
revenir à son mouton,38,donc revenons à nos moutons et oublie ces absurdités d'émancipation,so let's get back to the way we were and forget all this nonsense about emancipation,so let's get back to our sheep and forget these emancipatory absurdities,Unnatural,0.82095987,0.90350807,-0.0825482
revenir à son mouton,39,bref revenons à nos moutons,anyway let's stay on topic here,Let's get back to our sheep.,Literal Translation,0.6739682,0.7833409,-0.109372675
revenir à son mouton,40,maintenant revenons à nos moutons,now get back to what you were doing,Now let's get back to our sheep,Literal Translation,0.65679896,0.83345735,-0.17665839
revenir à son mouton,41,fei-yu abrège revenons à nos moutons,shi yu just get to the point can you,Back to our sheep,Literal Translation,0.5364602,0.6805346,-0.14407438
revenir à son mouton,42,on peut en revenir à nos moutons,okay could we please get back to the issue at hand,Back to square one,Mistranslation,0.7090074,0.61997664,0.08903074
revenir à son mouton,43,ok super mais revenons à nos moutons et nos moutons c'est notre plan,great right but now we've got to focus on the plan,okay super but let's get back to our sheep and our sheep is our plan,Literal Translation,0.73328364,0.8821337,-0.14885008
revenir à son mouton,44,quand vous aurez fini on pourra revenir à nos moutons,when you two have finished can we get back to the job in hand,when you're finished we can come back to our sheep,Literal Translation,0.66675454,0.8430985,-0.17634398
revenir à son mouton,45,bien pendant que tim s'occupe de la crasse revenons à nos moutons,all right while tim deals with the filth let's get back to business,while Tim takes care of the dirt let's get back to our sheep,Literal Translation,0.76844776,0.8247923,-0.05634457
revenir à son mouton,46,revenons à nos moutons s'il te plaît,- okay - so let's just get back to it please,"Let's get back to the matter at hand, please.",Good Translation,0.7026876,0.7450785,-0.042390883
revenir à son mouton,47,revenons à nos moutons ou plutôt à m barnes,can we get back to the matter at hand,"Back to our sheep, or rather, back to the fields.",Literal Translation,0.6292853,0.6579984,-0.028713107
revenir à son mouton,48,revenons à mes moutons,back to what i care about,Let's get back to my sheep,Literal Translation,0.6571555,0.7848456,-0.12769008
revenir à son mouton,49,d'accord maître revenons à nos moutons,all right counselor let's get down to business,"Back to the topic at hand, shall we?",Good Translation,0.6782843,0.67056745,0.0077168345
revenir à son mouton,50,non mais revenons à nos moutons si tu veux bien,lazy-eye no but you know what we're actually in the middle of something here in case you didn't notice,But let's get back to the topic if you'd like.,Good Translation,0.52465403,0.73487103,-0.210217
revenir à son mouton,51,mais pour en revenir à nos moutons,but back to recent events--,but to get back to the matter at hand,Good Translation,0.6178417,0.7373893,-0.119547606
revenir à son mouton,52,revenons à nos moutons mme quonsett,let's confine the conversation to you mrs quonsett,Let's get back to our main point anyway.,Partial Translation,0.6798196,0.6829283,-0.0031087399
revenir à son mouton,53,on peut revenir à nos moutons,wait let's go back here,"we can return to our sheep (idiomatic expression meaning ""let's get back on track"")",Good Translation,0.6678263,0.7241154,-0.056289077
