idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
pas son tasse de thé,0,tu sais papa tout bien réfléchi l'industrie du miel c'est pas ma tasse de thé,you know dad the more i think about it maybe the honey field just isn't right for me,You know dad everything is well thought out about the honey industry it's not my cup of tea,Good Translation,0.68384993,0.83709884,-0.1532489
pas son tasse de thé,1,comme disent les anglais c'était pas ma tasse de thé,it wasn't my cup of tea,As they say in England it wasn't my cup of tea,Good Translation,0.791806,0.90884864,-0.11704266
pas son tasse de thé,2,les club de strip-tease ne sont pas ma tasse de thé,yeah strip clubs aren't really my idea of fun,strip tease clubs are not my cup of tea,Good Translation,0.7986882,0.93950135,-0.14081317
pas son tasse de thé,3,la culture klingonne n'est pas votre tasse de thé,you don't enjoy klingon culture,Klingon culture isn't your cup of tea,Good Translation,0.72180235,0.7864108,-0.064608455
pas son tasse de thé,4,vous devriez abandonner le cambriolage ce n'est pas votre tasse de thé,you should give up burglary it's not your cup of tea,You should give up burglary that's not your cup of tea.,Good Translation,0.8767662,0.873089,0.0036771894
pas son tasse de thé,5,tu sais que ce gars n'est pas ma tasse de thé,well you know i'm not wild about the guy,You know this guy isn't my cup of tea.,Good Translation,0.66509295,0.88302296,-0.21793002
pas son tasse de thé,6,mais les coïncidences c'est pas ma tasse de thé,to me there's no such thing as coincidence,but coincidences are not my cup of tea,Good Translation,0.59618235,0.8912134,-0.29503107
pas son tasse de thé,7,c'est pas ma tasse de thé,not my cup of tea,That's not my cup of tea.,Good Translation,0.84778756,0.83779836,0.009989202
pas son tasse de thé,8,le rasage ce n'est pas ma tasse de thé,i'm looking for a couple of mugs,Shaving is not my cup of tea.,Good Translation,0.486063,0.7875764,-0.30151337
pas son tasse de thé,9,c'était simplement pas ma tasse de thé aujourd'hui,that just wasn't my cup of tea today,That was simply not my cup of tea today.,Good Translation,0.9047375,0.88148427,0.023253202
pas son tasse de thé,10,pos192200désolée c'est pas ma tasse de thé,i'm sorry honey it's just not my thing,Sorry it's not my cup of tea,Good Translation,0.58954996,0.6911603,-0.10161036
pas son tasse de thé,11,vous ne pouvez même pas gagner un centime et les enfants ne sont pas votre tasse de thé,you cannot even earn a penny and kids are not your cup of tea,you can't even win a penny and children aren't your cup of tea,Good Translation,0.9090755,0.8954178,0.013657689
pas son tasse de thé,12,désolé les boy bands ne sont pas ma tasse de thé,sorry boy bands aren't really my thing,"Sorry, I'm not a fan of boybands.",Good Translation,0.85573006,0.77339566,0.0823344
pas son tasse de thé,13,j'avais peur que ce ne soit pas votre tasse de thé,i was afraid it wasn't going to be your cup of tea,I was afraid it might not be your tea cup.,Literal Translation,0.9159994,0.9165282,-0.0005288124
pas son tasse de thé,14,il fabrique des punaises depuis 1888 et les campagnes modernes c'est pas sa tasse de thé,he's been making thumbtacks since 1888 and he doesn't go for this modern hoopla,he has been manufacturing nails since 1888 and modern campaigns are not his cup of tea,Partial Translation,0.6921261,0.8065721,-0.114445984
pas son tasse de thé,15,écoute steve la politique c'est vraiment pas ma tasse de thé,look steve politics just isn't my thing,"Listen Steve, politics is not my cup of tea.",Good Translation,0.7945743,0.8512865,-0.05671215
