idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
revenir à son mouton,0,revenons à nos moutons parlons un peu de vos parents adoptifs,let's get back to our topic let's talk about your foster parents,Let's get back to our sheep and talk a bit about your adoptive parents,Literal Translation,0.8298789,0.90700644,-0.077127516
revenir à son mouton,1,bien si l'on pouvais revenir à nos moutons,right if we could just bring all this to order,"well, if we could go back to our sheep",Literal Translation,0.6229439,0.88982224,-0.26687837
revenir à son mouton,2,allez messieurs revenons à nos moutons,let's stay in the game,"go on, gentlemen, let's get back to our sheep",Partial Translation,0.612489,0.8220843,-0.20959532
revenir à son mouton,3,bon revenons à nos moutons,- all right back to business - ho ho ho,"good, let's return to our sheep",Literal Translation,0.5766077,0.8026068,-0.22599912
revenir à son mouton,4,revenons à nos moutons j'ai vu ton comptable ce matin,not to digress i saw your business manager this morning,Let's get back to the topic. I saw your accountant this morning.,Good Translation,0.73517424,0.8447002,-0.10952598
revenir à son mouton,5,bon revenons à nos moutons,and now for some more talking,good let's get back to our sheep,Literal Translation,0.6094079,0.8024038,-0.1929959
revenir à son mouton,6,- excusez-moi revenons à nos moutons,-excuse me court ofjustice,- excuse me let's get back to our sheep,Literal Translation,0.6217972,0.88242865,-0.26063144
revenir à son mouton,7,revenons à nos moutons,let me get down to brass tacks,let's get back to our sheep,Literal Translation,0.64056647,0.7961074,-0.15554094
revenir à son mouton,8,très bien revenons à nos moutons,all right let's get down to business,"very well, let's get back to our sheep",Literal Translation,0.675012,0.8493817,-0.1743697
revenir à son mouton,9,revenons à nos moutons,and back to business,let's get back to our sheep,Literal Translation,0.607861,0.7961074,-0.18824643
revenir à son mouton,10,revenons à nos moutons le téléphone est réparé et sous contrôle,the telephone is fixed and i put a tap on it,Let's get back to our sheep; the phone is fixed and under control.,Good Translation,0.6865072,0.85792965,-0.17142242
revenir à son mouton,11,maintenant revenons à nos moutons,let's get back to what we was doing,now let's get back to our sheep,Literal Translation,0.7489088,0.8337977,-0.084888875
revenir à son mouton,12,on en revient à nos moutons,what about this game,We're back to our sheep.,Literal Translation,0.49580377,0.7379975,-0.2421937
revenir à son mouton,13,pour en revenir à nos moutons,word from above,to get back to our sheep,Literal Translation,0.52828515,0.76916087,-0.24087572
revenir à son mouton,14,tina pour en revenir à nos moutons merci vous nous avez fait une belle proposition nous y réfléchissons,- so tina back to what we were talking about thank you beautiful proposal you submitted and we're considering it,tina to get back to our sheep thank you for making a great proposal we will think about it,Literal Translation,0.8237093,0.86326146,-0.039552152
revenir à son mouton,15,- revenons à nos moutons - oui,going back to our topic,- let's get back to our sheep - yes,Literal Translation,0.6863264,0.87635016,-0.19002378
revenir à son mouton,16,revenons à nos moutons ton exil,well let's get back to exiling you away forever,let's return to our sheep your exile,Literal Translation,0.6804503,0.83252144,-0.15207112
revenir à son mouton,17,pour en revenir à nos moutons on est 50 kms derrière les lignes ennemies,now as of this moment as far as we're concerned we are fifty k behind enemy lines,to get back to our sheep we are 50 kilometers behind enemy lines,Literal Translation,0.7835459,0.8905271,-0.10698122
revenir à son mouton,18,- bon revenons à nos moutons,okay all right back to business now,"- good, let's go back to our sheep",Literal Translation,0.6312651,0.8291533,-0.1978882
revenir à son mouton,19,mon dieu mais revenons à nos moutons voulez-vous vous détourner sur luton s'il vous plait,anyway bearing all that in mind will you fly this plane to luton please,oh my god but let's get back to our sheep would you please not divert to luton,Literal Translation,0.6401956,0.8350159,-0.19482028
revenir à son mouton,20,peut-on revenir à nos moutons,now may we get back to you,can we go back to our sheep,Literal Translation,0.6469877,0.7698798,-0.12289214
revenir à son mouton,21,pour en revenir à nos moutons la veep estime qu'on a besoin d'une frappe militaire rapide,ben's breakdown aside the vp feels we need a quick military strike here,"to get back to our sheep, the vep believes we need a quick military strike",Literal Translation,0.7161813,0.83971214,-0.123530865
revenir à son mouton,22,alors revenons à nos moutons,so we get right back on the horse,then let's get back to our sheep,Literal Translation,0.73425066,0.8334229,-0.099172235
revenir à son mouton,23,bref revenons à nos moutons,anyway back to business,brief let's get back to our sheep,Literal Translation,0.6056583,0.7981589,-0.19250059
revenir à son mouton,24,enfin bref revenons à nos moutons,anyway long story short,"finally, briefly, let's get back to our sheep",Literal Translation,0.62021184,0.8135643,-0.19335246
revenir à son mouton,25,mais revenons à nos moutons,but back to the topic at hand,but let's get back to our sheep,Literal Translation,0.72302926,0.83429253,-0.111263275
revenir à son mouton,26,revenons à nos moutons si vous le voulez bien,can we please get back to this mr fitzpatrick if you don't mind,let's get back to our sheep if you will,Good Translation,0.6978079,0.88989127,-0.19208336
revenir à son mouton,27,désolé si nous revenions à nos moutons,sorry can we concentrate on the matter at hand,sorry if we strayed back to our sheep,Literal Translation,0.6429801,0.7934663,-0.15048623
