idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir rien à cirer,0,et je n'en ai rien à cirer,and i don't give a damn,and I don't care about it at all,Good Translation,0.7938715,0.831877,-0.03800547
en avoir rien à cirer,1,et même si tu te fous de ma gueule en ce moment j'en ai rien à cirer,and i don't even care if you're telling me a bunch of lies,and even if you're messing with my head right now I don't care about it,Unnatural,0.68474257,0.818874,-0.13413143
en avoir rien à cirer,2,j'en ai rien à cirer de ce que tu fais,i don't give a shit what you do,I couldn't care less about what you do.,Good Translation,0.85834813,0.7190207,0.1393274
en avoir rien à cirer,3,et tu sais quoi je n'en ai rien à cirer que j'aie accepté d'être son témoin,and you know what i don't give a shit that i agreed to be his best man,and you know what I don't mind at all that I agreed to be his witness,Mistranslation,0.7326044,0.9030692,-0.17046481
en avoir rien à cirer,4,- j'en ai rien à cirer,they can go to hell,I don't care a jot about it.,Good Translation,0.411394,0.7830813,-0.3716873
en avoir rien à cirer,5,le temps passé j'en ai rien à cirer,no the old days are dead,I've wasted a lot of time.,Mistranslation,0.59550315,0.62478924,-0.029286087
en avoir rien à cirer,6,honnêtement j'en ai rien à cirer,oh i couldn't give a shite man to be honest with you,Honestly I couldn't care less about it.,Good Translation,0.594453,0.6688049,-0.07435191
en avoir rien à cirer,7,tu vois elles en ont rien à cirer,they just don't give a damn,"they've got nothing to lose, you see",Mistranslation,0.7329835,0.73330474,-0.00032120943
en avoir rien à cirer,8,-j'en ai rien à cirer,look i-i-l don't want to hear about mrs spencer morty she's an idiot,I don't care.,Good Translation,0.56598115,0.78114736,-0.21516621
en avoir rien à cirer,9,on n'en a rien à cirer de toi,now look we don't give a rat's ass about you,We don't care about you at all.,Unnatural,0.7429691,0.7435473,-0.00057822466
en avoir rien à cirer,10,ben heureusement que je suis taré parce que j'en ai rien à cirer,yeah well thank god i'm crazy because i don't give a shit,luckily I'm insane because I don't care about it,Good Translation,0.7472506,0.8003553,-0.0531047
en avoir rien à cirer,11,j'en ai rien a cirer,you mistake me for somebody who gives a shit headquarters,I'm not bothered about it.,Good Translation,0.471819,0.6763053,-0.20448628
en avoir rien à cirer,12,j'en ai rien à cirer de la reine,frankly i don't give a shit about the queen,I don't care a fig for the queen.,Good Translation,0.8558078,0.84807944,0.0077283382
en avoir rien à cirer,13,j'en ai rien à cirer,i don't give a goddamn,I don't care one bit.,Good Translation,0.7316463,0.75566065,-0.024014354
en avoir rien à cirer,14,je l'aime mais il n'en a rien à cirer,im in love with him but he doesnt care about me damn,I love him but he doesn't care.,Partial Translation,0.7447978,0.7842044,-0.039406598
en avoir rien à cirer,15,ils n'en ont rien à cirer,they're not after us,They don't care a whit.,Good Translation,0.6965053,0.86587703,-0.16937172
en avoir rien à cirer,16,et moi je pense que j'en ai rien à cirer,i think i couldn't care less,And I think I don't care about it.,Unnatural,0.65817547,0.81147504,-0.15329957
en avoir rien à cirer,17,et ils en ont rien à cirer,and they don't give a shit,and they don't care a whit,Good Translation,0.84865165,0.8616054,-0.012953758
en avoir rien à cirer,18,les enflures dehors n'en ont rien à cirer de nous,them motherfuckers outside this place don't give a fuck about us,the blisters outside don't give a hoot about us,Literal Translation,0.7351461,0.8060075,-0.0708614
en avoir rien à cirer,19,je veux que c'était un maniaque un mec qu'en avait rien à cirer de rien,of course uncle kure was a maniac someone who lives at a hundred miles an hour who doesn't give a fuck about anything,I wanted it to be a maniac some guy who didn't give a damn about anything.,Good Translation,0.6778777,0.8893428,-0.21146506
en avoir rien à cirer,20,j'en ai rien à cirer de ce que tu penses,i don't give a shit what you fucking think about anything,I don't care what you think about it.,Good Translation,0.85895824,0.8147247,0.04423356
en avoir rien à cirer,21,le temps l'espace ou le multivers on n'en a rien à cirer,we don't care about time or space or extradimensional whatevers we don't give a damn about that,time space or the multiverse we don't give a damn about it,Good Translation,0.73953265,0.833946,-0.09441334
en avoir rien à cirer,22,- au vu du contenu - j'en ai rien à cirer,i couldn't be less interested,- with regard to content - I don't care about it,Unnatural,0.55914974,0.8597747,-0.30062497
en avoir rien à cirer,23,ils n'en ont rien à cirer,it's none of their business,they don't care a jot about it,Good Translation,0.7838557,0.8683629,-0.08450723
en avoir rien à cirer,24,et sache que lui il n'en a rien à cirer que ce soit sur ordre des américains,and he doesn't give a rat's ass that our government did it,and know that he has nothing to do with it as long as it is on the Americans' orders,Mistranslation,0.71611047,0.8865545,-0.17044401
