idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se occuper de son oignon,0,elle ferait mieux de s'occuper de ses oignons,she should tend to her own affairs,She had better mind her own business.,Good Translation,0.803501,0.7696544,0.033846617
se occuper de son oignon,1,dis à ton amant qu'il s'occupe de ses oignons,your lover should stay out of it,tell your lover to take care of his onions,Unnatural,0.6248711,0.8954798,-0.27060872
se occuper de son oignon,2,les gens s'occupent de leurs oignons,people mind their own business,people mind their own business,Good Translation,0.7319335,0.7319335,0.0
se occuper de son oignon,3,pourquoi les gens ne peuvent pas s'occuper de leurs oignons,why can't everyone just mind their own business,why people can't take care of their own matters,Good Translation,0.64901656,0.7642715,-0.11525494
se occuper de son oignon,4,quelqu'un devrait s'occuper de ses oignons,someone should mind his own business,someone should take care of their onions,Unnatural,0.70401746,0.8975662,-0.19354874
se occuper de son oignon,5,on s'occupait de nos oignons,kept your mind on your business,we took care of our own business,Good Translation,0.480197,0.6212599,-0.14106292
se occuper de son oignon,6,travis ne sait pas s'occuper de ses oignons,i didn't want to fail,Travis doesn't know how to take care of his onions,Literal Translation,0.39659494,0.8901665,-0.49357158
se occuper de son oignon,7,on dit s'occuper de ses oignons,you mean does he hear sheep or has he heard sheep,to mind one's own business,Mistranslation,0.47927493,0.6450196,-0.16574466
se occuper de son oignon,8,qu'elle s'occupe de ses oignons alors,then tell her to mind her own business,that she takes care of her own business,Good Translation,0.73312795,0.7183299,0.014798045
se occuper de son oignon,9,on s'occupe de nos oignons,we're going about our own business,we take care of our own business,Good Translation,0.6939013,0.74910474,-0.055203438
se occuper de son oignon,10,autrefois les gens s'occupaient de leurs oignons,there used to be a time when people minded their own business,formerly people worried about their onions,Literal Translation,0.7077618,0.7883831,-0.0806213
se occuper de son oignon,11,de nos jours les gens se foutent qu'on s'occupe de leurs oignons,nowaday people don't care who all in their business,these days people don't care if you mess with their business,Good Translation,0.6640625,0.66882443,-0.0047619343
se occuper de son oignon,12,une mère devrait toujours s'occuper de ses oignons,sometimes a mother should just butt out,a mother should always take care of her own onions,Literal Translation,0.6305357,0.89629376,-0.26575804
se occuper de son oignon,13,je lui ai dit de s'occuper de ses oignons,and i told him to mind his own freaking business,I told him to mind his own business,Good Translation,0.7385676,0.76641345,-0.02784586
se occuper de son oignon,14,certaines feraient mieux de s'occuper de leurs oignons,some people need to mind their own fucking business,Some would do better to mind their own business.,Unnatural,0.7043536,0.78694826,-0.08259469
se occuper de son oignon,15,je suis juste un oncle qui s'occupe de ses oignons,i'm just an old uncle who minds his own business and,I am just an uncle who looks after his onions,Good Translation,0.81144273,0.90595067,-0.09450793
se occuper de son oignon,16,qu'il s'occupe de ses oignons,why doesn't he mind his own business,that he mind his own business,Unnatural,0.59485006,0.7009742,-0.10612416
se occuper de son oignon,17,tout le monde devrait s'occuper de ses oignons,everyone needs to mind their business,Everyone should mind their own business.,Good Translation,0.75293934,0.73161846,0.02132088
se occuper de son oignon,18,dis-lui de s'occuper de ses oignons,you know tell her to mind her own business,tell him to mind his own business,Mistranslation,0.72913194,0.76288015,-0.03374821
se occuper de son oignon,19,j'espère que votre bande de batârds fouineurs va apprendre à s'occuper de ses oignons,i wish you nosy bastards would learn to mind your own business,I hope your gang of nosy bastards will learn to mind your own business.,Good Translation,0.71698165,0.79290414,-0.07592249
se occuper de son oignon,20,heu est ce que quelqu'un peut dire à cette dame de s'occuper de ses oignons ok,uh can somebody get this lady a storefront 'cause she needs to mind her own business mm-kay,uh can someone tell this lady to mind her own business okay,Good Translation,0.6794059,0.77602077,-0.09661484
