idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le pêche,0,soudain t'as la pêche,now all of a sudden you're fired up,Sudden you're on a roll,Unnatural,0.7564404,0.76217544,-0.0057350397
avoir le pêche,1,les rockets ont la pêche,these rockets are movin' today,The rockets have a great time,Unnatural,0.7862954,0.8466591,-0.06036371
avoir le pêche,2,super d'entendre que t'as la pêche à nouveau,glad to hear you're in high spirits again,It's awesome to hear that you're on a roll again.,Unnatural,0.8277924,0.8452341,-0.01744169
avoir le pêche,3,ils ont la pêche,old people still know how to boogie,They're in luck.,Mistranslation,0.58727014,0.77967656,-0.19240642
avoir le pêche,4,on peut pas dire que j'avais la pêche,things weren't exactly happening for me,You can't say I was in good shape.,Good Translation,0.63579327,0.7295915,-0.09379822
avoir le pêche,5,il semblait avoir la pêche,just like a shining apple,he seemed to be in his element,Good Translation,0.5908786,0.8149909,-0.22411227
avoir le pêche,6,- j'ai la pêche,- i'm just peachy,- I'm in a good mood,Good Translation,0.6545193,0.69712657,-0.042607248
avoir le pêche,7,- il a la pêche,it was peachy,- He's on a fishing trip,Literal Translation,0.5785225,0.8613379,-0.2828154
avoir le pêche,8,pour un type de 50 ans il avait la pêche,for a 50-year-old he had a lot of energy,For a fifty-year-old it was quite something to catch one.,Mistranslation,0.75244844,0.78499407,-0.032545626
avoir le pêche,9,sur la photo elle a la pêche,and she looks so alive in the photo,She's looking good on the photo.,Good Translation,0.7732744,0.80426115,-0.030986726
avoir le pêche,10,elle est cool elle a la pêche et vous aime beaucoup,she's fun and she likes you a lot,"She's cool, she's on top and you like her a lot.",Literal Translation,0.85419995,0.8216271,0.032572865
avoir le pêche,11,car votre copine helen a la pêche,'cause your girl helen is doin' quite well,because your girlfriend Helen is fishing,Literal Translation,0.72619766,0.8399297,-0.11373204
avoir le pêche,12,elle a la pêche,is she a firecracker or what,She's got it going on.,Good Translation,0.6355329,0.8041575,-0.16862458
avoir le pêche,13,eve ne serait pas bonne a la pêche,eve would not be good at fishing,Evening would not be good for fishing.,Partial Translation,0.93782663,0.7062154,0.23161125
avoir le pêche,14,en fait j'ai la pêche,hell i'm great,I'm feeling lucky.,Mistranslation,0.57076985,0.66572326,-0.09495342
avoir le pêche,15,- éric il a la pêche non,eric looks great these days,- Eric hasn't caught any.,Mistranslation,0.6024937,0.6801974,-0.077703714
avoir le pêche,16,t'as la pêche on dirait,good to see you looking so happy,"You're in luck today, one might say.",Mistranslation,0.53273827,0.6247958,-0.092057526
avoir le pêche,17,comment ils font pour avoir la pêche le matin,i don't know how those two manage to be so perky in the morning,how do they manage to have a catch in the morning,Literal Translation,0.63544095,0.8859235,-0.25048256
avoir le pêche,18,bon avant qu'on ne te batte je sais que tu avais la pêche,all right before they beat you i know you had it in you okay,good before they knock you up I know you were on top form,Good Translation,0.7778505,0.7546273,0.023223221
avoir le pêche,19,- j'ai la pêche aujourd'hui,- i'm kind of on fire today,- I'm in a good mood today,Good Translation,0.74930996,0.7441089,0.0052010417
avoir le pêche,20,parfois je suis déprimée parfois j'ai la pêche,sometimes i'm down sometimes i'm up,Sometimes I'm depressed sometimes I feel lucky,Unnatural,0.7308497,0.80312586,-0.072276175
avoir le pêche,21,- je sais mais j'ai la pêche,but my arm's not even tired yet,- I know but I'm on a roll.,Good Translation,0.5733109,0.75888354,-0.18557262
avoir le pêche,22,il a la pêche,he's peachy,He's got game.,Mistranslation,0.7064174,0.7293614,-0.022944033
avoir le pêche,23,on a la pêche la chasse et de superbes couchers de soleil,we have fishing hunting and a charming view of the sunsets,"we have fishing, hunting and superb sunsets",Partial Translation,0.8711629,0.8756306,-0.0044677258
avoir le pêche,24,et j'ai la pêche,and i feel great,and I'm in a good mood,Good Translation,0.6265298,0.683476,-0.05694616
avoir le pêche,25,ils ne sont pas beaucoup mais ils ont la pêche,hey look small crowd but they're very very lively,They're not many but they have class.,Mistranslation,0.73827505,0.8314104,-0.09313536
avoir le pêche,26,c'est mon argent il est à vous maintenant si on les met dans le coffre-fort et que lundi quand vous aurez la pêche,yeah well so what,It's my money now it's yours if we put them in a safe deposit box and Monday when you'll be lucky,Mistranslation,0.450435,0.8014285,-0.35099348
avoir le pêche,27,trouve un nom qui te plaît un nom qui ait la pêche,think about some name that makes you happy or something with a little pizzazz,find a name that you like a name that has charm,Good Translation,0.7531673,0.816187,-0.06301975
avoir le pêche,28,je sais pas elle a la pêche,everything's peachy,"She's on fire / She's amazing / (idiomatic expression meaning ""she's doing extremely well"")",Good Translation,0.525828,0.51007235,0.015755653
avoir le pêche,29,dis donc t'as la pêche,hey you look good man you look good,You're on fire today!,Good Translation,0.5871607,0.54730725,0.039853454
avoir le pêche,30,oui nous avions la pêche la force du désir,sure we were feeling great had the strength of desire,Yes we had the fishing for the strength of desire,Literal Translation,0.77445984,0.91016597,-0.13570613
avoir le pêche,31,- j'ai la pêche,- i feel great,I'm feeling lucky.,Mistranslation,0.64305705,0.64074934,0.002307713
avoir le pêche,32,j'ai la pêche mec,i'm not tired at all,I'm feeling lucky dude.,Mistranslation,0.520164,0.6321957,-0.1120317
avoir le pêche,33,j'ai la pêche aujourd'hui ma chérie,i'm feeling very frisky today my love,I'm in a great mood today my love.,Good Translation,0.70117277,0.701287,-0.0001142025
avoir le pêche,34,il a la pêche,he has a strong punch,He's in luck,Mistranslation,0.7067516,0.7433662,-0.036614597
avoir le pêche,35,- oui il a la pêche,he's great,- yes he's got some (peaches),Good Translation,0.69190216,0.75803244,-0.06613028
