idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
être canon,0,tu es canon,you're the sexy one,you are hot,Good Translation,0.4844558,0.49335247,-0.008896679
être canon,1,et au fait toi aussi t'es canon,by the way i think you're hot too,"and by the way, you're hot too",Good Translation,0.680106,0.72379434,-0.043688357
être canon,2,soit parce qu'elle est canon soit parce que c'est la seule fille du groupe mais dans tous les cas je suis fou d'elle,i don't know whether it's 'cause she's hot or maybe it's 'cause she's the only girl around but either way i'm totally smitten,"either because she's hot or because she's the only girl in the group but in any case, I'm crazy about her",Good Translation,0.78003025,0.8762147,-0.09618443
être canon,3,elle est canon marrante cool c'est quasiment moi,she's hot she's funny she's cool she's practically me,She is hot fun cool it's almost like me,Good Translation,0.8383086,0.84052294,-0.0022143722
être canon,4,hilary swank est canon,hilary swank is hot,Hilary Swank is hot,Good Translation,0.7473346,0.69719166,0.050142944
être canon,5,on est canons,we look hot,we are hot,Good Translation,0.5654671,0.6009629,-0.035495758
être canon,6,et elle était canon couverte d'huile,plus she looked good covered in oil,and she was hot covered in oil,Good Translation,0.80704117,0.848653,-0.04161185
être canon,7,elle était nue elle devait être canon,i don't know she was naked and naked chicks are hot,She was naked; she had to be hot.,Literal Translation,0.6820764,0.8176123,-0.1355359
être canon,8,- elle est canon,- dude she's hot - yeah,- she is hot,Good Translation,0.61987907,0.7491301,-0.129251
être canon,9,bref tu es canon,well you're a hot girl,brief you are hot,Good Translation,0.49867433,0.63427496,-0.13560063
être canon,10,- elles peuvent être canons,no they can be babes,- they can be awesome,Good Translation,0.675192,0.7676781,-0.09248608
être canon,11,t'es canon,how sexy,you're hot,Good Translation,0.4468963,0.53851885,-0.09162253
être canon,12,elle est canon,she's hot hermess is hot,She is hot,Good Translation,0.61153316,0.70190966,-0.0903765
être canon,13,elle est canon et tu n'as personne d'autre,she's hot and you got no one else,She is hot and you have nobody else,Unnatural,0.815385,0.7951753,0.02020967
être canon,14,et tu es canon,and you're a hottie mmm,and you are hot,Good Translation,0.54082257,0.60333014,-0.06250757
être canon,15,je t'aime et en plus tu es canon,and i love you and you're so hot,I love you and you're also hot,Unnatural,0.6904475,0.71453744,-0.024089932
être canon,16,christinith est canon,i mean that girl christinith was seriously hot,Christinith is canon,Good Translation,0.59445417,0.87433386,-0.2798797
être canon,17,mme gleffey est canon,mrs gleffey's a hottie,Mme Gleffey is hot,Good Translation,0.7441053,0.762895,-0.018789709
être canon,18,t'es canon,you're too hot marc,you're hot,Good Translation,0.47944403,0.53851885,-0.05907482
être canon,19,je pense qu'elle est canon,it turned out damn nice,I think she is hot,Good Translation,0.61696744,0.7618692,-0.14490175
être canon,20,vous etes canon,you are unbelievably hot,you are hot,Good Translation,0.57346594,0.60436714,-0.030901194
être canon,21,elle est canon pas vrai,isn't she gorgeous,"She is hot, isn't she",Good Translation,0.6498438,0.58574724,0.06409657
être canon,22,je me rappelle avoir pensé que c'est un mot étrange à utiliser mais tu l'as dit tu as dit qu'il était canon,i thought that's a weird word but you said it was pimp,I remember thinking it's a strange word to use but you said you thought it was cool.,Good Translation,0.73163366,0.8130368,-0.081403136
être canon,23,considère-moi comme yoda sauf qu'au lieu d'être petit et vert j'ai des costards et je suis canon,think of me as yoda only instead of being little and green i wear suits and i'm awesome,"Consider me as Yoda, except that instead of being small and green, I'm tall, wear suits, and am incredibly hot",Good Translation,0.79589736,0.77078366,0.025113702
être canon,24,- parce qu'elle est canon,- because she's hot,because she is hot,Good Translation,0.78084534,0.74941665,0.031428695
être canon,25,votre femme est canon,your wife's smoking hot,your wife is hot,Good Translation,0.7182566,0.72910666,-0.010850072
être canon,26,je pense que tu es canon,i think you're a knockout,I think you are hot,Good Translation,0.7093564,0.7026028,0.0067536235
être canon,27,picoler c'est canon,i love to get blotto,picking up drinks is cool,Partial Translation,0.4116552,0.47393647,-0.06228128
être canon,28,elle était canon vraiment,ooh she was a skyscraper she was,she was really hot,Good Translation,0.68496275,0.77704316,-0.092080414
être canon,29,même s'il sait toujours lesquelles sont canon avant de poser ses sales petites pattes sur elles,although he always seems to know which ones are hot before he puts his grubby little mitts on them,even though he always knows which ones are cute before he puts his dirty little hands on them,Good Translation,0.7624567,0.81905067,-0.056593955
être canon,30,elles sont littéralement des millions à être canon,literally millions of them really really smoking hot,They are literally in the millions to be hot.,Partial Translation,0.7345898,0.7823195,-0.04772967
être canon,31,il est canon mais un tantinet,no no no no no he's very cute,he is hot but a tiny bit,Unnatural,0.59566724,0.75950825,-0.16384101
être canon,32,- mon père était canon,- my daddy was hot,- my father was cool,Unnatural,0.7455773,0.75419873,-0.008621454
être canon,33,t'es canon,i find you hot,you're hot,Good Translation,0.5345162,0.53851885,-0.0040026307
être canon,34,t'es canon,you look hot,you're hot,Good Translation,0.5198683,0.53851885,-0.018650532
être canon,35,elle est canon,she's really hot,She is hot,Unnatural,0.69506454,0.70190966,-0.0068451166
être canon,36,parce que t'es canon,because you're gorgeous,because you're hot,Good Translation,0.7428878,0.7437002,-0.0008124113
être canon,37,il est canon,whoa he is hot,he is hot,Good Translation,0.53792393,0.5570066,-0.019082665
être canon,38,mince elle est canon ta came,man this shit is awesome,she is hot your stash,Good Translation,0.48782933,0.60762644,-0.11979711
être canon,39,cette image est canon craig,that picture is gorgeous craig,this image is so canon craig,Unnatural,0.80071115,0.9079318,-0.10722065
être canon,40,j'ai pensé que t'étais canon la première fois,i did think you were pretty hot when i first saw you,I thought you were hot the first time.,Good Translation,0.74139076,0.7898875,-0.048496723
être canon,41,elle bosse ici et elle est canon,she's working here now and she looks great,She works here and she is hot,Good Translation,0.75801253,0.776928,-0.018915474
être canon,42,oui il est canon,yeah he's cute,"Yes, he is hot",Good Translation,0.6848748,0.67354643,0.01132834
être canon,43,vous êtes canon dans cette tenue,you look hot in that power suit,you look great in this outfit,Good Translation,0.746244,0.853727,-0.10748297
être canon,44,il est canon,isn't he hot,he is hot,Good Translation,0.54254186,0.5570066,-0.014464736
être canon,45,la nana est canon aussi,and i mean the girl's hot too,the girl is hot also,Good Translation,0.61378086,0.6313892,-0.017608345
être canon,46,- ouais il est canon,yeah he's hot,- yeah he is hot,Good Translation,0.65612626,0.67960495,-0.023478687
être canon,47,ouais il est canon,wow yeah he's hot,yeah he's hot,Good Translation,0.6348993,0.64483154,-0.00993222
être canon,48,- il est canon,- he's so fine,He is hot,Good Translation,0.63794947,0.63009894,0.007850528
être canon,49,- il est canon - je sais,- he's gorgeous,- he is hot - I know,Good Translation,0.62256765,0.75839317,-0.13582551
être canon,50,t'as remarqué comme elle est canon,have you noticed how hot she is,you noticed how hot she is,Partial Translation,0.77088875,0.7832931,-0.012404382
être canon,51,je dois coucher avec deux femmes différentes en un jour l'une d'elle est canon,i have to have sex with two different women in one day one of whom is smoking hot,"I have to sleep with two different women on one day, one of them is hot.",Good Translation,0.806991,0.8090826,-0.0020916462
être canon,52,- tu es canon,- you're super pretty,- you are hot,Good Translation,0.5663784,0.5963599,-0.029981494
être canon,53,la vache sergent elle est canon votre fiancée,damn sarge your fiancée is hot,the cow sergeant she is hot your fiancée,Literal Translation,0.6532078,0.8022519,-0.1490441
être canon,54,et tu es canon et décalé et différent,and you're beautiful and quirky and different,and you are hot and offbeat and different,Good Translation,0.7372942,0.7697797,-0.032485485
être canon,55,et en plus elle était canon,plus she was smoking hot,and she was hot,Good Translation,0.77052915,0.7654686,0.0050605536
être canon,56,logique car ton cul est canon,that makes sense because your butt is quite a dish,logical since your butt is hot,Good Translation,0.7311976,0.75890297,-0.027705371
être canon,57,- car la vie est courte et vous êtes canon,because life is short and you are hot,because life is short and you look great,Unnatural,0.8164716,0.8055766,0.010894954
être canon,58,on se rencontre dans trois semaines et je dois être canon,we're finally meeting in three weeks and i have got to look hot,We'll meet in three weeks and I have to be hot,Good Translation,0.8087279,0.8221048,-0.013376892
être canon,59,j'adore combien je suis canon dans les bars gay,i love how hot i am in gay bars,I love how hot I am in gay bars,Good Translation,0.768636,0.7663843,0.0022516847
être canon,60,je parie qu'elle est canon,something tells me she's a knockout,I bet she is hot,Good Translation,0.66274285,0.72395664,-0.06121379
être canon,61,j'ai couché avec mme lundgaard en cm2 elle était canon mais j'avais dix ans,i had sex with mrs lundgaard in the fifth grade,"I slept with Mrs. Lundgaard in 2nd grade; she was hot, but I was ten years old.",Good Translation,0.77026904,0.8532005,-0.08293146
être canon,62,- faut dire qu'elle est canon,- she was hot,- you have to say she is hot,Good Translation,0.6645051,0.7505245,-0.0860194
être canon,63,elles sont canon futées elles sont pas juives et elles savent pas danser,i don't think it's that complicated they're hot they're smart they're not jewish and they can't dance,"They are hot and smart, they are not Jewish, and they don't know how to dance",Good Translation,0.66598535,0.7417658,-0.07578045
être canon,64,catherine est canon aussi,well catherine's hot too,Catherine is hot too,Good Translation,0.74511886,0.69025695,0.054861903
être canon,65,je l'ai vue qu'une fois ou deux et enfin oui elle était canon mais bon à vrai dire j'ai toujours pensé qu'elle était un peu,i only met her a few times and yes she was cute all right but truth be told i always thought she was a little bit,I've seen her once or twice and finally yes she was hot but anyway I've always thought she was a bit,Good Translation,0.8228076,0.8278259,-0.005018294
être canon,66,elle était canon,she was smokin',she was hot,Good Translation,0.67543304,0.7412054,-0.065772355
être canon,67,j'ai dit que brooke était canon et maintenant tu ne te sens plus en sécurité,i said brooke was hot and now you're totally insecure,I said Brooke is hot and now you don't feel safe anymore,Good Translation,0.8406087,0.8057955,0.034813225
être canon,68,- pour commencer tu es canon,- for starters you are very hot,"- to start, you're hot",Good Translation,0.7052201,0.71827507,-0.013054967
être canon,69,même les baleines sont canons pour lui,even whales are hot for him,even whales are hot for him,Good Translation,0.77832365,0.77832365,0.0
être canon,70,elle est canon,she's in the court,She is hot,Unnatural,0.67774236,0.70190966,-0.0241673
être canon,71,wow ok ils sont canons,ashley's on a mission to get ten 'losing it' monologues - i already did it - what,wow ok they are hot,Good Translation,0.4152328,0.70830345,-0.29307064
être canon,72,vous êtes canon en costume,halster you look hot in those trousers,you look great in a suit,Good Translation,0.61174977,0.6432865,-0.031536758
être canon,73,chuck dit que t'es canon,chuck says you're hot,Chuck says you're hot,Good Translation,0.7439754,0.67937446,0.064600945
être canon,74,il est aimant et doux et gentil et il est canon aussi,he's-- he's so loving and kind and gentle and he's hot too,He is magnetic and sweet and gentle and he is also hot.,Good Translation,0.8439966,0.80026364,0.04373294
être canon,75,- t'es canon compris,you're hot okay,-you're hot got it,Good Translation,0.5027467,0.5802718,-0.07752508
être canon,76,elle est canon et philosophe aussi,she's hot and a philosopher too,She is hot and philosophizes too,Good Translation,0.7883798,0.70438886,0.08399093
être canon,77,elle est belle je suis canon,she's beautiful i'm gorgeous,She is beautiful I am hot,Good Translation,0.7917511,0.7776179,0.014133215
