idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le dalle,0,super j'ai la dalle,- oh good 'cause i'm starving,super I'm starving,Unnatural,0.52059436,0.6538729,-0.13327855
avoir le dalle,1,je fume pour ça j'ai la dalle,that's why i wanna smoke i'm starving,"I smoke for that, I'm hungry.",Good Translation,0.6987017,0.75868857,-0.05998689
avoir le dalle,2,par contre j'ai la dalle,i am starving though,instead I'm starving,Good Translation,0.6487038,0.64499795,0.0037058592
avoir le dalle,3,enfin j'ai la dalle,- finally i'm starving,finally I'm starving,Good Translation,0.67568684,0.6878576,-0.012170792
avoir le dalle,4,je commence à avoir la dalle,i'm really hungry,I start to have a stomach ache,Mistranslation,0.6577799,0.71863747,-0.060857594
avoir le dalle,5,réchauffe la pizza pétasse j'ai la dalle,well go put that pizza in the oven bitch i'm hungry,heats up the soggy pizza I'm starving,Literal Translation,0.7094546,0.73824763,-0.028793037
avoir le dalle,6,- j'ai la dalle,- i am starving,-I'm starving,Good Translation,0.67465746,0.6611102,0.013547242
avoir le dalle,7,t'as la dalle ou quoi,what are you hungry,you're hungry or what,Good Translation,0.530429,0.66545653,-0.13502753
avoir le dalle,8,je sais pas ce qu'il fout mais lucille a la dalle,i don't know where the hell he is but lucille is hungry,I don't know what he's up to but Lucille is hungry,Unnatural,0.7910367,0.7855706,0.0054661036
avoir le dalle,9,- j'imagine que vous avez la dalle,- i guess you're hungry - wow,I imagine you have the floor.,Literal Translation,0.6790167,0.7527089,-0.0736922
avoir le dalle,10,j'ai la dalle tout le monde s'en fout,wow i'm starving to death and no one cares,"I'm starving, everyone couldn't care less.",Good Translation,0.61570835,0.6413239,-0.025615573
avoir le dalle,11,t'as la dalle bill c'est la maxi portion,how's your appetite bill,you've got the appetite Bill it's the max portion,Good Translation,0.53231215,0.7771859,-0.24487376
