idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
boire comme un trou,0,elle a commencé à boire comme un trou,she started a drinking binge,she began to drink like a hole,Good Translation,0.86831,0.9599871,-0.09167713
boire comme un trou,1,putain de salope arrête de boire comme un trou au déjeuner,you shouldn't have drank so much water at lunch,damn whore stop drinking like a barrel at lunch,Literal Translation,0.5970742,0.7710814,-0.17400718
boire comme un trou,2,vous avez dû boire comme des trous,how much did you drink,you must have drunk like a drought,Literal Translation,0.7429521,0.8380689,-0.095116794
boire comme un trou,3,ils boivent comme des trous,they're drinkin' like fishes,They drink like bottomless pits,Good Translation,0.8641597,0.87550676,-0.011347055
boire comme un trou,4,jake je ne veux pas que tu boives comme un trou,i don't want you drinking a whole lot tonight jake,"Jake, I don't want you to drink like a hole.",Good Translation,0.78680307,0.90413535,-0.11733228
boire comme un trou,5,en ne faisant rien sauf boire comme un trou,quitting work devoting yourself to drinking,by doing nothing except drinking like a fish,Good Translation,0.6085567,0.90280706,-0.29425037
boire comme un trou,6,je hais le scotch et je ne suis pas du genre à boire comme un trou,i hate scotch and i'm not exactly in the habit of drinking myself into oblivion,I hate Scotch and I'm not the type to drink like a drain.,Good Translation,0.8924722,0.9068868,-0.0144146085
boire comme un trou,7,si je pouvais je boirais comme un trou,i could i would drink lots,"if I could, I would drink like a drain",Good Translation,0.78781986,0.85943526,-0.0716154
boire comme un trou,8,je peux boire comme un trou,i can drink loads,I can drink like a hole.,Good Translation,0.78536,0.8992898,-0.11392981
boire comme un trou,9,j'ai prévu de boire comme un trou,i plan on drinking a lot,I planned to drink like a hole.,Literal Translation,0.8128485,0.92564017,-0.11279166
boire comme un trou,10,tu es sûrement conscient qu'une intervention habituellement ne consiste pas à boire comme des trous pas vrai,you do realize that interventions typically don't involve binge drinking,"you are surely aware that an intervention usually doesn't involve drinking like there's no tomorrow, right",Good Translation,0.8605572,0.85091305,0.009644151
boire comme un trou,11,allons-nous continuer de boire comme des trous,are we gonna drink everything in the house,Are we going to continue to drink likeBottomless pits?,Good Translation,0.70982176,0.791916,-0.08209425
boire comme un trou,12,en gros tu vas boire comme un trou et coucher avec toutes les nationalités,- who don't speak english,"in general, you will be drinking like a drain and sleeping with all nationalities",Literal Translation,0.41514084,0.91542995,-0.5002891
boire comme un trou,13,c'est juste une excuse pour boire comme des trous tout le week-end,it's really just an excuse to drink like germans for a weekend,it's just an excuse to drink like fish all weekend,Unnatural,0.8279916,0.90762985,-0.07963824
boire comme un trou,14,il a commencé à boire comme un trou,started drinking like a fish,He began to drink like a hole.,Good Translation,0.85423535,0.9325504,-0.07831502
boire comme un trou,15,est-ce que ça l'autorise à passer sa vie à boire comme un trou et à taper sur les filles,does that entitle him to spend his life drinking barrels of whisky and punching girls on the nose,is it okay for him to spend his life drinking like a bottomless pit and harassing girls,Good Translation,0.7407099,0.79878783,-0.05807793
boire comme un trou,16,tu sais qui est à une table en train de boire comme un trou non pas sting,you'll never guess who is sitting at the bar pounding down booze,you know who is at a table drinking like a hole not sting,Partial Translation,0.71995735,0.93887603,-0.21891868
