idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir le cafard,0,j'ai le cafard à cause de toi,i've got the blues for you,I'm fed up with you because of you,Mistranslation,0.63496137,0.72470444,-0.08974308
avoir le cafard,1,j'avais le cafard et j'ai dit quelque chose dans ma langue,i was lonely i wanted to say something in my own language,I had a bad mood and I said something in my language,Good Translation,0.77474356,0.85179514,-0.07705158
avoir le cafard,2,après mon divorce j'avais le cafard,after finney and i split up i was pretty blue,After my divorce I had the blues.,Good Translation,0.59668994,0.7711735,-0.17448354
avoir le cafard,3,le temps est abominable les gens ont le cafard et sont de plus en plus nombreux à quitter risa,the weather's terrible the guests are miserable and more and more people are leaving risa every day,The weather is awful people are getting the blues and there are more and more of them leaving Riasa.,Good Translation,0.82874644,0.81593305,0.012813389
avoir le cafard,4,on a le cafard,- we miss you,One has the blues,Good Translation,0.48333132,0.5630965,-0.0797652
avoir le cafard,5,qu'y a-t-il tu as le cafard,are you unhappy,"What's wrong with you, you're feeling down?",Good Translation,0.41746008,0.37920552,0.03825456
avoir le cafard,6,j'ai le cafard maintenant,i'm depressed,I'm feeling down now.,Good Translation,0.6407166,0.67172956,-0.031012952
avoir le cafard,7,tu as le cafard je déteste les dimanches ici,this place gives me the creeps on sunday,You're in a bad mood I hate Sundays here,Partial Translation,0.7045156,0.861164,-0.1566484
avoir le cafard,8,j'étais seul j'avais le cafard,i was alone i felt down,I was alone I had the blues,Good Translation,0.76653826,0.7842902,-0.017751932
avoir le cafard,9,j'ai le cafard en ce moment,i've been feeling kind of blue lately,I have a feeling of depression at the moment.,Good Translation,0.64636993,0.7006491,-0.05427915
avoir le cafard,10,et si j'ai le cafard je n'aurai qu'à regarder cette cicatrice pour penser à toi,if i ever feel lonely i'll look at this disfiguring scar and think of you,and if I'm feeling downhearted I'll just look at this scar and think of you,Good Translation,0.73570925,0.79725546,-0.061546206
avoir le cafard,11,ecoute j'ai le cafard,come on hol i'm broken up,I'm feeling down.,Good Translation,0.5050415,0.51181936,-0.0067778826
avoir le cafard,12,vous avez le cafard,i got somethin' that'll cheer you up,You have the blues.,Good Translation,0.6004237,0.6327026,-0.032278895
avoir le cafard,13,tu as le cafard,well you may feel low and you might not be able to create a play right now,"you have a bad temper, you're in a bad mood.",Mistranslation,0.3672181,0.45752615,-0.09030804
avoir le cafard,14,je me sentais bien et c'est arrivé comme ça j'ai eu le cafard,i was doing great then out of the blue it snuck up on me,I was feeling well and it happened like that I had the blues.,Good Translation,0.7282193,0.7769584,-0.048739135
avoir le cafard,15,- vous semblez avoir le cafard,- you look glum,You seem to be down in the dumps.,Good Translation,0.7711991,0.6756071,0.09559202
avoir le cafard,16,les rues ne sont pas sûres quand on a le cafard,streets are uneven,the streets aren't safe when you've got the blues,Unnatural,0.6463954,0.71624255,-0.06984717
avoir le cafard,17,en arriver là parce qu'on a le cafard,i got to this point because i had the blues,To end up there because one has the blues,Good Translation,0.66263705,0.68794066,-0.025303602
avoir le cafard,18,- toi aussi tu as le cafard,- we call it the blues,- you also have the blues,Good Translation,0.46825263,0.7385448,-0.2702922
avoir le cafard,19,quand j'ai le cafard j'enlève ma chemise parce que les mauvaises pensées me font suer,when i get bummed out i take my shirt off because the bad feelings make me feel sweaty,"When I have the blues, I take off my shirt because bad thoughts make me sweat.",Good Translation,0.7535185,0.7610529,-0.0075343847
avoir le cafard,20,c'est drôle j'avais le cafard puis vous êtes arrivée et,funny here i was down in the dumps disgusted with everything - and then you came along and,That's funny I had the blues then you came and,Good Translation,0.6988871,0.8007387,-0.10185158
avoir le cafard,21,- j'ai le cafard jen,- i've got the blues jen,- I've got the blues here,Unnatural,0.7139196,0.5434141,0.17050546
avoir le cafard,22,tu auras le cafard,you'll feel blue,you'll be fed up with it,Mistranslation,0.5438201,0.53337526,0.01044482
avoir le cafard,23,il y a des jours où les gars ont le cafard alors ils parlent,there are days when guys have the blues then they talk,There are days where the lads have the blues then they talk.,Good Translation,0.8361603,0.84468436,-0.00852406
avoir le cafard,24,après mon mariage j'ai eu le cafard,after i married i felt a little unhappy,After my marriage I had the blues.,Good Translation,0.7446814,0.7740032,-0.02932179
avoir le cafard,25,tout le monde ici a le cafard,we all got the miseries in here all of us,Everyone here has the blues.,Good Translation,0.65260816,0.68334687,-0.030738711
avoir le cafard,26,j'ai le cafard ici,i'm here feeling blue,I have a feeling of despondency here.,Good Translation,0.6267632,0.6029072,0.023856044
avoir le cafard,27,tu n'as pas l'air d'avoir le cafard,really,You don't look like you're depressed.,Good Translation,0.45937592,0.7218852,-0.2625093
avoir le cafard,28,quand j'ai le cafard je le mets et je danse comme une ballerine,i play this piece when i'm sad i pretend i'm a ballerina,When I'm feeling down I put it on and dance like a ballerina,Good Translation,0.68959975,0.7495223,-0.059922576
avoir le cafard,29,j'ai aussi mis des peintures de nous deux au cas ou tu aurais le cafard,i also packed your paintings of our best time together just in case you get lonely,I also painted some of us two in case you get a bit down,Unnatural,0.74841,0.8413367,-0.09292674
avoir le cafard,30,- aujourd'hui tout le monde a le cafard,today everybody has the blues,- everyone's feeling down today,Good Translation,0.74687016,0.7054851,0.041385055
avoir le cafard,31,tu auras le cafard,you'll feel blue,You'll get the blues.,Good Translation,0.5438201,0.55833495,-0.0145148635
avoir le cafard,32,pourquoi vous sentez-vous bien ici quand vous avez le cafard,so what makes this place a good place to go when you're feeling down,Why do you feel good here when you're feeling down?,Partial Translation,0.6538732,0.72926545,-0.075392246
avoir le cafard,33,j'ai le cafard,i feel so bad,I'm feeling down or I'm feeling glum.,Good Translation,0.5096498,0.4736774,0.035972416
