idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
ça marcher,0,j'envisage de changer de camp je vous tiens au courant je vous dirai si ça marche,it's a question you haven't askedmikaylaand i'm so surprised,I'm thinking of switching camps I'll keep you posted and let you know if it works out.,Good Translation,0.49058437,0.9155391,-0.4249547
ça marcher,1,c'est les chiffres putain ça marche plus regarde,it's the numbers fuck it doesn't work anymore,"that's the numbers, bloody hell that works no look",Unnatural,0.6816391,0.72489774,-0.043258667
ça marcher,2,je veux dire trop de travail pour que ça marche,i mean too much work to make it work,I want to say that there's too much work for it to be successful.,Good Translation,0.95015424,0.8809378,0.06921643
ça marcher,3,après de nombreuses études on a conclu la même chose que les parents à savoir que ça marche avec un bon enseignant et que ça ne va pas quand l'enseignant est mauvais,after lots of studies we come down to just what most parents believe and that is a good teacher is what's working and a bad teacher is what's not working,"after many studies it has been concluded that the same thing as the parents, namely that it works with a good teacher and that it does not work when the teacher is bad.",Good Translation,0.8778221,0.93478966,-0.056967556
ça marcher,4,- si tu veux que ça marche tu le devras car les gens qui nous chassent connaissent ton visage,- well if you want this to work you'll have to because the people hunting us know your face now,"- if you want it to work out, you'll have to accept it because the people chasing us know your face.",Unnatural,0.87683856,0.8872031,-0.0103645325
ça marcher,5,si ça marche nous pourrions vivre assez longtemps pour que tu puisses réclamer ton dû,if this works we may actually live long enough for you to collect,if it works we might live long enough for you to be able to claim what's due to you,Good Translation,0.8237434,0.89652467,-0.072781265
ça marcher,6,- ca marchera,no,It'll work.,Literal Translation,0.38393486,0.4019973,-0.018062443
ça marcher,7,le chocolat ca marche,chocolate's good,Chocolate works.,Good Translation,0.63985384,0.6289237,0.010930121
ça marcher,8,ça marche très fort,oh we're rollin',it goes very strong,Unnatural,0.6703393,0.90277505,-0.23243576
ça marcher,9,- ça marche au-dessus,it's still on upstairs,-it works above,Literal Translation,0.7148445,0.75803983,-0.043195307
ça marcher,10,faites que ça marche,please please please,Make it work,Good Translation,0.67547166,0.8656037,-0.19013202
ça marcher,11,mahmud ça marche pas,mahmud it's not working,Mahmoud it doesn't work.,Good Translation,0.76468873,0.65789485,0.10679388
ça marcher,12,ça marche les bougies,how's the candle game,It works the candles.,Literal Translation,0.54894257,0.6999956,-0.15105301
ça marcher,13,ça marche aussi pour chasser les chats des divans,-mm-hm -like trying to get a cat off the couch,That also works for chasing cats off the couches.,Good Translation,0.67473316,0.8552321,-0.18049896
ça marcher,14,mais ça marche en tout cas,those fucking works though,but it works anyway,Good Translation,0.718245,0.94001496,-0.22176993
ça marcher,15,si ça marche pas prie,and if that doesn't work pray,"If it doesn't work, pray",Good Translation,0.7886137,0.76498544,0.023628235
ça marcher,16,- ça marchait,i was eating right,It was working,Unnatural,0.67464656,0.7739787,-0.099332154
