idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se envoyer en le air,0,-on va s'envoyer en l'air,- we're gonna get laid,We're going to go all out.,Mistranslation,0.7805825,0.73744106,0.043141425
se envoyer en le air,1,les gens adoreraient voir ces deux intellos s'envoyer en l'air,come on people would love to see these two nerds get freaky,People would love to see these two nerds go at it.,Good Translation,0.7648343,0.7861252,-0.021290898
se envoyer en le air,2,allez lois on pourrait s'envoyer en l'air dans le jardin ici,come on lois let's get busy maybe in the garden right here,Let's go to the lawns; we might get blown away here in the garden.,Literal Translation,0.80949795,0.77789223,0.03160572
se envoyer en le air,3,-on a envie de s'envoyer en l'air,broad accent evening gentlemen looking for a frolic,We have the urge to blow ourselves up.,Mistranslation,0.56275904,0.79479206,-0.23203301
se envoyer en le air,4,on ne va pas s'envoyer en l'air dans le lit de ma femme,i'm not gonna fuck you in my wife's bed,We're not going to blow our tops in my wife's bed.,Unnatural,0.80293584,0.8669503,-0.064014435
se envoyer en le air,5,s'il en a tellement envie qu'il s'envoie en l'air,look if he needs it that badly let him go and get it,If he's so eager for it then let him do himself,Unnatural,0.70787454,0.75412214,-0.0462476
se envoyer en le air,6,matty ne veut pas s'envoyer en l'air il veut parler,matty doesn't want to get laid he wants to talk,"Matty doesn't want to get laid, he wants to talk.",Good Translation,0.91261804,0.87630135,0.036316693
se envoyer en le air,7,ils sont peut-être dans un motel en train de s'envoyer en l'air,- could be they're in some motel room having hot makeup sex,They might be in a motel banging away.,Good Translation,0.81992537,0.9021781,-0.08225274
se envoyer en le air,8,- il a besoin de s'envoyer en l'air,- he needs to get laid,"- he needs to blow his top, lose his cool.",Mistranslation,0.8503264,0.8265667,0.023759723
se envoyer en le air,9,il aime s'envoyer en l'air,he likes to get laid,He enjoys blowing his top.,Mistranslation,0.79918027,0.785079,0.014101267
se envoyer en le air,10,allez oui on s'envoie en l'air,okay yeah let's fuck,"Let's go, yes we'll blow each other sky high",Good Translation,0.69272876,0.84176,-0.14903122
se envoyer en le air,11,on s'envoie en l'air après ça,i'ma go get a soda do you want to have sex somewhere after i do that,We'll blow our tops after that.,Mistranslation,0.6367485,0.81802905,-0.18128055
se envoyer en le air,12,- viens on s'envoie en l'air toi et moi,- lets get high together okay,"Come on, let's do it, you and I.",Unnatural,0.7252604,0.79246897,-0.06720859
se envoyer en le air,13,on va s'envoyer en l'air sur ces plats hors de prix,on top of all this expensive food i bought,We're going to blow our tops over these out-of-this-world dishes.,Unnatural,0.6503135,0.8182513,-0.16793782
se envoyer en le air,14,- oui ils pensaient que la victime s'envoyait en l'air,thought they were reporting an act of passion,- yes they thought she was going to blow herself up,Mistranslation,0.7054906,0.7851932,-0.079702616
se envoyer en le air,15,les médecins n'ont jamais envie de s'envoyer en l'air,doctors don't want to get laid,doctors never want to get a kick out of it,Unnatural,0.75590944,0.85667026,-0.10076082
se envoyer en le air,16,peut-on s'envoyer en l'air dans la limousine avant le bal de promo,is it ok to have sex in a limo before your prom,Can we get it on in the limo before the prom,Good Translation,0.7368722,0.7551483,-0.018276095
se envoyer en le air,17,tu as dû quitter le pays parce que ton coloc s'envoyait en l'air,wait wait you had to leave the state because your roommate was having sex,You must have left the country because your roommate was having sex with someone else.,Unnatural,0.71890545,0.7389511,-0.020045638
se envoyer en le air,18,tu veux qu'on s'envoie en l'air,you want a quick tumble huh,Do you want to get it on?,Unnatural,0.71632534,0.6728579,0.043467462
se envoyer en le air,19,elles doivent tout le temps s'envoyer en l'air,they must get laid all the time,They must be having sex all the time,Good Translation,0.8059989,0.7745466,0.0314523
se envoyer en le air,20,pas de conclusions hâtives simplement parce que je suis nu et qu'on s'envoie en l'air,listen don't rush to judgment just because i'm nude and we're making out,No hasty conclusions just because I'm naked and we're getting intimate.,Good Translation,0.80977124,0.8445761,-0.03480488
se envoyer en le air,21,naomi de la paléontologie dit que si hodgins est comme ça c'est qu'il a besoin de s'envoyer en l'air,naomi from paleontology suggests that hodgins is like that because he needs to get laid,Naomi from paleontology says if Hodgins is like that it's because he needs to get laid.,Good Translation,0.84608406,0.8255248,0.020559251
se envoyer en le air,22,ils restaient au loin plus longtemps que nécessaire pour s'envoyer en l'air,well then they'd stay on a little longer than they needed to and fuck around a little bit,They stayed out for longer than necessary just to get high.,Good Translation,0.75917214,0.7545997,0.004572451
se envoyer en le air,23,cette foutue merde écrasée a dû s'envoyer en l'air,that's for sure i know that fucking piece of shit had a good fucking time,This bloody mess exploded somehow.,Partial Translation,0.6183702,0.75109994,-0.13272977
se envoyer en le air,24,t'as entendu les 2 chats s'envoyer en l'air dans l'allée cette nuit,did you hear those two cats having sex in the alley last night,have you heard those two cats getting it on in the alley tonight,Good Translation,0.8240302,0.8623792,-0.038348973
se envoyer en le air,25,il existe une corrélation de 83 entre les fois où un homme portes une boutonnière et les fois ou il s envoie en l'air,there is an 83 correlation between the times men wear boutonnieres and the times they get laid,There is an 83% correlation between the times a man wears a boutonniere and the times he gets laid.,Good Translation,0.8203132,0.7952182,0.025094986
se envoyer en le air,26,il a juste besoin de s'envoyer en l'air,he just needs to get laid,He just needs to get off,Unnatural,0.8309009,0.82435846,0.006542444
se envoyer en le air,27,ce soir on pourra s'envoyer en l'air,tonight we will have much more great sex ya,We'll be able to get it on tonight.,Good Translation,0.6724909,0.7749436,-0.102452695
se envoyer en le air,28,tous les vendredis elle file en douce s'envoyer en l'air avec steve,friday night she sneaks out to have sex with steve,She sneaks off quietly every Friday to have sex with Steve.,Good Translation,0.7023462,0.75515723,-0.052811027
se envoyer en le air,29,ils s'envoient en l'air becky mate,they go at it becky watches,They are sending each other up in smoke; Becky's through.,Mistranslation,0.7270682,0.74504364,-0.01797545
se envoyer en le air,30,je pensais qu'un documentaire était une excuse facile pour s'envoyer en l'air,so lowell is joining us for guy's night yeah well you know i thought about it and andi had a good point about him being left out,I thought a documentary was an easy way to get out of doing anything.,Good Translation,0.3843758,0.84776163,-0.46338582
se envoyer en le air,31,elle aimait s'envoyer en l'air,she always did enjoy a good squeeze,She would have sex with herself,Mistranslation,0.72667134,0.6761395,0.050531864
se envoyer en le air,32,ça veut dire qu'on doit s'envoyer en l'air de la vieille manière,which means we got to get laid the old-fashioned way,it means we have to do it the old way,Partial Translation,0.8043066,0.85766566,-0.05335903
se envoyer en le air,33,il s'envoie en l'air autant qu'il veut,getting as much sex as he possibly can ever have,he can shoot himself off as much as he wants,Good Translation,0.7313623,0.82122964,-0.08986735
se envoyer en le air,34,au moins quelqu'un s'envoie en l'air ici,at least someone's getting laid around here,At least someone is getting off here.,Literal Translation,0.8271056,0.7998651,0.027240455
