idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
prendre son jambe à son cou,0,prenez vos jambes à votre cou,by all means run,take your legs in your neck,Literal Translation,0.48459926,0.77075815,-0.2861589
prendre son jambe à son cou,1,- prends tes jambes à ton cou,now run away,- take your legs around your neck,Unnatural,0.52087796,0.77781737,-0.2569394
prendre son jambe à son cou,2,prends tes jambes à ton cou et oublie-la,run for your life and forget her,take your legs around your neck and forget it,Good Translation,0.7231545,0.8237188,-0.1005643
prendre son jambe à son cou,3,je vais prendre mes jambes à mon cou ok,i just got an errand to run yeah,I'm going to take my legs off my neck okay,Literal Translation,0.6312274,0.74484026,-0.11361289
prendre son jambe à son cou,4,ou alors elle a pris ses jambes à son cou comme une bonne américaine qu'on voit dans un film,or maybe she feels it in her feet like a native american in a movie,or else she took off like a good American from a movie,Unnatural,0.8058631,0.8439828,-0.038119733
prendre son jambe à son cou,5,on prend nos jambes à notre cou,then we run like a couple of bats out of hell,we take our legs in our neck,Literal Translation,0.5373074,0.78952163,-0.25221425
prendre son jambe à son cou,6,eugene mulchandani prit ses jambes à son cou,eugene mulchandani fled in a flurry of saliva and fear,Eugene Mulchandani hugged his legs.,Mistranslation,0.67310643,0.7890014,-0.11589497
prendre son jambe à son cou,7,- prenons nos jambes à notre cou,- i don't know - let's just make a run for it,- we are digging our own grave,Mistranslation,0.60889244,0.6274804,-0.018587947
prendre son jambe à son cou,8,il a dû prendre ses jambes à son cou,that must have had him running scared,He had to flee for his life,Good Translation,0.6605574,0.6415725,0.018984914
prendre son jambe à son cou,9,je ne te jugerais pas si tu voulais prendre tes jambes à ton cou,i wouldn't judge you at all if you want to get on a plane and just get the fuck out of here,I wouldn't judge you if you wanted to take your legs off your body,Literal Translation,0.62820256,0.7822522,-0.15404963
prendre son jambe à son cou,10,tout ce qu'elle a fait c'est regarder l'agent et il a prit ses jambes à son cou,all she'd done was look at that producer and he'd turn tail and run,All she did was watch the agent and he took off.,Good Translation,0.6914189,0.8177927,-0.12637383
prendre son jambe à son cou,11,et vous avez pris vos jambes à votre cou,and you ran away as fast as you could,and you took to your heels,Good Translation,0.59660995,0.83731216,-0.24070221
prendre son jambe à son cou,12,tu restes là pendant que je prends mes jambes à mon cou,you'll stay right there while i run for my life,you stay there while I make a run for it,Good Translation,0.7124081,0.75947106,-0.047062933
prendre son jambe à son cou,13,j'avais pris mes jambes à mon cou,i was scared i ran off,I took off running.,Good Translation,0.62672985,0.62251616,0.0042136908
prendre son jambe à son cou,14,si je n'avais pas une tête de cafard je prendrais mes jambes à mon cou,if i didn't have a cockroach head myself i'd be freaking out right now,"if I didn't have an ant's head, I would take my legs off and run",Literal Translation,0.66765666,0.68395424,-0.016297579
prendre son jambe à son cou,15,un type intelligent aurait pris ses jambes à son cou,a smart guy would run as far and as fast as he could,an intelligent person would have taken their legs off their hands,Literal Translation,0.6696523,0.81117004,-0.14151776
prendre son jambe à son cou,16,il a peut-etre pris ses jambes a son cou,maybe he got scared,He may have taken his leave quickly.,Unnatural,0.771674,0.73214185,0.039532125
prendre son jambe à son cou,17,sinon il tue la femme et prend ses jambes à son cou,if not he'll kill the woman and take off it's unfair,otherwise he kills the woman and takes off running,Unnatural,0.75233877,0.8173313,-0.06499255
prendre son jambe à son cou,18,et puis prends tes jambes à ton cou,- yeah,and then take your leave quickly,Unnatural,0.4014147,0.62963384,-0.22821915
prendre son jambe à son cou,19,je ne t'ai pas appris à prendre tes jambes à ton cou,- didn't i teach ya to always make a run for it,I didn't teach you to run for your life.,Unnatural,0.6282455,0.720094,-0.09184855
prendre son jambe à son cou,20,a chaque fois que j'essaye de devenir sérieux avec toi tu tu prends tes jambes à ton cou,anytime i try to get serious with you y you pull away from me,"Every time I try to be serious with you, you run away.",Good Translation,0.77668095,0.7651874,0.011493564
prendre son jambe à son cou,21,t'es pas du genre à prendre tes jambes à ton cou theo ne court pas,a beacon standing on a hill for the whole world to see,you're not the type to run for your life Theo doesn't run,Literal Translation,0.2944557,0.8083863,-0.5139306
prendre son jambe à son cou,22,et prenez vos jambes à votre cou,run as quickly as you can,and take your leave quickly,Unnatural,0.53057396,0.6195051,-0.08893114
prendre son jambe à son cou,23,oh c'est pour ça qu'il a pris ses jambes à son cou,oh is that why he ran out of here like a scalded dog,oh it's because he took off running,Good Translation,0.55698586,0.6666205,-0.10963464
prendre son jambe à son cou,24,et quand je vous ai demandé de m'aider vous avez tous pris vos jambes à votre cou,and when i asked you to give me a hand you turned on your heels and ran,"and when I asked you to help, you all ran for the hills",Good Translation,0.74001455,0.7763455,-0.03633094
prendre son jambe à son cou,25,prendre tes jambes à ton coup c'est la seule course que tu aies faite,running away's the only racing you ever did,take your legs in your neck is the only race you've run,Literal Translation,0.8032385,0.86176777,-0.058529258
prendre son jambe à son cou,26,si les patients savaient ce que je pense d'eux s'ils pouvaient voir dans ma tête ils prendraient leurs jambes à leur cou,you know if patients could see what i think about them if they could really see inside my head they'd head for the hills they'd run for cover,"If patients knew what I think of them, and if they could see into my head, they would take their legs and run.",Literal Translation,0.8159226,0.8665495,-0.050626874
prendre son jambe à son cou,27,la dernière fois que je t'ai vue tu prenais tes jambes à ton cou,last time i saw you fleeing in terror how'd that work out for ya,"the last time I saw you, you were fleeing with all your might",Good Translation,0.65112776,0.70067513,-0.049547374
prendre son jambe à son cou,28,maintenant prends tes jambes à ton cou et dégage,now put your tail between your legs and get lost,now take your legs off me and get out,Unnatural,0.7076186,0.7788751,-0.07125652
