idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
filer à le anglais,0,22 personnes qui filent à l'anglaise tu t'imagines,you don't want 22 people skipping all in one day do you - of course not but,Twenty-two people who dress like English people you imagine them,Mistranslation,0.628863,0.8269917,-0.1981287
filer à le anglais,1,je vais filer à l'anglaise pour ne pas gâcher la fête,i thought i'd just sneak away quietly i don't want to spoil the party,I'll slip away quietly so I don't spoil the party.,Good Translation,0.7033466,0.7403611,-0.037014484
filer à le anglais,2,pourquoi avez-vous filé à l'anglaise,why'd you give them the slip up at the hospital you don't like the place,why did you do a runner?,Good Translation,0.53854334,0.60419106,-0.06564772
filer à le anglais,3,il a filé à l'anglaise,he was tired and slipped away,he did a runner in the English style,Literal Translation,0.60833037,0.7501542,-0.14182383
filer à le anglais,4,tu as vu qu'il n'est resté que cinq minutes hier soir et qu'il a filé à l'anglaise,did you see that he showed up at the party for five minutes and left without saying good-bye,You've seen that he only stayed five minutes last night and then he took off in a hurry.,Good Translation,0.70212626,0.8122772,-0.11015093
filer à le anglais,5,ils ont dû essayer de filer à l'anglaise,they must've been trying to sneak past us,they had to try to beat a retreat,Mistranslation,0.7327415,0.7019545,0.030786991
filer à le anglais,6,j'avais prévu de filer à l'anglaise mais puisque vous êtes de si bonne humeur à quoi bon,i was planning on making an irish exit here but since you're in such a good mood what the hell,I had planned to play hooky but since you're in such a good mood what's the point.,Good Translation,0.82308865,0.8127044,0.010384262
filer à le anglais,7,le mieux c'est d'attendre le soir et de filer à l'anglaise,i guess the best thing to do is to wait until dark and then we'll sneak out of here,the best thing is to wait until evening and make a run for it,Good Translation,0.76816815,0.82180727,-0.053639114
filer à le anglais,8,on devrait filer à l'anglaise,why don't we go out the back jack,one should behave like an American,Mistranslation,0.43927586,0.6532669,-0.21399105
filer à le anglais,9,préférez-vous filer à l'anglaise,or would you rather pass out here,Do you want to do it the English way?,Partial Translation,0.6454829,0.7747694,-0.12928653
filer à le anglais,10,alors vous n'avez pas filé à l'anglaise,mr wagner i demand you reopen those rooms on the 19th floor,so you didn't run away like a coward,Mistranslation,0.39676583,0.61693597,-0.22017014
filer à le anglais,11,vous pensiez qu'on vous laisserait filer à l'anglaise,you really think we'd let you get away with that,You thought you'd be let off scot-free.,Good Translation,0.6987052,0.69650936,0.002195835
filer à le anglais,12,on file à l'anglaise,slipping away in broad daylight,to file in an English style,Literal Translation,0.46364844,0.88279474,-0.4191463
filer à le anglais,13,bon d'accord je vais filer à l'anglaise,all rightall righti'm gonna sneak out the back door,Okay I'll go it alone.,Mistranslation,0.6774906,0.64021695,0.037273645
filer à le anglais,14,tu sais j'ai vu choady filer à l'anglaise quand on est arrivé,you know i saw choady sneaking out when we came in,You know I saw Choady make a run for it when we arrived.,Good Translation,0.8307493,0.8396261,-0.008876801
filer à le anglais,15,vous avez filé à l'anglaise,say did you sneak out of here,you've run out on me like a thief in the night,Mistranslation,0.6254636,0.58552086,0.03994274
filer à le anglais,16,- j'ai filé à l'anglaise,- i just left,I'm making a run for it like a madman.,Good Translation,0.66903114,0.5638831,0.10514802
filer à le anglais,17,si vous voulez filer à l'anglaise levez-vous un peu plus tôt,if you're going to sneak out of here cariño you have to do it a little bit earlier,If you want to beat it (get out of here) American-style get up a bit earlier.,Literal Translation,0.70135796,0.76948977,-0.068131804
filer à le anglais,18,comme ça tu allais juste filer à l'anglaise,what you were just going to sneak out,like that you'd just make a run for it,Good Translation,0.6564208,0.73592997,-0.07950914
filer à le anglais,19,il a filé à l'anglaise sans un mot,he left the program without telling anyone,he took off without so much as a word,Good Translation,0.6590963,0.7456502,-0.08655387
filer à le anglais,20,- ne croyez pas pouvoir filer à l'anglaise,don't think you can play any tricks on us,- don't think you can pull a fast one on us,Good Translation,0.65138376,0.6960616,-0.044677854
filer à le anglais,21,alors je vais filer à l'anglaise,there's only one thing to do i'll have to scram i can't let you skip,so I will make a run for it,Good Translation,0.5796487,0.7242898,-0.1446411
filer à le anglais,22,elle va filer à l'anglaise en leur absence,and so she's going to sneak off while they're away from home,She's going to run off with him in their absence.,Mistranslation,0.67620116,0.75461066,-0.07840949
filer à le anglais,23,combien de fois allons-nous le laisser mourir et filer à l'anglaise comme ça,how many times are we going to let him die and sneak off like that,how many times are we going to let him die and get away with it like that,Unnatural,0.8416472,0.86408794,-0.022440732
filer à le anglais,24,avez-vous cru que je le laisserais filer à l'anglaise,hastings did you really believe that i'd let a cold-blooded murderer escape,Have you thought that I would let it slip through my fingers like water.,Unnatural,0.6297716,0.7386585,-0.1088869
filer à le anglais,25,vous filez à l'anglaise,you sneaking out,You're making off with it like a thief.,Partial Translation,0.6053921,0.549749,0.05564308
filer à le anglais,26,mais tu aurais pu être franc au lieu de filer à l'anglaise,but you could have been honest instead of taking french leave,but you could have been frank instead of skedaddling away in flight,Good Translation,0.8126875,0.75904596,0.053641558
filer à le anglais,27,pourvu qu'il n'ait pas filé à l'anglaise,let's just hope that information i got was right,provided that he hasn't skipped off in the English manner,Literal Translation,0.5086713,0.8038317,-0.2951604
filer à le anglais,28,je crois qu'il est temps de filer à l'anglaise,- time to make my exit - unh,I think it's time to make a run for it.,Good Translation,0.6552283,0.775058,-0.119829655
