idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
faire le tête,0,combien de temps vas-tu encore me faire la tête,all right how long are you gonna stay mad at me,how long are you going to keep your distance from me,Partial Translation,0.80437505,0.73901224,0.06536281
faire le tête,1,est-ce que tu me fais la tête,is this supposed to be the silent treatment,are you giving me the silent treatment,Good Translation,0.41080192,0.6481899,-0.23738798
faire le tête,2,vous faites la tête,i must watch the expressions on your faces,you are pouting,Literal Translation,0.6635752,0.7492131,-0.08563793
faire le tête,3,c'est une occasion unique pour quelqu'un comme moi d'aller de l'avant et toi tu fais la tête,for once a poor guy like me gets the chance to get ahead and all she can do is whine,it's a unique opportunity for someone like me to move on and you're pouting,Good Translation,0.67938435,0.83513236,-0.15574801
faire le tête,4,il me fait la tête depuis que j'ai abandonné,he's been giving me the stink eye since i pulled my name out of contention,He's been giving me attitude since I gave up.,Good Translation,0.77212846,0.80677915,-0.034650683
faire le tête,5,- décidément tu fais la tête,- you are really sulking,- decidedly you're pouting,Good Translation,0.718099,0.8057204,-0.08762139
faire le tête,6,je suis supposé faire la tête d'affiche maintenant,i'm supposed to be some sort of poster boy now,I am supposed to be the headline now,Unnatural,0.7832587,0.8709513,-0.08769262
faire le tête,7,tu me fais le tête toi,i got news from my brother,you're giving me a headache,Good Translation,0.5292763,0.7766994,-0.24742311
faire le tête,8,tu fais la tête constipation,t-that's impossible,you're being moody because of constipation,Mistranslation,0.4462428,0.74491334,-0.29867053
faire le tête,9,et continue à me faire la tête d'accord,just be the way that you were,"and keep giving me a hard time, okay",Good Translation,0.4743833,0.6988392,-0.2244559
faire le tête,10,tu fais la tête à ton frère et tu nous fais la tête,you didn't give your brother face and you didn't give us face,you're pouting at your brother and you're giving us a hard time,Good Translation,0.73852515,0.7905035,-0.05197835
faire le tête,11,vous faites la tête tous les deux,are you two not speaking to one another,you're both frowning,Good Translation,0.7083167,0.7610277,-0.05271101
faire le tête,12,je faisais la tête car t'étais distant,well i was only moody because you were so distant,I was pouting because you were distant.,Good Translation,0.81483567,0.8609321,-0.046096444
faire le tête,13,- moi non plus depuis quand tu fais la tête,hey since when did you get morals,-I haven't either since you started frowning,Mistranslation,0.6125198,0.7311294,-0.11860961
faire le tête,14,ma fille cessera-t-elle de faire la tête,will my daughter ever stop sulking,Will my daughter cease to sulk?,Good Translation,0.74504113,0.7873966,-0.042355478
faire le tête,15,- alors pourquoi tu fais la tête,- then why am i sensing attitude,- then why are you pouting,Good Translation,0.6928848,0.7667979,-0.0739131
faire le tête,16,tu fais la tête,why the long face,you are pouting,Good Translation,0.54974926,0.7361765,-0.18642724
faire le tête,17,tu es ici car je ne supportais plus de te voir faire la tête,you're here because i couldn't bear to watch you pout any longer,you are here because I could no longer stand seeing you pout,Good Translation,0.85530186,0.86756456,-0.012262702
faire le tête,18,jewel pourquoi tu fais la tête,jewel why are you thinking,jewel why are you pouting,Good Translation,0.8185077,0.79525566,0.02325201
faire le tête,19,le vieux ed peut faire la tête,old ed can be pretty stubborn,Old Ed can pout.,Good Translation,0.8012471,0.8781877,-0.076940596
faire le tête,20,mais pourquoi tu fais la tête,why are you sulking,but why are you pouting,Good Translation,0.6619456,0.7558116,-0.09386599
faire le tête,21,laisse-moi voir si tu fais la tête,let's see if you're still pouting,let me see if you're pouting,Unnatural,0.7149042,0.8053326,-0.09042841
faire le tête,22,tu me fais la tête je vais acheter des chocolats,you're upset with me,you're giving me the silent treatment I'm going to buy chocolates,Literal Translation,0.628523,0.7887772,-0.16025418
faire le tête,23,tu fais la tête d'une ado qui vient de rencontrer l'homme de sa vie,geez you look like some teenager who's just met the man of her dreams,you're making the face of an adolescent who has just met the man of her life,Good Translation,0.821398,0.88214386,-0.060745835
faire le tête,24,c'est pour ça que tu fais la tête,that's why you wouldn't say anything the whole way home,it's why you're pouting,Good Translation,0.50474834,0.7288627,-0.22411436
faire le tête,25,michael arrête de faire la tête,michael stop pouting,Michael stops pouting,Good Translation,0.86830527,0.8158004,0.052504838
faire le tête,26,alors pourquoi tu fais la tête,so what are you so grumpy about,then why are you frowning,Good Translation,0.6609077,0.69154835,-0.030640662
faire le tête,27,inutile de faire la tête,don't say that to him ricardo bauma on tv,no need to pout,Good Translation,0.45820707,0.72948235,-0.27127528
faire le tête,28,et tu me fais la tête,have we still fight,and you're giving me attitude,Unnatural,0.47156197,0.75261927,-0.2810573
faire le tête,29,puisque tu es là arrête de faire la tête,since you're here now stop pouting,"since you're here, stop pouting",Good Translation,0.8361054,0.83393097,0.002174437
faire le tête,30,tu m'fais la tête parce que j'suis allée travailler,- you're just pouting because i went to work,you're giving me the silent treatment because I went to work,Partial Translation,0.8340614,0.79012895,0.043932438
faire le tête,31,je n'ai pas réussi à faire la tête mais c'est tout à fait ça,couldn't draw the face but it's self-explanatory,I didn't manage to do my head but that's exactly it,Literal Translation,0.6563505,0.9207216,-0.2643711
faire le tête,32,tu m'as fait la tête hier soir et ce matin,come on you froze me out last night you froze me out this morning,you gave me the silent treatment yesterday evening and this morning,Good Translation,0.75694656,0.74088424,0.01606232
faire le tête,33,pos192220ma chérie fais la tête que tu veux,sweetie just make whatever face you want,pos192220ma chérie make the face that you want,Unnatural,0.66744274,0.87381434,-0.2063716
faire le tête,34,elle a fait la tête toute la journée,she's been moody all day,She had a bad attitude all day.,Good Translation,0.82722145,0.8079473,0.019274175
faire le tête,35,où étais-tu tu faisais la tête c'est ça,so where were you,where were you you were pouting that's it,Literal Translation,0.7376484,0.7891754,-0.051526964
faire le tête,36,il est dans sa chambre il fait la tête,he's in his room he's been sulking all weekend,He is in his room sulking.,Good Translation,0.74898565,0.8018985,-0.05291283
faire le tête,37,vous faisiez la tête qu'on fait quand on ne reconnaît pas quelqu'un,i had the impression that you didn't really recognize me,You had that puzzled expression we make when we don't recognize someone,Good Translation,0.7378459,0.8199455,-0.08209962
faire le tête,38,tu fais la tête,you mad,you are pouting,Good Translation,0.7183957,0.7361765,-0.01778078
faire le tête,39,vous n'allez pas vous faire la tête pendant 107 ans non,you two aren't going to sulk forever are you,You aren't going to pout for 107 years.,Good Translation,0.67099166,0.8549009,-0.18390924
faire le tête,40,bon c'est lui qui fait la tête,so he's rebelling,good it's him making the face,Literal Translation,0.70458364,0.8678613,-0.16327763
faire le tête,41,parce que tu faisais la tête,you were angry and refused to talk to me,because you were pouting,Good Translation,0.5865122,0.8000231,-0.21351087
faire le tête,42,nadine me fait la tête,nadine is mad at me she won't answer the phone,Nadine is giving me a hard time,Good Translation,0.7148224,0.8112002,-0.09637779
faire le tête,43,- pourquoi tu fais la tête,- why are you so grumpy,- why are you frowning,Good Translation,0.7070316,0.70957243,-0.0025408268
faire le tête,44,tu as décidé de me faire la tête c'est ça,you are giving to me the silent treatment,you decided to give me the silent treatment is that right,Good Translation,0.5451494,0.63293564,-0.08778626
faire le tête,45,allez arrête de faire la tête,come on stop mucking about,go stop pouting,Good Translation,0.8235028,0.79514337,0.028359413
faire le tête,46,leia par exemple elle fait la tête à han mais en vérité elle craque pour lui,i mean leia right she acted like she was mad at han but i could tell she liked him,"Leia, for example, makes a face at Han but in reality she has a crush on him",Good Translation,0.7875011,0.8693067,-0.08180559
faire le tête,47,je fais la tête comme dans un film où ma maman meurt,- it's good - you can not do better,I'm pouting like in a movie where my mom dies,Good Translation,0.45715216,0.82416606,-0.3670139
faire le tête,48,je t'ai tout donné c'est bête et toi tu me fais la tête,i've given you my all but what have you given me,"I gave you everything, it's silly and you pout at me.",Unnatural,0.7494354,0.8163258,-0.06689036
faire le tête,49,je n'es jamais fais la tête,i never made a face,I have never given you the silent treatment.,Mistranslation,0.8071556,0.680508,0.12664759
faire le tête,50,tu manges toujours de la glace quand tu fais la tête,you always eat ice cream when you're mad,You always eat ice cream when you're pouting.,Good Translation,0.72200286,0.7611762,-0.039173365
faire le tête,51,je te prie de ne pas faire la tête,don't act like that,please don't pout,Good Translation,0.7026424,0.76366174,-0.06101936
faire le tête,52,papa matt me fait la tête,dad matt is mad at me,dad Matt is giving me a hard time,Good Translation,0.8568802,0.7992454,0.05763477
faire le tête,53,oui c'est vrai je pense que tu as fait la tête non stop de 1992 à 1994 peut-être,yes right i think you sulked nonstop from about 1992 to '94 maybe,yes it's true I think you had a frowny face non-stop from 1992 to 1994 maybe,Unnatural,0.7947078,0.7815958,0.013111949
