idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se jeter dans le gueule de le loup,0,va-t-on se jeter dans la gueule du loup,we'll be walking into a trap,Are we going to throw ourselves into the lion's mouth?,Good Translation,0.5922543,0.79891336,-0.20665908
se jeter dans le gueule de le loup,1,nous on se jette dans la gueule du loup pendant que vous restez là hors du danger,we're going down while you all stay up here out of danger,We throw ourselves into the lion's mouth while you stay safely out of danger,Good Translation,0.7048537,0.85412073,-0.14926702
se jeter dans le gueule de le loup,2,il se jette dans la gueule du loup,coming like a lamb to the butcher,he throws himself into the lion's mouth,Good Translation,0.5260165,0.8433883,-0.31737185
se jeter dans le gueule de le loup,3,c'est quoi cette brebis qui vient se jeter dans la gueule du loup,man who's this wonder-bread-lookin' motherfucker walkin' around,what kind of sheep is this coming to throw itself in the wolf's mouth,Good Translation,0.502069,0.7427223,-0.24065328
se jeter dans le gueule de le loup,4,et bien je devine que je viens de me jeter dans la gueule du loup hum,well i guess i just walked into the lion's mouth eh,"and well, I guess I've just thrown myself into the lion's mouth hum",Good Translation,0.7804085,0.8358634,-0.05545491
se jeter dans le gueule de le loup,5,voler le livre de comptes du ministre dans sa demeure c'est comme se jeter dans la gueule du loup,stealing the minister's account book from his house is like jumping into the fire,stealing the minister's ledger from his home is like throwing oneself into the lion's mouth,Good Translation,0.8539895,0.8488542,0.005135298
se jeter dans le gueule de le loup,6,verdice se jette dans la gueule du loup,verdice is walking right into an arrest,verdice leaps into the wolf's mouth,Good Translation,0.58402276,0.80104744,-0.21702468
se jeter dans le gueule de le loup,7,donc elle est va se jeter dans la gueule du loup j'ai une voiture qui attend,so she's walking into a trap i have a car waiting,so she went straight to the lion's mouth I have a car that's waiting,Good Translation,0.77092874,0.8305977,-0.05966896
se jeter dans le gueule de le loup,8,pourquoi se jeter dans la gueule du loup,why we got to walk into that lion's den,why throw oneself into the lion's mouth,Good Translation,0.5607012,0.8270441,-0.26634294
se jeter dans le gueule de le loup,9,c'était donc une bonne idée de me jeter dans la gueule du loup,i suppose you think it was good business letting me walk into that trap,it was therefore a good idea to throw myself into the lion's mouth,Good Translation,0.68964005,0.8918055,-0.20216548
se jeter dans le gueule de le loup,10,je me jette dans la gueule du loup,i'm throwing myself into the lion's jaws,I throw myself into the lion's mouth,Unnatural,0.8199068,0.8263185,-0.0064117312
se jeter dans le gueule de le loup,11,autant se jeter dans la gueule du loup,it sort of turned out better to toss it to the wolves didn't it,to throw oneself into the lion's mouth,Mistranslation,0.5652484,0.8022383,-0.23698986
se jeter dans le gueule de le loup,12,j'ai été me jeter dans la gueule du loup,i threw myself into the lion's den,I threw myself into the lion's mouth,Unnatural,0.78335845,0.83358693,-0.050228477
se jeter dans le gueule de le loup,13,on va se jeter dans la gueule du loup,we're walking into a world of shit,we are going to throw ourselves into the lion's mouth,Good Translation,0.63989717,0.8307957,-0.19089854
se jeter dans le gueule de le loup,14,y retourner c'est se jeter dans la gueule du loup,you'd better not go back,going back is like throwing yourself into the wolf's mouth,Good Translation,0.65088916,0.8384943,-0.18760514
se jeter dans le gueule de le loup,15,ils se jettent dans la gueule du loup,marching into the jaws of death,they throw themselves into the lion's mouth,Good Translation,0.60038596,0.8540121,-0.2536261
se jeter dans le gueule de le loup,16,- mais ça va pas non t plaisantes tu veux pas que j'aille me jeter dans la gueule du loup aussi si tu veux,are you joking,- but that's not going well no you're joking you don't want me to go and throw myself into the lion's mouth either if you want,Good Translation,0.5302894,0.8255681,-0.29527867
se jeter dans le gueule de le loup,17,- ce serait se jeter dans la gueule du loup,- we'll be walking into the mouth of the lion,- it would be rushing into the lion's mouth,Good Translation,0.71175045,0.7467774,-0.035026968
