idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir rien à faire,0,chéri je croyais que tu en avais rien à faire de cet arbre,honey i thought you didn't care about the tree,"honey, I thought you didn't care about this tree at all",Good Translation,0.8126225,0.82462585,-0.012003362
en avoir rien à faire,1,mais je n'en ai rien à faire brde ces détails,those are careless details,but I have nothing to do with these details go to hell,Good Translation,0.6929808,0.7679553,-0.07497448
en avoir rien à faire,2,je n'en avais rien à faire je ne l'avais même jamais rencontrée,i don't know frankly i couldn't care less i never even met the young lady,"I didn't give a damn, I had never even met her",Good Translation,0.83241063,0.868376,-0.035965383
en avoir rien à faire,3,j'en ai rien à faire de l'heure,oh you think i give a rat's ass about what time it is,I don't care about the time.,Good Translation,0.70738614,0.86887985,-0.16149372
en avoir rien à faire,4,j'en ai rien à faire de lui,bitch i don't i don't care about him,I don't give a damn about him,Good Translation,0.78202695,0.8297358,-0.04770887
en avoir rien à faire,5,j'en ai rien à faire des outils,do i look like ace hardware,I don't give a damn about the tools,Good Translation,0.47058374,0.865347,-0.3947633
en avoir rien à faire,6,on en a rien à faire de ce qu'elle dit,who cares what she says,We have nothing to do with what she says.,Literal Translation,0.7154751,0.8943827,-0.17890763
en avoir rien à faire,7,il en a rien à faire de mes rêves,he didn't care about my dreams,He couldn't care less about my dreams,Good Translation,0.8057134,0.6326351,0.1730783
en avoir rien à faire,8,tu as presque gâché sa vie et tu n'en as rien à faire,you almost ruined her life and you don't even care,you have almost ruined his life and you don't care at all,Partial Translation,0.87939537,0.8908305,-0.011435151
en avoir rien à faire,9,et j'en ai rien à faire si ton père a construit le planétarium,and i don't give a hot damn if your dad built the planetarium,and I don't give a damn if your father built the planetarium,Good Translation,0.8716874,0.8945077,-0.022820294
en avoir rien à faire,10,on n'en a rien à faire,we've got no business with them,We don't give a damn,Good Translation,0.7209498,0.70472497,0.016224861
en avoir rien à faire,11,et malheureusement pour toi je travaille avec le seul homme au monde qui n'en a rien à faire,and unfortunately for you i work with the one man in the world who doesn't care,"and unfortunately for you, I work with the only man in the world who couldn't care less",Good Translation,0.89758986,0.8636787,0.03391117
