idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
avoir un peur bleu de,0,l'autre moitié a une peur bleue de lui,the rest scared to death of that wombat,the other half is petrified of him,Good Translation,0.61939806,0.89343107,-0.274033
avoir un peur bleu de,1,tavares n'aurait pas témoigné car il avait une peur bleue de donovan,tavares wouldn't testify because he was scared stiff of donovan,tavares wouldn't have testified because he had a blue fear of donovan,Unnatural,0.9182686,0.9589649,-0.040696263
avoir un peur bleu de,2,il a une peur bleue de vous,he's afraid of you,He has a blue fear of you,Unnatural,0.84803396,0.9113357,-0.06330174
avoir un peur bleu de,3,les découvertes capitales arrivent parce que quelqu'un a une peur bleue d'arrêter d'essayer,breakthroughs don't happen because of the medicine real breakthroughs happen because someone is scared to death to stop trying,Capital discoveries arrive because someone has a terrible fear of stopping trying,Good Translation,0.63608706,0.8645458,-0.22845876
avoir un peur bleu de,4,je dois te dire j'avais une peur bleue de vous pendant bien des années,i have to tell you i was scared shitless of you for so many years,I had a terrible fear of you for many years.,Good Translation,0.8193486,0.8329174,-0.013568819
avoir un peur bleu de,5,c'est parce qu'elle a une peur bleue de se faire battre,that's because she's fuckin' afraid of getting beaten up,it's because she has a great fear of being beaten,Partial Translation,0.82494056,0.85621786,-0.0312773
avoir un peur bleu de,6,oui je croyais que j'allais épouser mon ancien copain mais il avait une peur bleue de l'engagement,yeah i thought i was gonna get married to my last boyfriend but boy did that guy have commitment issues,"Yes, I thought I was going to marry my ex-boyfriend but he was deathly afraid of commitment",Good Translation,0.74881285,0.81107783,-0.06226498
avoir un peur bleu de,7,j'ai une peur bleue de la potence,i have a mortal fear of hanging,I am deathly afraid of the gallows.,Good Translation,0.6585685,0.5957108,0.06285769
avoir un peur bleu de,8,en fait t'as une peur bleue d'y aller tu chies dans ton froc,the truth is you're scared shitless of going to that place aren't you,in fact you're deathly afraid to go you shit in your pants,Good Translation,0.6964857,0.7139174,-0.017431676
avoir un peur bleu de,9,vous avez oublié je suis influent à klingen et que j'ai une peur bleue des pigeons,well you only left out that i'm fluent in klingon and have a bona fide fear of pigeons,you forgot that I am influential in Klingen and that I have a profound fear of pigeons,Good Translation,0.7594047,0.9229195,-0.1635148
avoir un peur bleu de,10,j'ai une peur bleue des fantômes,i'm terrified of ghosts,I am deathly afraid of ghosts,Good Translation,0.8167884,0.77468824,0.04210013
avoir un peur bleu de,11,j'avais une peur bleue d'en parler de le revivre et d'accepter le fait que ça se soit passé,i was scared to death to talk about it to experience it to be able to accept the fact that this has happened,"I was terrified to talk about it, relive it, and accept that it happened",Good Translation,0.80275315,0.8589473,-0.056194127
