idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
en avoir raître le bol,0,maintenant j'en ai ras le bol tu as le jugement de la maison,listen young man until further notice you're grounded,I've had enough now you're in charge of the household,Mistranslation,0.49803013,0.7996596,-0.30162948
en avoir raître le bol,1,j'en ai ras le bol de toi t'entends gamin,i'm sick of your shit you punk,I've had it up to here with you do you hear me kid,Good Translation,0.7038986,0.69670224,0.007196367
en avoir raître le bol,2,pour guérir mieux plus vite j'en ai ras le bol d'être ici quand mes amis sont là-bas je ne peux le dire à personne,so i can get better fast because i'm sick and tired of being here while my friends die over there and i can't tell anyone that because they won't get it,I'm fed up of being here to heal better faster when my friends are over there I can't tell anyone.,Unnatural,0.8249495,0.89769834,-0.07274884
en avoir raître le bol,3,la plupart des gens en ont ras le bol des crimes dans les rues,most people are sick and tired of crime in the streets,most people have had enough of the crime on the streets,Good Translation,0.94357216,0.9386827,0.004889488
en avoir raître le bol,4,c'est pas vrai j'en ai ras le bol,oh my god i've fucking had it,That's not true I'm fed up with it,Partial Translation,0.6753026,0.86633575,-0.19103312
en avoir raître le bol,5,en fait j'en ai ras le bol de m'asseoir sur un fauteuil jour après jour pour écouter les problèmes des gens,the truth is i'm just fucking sick of sitting in a chair day after day after day listening to people's problems,"To be honest, I'm fed up with sitting in a chair day after day listening to people's problems.",Good Translation,0.8730899,0.9003361,-0.027246177
en avoir raître le bol,6,j'en ai raz le bol alors à moins que tu ne saches comment la joindre et lui dire de nous contacter,- i'm fed up with this so unless you can tell mayka to contact us,I'm so fed up then unless you know how to reach her and tell her to contact us,Good Translation,0.7641261,0.8538407,-0.08971459
en avoir raître le bol,7,on dirait qu'elle en a ras le bol,seems she's had her fill,She's had enough of it.,Good Translation,0.8120384,0.83874124,-0.026702821
en avoir raître le bol,8,ozzie j'en ai ras le bol de tes trucs magiques et de toutes ces histoires,ozzie i'm so sick of your magic and your stupid fantasies it's too late now,Ozzy I've had enough of your tricks and all these stories.,Good Translation,0.83077496,0.8698303,-0.039055347
en avoir raître le bol,9,je vous le dis je commence à en avoir ras le bol de l'afrique,i tell you i'm getting heartily sick of africa,I'm telling you I've had enough of Africa.,Good Translation,0.8580969,0.89869165,-0.040594757
en avoir raître le bol,10,j'en ai ras le bol de t'entendre dire ce n'est pas prudent,kif i don't need your that-may-not-be-wise attitude,I've had it up to here with hearing you say it's not safe.,Good Translation,0.584814,0.79780006,-0.21298605
en avoir raître le bol,11,mais moi j'en ai ras le bol qu'ils nous ignorent,but i am tired of them not listening,but I'm sick and tired of them ignoring us,Good Translation,0.7774682,0.91093946,-0.13347125
en avoir raître le bol,12,j'en avais ras le bol,i got fed up and didn't care,I was fed up with it.,Good Translation,0.7499366,0.85658157,-0.10664499
en avoir raître le bol,13,- quand j'étais là-bas je me disais que j'en avais ras le bol,all those days i was over there i just kept thinking i am so done with this shit,- when I was there I used to tell myself that I had had enough of it,Good Translation,0.76973075,0.89639044,-0.12665969
en avoir raître le bol,14,j'en ai ras le bol ho,i'm sick and tired of,I've had enough of it.,Good Translation,0.60984457,0.57096773,0.03887683
en avoir raître le bol,15,j'en ai ras le bol de ce travail,i can't stand this job anymore,I'm fed up with this job.,Good Translation,0.86308515,0.8897909,-0.026705742
en avoir raître le bol,16,j' en ai ras le bol de jouer les docteurs,i've had enough playing doctor,I'm fed up with playing doctor.,Good Translation,0.90033436,0.8726535,0.027680874
en avoir raître le bol,17,j'en ai ras le bol que vous ne suiviez pas les ordres,i am sick and tired of you not taking orders,I'm fed up that you're not following orders.,Good Translation,0.8352303,0.89466166,-0.059431374
en avoir raître le bol,18,j'en ai ras le bol franchement,i'm fed up with it to be honest tom,I've had it up to here frankly.,Good Translation,0.8072188,0.7222609,0.0849579
en avoir raître le bol,19,j'en ai ras le bol de ton attitude,i am sick and tired of your attitude,I've had it up to here with your attitude.,Good Translation,0.800187,0.76701033,0.03317666
en avoir raître le bol,20,j'en avais ras l'bol de ses conneries,hey i got so sick of hearing that crap,I had enough of her nonsense,Good Translation,0.7340119,0.8006208,-0.066608906
en avoir raître le bol,21,j'en avais ras le bol de toi ta mère et ton bon ami ramirez,because i was sick of you your mother and your wonderful friend ramirez,I had it up to here with you your mother and your good friend Ramirez,Good Translation,0.8278409,0.7856251,0.042215824
en avoir raître le bol,22,j' en ai ras le bol de votre façon de parler,i am so tired by the way you people talk,I've had it up to here with your way of speaking.,Good Translation,0.8385458,0.8420408,-0.003494978
en avoir raître le bol,23,toute la ville en a ras le bol,the whole town is sick of it - they 're not aliens they 're zomies okay,The whole town is fed up with it.,Good Translation,0.7056001,0.89058936,-0.18498927
en avoir raître le bol,24,j'en ai ras le bol de los angeles ras le bol de témoigner de la tragédie humaine et ras le bol de l'after-shave de frizer,i'm sick of los angeles sick of bearing witness to human tragedy and sick of frizer's shitty aftershave,I am fed up with Los Angeles fed up of witnessing human tragedy and fed up with the after-shave of Friz.,Good Translation,0.774777,0.7430756,0.031701386
en avoir raître le bol,25,tout ça c'est pour ma pomme et j'en ai ras le bol,it's all on me and i'm sick of it,All that's just for my benefit and I've had it up to here.,Good Translation,0.76859516,0.6122998,0.15629536
en avoir raître le bol,26,- non j'ai chaud et j'en ai ras le bol,i'm hot and i'm fuckin' bored,- no I'm hot and I've had enough,Good Translation,0.78807425,0.89979947,-0.11172521
en avoir raître le bol,27,j'en ai ras le bol des sales puces du chien d'hilly,i'm sick of the goddamn fleas from hilly's dog,I'm fed up with the filthy fleas of Hilly's dog.,Good Translation,0.82963675,0.81717193,0.012464821
