idiom,idiom_id,french_text,english_reference,generated_translation,eval_category,similarity_french_to_english,similarity_french_to_generated,similarity_gap
se en mettre plein le poche,0,nous ne pouvons nous permettre d'être déroutés par un nouveau joueur de flûte dont les intérêts ne sont que de s'en mettre plein les poches,we cannot afford to be led astray by a latter-day pied piper whose interests begin and end with lining his own pockets,we cannot afford to be distracted by a new flute player whose only interest is lining his pockets.,Partial Translation,0.6715821,0.898871,-0.2272889
se en mettre plein le poche,1,je veux dire du recel d'armes c'est comme ça qu'ils s' en mettent plein les poches,yeah well i mean dealing weapons-- that's how they make the big bucks,I want to say that the smuggling of arms is like this how they get a lot in their pockets.,Good Translation,0.70793974,0.8125657,-0.10462594
se en mettre plein le poche,2,on va s'en mettre plein les poches,i think we're gonna make some real money,we will fill our pockets with it,Good Translation,0.7265252,0.90359974,-0.17707455
se en mettre plein le poche,3,n'importe quel emploi tant que ça améliore les statistiques que les chômeurs nous foutent la paix et qu'on continue à s'en mettre plein les poches,no matter what as long as the statistics look good and we can fill our pockets,Any job as long as it improves statistics so that unemployed people leave us in peace and we can keep filling our pockets.,Good Translation,0.7659417,0.88929397,-0.12335229
se en mettre plein le poche,4,ceux qui parlent droit civique intérêt public et qui s'en mettent plein les poches,the ones that talk about civic duty and public trust and then turn around and line their own pockets,Those who speak of civic duty and public interest while putting their pockets full of money in it.,Good Translation,0.7602131,0.853341,-0.09312791
se en mettre plein le poche,5,il suffit de les aider on peut s'en mettre plein les poches,if we help them they'll leave us alone to make some money,It's enough to help them; you can fill your pockets.,Good Translation,0.689551,0.8883487,-0.1987977
se en mettre plein le poche,6,les politiciens s'en mettent plein les poches,politicians are lining their own pockets,politicians put it all in their own pockets,Unnatural,0.8972975,0.8694638,0.0278337
se en mettre plein le poche,7,tu dois savoir au contraire qu'ici on construit uniquement pour voler pour s'en mettre plein les poches,but i want you to know that here they only build to steal they just build to make money,you must know on the contrary that here we build only to fly and stuff your pockets full,Mistranslation,0.84008634,0.93122256,-0.09113622
se en mettre plein le poche,8,elle s'en met plein les poches,she is cleaning up,she's lining her pockets with it,Good Translation,0.7170747,0.8737469,-0.15667218
se en mettre plein le poche,9,et ils s'aperçoivent que c'est le producteur qui s'en met plein les poches,they find out the producer's keeping all the money,and they notice that it's the producer who is lining his pockets with it.,Good Translation,0.82074326,0.8738662,-0.053122938
se en mettre plein le poche,10,il s'en met plein les poches j'en ai côtoyé aux moeurs,i met people like him in vice,He's loaded with it; I've rubbed shoulders with people of loose morals.,Good Translation,0.59082067,0.7369543,-0.1461336
se en mettre plein le poche,11,que pense le christ des profiteurs qui ne font rien et qui s'en mettent plein les poches,what does christ think of the easy-money boys who do none of the work and take all of the gravy,what does Christ think of those profiteers who do nothing and line their pockets with money?,Good Translation,0.7529651,0.9133543,-0.16038918
se en mettre plein le poche,12,il est mort ruiné essayant de s'en mettre plein les poches avec de l'or,he died penniless trying to line his pockets with gold,He died ruined trying to fill his pockets with gold.,Good Translation,0.87965345,0.9345279,-0.05487442
se en mettre plein le poche,13,à caracas tous les dignitaires s'en mettent plein les poches,there isn't a government official in caracas who doesn't line his pockets,In Caracas all the bigwigs fill their pockets.,Good Translation,0.7418747,0.81382173,-0.07194704
se en mettre plein le poche,14,oui on s'en met plein les poches alors ne viens pas tout gâcher,yes he's doing business with us we're making big bucks here don't ruin our businesses,yes we're filling our pockets with it so don't come and spoil things for us,Good Translation,0.6535906,0.874906,-0.22131538
se en mettre plein le poche,15,on peut pas être les seuls politiciens qui peuvent pas s'en mettre plein les poches,we have to figure out how politicians line their pockets,We can't be the only politicians who can't line their pockets.,Good Translation,0.7710802,0.9167639,-0.1456837
se en mettre plein le poche,16,je crois que la comptable s'en met plein les poches,i found out that the accountant's been stealing quite a bit,I believe that the accountant is lining his pockets.,Good Translation,0.7802744,0.8105969,-0.030322492
se en mettre plein le poche,17,la technologie en soi on s'en fout complètement tout ce qu'on veut c'est s'en mettre plein les poches,we don't give two shits about how technology works because all we care about is getting fucking rich,technology in itself we don't care about it at all whatever one wants is to stuff their pockets with it,Good Translation,0.72931135,0.8700537,-0.14074236
